id	title	description	project_name	status_name	priority_id	type_id	assignee_id	labels
13205515	Information for not existing page and not having permission to page access	"Information which user sees in case:
 - If page does not exist user sees 'page not found'
 - If page exists but user has not access to it user sees 'Permission denied'"	DATALAB	Closed	3	4	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat
13253746	[EQF][List of resources]: Add possibility to switch between projects	As a user I want to have two have two choices: 1. to work in current project or to work in all projects  on 'List of resources' page, so that it will be more user-friendly during instance creation.	DATALAB	Closed	3	2	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat, pull-request-available
13231274	[Edge]: Extra question on confirmation dialog	"*Preconditions:*
Environment is created

*Steps to reproduce:*
1. Go to 'Environment management' page
2. Click action menu for Edge
3. Choose Stop action

*Ectual result:*
There are two questions on confirmation dialog:
- Do you want to proceed?
- Are you sure you want to continue?
 !Edge.png! 

*Expected result:*
There is one question on confirmation dialog:
- Do you want to proceed?


The same case for notebooks (stop/terminate) on 'environment_management' page
 "	DATALAB	Open	4	1	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat
13214390	Add header and close-window buttons to popups	"# Add header to SSN Monitor popup.
 # Add close button to SSN Monitor popup.

!SSN monitor.PNG!

3. Add close button to library installation error popup.

!library_installation_error_popup.png!"	DATALAB	Closed	3	3	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat
13260285	[Azure]: Issues on billing page	"*Preconditions:*

1. Env is created

*Steps to reproduce:*
 # Go to billing page
 # Click header grid

*Actual result:*
 # Calendar, buttons are not aligned
 # Header grid is not extended

*Expected result:*
 # Calendar has center alignment
 # Buttons have left alignment
 # Header grid is extended
 # There is an error in console"	DATALAB	In Progress	3	1	2149	AZURE, Debian, Front-end, RedHat
13258776	Add active instances filtering	"Add 'Show all/show Active' buttons on 'Project' page;
It is should the same functional for the projects as it is implemented for instances on 'resources_list' page"	DATALAB	Closed	3	3	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat
13205510	URL should be in one row on Notebook name popup	"*Preconditions:*

Notebook with long name is created <Rstudio-tensorflow>

 

*Steps to reproduce:*
 # Click Notebook name popup

 

*Actual result:*

Ungit link is portrayed in two rows

!image-2018-12-19-22-19-27-389.png!

*Expected result:*

1. ungit link should not be splitted in 2 lines (ungit link is portrayed only in one row)/
2. url is cutted"	DATALAB	Closed	3	1	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat
13243332	Align action icons for projects	"*Pregonditions:*
1. Several projects are created
2. At least one project is failed

Project actions should be aligned in the same column."	DATALAB	Closed	4	3	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat
13239244	[Front-end]: Ability to set/update project quota	"As an Admin I want to set/update limit per project and general limit, so that I can prevent exceeding determined budget.

*Preconditions:*
 Admin is logged-in DLab
 Admin is located in ‘Manage environment’ popup tab on ‘Administration’ page

*Description:*
 Admin is able to set/udate limit for:
 Project in text box for project quota 
 DLab in text box for DLab for total quota
 Textbox accept only numbers and only integer. 
 If Admin clicks ‘Apply’ button the quota is confirmed and ‘Manage environment’ popup is closed.
 If Admin clicks ‘Cancel’ button the quota is not set/update and ‘Manage environment’ popup is closed.

*Acceptance criteria:*
 1. Admin is able to set/update quota per project
 2. Admin is able to set/update total Dlab quota
 3. DLab TOTAL quota prevails (P1)
 4. Project quota has second priority (P2). Such that Pr1 + Pr2 <= TOTAL Dlab"	DATALAB	Closed	3	3	2149	Debian, GCP, pull-request-available
13229381	Instance management should not depend on Edge status	"*Preconditions:*
 # Computational resource is created for user1
 # Edge is not created for user2. user2 is Admin

*Steps to reproduce:*

1. Login by user2

*Actual result:*

User2 cannot manage by notebook of user1

*Expected result:*

User2 can manage be notebook of user1"	DATALAB	Closed	3	1	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat, pull-request-available
13205526	Page is blocked during uploading a key	"*Preconditions:*
 # Only SSN is created
 # User is logged in DLab

 

*Steps to reproduce:*
 # Go to 'Billing Report'  or 'Environment Management' page
 # Click beyond of reuploading key popup

 

*Actual result:*

'Billing Report'  or 'Environment Management' page is blocked during

 

*Expected result:*

'Billing Report'  or 'Environment Management' page isn't blocked during"	DATALAB	Closed	3	1	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat
13253272	[Terraform][Quota]: Convey error message during cluster creation in case of quota exceeding	"*DLAB-terraform branch*

As a user I want to know why I cannot create a cluster so that I can resolve the situation.

 

If quota is exceed a user is not allowed to create cluster. Please, inform user about it via error message:

'Operation can not be finished. Resource quote is reached'"	DATALAB	Closed	3	3	2149	AWS, Debian, Front-end, pull-request-available
13259248	[EQF][Environment management]: Extend filter	"# In 'Type' drop down list it is filtered only by type, but should be also by name on 'environment_management' page
 # Value in 'user' drop down list should be in lower case in 'environment_management'page
 # Gear icon should not be cut in 'environment_management' page
 # Gear icon should be aligned by top value in 'environment_management' page
 # Filter actions should be in one row in 'environment_management' page
 # Align grid names with grid values on 'resources_list' page"	DATALAB	Closed	3	3	2149	AWS, AZURE, Debian, DevOps, GCP, RedHat
13234264	[Front-end]: Ability to terminate a project for admin user	"As an Admin I want to terminate project(s), so that I can rid of unnecessary resources.

 

*Preconditions:*
 # Admin is logged-in DLab
 # Admin is located in ‘Project’  tab on ‘Administration’ page
 # ‘Manage project’ popup is open

 

*Description:*

If Admin clicks termination icon in action column confirmation dialog appears ‘Project name’ will be decommissioned. Do you want to proceed?

If Admin clicks ‘Yes’ a project is terminated, confirmation dialog is closed.

If Admin clicks ‘No’ a project is not terminated, confirmation dialog is closed.

*Acceptance criteria:*
 # Admin is able to terminate a project
 # Terminated project is absent among the other project
 # All resources are killed except for VPC (or check if any other project exists in same VPC, if not - delete VPC) and bucket."	DATALAB	Closed	3	3	2149	Debian, Front-end, GCP
13236882	[Projects]: Reuse library mngmt component for endpoints and groups	"1. Add for endpoints and groups in grid the same component which we have for library

2. Cut too long values

3. Add scrollbar in grid in case if there are more values

4. Cut project name on confirmation dialog for termination (view video in attachments)

5. Add error message for project name text box: 'Project name can only contain letters, numbers, hyphens and '_' but can not end with special characters'

6. 'Select user groups' hint is cut in the down (view 'Select user groups.png' in the attachments)

7. Project name should be case insensitive (view 'Project case insensitive.png' in attachments)"	DATALAB	Closed	3	3	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat
13241979	[Project creation]: 'Clear' button does not clear label of previous uploading key	"*Preconditions:*
1. Admin is logged in DLab
2. At least one endpoint is created
3. 'Create new project' popup is open

*Steps to reproduce:*
1. Click 'Upload' button
2. Chose key.pub
3. Click 'Open' button
4. Click 'Clear' button

*Actual result:*
Clear button does not clear  key.pub value
Please, view 'Clear button.png' in attachment

*Expected result:*
Clear button clears  key.pub value

"	DATALAB	Closed	4	1	2149	AWS, AZURE, Debian, Front-end, GCP, RedHat
