id	title	description	project_name	status_name	priority_id	type_id	assignee_id	labels
13520131	Do not let users override internal metadata configs	"metadata cleaning, compaction configs in metadata table should not be overriden by user. we should make it internal configs. 

hoodie.metadata.clean.async
hoodie.metadata.cleaner.commits.retained
hoodie.metadata.enable.full.scan.log.files
hoodie.metadata.insert.parallelism
hoodie.metadata.keep.max.commits
hoodie.metadata.keep.min.commits
hoodie.metadata.populate.meta.fields"	HUDI	Closed	2	4	646	pull-request-available
13524702	Handle empty payloads for AbstractDebeziumAvroPayload	HoodieMergeHandle is deciding we no longer need to copy the old record using {{hoodieRecord.getData().combineAndGetUpdateValue}} and this was not being handled properly in {{AbstractDebeziumAvroPayload}}	HUDI	Closed	3	4	646	pull-request-available
13587583	Partition query for transformed value incorrectly prunes valid partitions	"With timestamp keygen you can have a partition column with timestamps, but then use the keygen so it will create partitions based on days so that all records that have a timestamp on 7-31-2024 will go to the same parititon even though the values in the partition column differ by hours and minutes etc.

This causes a problem with partition pruning. lets say you query ""select * from table where partition < 7-31-2024 at 7am and partition > 7-31-2024 at 6am "". Since the file structure has the partition of just 7-31-2024, that will be interpreted as 7-31-2024 at 12am. So the partition will be pruned from the search space."	HUDI	In Progress	2	1	646	pull-request-available
13540263	Spark CDC delete all records in a filegroup display fails	"If you delete the last record in a filegroup and do a cdc query it fails assert 

currentCDCFileSplit.getBeforeFileSlice.isPresent. "	HUDI	Closed	3	1	646	pull-request-available
13591080	Rename HoodieFilegroupReader to just fileslice reader	"It only reads file slices and we don't need ""hoodie"" because it is a hudi concept. Later on, we will create fg reader that wraps file slice reader and cdc reader"	HUDI	Closed	3	4	646	pull-request-available
13479118	Add table config change validation in deltastreamer	"looks like we are missing proper table config validation in deltastreamer. 
{code:java}
   if (fs.exists(new Path(cfg.targetBasePath))) {
        HoodieTableMetaClient meta =
            HoodieTableMetaClient.builder().setConf(new Configuration(fs.getConf())).setBasePath(cfg.targetBasePath).setLoadActiveTimelineOnLoad(false).build();
        tableType = meta.getTableType();
        // This will guarantee there is no surprise with table type
        ValidationUtils.checkArgument(tableType.equals(HoodieTableType.valueOf(cfg.tableType)),
            ""Hoodie table is of type "" + tableType + "" but passed in CLI argument is "" + cfg.tableType);

        // Load base file format
        // This will guarantee there is no surprise with base file type
        String baseFileFormat = meta.getTableConfig().getBaseFileFormat().toString();
        ValidationUtils.checkArgument(baseFileFormat.equals(cfg.baseFileFormat) || cfg.baseFileFormat == null,
            ""Hoodie table's base file format is of type "" + baseFileFormat + "" but passed in CLI argument is ""
                + cfg.baseFileFormat);
        cfg.baseFileFormat = baseFileFormat;
        this.cfg.baseFileFormat = baseFileFormat;
      } else {
        tableType = HoodieTableType.valueOf(cfg.tableType);
        if (cfg.baseFileFormat == null) {
          cfg.baseFileFormat = ""PARQUET""; // default for backward compatibility
        }
      } {code}"	HUDI	Closed	3	4	646	hudi-on-call, pull-request-available
13550763	Update SQL Pages for 0.14.0	update [https://hudi.apache.org/docs/table_management] and https://hudi.apache.org/docs/procedures	HUDI	Closed	3	4	646	pull-request-available
13507336	With multiple meta syncs, one meta sync failure should not impact other meta syncs.	For example, if you are using HMS and glue, if HMS sync fails, we should still sync with glue.	HUDI	Closed	2	4	646	pull-request-available
13563263	Fallback to key-based merging if there is no positions in log header	When turning on merging with record positions, if there is no position header in the log blocks, the reader should fall back to key-based merging.	HUDI	Closed	1	4	646	pull-request-available
13482502	Add validation to block COW table to use consistent hashing bucket index	"Consistent hashing bucket index's resizing relies on the log feature of MOR table. So with COW table, the consistent hashing bucket index can not achieve resizing currently. 

We should block the user from using it at the very beginning(i.e., table creation), and suggest them to use MOR table or Simple Bucket Index. "	HUDI	Closed	3	4	646	pull-request-available
