id	title	description	project_name	status_name	priority_id	type_id	assignee_id	labels
13353492	Calcite bug. Can`t access cache created on the server side from client node.	"table created from server node

{code:java}
        IgniteCache<Integer, Integer> devCache = grid(0).createCache(projCfg);

        assertFalse(grid(0).configuration().isClientMode());
{code}
and accessed from client :

{code:java}
node.context().query().querySqlFields(new SqlFieldsQuery(sql).setSchema(""PUBLIC""), true).getAll();
{code}

throws: 

{code:java}
java.lang.NullPointerException
	at org.apache.ignite.internal.processors.query.calcite.schema.TableDescriptorImpl.distribution(TableDescriptorImpl.java:197)
	at org.apache.ignite.internal.processors.query.calcite.schema.IgniteTableImpl.distribution(IgniteTableImpl.java:121)
	at org.apache.ignite.internal.processors.query.calcite.schema.IgniteTableImpl.toRel(IgniteTableImpl.java:89)
	at org.apache.ignite.internal.processors.query.calcite.schema.IgniteTable.toRel(IgniteTable.java:61)
	at org.apache.ignite.internal.processors.query.calcite.schema.IgniteTable.toRel(IgniteTable.java:40)
	at org.apache.calcite.prepare.RelOptTableImpl.toRel(RelOptTableImpl.java:285)
	at org.apache.calcite.sql2rel.SqlToRelConverter.toRel(SqlToRelConverter.java:3585)
	at org.apache.calcite.sql2rel.SqlToRelConverter.convertIdentifier(SqlToRelConverter.java:2507)
	at org.apache.calcite.sql2rel.SqlToRelConverter.convertFrom(SqlToRelConverter.java:2144)
	at org.apache.calcite.sql2rel.SqlToRelConverter.convertFrom(SqlToRelConverter.java:2093)
	at org.apache.calcite.sql2rel.SqlToRelConverter.convertFrom(SqlToRelConverter.java:2050)
	at org.apache.calcite.sql2rel.SqlToRelConverter.convertSelectImpl(SqlToRelConverter.java:663)
	at org.apache.calcite.sql2rel.SqlToRelConverter.convertSelect(SqlToRelConverter.java:644)
	at org.apache.calcite.sql2rel.SqlToRelConverter.convertQueryRecursive(SqlToRelConverter.java:3438)
	at org.apache.calcite.sql2rel.SqlToRelConverter.convertQuery(SqlToRelConverter.java:570)
	at org.apache.ignite.internal.processors.query.calcite.prepare.IgnitePlanner.rel(IgnitePlanner.java:211)
	at org.apache.ignite.internal.processors.query.calcite.exec.ExecutionServiceImpl.optimize(ExecutionServiceImpl.java:600)
	at org.apache.ignite.internal.processors.query.calcite.exec.ExecutionServiceImpl.prepareQuery(ExecutionServiceImpl.java:568)
	at org.apache.ignite.internal.processors.query.calcite.exec.ExecutionServiceImpl.prepareSingle(ExecutionServiceImpl.java:542)
	at org.apache.ignite.internal.processors.query.calcite.exec.ExecutionServiceImpl.prepareQuery(ExecutionServiceImpl.java:501)
	at org.apache.ignite.internal.processors.query.calcite.prepare.QueryPlanCacheImpl.queryPlan(QueryPlanCacheImpl.java:84)
	at org.apache.ignite.internal.processors.query.calcite.exec.ExecutionServiceImpl.executeQuery(ExecutionServiceImpl.java:378)
	at org.apache.ignite.internal.processors.query.calcite.CalciteQueryProcessor.query(CalciteQueryProcessor.java:241)
	at org.apache.ignite.internal.processors.query.GridQueryProcessor.querySqlFields(GridQueryProcessor.java:2841)
	at org.apache.ignite.internal.processors.query.GridQueryProcessor.querySqlFields(GridQueryProcessor.java:2766)
	at org.apache.ignite.internal.processors.query.GridQueryProcessor.querySqlFields(GridQueryProcessor.java:2739)
	at org.apache.ignite.internal.processors.query.calcite.SqlFieldsQueryUsageTest.execute(SqlFieldsQueryUsageTest.java:99)
	at org.apache.ignite.internal.processors.query.calcite.SqlFieldsQueryUsageTest.createCacheOnSrvCallOnCli(SqlFieldsQueryUsageTest.java:89)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.apache.ignite.testframework.junits.GridAbstractTest$7.run(GridAbstractTest.java:2375)
	at java.lang.Thread.run(Thread.java:748)
{code}

reproduser atached"	IGNITE	Resolved	3	4	1888	calcite
13595441	Calcite engine. Cached compiled expression for correlated variable can have different data type	"Reproducer:

{code:java}
    @Test
    public void testCorrelatesDifferentDataType() {
        for (String type : new String[] {""INTEGER"", ""TINYINT""}) {
            try {
                sql(""CREATE TABLE t1(v INTEGER)"");
                sql(""CREATE TABLE t2(v "" + type + "")"");
                sql(""INSERT INTO t1 VALUES (1)"");
                sql(""INSERT INTO t2 VALUES (1)"");

                assertQuery(""SELECT (SELECT t1.v + t2.v FROM t1) FROM t2"")
                    .returns(2)
                    .check();
            }
            finally {
                sql(""DROP TABLE t1"");
                sql(""DROP TABLE t2"");
            }
        }
    }
{code}
Fails with:

{noformat}
Caused by: java.lang.ClassCastException: class java.lang.Byte cannot be cast to class java.lang.Integer (java.lang.Byte and java.lang.Integer are in module java.base of loader 'bootstrap')
	at SC.execute(Unknown Source)
	at org.apache.ignite.internal.processors.query.calcite.exec.exp.ExpressionFactoryImpl$ProjectImpl.apply(ExpressionFactoryImpl.java:668)
	at org.apache.ignite.internal.processors.query.calcite.exec.rel.ProjectNode.push(ProjectNode.java:63)
...
{noformat}
"	IGNITE	Resolved	3	1	1888	calcite, ise
13563166	Thin client: Avoid blocking of client-connector threads by transactional operations	Currently client-connector threads (workers for thin-client operations) can be blocked for a long time by cache operation within transaction. If there is not enough threads configured it can lead to deadlocks. For example, if we have {{n}} threads and {{n+1}} clients which start the pessimistic transaction and try to modify the same key, first client lock the key, other {{n}} clients wait on locked key and hold the whole thread put by blocking operations.  Commit/rollback from the first client can never be proceeded, since all threads are occupied, and threads can't be released, since they are waiting for commit/rollback from the first client.	IGNITE	Resolved	3	4	1888	ise
13589047	Calcite engine. Object dynamic parameters are not converted to binary objects	"Objects inside Ignite are stored in binary object format. When we pass dynamic parameters to the query, we left compound objects as is. These objects can't be compared with objects inside cache. For example:

{code:java}
        IgniteCache<Integer, Employer> emp = client.getOrCreateCache(
            new CacheConfiguration<Integer, Employer>(""emp"")
                .setSqlSchema(""PUBLIC"")
                .setQueryEntities(F.asList(new QueryEntity(Integer.class, Employer.class).setTableName(""emp"")))
        );

        emp.put(0, new Employer(""emp"", 0d));

        assertQuery(""SELECT _key FROM emp WHERE _val = ?"").withParams(new Employer(""emp"", 0d)).resultSize(1).check();
{code}
This query returns 0 rows.
"	IGNITE	Resolved	3	1	1888	calcite, ise
13388687	Wrong heartbeat update while waiting for a checkpoint by timeout	"This problem occurs under these conditions:
 * native persistence is turned on
 * failureDetectionTimeout < checkpointFrequency
 * checkpoints are sometimes skipped by timeout (more often, more probable the problem occurrence)

There is a race condition between a listener execution and finishing of a pending future (see CheckpointContextImpl#executor body [1]). In some cases future can finish before listener closure, therefore updating of a heartbeat in listener can occur after call of _blockingSectionBegin_ in Checkpointer#waitCheckpointEvent, i.e. after Checkpointer started to wait for next checkpoint (see [2]).


{code:java|title=CheckpointContextImpl#executor}
    @Override public Executor executor() {
        return asyncRunner == null ? null : cmd -> {
            try {
                GridFutureAdapter<?> res = new GridFutureAdapter<>();

                res.listen(fut -> heartbeatUpdater.updateHeartbeat()); // Listener is invoked concurrently with pending future finish

                asyncRunner.execute(U.wrapIgniteFuture(cmd, res));

                pendingTaskFuture.add(res);
            }
            catch (RejectedExecutionException e) {
                assert false : ""A task should never be rejected by async runner"";
            }
        };
    }
{code}
{code:java|title=Checkpointer#waitCheckpointEvent}
try {
    synchronized (this) {
        long remaining = U.nanosToMillis(scheduledCp.nextCpNanos - System.nanoTime());

        while (remaining > 0 && !isCancelled()) {
            blockingSectionBegin();

            try {
                wait(remaining); 
                // At this point and till blockingSectionEnd call heartbeat should be equal to Long.MAX_VALUE

                remaining = U.nanosToMillis(scheduledCp.nextCpNanos - System.nanoTime());
            }
            finally {
                blockingSectionEnd();
            }
        }
    }
}
{code}
 
If interval between checkpoints (_checkpointFrequency_) is greater than the _failureDetectionTimeout_, then update of heartbeat in _blockingSectionEnd_ may cause an error message in log, because a checkpoint thread is treated as blocked (but in fact it was not).

*Reproducer of problem:* [3]. Even if test was not failed you can see log message with incorrect heartbeat after waiting for checkpoint.
 
Links:
 # [CheckpointContextImpl#executor|https://github.com/apache/ignite/blob/master/modules/core/src/main/java/org/apache/ignite/internal/processors/cache/persistence/checkpoint/CheckpointContextImpl.java#L104]
 # [Checkpointer#waitCheckpointEvent|https://github.com/apache/ignite/blob/master/modules/core/src/main/java/org/apache/ignite/internal/processors/cache/persistence/checkpoint/Checkpointer.java#L816]
# Reproducer: [^Checkpointer_fake_block_master.patch]. "	IGNITE	Resolved	4	1	1888	ise
13574556	Don't remove entries one-by-one for in-memory node on shutdown	Currently, for in-memory node we remove each entry one-by-one on cluster deactivation or on node shutdown. If there are a lot of entries in cache it can take a long time. But it's a redundant action, since all page memory will be released after deactivation/shutdown.	IGNITE	Resolved	3	4	1888	ise
13334153	Calcite integration. CREATE/DROP INDEX support	We need to support DDL commands. The task about the support of CREATE/DROP INDEX. Potentially with syntaxis as we already have in the H2 engine.	IGNITE	Resolved	2	2	1888	calcite
13530411	Node failes on rebalance during deactivation	"Failure handler triggered if caches is stopped (for example, due to deactivation) and node is processing partitions supply message. Reproducer:
{code:java}
@Override protected FailureHandler getFailureHandler(String igniteInstanceName) {
    return new StopNodeFailureHandler();
}

@Test
public void testRebalanceOnDeactivate() throws Exception {
    IgniteEx ignite0 = startGrid(0);
    IgniteEx ignite1 = startGrid(1);
    ignite0.cluster().state(ClusterState.ACTIVE);
    ignite0.cluster().baselineAutoAdjustEnabled(false);

    for (int i = 0; i < 10; i++) {
        IgniteCache<Integer, Integer> cache = ignite0.getOrCreateCache(
            new CacheConfiguration<Integer, Integer>(DEFAULT_CACHE_NAME).setBackups(1)
                .setAffinity(new RendezvousAffinityFunction(false, 2)));

        cache.clear();

        stopGrid(0);

        try (IgniteDataStreamer<Integer, Integer> streamer = ignite1.dataStreamer(DEFAULT_CACHE_NAME)) {
            for (int j = 0; j < 100_000; j++)
                streamer.addData(j, j);
        }

        ignite0 = startGrid(0);

        ignite0.cluster().state(ClusterState.INACTIVE);

        ignite0.cluster().state(ClusterState.ACTIVE);
    }
}{code}
 Fails with:
{noformat}
 java.lang.AssertionError: stopping=false, groupName=null, caches=[]
    at org.apache.ignite.internal.processors.cache.CacheGroupContext.singleCacheContext(CacheGroupContext.java:447) ~[classes/:?]
    at org.apache.ignite.internal.processors.cache.distributed.dht.preloader.GridDhtPartitionDemander.handleSupplyMessage(GridDhtPartitionDemander.java:584) ~[classes/:?]
    at org.apache.ignite.internal.processors.cache.distributed.dht.preloader.GridDhtPreloader.lambda$handleSupplyMessage$0(GridDhtPreloader.java:346) ~[classes/:?]{noformat}"	IGNITE	Resolved	3	1	1888	ise
13536528	SQL onheap cache stores row on per-cache basis, but access these rows on per-index basis	"If there are two indexes on the same cache and sqlOnHeapCache property is enabled there can be node failures such as:
{noformat}
org.apache.ignite.internal.processors.cache.persistence.tree.CorruptedTreeException: B+Tree is corrupted [groupId=-917681634, pageIds=[844420635164678], cacheId=-917681634, cacheName=..., indexName=_key_PK, msg=Runtime failure on row: Row@71aeb1b9[ ... ][  ]]
...
Caused by: org.apache.ignite.IgniteException: Failed to store new index row.
...
Caused by: java.lang.UnsupportedOperationException: 13 cannot be used for inline type 19
{noformat}
Root cause: {{IndexRowCache}} is created per cache group (see {{IndexRowCacheRegistry#onCacheRegistered}}), but stores {{IndexRowImpl}} binded to particular index (see {{InlineIndexTree#createIndexRow}}). In case, when another index requires the same data row, it gets row from the onheap cache with the wrong index row handler."	IGNITE	Resolved	3	1	1888	ise
13117600	Implement new JMX metrics for topology monitoring	"These additional metrics and methods should be implemented:
* Current topology version
* Total server nodes count
* Total client nodes count
* Method to count nodes filtered by some node attribute
* Method to count nodes grouped by some node attribute
 
There is already a ticket to implement first 2 metrics from this list (IGNITE-6844)
"	IGNITE	Resolved	3	2	1888	iep-6, jmx
13588865	Calcite engine. Refactor BaseQueryContext.Builder	Currently, there are several usages of BaseQueryContext.Builder#frameworkConfig in code, which build new FrameworkConfig instance only to provide default schema. These usages can be simplified.	IGNITE	Resolved	3	3	1888	calcite, ise
