id	title	description	project_name	status_name	priority_id	type_id	assignee_id	labels
13055567	Concurrent refresh against the same table fails with ConcurrentModificationException	"Concurrent refresh statements against the same table fail with exception below


{code}
I0216 18:34:13.343709 158318 catalog-server.cc:316] Publishing update: CATALOG:2b3e096917a145d3:82177a82fe8dce0f@35450
I0216 18:34:20.475253 193290 jni-util.cc:169] java.util.ConcurrentModificationException
	at java.util.HashMap$HashIterator.nextEntry(HashMap.java:922)
	at java.util.HashMap$EntryIterator.next(HashMap.java:962)
	at java.util.HashMap$EntryIterator.next(HashMap.java:960)
	at org.apache.impala.thrift.THdfsPartition$THdfsPartitionStandardScheme.write(THdfsPartition.java:1832)
	at org.apache.impala.thrift.THdfsPartition$THdfsPartitionStandardScheme.write(THdfsPartition.java:1546)
	at org.apache.impala.thrift.THdfsPartition.write(THdfsPartition.java:1389)
	at org.apache.impala.thrift.THdfsTable$THdfsTableStandardScheme.write(THdfsTable.java:1243)
	at org.apache.impala.thrift.THdfsTable$THdfsTableStandardScheme.write(THdfsTable.java:1071)
	at org.apache.impala.thrift.THdfsTable.write(THdfsTable.java:940)
	at org.apache.impala.thrift.TTable$TTableStandardScheme.write(TTable.java:1628)
	at org.apache.impala.thrift.TTable$TTableStandardScheme.write(TTable.java:1399)
	at org.apache.impala.thrift.TTable.write(TTable.java:1208)
	at org.apache.impala.thrift.TCatalogObject$TCatalogObjectStandardScheme.write(TCatalogObject.java:1241)
	at org.apache.impala.thrift.TCatalogObject$TCatalogObjectStandardScheme.write(TCatalogObject.java:1098)
	at org.apache.impala.thrift.TCatalogObject.write(TCatalogObject.java:938)
	at org.apache.impala.thrift.TCatalogUpdateResult$TCatalogUpdateResultStandardScheme.write(TCatalogUpdateResult.java:995)
	at org.apache.impala.thrift.TCatalogUpdateResult$TCatalogUpdateResultStandardScheme.write(TCatalogUpdateResult.java:867)
	at org.apache.impala.thrift.TCatalogUpdateResult.write(TCatalogUpdateResult.java:748)
	at org.apache.impala.thrift.TResetMetadataResponse$TResetMetadataResponseStandardScheme.write(TResetMetadataResponse.java:359)
	at org.apache.impala.thrift.TResetMetadataResponse$TResetMetadataResponseStandardScheme.write(TResetMetadataResponse.java:321)
	at org.apache.impala.thrift.TResetMetadataResponse.write(TResetMetadataResponse.java:269)
	at org.apache.thrift.TSerializer.serialize(TSerializer.java:79)
	at org.apache.impala.service.JniCatalog.resetMetadata(JniCatalog.java:156)
I0216 18:34:20.488674 193290 status.cc:114] ConcurrentModificationException: null
    @           0x837a89  impala::Status::Status()
    @           0xb80420  impala::JniUtil::GetJniExceptionMsg()
    @           0x82557b  impala::Catalog::ResetMetadata()
    @           0x818e31  CatalogServiceThriftIf::ResetMetadata()
    @           0x8ee85d  impala::CatalogServiceProcessor::process_ResetMetadata()
    @           0x8ebc09  impala::CatalogServiceProcessor::dispatchCall()
    @           0x803f2c  apache::thrift::TDispatchProcessor::process()
    @           0x9f858f  apache::thrift::server::TAcceptQueueServer::Task::run()
    @           0x9f2bb9  impala::ThriftThread::RunRunnable()
    @           0x9f3612  boost::detail::function::void_function_obj_invoker0<>::invoke()
    @           0xbd39c9  impala::Thread::SuperviseThread()
    @           0xbd43a4  boost::detail::thread_data<>::run()
    @           0xe19f1a  thread_proxy
    @       0x348e407aa1  (unknown)
    @       0x348e0e893d  (unknown)
E0216 18:34:20.488878 193290 catalog-server.cc:79] ConcurrentModificationException: null
{code}"	IMPALA	Resolved	3	1	1880	catalog-server, scalability
13053681	Incorrect placement of a !empty() predicate at an outer join.	"The following query incorrectly returns 0.
{code}
SELECT COUNT(*)
FROM table_3.field_87 a1
INNER JOIN table_1.field_18 a2 ON (a2.key) = (a1.value)
INNER JOIN a2.value a3
LEFT JOIN (
SELECT
(MAX(a7.pos)) + (711) AS int_col
FROM a2.value a4
INNER JOIN a4.item a5
INNER JOIN a4.item a6
INNER JOIN a2.value.item a7 ON ((a7.pos) = (a4.pos)) AND ((a7.pos) = (a4.pos))
WHERE
(822.8632536034) < (a6.pos)
) a8
RIGHT JOIN table_3.field_88.value a9 ON (a3.pos) >= (a3.pos)
WHERE
(a9.pos) = (a3.pos)
{code}

It's strange that when the Where clause (WHERE (a9.pos) = (a3.pos)) is removed, the following error is returned.
{code}
ERROR: NotImplementedException: Error generating a valid execution plan for this query. A RIGHT OUTER JOIN type with no equi-join predicates can only be executed with a single node plan.
{code}

The equivalent query in postgres returns 14299657:
{code}
SELECT COUNT(*)
FROM table_3_field_87 a1
INNER JOIN  table_1_field_18 a2 ON (a2.key) = (a1.value)
INNER JOIN LATERAL (
SELECT a3.*
FROM table_1_field_18__values a3
WHERE
(a2.id) = (a3.table_1_field_18_id)
) a3 ON True
LEFT JOIN LATERAL (
SELECT
(MAX(a7.idx)) + (711) AS int_col
FROM table_1_field_18__values a4
INNER JOIN LATERAL (
SELECT a5.*
FROM table_1_field_18__values__values a5
WHERE
(a4.id) = (a5.table_1_field_18__values_id)
) a5 ON True
INNER JOIN LATERAL (
SELECT a6.*
FROM table_1_field_18__values__values a6
WHERE
(a4.id) = (a6.table_1_field_18__values_id)
) a6 ON True
INNER JOIN  (
SELECT a7.*
FROM table_1_field_18__values tmp_alias_1
INNER JOIN  table_1_field_18__values__values a7 ON (tmp_alias_1.id) = (a7.table_1_field_18__values_id)
WHERE
(a2.id) = (tmp_alias_1.table_1_field_18_id)
) a7 ON ((a7.idx) = (a4.idx)) AND ((a7.idx) = (a4.idx))
WHERE
((a2.id) = (a4.table_1_field_18_id)) AND ((822.8632536034) < (a6.idx))
) a8 ON True
RIGHT JOIN  table_3_field_88__values a9 ON (a3.idx) >= (a3.idx)
WHERE
(a9.idx) = (a3.idx)
{code}

To reproduce:
{code}
ssh dev@vd0206.halxg.cloudera.com -p 22222 (pw: cloudera)
Impala db name: random_nested_db_0
Postgres db name: random_nested_db_flat_0

{code}"	IMPALA	Resolved	1	1	1880	correctness, nested_types, query_generator
13052708	Predicate from the ON clause of an inner join is dropped during planning	"Impala returns 546 rows and Postgres returns 0 rows for the following query.

Query:
{code}
SELECT
t2.timestamp_col,
t1.int_col_1
FROM (
SELECT
COALESCE(t1.smallint_col, t1.month, t1.month) AS int_col,
(COUNT(t1.int_col)) <= (COALESCE(t1.smallint_col, t1.month, t1.month)) AS boolean_col,
(t1.bigint_col) + (t1.smallint_col) AS int_col_1
FROM alltypes t1
GROUP BY
COALESCE(t1.smallint_col, t1.month, t1.month),
(t1.bigint_col) + (t1.smallint_col)
HAVING
((t1.bigint_col) + (t1.smallint_col)) != (COUNT((t1.bigint_col) + (t1.smallint_col)))
) t1
INNER JOIN alltypes t2 ON (((t2.month) = (t1.int_col)) AND ((t2.month) = (t1.int_col_1))) AND ((t2.tinyint_col) = (t1.int_col))
WHERE
(t2.int_col) IN (t1.int_col_1, t1.int_col)
{code}

As we can see from the plan below, the predicate t2.month = t1.int_col_1 is dropped from the ON clause of the inner join:
{noformat}
+---------------------------------------------------------------------------------------------------------------------------+
| Explain String                                                                                                            |
+---------------------------------------------------------------------------------------------------------------------------+
| Estimated Per-Host Requirements: Memory=170.00MB VCores=2                                                                 |
|                                                                                                                           |
| 07:EXCHANGE [UNPARTITIONED]                                                                                               |
| |                                                                                                                         |
| 03:HASH JOIN [INNER JOIN, BROADCAST]                                                                                      |
| |  hash predicates: (t2.month) = coalesce(t1.smallint_col, t1.month, t1.month)                                            |
| |  other predicates: (t2.int_col) IN ((t1.bigint_col) + (t1.smallint_col), coalesce(t1.smallint_col, t1.month, t1.month)) |
| |                                                                                                                         |
| |--06:EXCHANGE [BROADCAST]                                                                                                |
| |  |                                                                                                                      |
| |  05:AGGREGATE [FINALIZE]                                                                                                |
| |  |  output: (count:merge(t1.int_col)), (count:merge((t1.bigint_col) + (t1.smallint_col)))                               |
| |  |  group by: coalesce(t1.smallint_col, t1.month, t1.month), (t1.bigint_col) + (t1.smallint_col)                        |
| |  |  having: (t1.bigint_col) + (t1.smallint_col) != (count((t1.bigint_col) + (t1.smallint_col)))                         |
| |  |                                                                                                                      |
| |  04:EXCHANGE [HASH(coalesce(t1.smallint_col, t1.month, t1.month),(t1.bigint_col) + (t1.smallint_col))]                  |
| |  |                                                                                                                      |
| |  01:AGGREGATE                                                                                                           |
| |  |  output: (count(t1.int_col)), (count((t1.bigint_col) + (t1.smallint_col)))                                           |
| |  |  group by: coalesce(t1.smallint_col, t1.month, t1.month), (t1.bigint_col) + (t1.smallint_col)                        |
| |  |                                                                                                                      |
| |  00:SCAN HDFS [functional.alltypes t1]                                                                                  |
| |     partitions=24/24 files=24 size=478.45KB                                                                             |
| |                                                                                                                         |
| 02:SCAN HDFS [functional.alltypes t2]                                                                                     |
|    partitions=24/24 files=24 size=478.45KB                                                                                |
|    predicates: t2.month = t2.tinyint_col                                                                                  |
+---------------------------------------------------------------------------------------------------------------------------+
{noformat}"	IMPALA	Resolved	1	1	1880	correctness, planner, query_generator
13052791	Improve the calculation of the TupleDescriptor::avgSerializedSize_	"Whenever we serialize a row batch, even a row batch with 0 materialized slots, we always allocate an array of tuple_offsets per tuple. That means that there is a serialization overhead of 4B per tuple (per row).

Currently we do not consider this overhead when we calculate the TupleDescriptor::avgSerializedSize_ and consequently the avgRowSize_ which is used for example when we decide which input to broadcast/distribute.

We should take into account this overhead. Such a change may affect plans of queries with small avgRowSize_ or multiple tuples (joins)."	IMPALA	Resolved	3	4	1880	performance, planner
13063006	TestUdf test_native_functions failing	"TestUdf test_native_functions failed because it says the test table already exists:

{code}
13:05:45  TestUdfExecution.test_native_functions[exec_option: {'disable_codegen': True, 'exec_single_node_rows_threshold': 0, 'enable_expr_rewrites': True} | table_format: text/none] 
13:05:45 [gw0] linux2 -- Python 2.6.6 /data/jenkins/workspace/impala-umbrella-build-and-test/repos/Impala/bin/../infra/python/env/bin/python
13:05:45 query_test/test_udfs.py:283: in test_native_functions
13:05:45     use_db=unique_database)
13:05:45 common/impala_test_suite.py:324: in run_test_case
13:05:45     result = self.__execute_query(target_impalad_client, query, user=user)
13:05:45 common/impala_test_suite.py:532: in __execute_query
13:05:45     return impalad_client.execute(query, user=user)
13:05:45 common/impala_connection.py:160: in execute
13:05:45     return self.__beeswax_client.execute(sql_stmt, user=user)
13:05:45 beeswax/impala_beeswax.py:173: in execute
13:05:45     handle = self.__execute_query(query_string.strip(), user=user)
13:05:45 beeswax/impala_beeswax.py:337: in __execute_query
13:05:45     handle = self.execute_query_async(query_string, user=user)
13:05:45 beeswax/impala_beeswax.py:333: in execute_query_async
13:05:45     return self.__do_rpc(lambda: self.imp_service.query(query,))
13:05:45 beeswax/impala_beeswax.py:458: in __do_rpc
13:05:45     raise ImpalaBeeswaxException(self.__build_error_message(b), b)
13:05:45 E   ImpalaBeeswaxException: ImpalaBeeswaxException:
13:05:45 E    INNER EXCEPTION: <class 'beeswaxd.ttypes.BeeswaxException'>
13:05:45 E    MESSAGE: AnalysisException: Table already exists: test_native_functions_dd844b0d.udfinserttest
{code}

Smells like a metadata issue, similar to the very classic issue IMPALA-3641. Needs investigation."	IMPALA	Resolved	1	1	1880	broken-build
13050819	Outer join on constant expressions returns incorrect results.	"First, the following query fails on a Preconditions check:

select * from (select 1 as a from alltypes limit 4) x left outer join (select 2 as a from alltypes limit 1) y on x.a = y.a;

The Preconditions check is easily fixed by swapping the order in which predicate-children tid-bindings are checked (Planner.java lines 902 following).

After the above fix the query runs but returns incorrect results, as follows.

+---+---+
| a | a |
+---+---+
| 1 | 2 |
| 1 | 2 |
| 1 | 2 |
| 1 | 2 |
+---+---+

An inner join correctly returns 0 results.

Note that this query also suffers from IMPALA-183."	IMPALA	Resolved	1	1	1880	correctness
13052707	Incorrect result (Analytic Functions)	"The query should clearly return 0 rows, however 2 rows are returned.

Query:
{code}
SELECT
LEAD(-496, 81) OVER (ORDER BY t1.double_col DESC, t1.id ASC) AS int_col
FROM alltypestiny t1
WHERE
5 = 6
UNION
SELECT
794.67 AS decimal_col
FROM alltypes t1
WHERE
5 = 6
{code}

Result:
{code}
+---------+
| int_col |
+---------+
| NULL    |
| 794.67  |
+---------+
{code}

Plan:
{code}
+--------------------------------------------------------------+
| Explain String                                               |
+--------------------------------------------------------------+
| Estimated Per-Host Requirements: Memory=170.00MB VCores=2    |
|                                                              |
| 10:EXCHANGE [UNPARTITIONED]                                  |
| |                                                            |
| 09:AGGREGATE [FINALIZE]                                      |
| |  group by: int_col                                         |
| |                                                            |
| 08:EXCHANGE [HASH(int_col)]                                  |
| |                                                            |
| 05:AGGREGATE                                                 |
| |  group by: int_col                                         |
| |                                                            |
| 00:UNION                                                     |
| |                                                            |
| |--04:SCAN HDFS [functional.alltypes t1]                     |
| |     partitions=24/24 files=24 size=478.45KB                |
| |                                                            |
| 07:EXCHANGE [RANDOM]                                         |
| |                                                            |
| 03:ANALYTIC                                                  |
| |  functions: lead(-496, 81, NULL)                           |
| |  order by: double_col DESC, id ASC                         |
| |  window: ROWS BETWEEN UNBOUNDED PRECEDING AND 81 FOLLOWING |
| |                                                            |
| 06:MERGING-EXCHANGE [UNPARTITIONED]                          |
| |  order by: double_col DESC, id ASC                         |
| |                                                            |
| 02:SORT                                                      |
| |  order by: double_col DESC, id ASC                         |
| |                                                            |
| 01:SCAN HDFS [functional.alltypestiny t1]                    |
|    partitions=4/4 files=4 size=460B                          |
+--------------------------------------------------------------+
{code}"	IMPALA	Resolved	1	1	1880	correctness, query_generator
13052834	"TestLastDdlTimeUpdate fails with ""Illegal reference to unmaterialized slot"""	"See http://sandbox.jenkins.cloudera.com/job/impala-master-code-coverage-cdh5/16/testReport/junit/metadata.test_last_ddl_time_update/TestLastDdlTimeUpdate/test_insert_exec_option____disable_codegen___True___abort_on_error___1___exec_single_node_rows_threshold___0___batch_size___0___num_nodes___0____table_format__text_none_/


{noformat}
metadata.test_last_ddl_time_update.TestLastDdlTimeUpdate.test_insert[exec_option: {'disable_codegen': True, 'abort_on_error': 1, 'exec_single_node_rows_threshold': 0, 'batch_size': 0, 'num_nodes': 0} | table_format: text/none] (from pytest)

Failing for the past 1 build (Since Unstable#16 )
Took 11 sec.
add description
Error Message

ImpalaBeeswaxException: ImpalaBeeswaxException:  INNER EXCEPTION: <class 'beeswaxd.ttypes.BeeswaxException'>  MESSAGE: IllegalStateException: Illegal reference to non-materialized slot: tid=0 sid=0
Stacktrace

metadata/test_last_ddl_time_update.py:86: in test_insert
    ""where t.i < 10"" % FULL_NAME, False)
metadata/test_last_ddl_time_update.py:108: in run_test
    result = self.execute_query(query)
common/impala_test_suite.py:322: in wrapper
    return function(*args, **kwargs)
common/impala_test_suite.py:347: in execute_query
    return self.__execute_query(self.client, query, query_options)
common/impala_test_suite.py:414: in __execute_query
    return impalad_client.execute(query, user=user)
common/impala_connection.py:158: in execute
    return self.__beeswax_client.execute(sql_stmt, user=user)
beeswax/impala_beeswax.py:161: in execute
    handle = self.__execute_query(query_string.strip(), user=user)
beeswax/impala_beeswax.py:325: in __execute_query
    handle = self.execute_query_async(query_string, user=user)
beeswax/impala_beeswax.py:321: in execute_query_async
    return self.__do_rpc(lambda: self.imp_service.query(query,))
beeswax/impala_beeswax.py:446: in __do_rpc
    raise ImpalaBeeswaxException(self.__build_error_message(b), b)
E   ImpalaBeeswaxException: ImpalaBeeswaxException:
E    INNER EXCEPTION: <class 'beeswaxd.ttypes.BeeswaxException'>
E    MESSAGE: IllegalStateException: Illegal reference to non-materialized slot: tid=0 sid=0
Standard Error

-- executing against localhost:21000
drop table if exists metastore_update.ddltime_test;

-- executing against localhost:21000
drop database if exists metastore_update;

-- executing against localhost:21000
create database if not exists metastore_update LOCATION '/test-warehouse/metastore_update';

-- executing against localhost:21000
create external table if not exists metastore_update.ddltime_test (i int) partitioned by (j int, s string);

-- executing against localhost:21000
insert into metastore_update.ddltime_test partition(j=1, s='2012') select 10;

-- executing against localhost:21000
insert into metastore_update.ddltime_test partition(j, s) select 10, 2, '2013';

-- executing against localhost:21000
insert into metastore_update.ddltime_test partition(j, s) select * from (select 10 as i, 2 as j, '2013' as s) as t where t.i < 10;
{noformat}"	IMPALA	Resolved	1	1	1880	broken-build
13053587	Groovy script keeps hitting null pointer exception	"{code}
Groovy script failed:
java.lang.NullPointerException: Cannot invoke method child() on null object
	at org.codehaus.groovy.runtime.NullObject.invokeMethod(NullObject.java:77)
	at org.codehaus.groovy.runtime.callsite.PogoMetaClassSite.call(PogoMetaClassSite.java:45)
	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:42)
	at org.codehaus.groovy.runtime.callsite.NullCallSite.call(NullCallSite.java:32)
	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:42)
	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:108)
	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:116)
	at Script1.run(Script1.groovy:1)
	at groovy.lang.GroovyShell.evaluate(GroovyShell.java:580)
	at groovy.lang.GroovyShell.evaluate(GroovyShell.java:618)
	at groovy.lang.GroovyShell.evaluate(GroovyShell.java:589)
	at org.jvnet.hudson.plugins.groovypostbuild.GroovyPostbuildRecorder.perform(GroovyPostbuildRecorder.java:312)
	at hudson.tasks.BuildStepMonitor$1.perform(BuildStepMonitor.java:20)
	at hudson.model.AbstractBuild$AbstractBuildExecution.perform(AbstractBuild.java:785)
	at hudson.model.AbstractBuild$AbstractBuildExecution.performAllBuildSteps(AbstractBuild.java:757)
	at hudson.model.Build$BuildExecution.post2(Build.java:183)
	at hudson.model.AbstractBuild$AbstractBuildExecution.post(AbstractBuild.java:706)
	at hudson.model.Run.execute(Run.java:1690)
	at hudson.model.FreeStyleBuild.run(FreeStyleBuild.java:46)
	at hudson.model.ResourceController.execute(ResourceController.java:88)
	at hudson.model.Executor.run(Executor.java:246)
{code}

A bunch of GVMs are hitting this:
http://sandbox.jenkins.cloudera.com/job/impala-external-gerrit-verify-merge/1791/
http://sandbox.jenkins.cloudera.com/job/impala-external-gerrit-verify-merge/1800/
http://sandbox.jenkins.cloudera.com/job/impala-external-gerrit-verify-merge/1801/
http://sandbox.jenkins.cloudera.com/job/impala-external-gerrit-verify-merge/1802/
http://sandbox.jenkins.cloudera.com/job/impala-external-gerrit-verify-merge/1803/"	IMPALA	Resolved	1	1	1880	broken-build
13074590	Off-by-one error in testTableSample	"Number of partitions scanned is 12, but expected to be 13. This was in a build with legacy aggs and joins enabled, but it's not obvious if those are related.

{code}
FAILED:  org.apache.impala.planner.PlannerTest.testTableSample

Error Message:

Section PLAN of query:
select * from functional.alltypes tablesample system(50) repeatable(1234)

Actual does not match expected result:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
PLAN-ROOT SINK
|  mem-estimate=0B mem-reservation=0B
|
00:SCAN HDFS [functional.alltypes]
   partitions=13/24 files=13 size=258.44KB
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
   table stats: 7300 rows total
   column stats: all
   mem-estimate=96.00MB mem-reservation=0B
   tuple-ids=0 row-size=97B cardinality=3650

Expected:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
PLAN-ROOT SINK
|  mem-estimate=0B mem-reservation=0B
|
00:SCAN HDFS [functional.alltypes]
   partitions=12/24 files=12 size=240.27KB
   table stats: 7300 rows total
   column stats: all
   mem-estimate=80.00MB mem-reservation=0B
   tuple-ids=0 row-size=97B cardinality=3650

Verbose plan:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
  PLAN-ROOT SINK
  |  mem-estimate=0B mem-reservation=0B
  |
  00:SCAN HDFS [functional.alltypes]
     partitions=13/24 files=13 size=258.44KB
     table stats: 7300 rows total
     column stats: all
     mem-estimate=96.00MB mem-reservation=0B
     tuple-ids=0 row-size=97B cardinality=3650

Section PLAN of query:
select * from functional.alltypes tablesample system(50) repeatable(1234)
where id < 10

Actual does not match expected result:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
PLAN-ROOT SINK
|  mem-estimate=0B mem-reservation=0B
|
00:SCAN HDFS [functional.alltypes]
   partitions=13/24 files=13 size=258.44KB
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
   predicates: id < 10
   table stats: 7300 rows total
   column stats: all
   parquet dictionary predicates: id < 10
   mem-estimate=96.00MB mem-reservation=0B
   tuple-ids=0 row-size=97B cardinality=365

Expected:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
PLAN-ROOT SINK
|  mem-estimate=0B mem-reservation=0B
|
00:SCAN HDFS [functional.alltypes]
   partitions=12/24 files=12 size=239.26KB
   predicates: id < 10
   table stats: 7300 rows total
   column stats: all
   parquet dictionary predicates: id < 10
   mem-estimate=80.00MB mem-reservation=0B
   tuple-ids=0 row-size=97B cardinality=365

Verbose plan:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
  PLAN-ROOT SINK
  |  mem-estimate=0B mem-reservation=0B
  |
  00:SCAN HDFS [functional.alltypes]
     partitions=13/24 files=13 size=258.44KB
     predicates: id < 10
     table stats: 7300 rows total
     column stats: all
     parquet dictionary predicates: id < 10
     mem-estimate=96.00MB mem-reservation=0B
     tuple-ids=0 row-size=97B cardinality=365


Stack Trace:
java.lang.AssertionError:
Section PLAN of query:
select * from functional.alltypes tablesample system(50) repeatable(1234)

Actual does not match expected result:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
PLAN-ROOT SINK
|  mem-estimate=0B mem-reservation=0B
|
00:SCAN HDFS [functional.alltypes]
   partitions=13/24 files=13 size=258.44KB
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
   table stats: 7300 rows total
   column stats: all
   mem-estimate=96.00MB mem-reservation=0B
   tuple-ids=0 row-size=97B cardinality=3650

Expected:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
PLAN-ROOT SINK
|  mem-estimate=0B mem-reservation=0B
|
00:SCAN HDFS [functional.alltypes]
   partitions=12/24 files=12 size=240.27KB
   table stats: 7300 rows total
   column stats: all
   mem-estimate=80.00MB mem-reservation=0B
   tuple-ids=0 row-size=97B cardinality=3650

Verbose plan:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
  PLAN-ROOT SINK
  |  mem-estimate=0B mem-reservation=0B
  |
  00:SCAN HDFS [functional.alltypes]
     partitions=13/24 files=13 size=258.44KB
     table stats: 7300 rows total
     column stats: all
     mem-estimate=96.00MB mem-reservation=0B
     tuple-ids=0 row-size=97B cardinality=3650

Section PLAN of query:
select * from functional.alltypes tablesample system(50) repeatable(1234)
where id < 10

Actual does not match expected result:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
PLAN-ROOT SINK
|  mem-estimate=0B mem-reservation=0B
|
00:SCAN HDFS [functional.alltypes]
   partitions=13/24 files=13 size=258.44KB
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
   predicates: id < 10
   table stats: 7300 rows total
   column stats: all
   parquet dictionary predicates: id < 10
   mem-estimate=96.00MB mem-reservation=0B
   tuple-ids=0 row-size=97B cardinality=365

Expected:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
PLAN-ROOT SINK
|  mem-estimate=0B mem-reservation=0B
|
00:SCAN HDFS [functional.alltypes]
   partitions=12/24 files=12 size=239.26KB
   predicates: id < 10
   table stats: 7300 rows total
   column stats: all
   parquet dictionary predicates: id < 10
   mem-estimate=80.00MB mem-reservation=0B
   tuple-ids=0 row-size=97B cardinality=365

Verbose plan:
F00:PLAN FRAGMENT [UNPARTITIONED] hosts=1 instances=1
  PLAN-ROOT SINK
  |  mem-estimate=0B mem-reservation=0B
  |
  00:SCAN HDFS [functional.alltypes]
     partitions=13/24 files=13 size=258.44KB
     predicates: id < 10
     table stats: 7300 rows total
     column stats: all
     parquet dictionary predicates: id < 10
     mem-estimate=96.00MB mem-reservation=0B
     tuple-ids=0 row-size=97B cardinality=365

        at org.junit.Assert.fail(Assert.java:88)
        at org.apache.impala.planner.PlannerTestBase.runPlannerTestFile(PlannerTestBase.java:759)
        at org.apache.impala.planner.PlannerTestBase.runPlannerTestFile(PlannerTestBase.java:721)
        at org.apache.impala.planner.PlannerTestBase.runPlannerTestFile(PlannerTestBase.java:716)
        at org.apache.impala.planner.PlannerTest.testTableSample(PlannerTest.java:414)
{code}"	IMPALA	Resolved	2	1	1880	broken-build
