id	title	description	project_name	status_name	priority_id	type_id	assignee_id	labels
13573139	Move `o.a.s.variant` to `o.a.s.types.variant`	"{code}
-package org.apache.spark.variant;
+package org.apache.spark.types.variant;
{code}
 
{code:java}
-package org.apache.spark.sql.catalyst.expressions
+package org.apache.spark.sql.catalyst.expressions.variant
{code}
 "	SPARK	Resolved	3	7	3855	pull-request-available
13593433	Increase `spark.test.docker.connectionTimeout` to 10min	"**MASTER** branch
https://github.com/apache/spark/actions/runs/11045311764/job/30682732260

{code}
[info] OracleIntegrationSuite:
[info] org.apache.spark.sql.jdbc.OracleIntegrationSuite *** ABORTED *** (5 minutes, 17 seconds)
[info]   The code passed to eventually never returned normally. Attempted 298 times over 5.0045005511500005 minutes. Last failure message: ORA-12541: Cannot connect. No listener at host 10.1.0.41 port 41079. (CONNECTION_ID=n9ZWIh+nQn+G9fkwKyoBQA==)
{code}

**branch-3.5**
https://github.com/apache/spark/actions/runs/10939696926/job/30370552237

{code}
[info] MsSqlServerNamespaceSuite:
[info] org.apache.spark.sql.jdbc.v2.MsSqlServerNamespaceSuite *** ABORTED *** (5 minutes, 42 seconds)
[info]   The code passed to eventually never returned normally. Attempted 11 times over 5.487631282400001 minutes. Last failure message: The TCP/IP connection to the host 10.1.0.56, port 35345 has failed. Error: ""Connection refused (Connection refused). Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall."".. (DockerJDBCIntegrationSuite.scala:166)
{code}

**branch-3.4**
https://github.com/apache/spark/actions/runs/10937842509/job/30364658576

{code}
[info] MsSqlServerNamespaceSuite:
[info] org.apache.spark.sql.jdbc.v2.MsSqlServerNamespaceSuite *** ABORTED *** (5 minutes, 42 seconds)
[info]   The code passed to eventually never returned normally. Attempted 11 times over 5.487555645633333 minutes. Last failure message: The TCP/IP connection to the host 10.1.0.153, port 46153 has failed. Error: ""Connection refused (Connection refused). Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall."".. (DockerJDBCIntegrationSuite.scala:166)
{code}"	SPARK	Resolved	4	7	3855	pull-request-available
13558528	Fix `pyspark.pandas.tests.computation.test_apply_func` in Python 3.11	"https://github.com/apache/spark/actions/runs/6914662405/job/18812759697

{code}
======================================================================
ERROR [0.686s]: test_apply_batch_with_type (pyspark.pandas.tests.computation.test_apply_func.FrameApplyFunctionTests.test_apply_batch_with_type)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""/__w/spark/spark/python/pyspark/pandas/tests/computation/test_apply_func.py"", line 248, in test_apply_batch_with_type
    def identify3(x) -> ps.DataFrame[float, [int, List[int]]]:
                        ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/__w/spark/spark/python/pyspark/pandas/frame.py"", line 13540, in __class_getitem__
    return create_tuple_for_frame_type(params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/__w/spark/spark/python/pyspark/pandas/typedef/typehints.py"", line 721, in create_tuple_for_frame_type
    return Tuple[_to_type_holders(params)]
                 ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/__w/spark/spark/python/pyspark/pandas/typedef/typehints.py"", line 766, in _to_type_holders
    data_types = _new_type_holders(data_types, NameTypeHolder)
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/__w/spark/spark/python/pyspark/pandas/typedef/typehints.py"", line 832, in _new_type_holders
    raise TypeError(
TypeError: Type hints should be specified as one of:
  - DataFrame[type, type, ...]
  - DataFrame[name: type, name: type, ...]
  - DataFrame[dtypes instance]
  - DataFrame[zip(names, types)]
  - DataFrame[index_type, [type, ...]]
  - DataFrame[(index_name, index_type), [(name, type), ...]]
  - DataFrame[dtype instance, dtypes instance]
  - DataFrame[(index_name, index_type), zip(names, types)]
  - DataFrame[[index_type, ...], [type, ...]]
  - DataFrame[[(index_name, index_type), ...], [(name, type), ...]]
  - DataFrame[dtypes instance, dtypes instance]
  - DataFrame[zip(index_names, index_types), zip(names, types)]
However, got (<class 'int'>, typing.List[int]).

----------------------------------------------------------------------
Ran 10 tests in 34.327s

FAILED (errors=1)
{code}"	SPARK	Resolved	3	7	3855	pull-request-available
13572284	Make `BlockManager` warn before `removeBlockInternal`	"{code}
24/03/18 18:40:46 WARN BlockManager: Putting block broadcast_0 failed due to exception java.nio.file.NoSuchFileException: /data/spark/blockmgr-56a6c418-90be-4d89-9707-ef45f7eaf74c/0e.
24/03/18 18:40:46 WARN BlockManager: Block broadcast_0 was not removed normally.
24/03/18 18:40:46 INFO TaskSchedulerImpl: Cancelling stage 0
24/03/18 18:40:46 INFO TaskSchedulerImpl: Killing all running tasks in stage 0: Stage cancelled
24/03/18 18:40:46 INFO DAGScheduler: ResultStage 0 (reduce at SparkPi.scala:38) failed in 0.264 s due to Job aborted due to stage failure: Task serialization failed: java.nio.file.NoSuchFileException: /data/spark/blockmgr-56a6c418-90be-4d89-9707-ef45f7eaf74c/0e
java.nio.file.NoSuchFileException: /data/spark/blockmgr-56a6c418-90be-4d89-9707-ef45f7eaf74c/0e
{code}"	SPARK	Resolved	3	7	3855	pull-request-available
13588209	Use the latest PMD 6.x rules instead of the deprecated ones	"There are too many warnings on PMD like the following.
{code:java}
Use Rule name category/java/errorprone.xml/BrokenNullCheck instead of the deprecated Rule name rulesets/java/basic.xml/BrokenNullCheck. PMD 7.0.0 will remove support for this deprecated Rule name usage.
Use Rule name category/java/errorprone.xml/CheckSkipResult instead of the deprecated Rule name rulesets/java/basic.xml/CheckSkipResult. PMD 7.0.0 will remove support for this deprecated Rule name usage. {code}
 
{code:java}
$ ./gradlew clean build | grep PMD | wc -l
     204 {code}
 

We had better fix it before we do the release.

 

 "	SPARK	Resolved	4	7	3855	pull-request-available
13590919	Add `jjwt` profile	This issue aims to add a new profile `jjwt` to provide `jjwt-impl` and `jjwt-jackson` jars files in a Spark distribution	SPARK	Resolved	3	7	3855	pull-request-available
13573772	Use Java 21 instead of 21-jre in K8s Dockerfile	"{code}
$ docker run -it --rm azul/zulu-openjdk:21-jre jmap
docker: Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: exec: ""jmap"": executable file not found in $PATH: unknown.
{code}"	SPARK	Resolved	3	7	3855	pull-request-available
13570075	Fix `core` module to succeed SBT tests	"This happens at branch-3.4 only. branch-3.3/branch-3.5/master are okay.
{code:java}
$ build/sbt ""core/testOnly *.DAGSchedulerSuite""
[info] DAGSchedulerSuite:
[info] - [SPARK-3353] parent stage should have lower stage id *** FAILED *** (439 milliseconds)
[info]   java.lang.IllegalStateException: Could not initialize plugin: interface org.mockito.plugins.MockMaker (alternate: null)
...
[info] *** 1 SUITE ABORTED ***
[info] *** 118 TESTS FAILED ***
[error] Error during tests:
[error] 	org.apache.spark.scheduler.DAGSchedulerSuite
[error] (core / Test / testOnly) sbt.TestsFailedException: Tests unsuccessful
[error] Total time: 48 s, completed Feb 27, 2024, 1:26:27 PM {code}
 

MAVEN
{code:java}
$ build/mvn dependency:tree -pl core | grep byte-buddy
...
[INFO] |  +- net.bytebuddy:byte-buddy:jar:1.12.10:test
[INFO] |  +- net.bytebuddy:byte-buddy-agent:jar:1.12.10:test
{code}
SBT
{code:java}
$ build/sbt ""core/test:dependencyTree"" | grep byte-buddy
[info]   | | | | +-net.bytebuddy:byte-buddy:1.12.10 (evicted by: 1.12.18)
[info]   | | | | +-net.bytebuddy:byte-buddy:1.12.18
{code}"	SPARK	Resolved	3	1	3855	pull-request-available
13560333	Improve `FileSystemPersistenceEngine` to allow non-exist parents	"To prevent the following
{code}
info]   java.io.IOException: No such file or directory
[info]   at java.base/java.io.UnixFileSystem.createFileExclusively(Native Method)
[info]   at java.base/java.io.File.createNewFile(File.java:1043)
[info]   at org.apache.spark.deploy.master.FileSystemPersistenceEngine.serializeIntoFile(FileSystemPersistenceEngine.scala:62)
[info]   at org.apache.spark.deploy.master.FileSystemPersistenceEngine.persist(FileSystemPersistenceEngine.scala:45)
{code}"	SPARK	Resolved	3	7	3855	pull-request-available
13558682	Add `AmmoniteTest` test tag and mark `ReplE2ESuite`	- https://github.com/com-lihaoyi/Ammonite/issues/276	SPARK	Resolved	3	6	3855	pull-request-available
