id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
13197594	ARROW	6256	packaging zstd configure error linux package build	ubuntu xenial ubuntu bionic ubuntu trusty debian stretch commit relate	['pull-request-available']	3	1	Resolved
13261223	ARROW	6256	website publish	download	['pull-request-available']	4	4	Resolved
13415436	ARROW	6256	use	reach eol	['pull-request-available']	3	4	Resolved
13486530	ARROW	6256	use bundle orc cmake	test cpp noformat building apache orc source cmake error specify link library target build project stack recent include noformat	['pull-request-available']	1	4	Resolved
13311520	ARROW	6256	allow read parquet file chunk rowgroup	moment export require reader load row group additionally extremely helpful access readrowgroup method allow read part file have load memory	['pull-request-available']	3	4	Resolved
13382504	ARROW	6256	travis arm builds crash	build crash compiler crash example code failed cmakefiles build cpp prefix src src google protobuf bin build cpp prefix src src color color cmakefiles build cpp prefix src src google protobuf cmakefiles build cpp prefix src src google protobuf cmakefiles build cpp prefix src src google protobuf cpp prefix src src google protobuf fatal error kill signal terminate program code problem travis arm execution environment	['pull-request-available']	3	1	Resolved
13450327	ARROW	6256	xsimd miss vcpkg build minimal example system package	test build vcpkg win noformat find configuration file package xsimd compatible request version follow configuration file consider accept crossbow crossbow arrow cpp window share xsimd version stack recent include noformat example cpp minimal build static system dependency noformat cmake error provide project ask cmake find package configuration file provide xsimd cmake find find package configuration file provide xsimd request version following name add installation prefix xsimd set directory contain file xsimd provide separate development package sdk sure instal stack recent include noformat test depsource system noformat cmake error provide project ask cmake find package configuration file provide xsimd cmake find find package configuration file provide xsimd request version following name add installation prefix xsimd set directory contain file xsimd provide separate development package sdk sure instal stack recent include noformat	['pull-request-available']	3	4	Resolved
13388045	ARROW	6256	use cmake path	find raw pkg config usage	['pull-request-available']	3	4	Resolved
13475946	ARROW	6256	release libarrow binary wrong version number	libarrow binary upload release process wrong version number issue submit binary script binary package job arrow version pick job pass explicitly custom param	['pull-request-available']	1	1	Resolved
13209221	ARROW	6256	work cuda enable plasma	layout change cuda enable build care cython code	['pull-request-available']	3	1	Resolved
13322791	ARROW	6256	python fail install	team attempt migrate workload blocker pyarrow fail install pip install pyarrow fail build wheel correctly resolve noformat system processor perform test perform test failed arrow build warning level production cmake error message unsupported arch flag noformat possible build work edit force end architecture elaborate logic need pick correct extension number item discuss past jira github issue range simple fix cmake script elaborate fix cross product arch detection able discern project wish proceed aw push arm base instance heavily point advocate pick direction influx new issue	['pull-request-available']	3	1	Resolved
13405956	ARROW	6256	llvm macos gha build		['pull-request-available']	2	1	Resolved
13402796	ARROW	6256	add support scan directory	python dataset base format parquet filter want equivalent ruby	['pull-request-available']	3	4	Resolved
13293868	ARROW	6256	meson install fail macos build	happen pull request build build log	['pull-request-available']	3	4	Resolved
13102848	ARROW	6256	glib support build append builder	improve performance	['pull-request-available']	3	2	Resolved
13383385	ARROW	6256	update java post release task use crossbow artifact	produce java jar crossbow task ideally download deploy package instead compile locally java post release task produce jar context	['pull-request-available']	3	4	Resolved
13218810	ARROW	6256	python build test mingw build	follow need arrow apache arrow file enable python test need revert suggestion use code java diff appveyor cpp build appveyor cpp build index appveyor cpp build appveyor cpp build set set set usebackq import sys set set set set dynload set package code suggestion currently trigger build error travis code java building cxx object src arrow cmakefiles ipc json building cxx object src arrow cmakefiles ipc building cxx object src arrow cmakefiles ipc metadata building cxx object src arrow cmakefiles ipc building cxx object src arrow cmakefiles ipc build target error goto additional investigation need	['pull-request-available']	3	6	Resolved
13416172	ARROW	6256	drop support centos	reach eol	['pull-request-available']	3	4	Resolved
13281806	ARROW	6256	build repository package	apache arrow archive keyring failure noformat apache arrow archive noformat apache arrow release failure noformat tmp rpm tmp line apache arrow file directory noformat	['pull-request-available']	3	4	Resolved
13340747	ARROW	6256	ruby support type	implementation support need ensure ruby gobject binding	['pull-request-available']	3	4	Resolved
13194594	ARROW	6256	glib compile error	build error	['pull-request-available']	3	1	Resolved
13282274	ARROW	6256	ignore verification	build binary crossbow	['pull-request-available']	3	4	Resolved
13413731	ARROW	6256	nightly build fail apache arrow glib version mismatch	noformat apache arrow error problem formula detect version apache arrow glib match version apache arrow noformat	['pull-request-available']	3	4	Resolved
13186678	ARROW	6256	redeclare dllimport attribute reference dll linkage mingw	follow warning report mingw build arrow glib arrow code src arrow warn redeclare dllimport attribute reference dll linkage inline noexcept null code	['pull-request-available']	4	4	Resolved
13427584	ARROW	6256	update reverse dependency	reverse dependency rebuild arrow package update	['pull-request-available']	3	4	Resolved
13488264	ARROW	6256	use ubuntu verify binary	apt yum verification use docker use old libseccomp host operation cause error noformat valac arrow glib posix error fail close file descriptor child process operation permit error fail close file descriptor child process operation permit error fail close file descriptor child process operation permit error fail close file descriptor child process operation permit error fail close file descriptor child process operation permit error fail close file descriptor child process operation permit noformat	['pull-request-available']	3	4	Resolved
13193068	ARROW	6256	build error	error noformat file include kou work cpp cpp src gandiva kou work cpp cpp src gandiva error function namespace std template type kou work cpp cpp src gandiva note define header forget include kou work cpp cpp src gandiva include kou work cpp cpp src gandiva kou work cpp cpp src gandiva error declare scope kou work cpp cpp src gandiva note suggest alternative decltype decltype kou work cpp cpp src gandiva error template argument invalid kou work cpp cpp src gandiva error template argument invalid kou work cpp cpp src gandiva error type mean iswctype static maker iswctype kou work cpp cpp src gandiva static member function static string const kou work cpp cpp src gandiva error maker declare scope auto find kou work cpp cpp src gandiva note suggest alternative auto find noformat error noformat kou work cpp cpp src gandiva static member function static kou work cpp cpp src gandiva error declare scope return true kou work cpp cpp src gandiva note suggest alternative float return true float kou work cpp cpp src gandiva error declare scope return true kou work cpp cpp src gandiva note suggest alternative double return true double noformat	['pull-request-available']	3	1	Resolved
13497448	ARROW	6256	external shared libthrift require	mention cross compile arrow easily available julia ecosystem compile external libthrift cmake warn cmake warning dev policy set import target miss location property fail generation run cmake policy policy detail use command set policy suppress warning set import target configuration release warning project developer use dev suppress quote lead link error later fix warning follow patch cpp cpp index cpp cpp endif properties need visual thrift use quote	['pull-request-available']	3	1	Resolved
13402598	ARROW	6256	use debian	debian current stable	['pull-request-available']	3	4	Resolved
13173215	ARROW	6256	packaging options build package apache source archive	conversation	['pull-request-available']	3	3	Resolved
13257818	ARROW	6256	add support centos	apt build rake task support architecture run true yum task useful yum task support architecture centos eol reach	['pull-request-available']	3	1	Resolved
13108963	ARROW	6256	glib support meson	base work	['pull-request-available']	3	2	Resolved
13388258	ARROW	6256	require docker compose later	need extend	['pull-request-available']	3	4	Resolved
13369069	ARROW	6256	cmake find parquet arrow	hello update small utility convert binary datum parquet arrow notice cmake resolve required installation tree arrow contain cmake arrow cmake expect create symbolic link arrow directory parquet directory solve cmake find procedure alternatively end work require modify local install tree code java required directory required hint code expect behavior go cmake code find installation directory cmake file expect specific library export thank matthias	['pull-request-available']	3	1	Resolved
13407391	ARROW	6256	check homebrew package version release	gem install red arrow fail macos windows homebrew package update	['pull-request-available']	3	4	Resolved
13409387	ARROW	6256	segfault try create wrong precision	code java apache apache cpp src arrow check fail precision kmaxprecision code	['pull-request-available']	3	1	Resolved
13149473	ARROW	6256	glib travis failure	result failure glib build travis build apache arrow test test list def datum value data nil nil travis build apache arrow test test list new gem gem gobject lib gobject introspection block gem gem gobject lib gobject introspection block level gem gem gobject lib gobject introspection invoke error argumenterror argument nil travis build apache arrow test test struct child nil nil travis build apache arrow test test struct new gem gem gobject lib gobject introspection block gem gem gobject lib gobject introspection block level gem gem gobject lib gobject introspection invoke error argumenterror argument nil code	['ci-failure', 'pull-request-available']	3	1	Resolved
13271586	ARROW	6256	freeze windows japanese locale	follow example doc freeze wait result forever windows session info set value version version windows system rstudio language collate ctype asia tokyo date package package version date lib source arrow cran assertthat cran bit cran cran cli cran crayon cran cran glue cran magrittr cran purrr cran cran rcpp cran reprex cran rlang cran rstudioapi cran sessioninfo cran tidyselect cran withr cran hiroaki yutani document win files library code	['parquet', 'pull-request-available']	2	1	Resolved
13191862	ARROW	6256	ruby import red parquet	want donate ruby binding apache parquet glib develop	['pull-request-available']	3	2	Resolved
