id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
13205515	DATALAB	2149	information exist page have permission page access	information user see case page exist user see page find page exist user access user see permission deny	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	4	Closed
13253746	DATALAB	2149	resource add possibility switch project	user want choice work current project work project list resource page user friendly instance creation	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat', 'pull-request-available']	3	2	Closed
13231274	DATALAB	2149	edge extra question confirmation dialog	precondition environment create step reproduce environment management page click action menu edge choose stop action ectual result question confirmation dialog want proceed sure want continue expect result question confirmation dialog want proceed case notebook stop terminate page	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	4	1	Open
13214390	DATALAB	2149	add header close window button popup	add header ssn monitor popup add close button ssn monitor popup ssn monitor png add close button library installation error popup	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	3	Closed
13260285	DATALAB	2149	azure issue billing page	precondition env create step reproduce billing page click header grid actual result calendar button align header grid extend expect result calendar center alignment button leave alignment header grid extend error console	['azure', 'debian', 'front-end', 'redhat']	3	1	In Progress
13258776	DATALAB	2149	add active instance filter	add active button project page functional project implement instance page	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	3	Closed
13205510	DATALAB	2149	url row notebook popup	precondition notebook long create step reproduce click notebook popup actual result ungit link portray row expect result ungit link splitte line ungit link portray url cutte	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	1	Closed
13243332	DATALAB	2149	align action icon project	pregondition project create project fail project action align column	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	4	3	Closed
13239244	DATALAB	2149	end ability set update project quota	admin want set update limit project general limit prevent exceed determined budget precondition admin log dlab admin locate manage environment popup tab administration page description admin able set udate limit project text box project quota dlab text box dlab total quota textbox accept number integer admin click apply button quota confirm manage environment popup close admin click cancel button quota set update manage environment popup close acceptance criterion admin able set update quota project admin able set update total dlab quota dlab total quota prevail project quota second priority total dlab	['debian', 'gcp', 'pull-request-available']	3	3	Closed
13229381	DATALAB	2149	instance management depend edge status	precondition computational resource create edge create admin step reproduce login actual result manage notebook expect result manage notebook	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat', 'pull-request-available']	3	1	Closed
13205526	DATALAB	2149	page block upload key	precondition ssn create user log dlab step reproduce billing report environment management page click reuploade key popup actual result billing report environment management page block expect result billing report environment management page block	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	1	Closed
13253272	DATALAB	2149	convey error message cluster creation case quota exceed	dlab terraform branch user want know create cluster resolve situation quota excee user allow create cluster inform user error message operation finish resource quote reach	['aws', 'debian', 'front-end', 'pull-request-available']	3	3	Closed
13259248	DATALAB	2149	management extend filter	type drop list filter type page value user drop list low case gear icon cut page gear icon align value page filter action row page align grid name grid value page	['aws', 'azure', 'debian', 'devops', 'gcp', 'redhat']	3	3	Closed
13234264	DATALAB	2149	end ability terminate project admin user	admin want terminate rid unnecessary resource precondition admin log dlab admin locate project tab administration page manage project popup open description admin click termination icon action column confirmation dialog appear project decommission want proceed admin click yes project terminate confirmation dialog close admin click project terminate confirmation dialog close acceptance criterion admin able terminate project terminate project absent project resource kill vpc check project exist vpc delete vpc bucket	['debian', 'front-end', 'gcp']	3	3	Closed
13236882	DATALAB	2149	project reuse library mngmt component endpoint group	add endpoint group grid component library cut long value add scrollbar grid case value cut project confirmation dialog termination view video attachment add error message project text box project contain letter number hyphen end special character select user group hint cut view select user attachment project case insensitive view project case attachment	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	3	Closed
13241979	DATALAB	2149	project creation clear button clear label previous uploading key	precondition admin log dlab endpoint create create new project popup open step reproduce click upload button chose click open button click clear button actual result clear button clear value view clear attachment expect result clear button clear value	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	4	1	Closed
13205490	DATALAB	2149	prevent scheduler submit turn scheduler error handling appear turn scheduler	precondition notebook create resource list page open step reproduce click action menu notebook choose scheduler scheduler disable click save button actual result appear error handling scheduler popup open expect result scheduler popup close scheduler disabled	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	1	Closed
13241975	DATALAB	2149	expand validation group	precondition admin locate role page endpoint create task group case insensitive view case attachment add error message group exist cut group confirmation dialog termination view group attachment scrollbar style view attachment	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	3	Closed
13214691	DATALAB	2149	generate key initial infrastructure creation popup appear click refresh button	precondition user log dlab steps reproduce click generate button click save button actual result initial infrastructure creation popup appear click refresh button expect result initial infrastructure creation popup appear	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat', 'pull-request-available']	3	1	Closed
13247851	DATALAB	2149	end adjust project endpoint tag	project tag contain value project endpoint tag contain onle value endpoint task rid project tag text box project tag text box editable endpoint tag text box contain value text box default endpoint tag editable	['aws', 'debian', 'front-end', 'gcp', 'redhat', 'pull-request-available']	3	3	Closed
13253727	DATALAB	2149	convey case value	portray list resource page value	['aws', 'azure', 'debian', 'devops', 'gcp', 'redhat']	4	3	Closed
13205499	DATALAB	2149	extra vertical scrollbar user manage popup	precondition user run instance step reproduce health status page click manage enironment button actual result extra vertical scrollbar appear expect result extra vertical scrollbar	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	5	1	Closed
13253723	DATALAB	2149	cluster unique notebook	add check unique computational resource notebook computational resource unique add error message exist	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	3	Closed
13254171	DATALAB	2149	list align action icon accord gear	align action icon accord gear grid attachment	['debian', 'front-end', 'gcp', 'redhat']	4	3	Closed
13209963	DATALAB	2149	apache zeppelin add info concern change spark default configuration dlab	currently spark default configuration change directly apache zeppelin interpreter menu dlab add infor nearby configuration textbox fro apache zeppelin link release note	['debian', 'front-end', 'redhat']	3	3	Closed
