id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
13569844	HIVE	1631	execute dag case nocurrentdagexception	adapt reexecutelostamqueryplugin exception introduce prevent scenario dagclient keep ask status dag go query	['pull-request-available']	3	4	Closed
13559887	HIVE	1631	increase testicebergclidrver	tez driver	['pull-request-available']	3	1	Closed
13563340	HIVE	1631	set tez default value	maybe ticket address link duplicate need set tez reflect deprecate expect lot failure run fine actual unit test closely related execution engine	['pull-request-available']	3	7	Resolved
13558460	HIVE	1631	llap reuse filesystem object cache different task llap daemon	originally task runner add apache hive llap server src java org apache hadoop hive llap daemon impl comment reason scope simply add apache hive basically apache hadoop hadoop common project hadoop common src main java org apache hadoop delete path mark delete exit remove instance cache see apache hive blob llap server src java org apache hadoop hive llap daemon impl code java code end task attempt completely disable hadoop filesystem cache long run llap daemon lifecycle investigation azure show create filesystem expensive involve recreation object hierarchy like code java azureblobfilesystem azureblobfilesystemstore abfsclient code end ping token auth endpoint azure lead http response area affect patch aw sdk discover performance degradation github issue imply problem look screenshot screenshot reference mean prove perf degradation visible wall clock profiling problematic codepath introduce aws sdk visible additionally deleteonexit refer need check remove closeallforugi llap additionally check remove deleteonexit call belong hadoop filesystem object necessarily apply call code java grep deleteonexit grep test src java org apache hadoop hive exec recent hadoop version use deleteonexit clean tmp file src java org apache hadoop hive exec autodelete src java org apache hadoop hive exec repl bootstrap load util src java org apache hadoop hive exec persistence src java org apache hadoop hive exec persistence src java org apache hadoop hive exec persistence src java org apache hadoop hive exec persistence src java org apache hadoop hive exec persistence src java org apache hadoop hive exec autodelete code believe deleteonexit fine want bother remove temp file deletion want hive specific scope want reuse cache filesystem safe manner	['pull-request-available']	3	4	Resolved
13573888	HIVE	1631	hivesplitgenerator send split filesystem instead rpc case big payload	investigation hive iceberg issue turn presence delete file serialize payload huge like split lead extreme memory pressure tez get bad have split optimize payload good option obvious instead hive tez care situation run oom like code error failed execution error return code teztask vertex fail vertexname map vertexid map kill fail vertex input initializer fail vertex map outofmemoryerror java heap space source method source code	['pull-request-available']	3	4	Resolved
13417429	HIVE	1631	possible leak llapcacheawarefs parquet llap	inputstream close understanding inputstream chain inputstream responsible close enclose inputstream chain like delegatingseekableinputstream datainputstream datainputstream crypto cryptoinputstream hdfs dfsinputstream code method code usually stream enclose stream field order reference time want close open datainputstream close read method suspicious	['pull-request-available']	3	1	Closed
13554237	HIVE	1631	simplify	unit test add overcomplicate need mock session pool manager tezsessionstate need simply instantiate tezsessionstate directly	['pull-request-available']	3	4	Closed
13414492	HIVE	1631	ignore exception relate interruption limit reach	problem describe handle hive instead	['pull-request-available']	3	1	Closed
13404433	HIVE	1631	dagid mdc available	put dagid mdc dag submit way dagid easily append log message like code background pool map map map map map reducer reducer reducer reducer code	['pull-request-available']	3	4	Closed
13479070	HIVE	1631	improve testhivemetastore	code hms time handle close request int numobjectsafterclose getjdopersistancemanagercachesize numobjectsafterclose code easy fix numobjectsafterclose tell case assertionerror code assertionerror code tell informative message particular value hard fix maybe later code hms time handle close request code sleep dangerous sure handle expect	['pull-request-available']	3	4	Closed
13426786	HIVE	1631	let secret config property propagate tez	history chronological order remove password config propagate execution engine introduce instead hardcode list problem introduce common method remove sensitive datum configuration absolutely make sense case set command show sensitive datum cause issue non secure cloud connector cluster instead hadoop credential provider api consider secure proper way password secret appear configuration object like possible solution introduce new property like default configurable maybe confusing user have new config property understand maintain cluster simply revert dagutil use old striphivepassworddetail introduce convenient confusing user configure	['pull-request-available']	3	1	Resolved
13107242	HIVE	1631	remove cleaner reference	accord long term fix	['pull-request-available']	3	7	Closed
13551513	HIVE	1631	testminitezclidriver save application log fail test	locate tez app log testminitezclidriver test code itest qt target tmp hive logdir code add similarly important note tez app logs file specific particular test collect module case error	['pull-request-available']	3	7	In Progress
13577016	HIVE	1631	print tez summary default test	set default test useful code info query execution summary info info operation duration info info compile query info prepare plan info query coordinator info submit plan info start dag info run dag info info code	['pull-request-available']	3	4	Resolved
13416445	HIVE	1631	combinehiverecordreader log statement loop lead memory pressure	similar huge string build loop log level info lead memory pressure process big number split file apache hive blob master src java org apache hadoop hive follow need fix spec path otherpart pathtopartinfo code tezchild daemon runnable thread state runnable source method code	['pull-request-available']	3	1	Closed
13566248	HIVE	1631	checklock method testtxndbutil	refer method different unit test class crazy need call method like call potentially screw thing kind block stuff unit test class depend inheritance chain	['pull-request-available']	3	4	Resolved
13594284	HIVE	1631	eliminate lot metric null check llaptaskschedulerservice	null check llaptaskschedulerservice like boilerplate metric collector dummy case	['pull-request-available']	3	4	In Progress
13376344	HIVE	1631	introduce reusable configurable periodic logarithmic logger stopwatch	reuse logic apache hive blob master src java org apache hadoop hive exec code numrow cntr cntr logeverynrow cntr numrow logeverynrow cntr numrow cntr numrow record write numrow code result code info tezchild record write info tezchild record write info tezchild record write code	['pull-request-available']	3	4	Open
13472857	HIVE	1631	configurable timeout hivesplitgenerator wait llap instance	circumstance guarantee llap daemon ready soon tez ams want query fail immediately code cause illegalargumentexception run llap daemon check llap service status zookeeper configuration code	['pull-request-available']	3	4	Closed
13581953	HIVE	1631	save query error message driver level	current path sqloperation instead throw commandprocessorexception driver save error message query tracking purpose single message later reference like code failed semanticexception error line table find abcd code way achieve wrap occurrence throw commandprocessorexception inside driver pro storing error message stay inside driver sqlcommand need know con look bit bad future proof later miss throw cpe need driver code change place catch sqloperation propagate driver pro maybe look well exception catch single place con look weird sqloperation driver store error message pass driver	['pull-request-available']	3	4	Resolved
13318187	HIVE	1631	bloom filter merge parallel way vectorudafbloomfiltermerge	merging bloom filter semijoin reduction main bottleneck case large number source mapper task map example large expect entry bloom filter example tpcds code select sumsale select case null end leave outer join reason reason group order sumsale limit code scale chance min query runtime min spend merge bloom filter reducer code vertices mode status total complete run pende fail kill map llap succeeded map llap succeeded reducer llap running map llap running reducer llap inited reducer llap inited vertex elapsed time code example entry bloom filter lead bit merge bloom filter mean run bitwise operation hot codepath parallelize	['pull-request-available']	3	4	Closed
13567418	HIVE	1631	bump json path	thanks dependabot	['pull-request-available']	3	4	Closed
13436416	HIVE	1631	testicebergclidriver object cache	similarly testminitezclidriver limit query fail code create new object cache tez base test rely objectregistryimpl code	['pull-request-available']	3	1	Open
13551510	HIVE	1631	precommit save log file failure	simply apply hive master apache hive blob master jenkinsfile current artifact simply useless flaky test impossible investigate reproduce flaky check damn look like job simply pick jenkinsfile root screenshot	['pull-request-available']	3	7	Closed
