id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
13505448	IOTDB	3357	confignode regionroutemap update leader node unknown	写入查询 regions中lead 有unknown leader是unknown 但是regionroutemap没更新 如果leader 查询报错信息 iotdb clientrpc error status code query statement fetchresult fail iotdbexception connect node confignode 测试环境	['pull-request-available']	3	1	Closed
13554344	IOTDB	3357	reject node startup load configuration file fail	update reject node startup load configuration fail instance node startup follow parameter occur parse error ensure modify startup	['pull-request-available']	3	4	Closed
13469484	IOTDB	3357	late regionroutemap	confignode create new interface late regionroutemap regionroutemap map	['pull-request-available']	3	2	Closed
13422230	IOTDB	3357	linear fill log warning unsupported datum type	iotdb timeserie execute fill query iotdb select time timeserie boolean datum type throw unsupporteddatatypeexception well write log server	['0.13.0', 'pull-request-available']	3	1	Closed
13561001	IOTDB	3357	enhance iotdbpartitioncreationit	checking time iotdbpartitioncreationit extend interval regioncleaner	['pull-request-available']	3	1	Closed
13471884	IOTDB	3357	clear non seed confignode register process	use tconfignodeconfiguration include tconfignodelocation tnoderesource maintain registeredconfignode overview cluster confignodes resource	['pull-request-available']	3	2	Closed
13441041	IOTDB	3357	optimize serialization deserialization thrift datum structure	thriftcommonsserdeutil thriftconfignodeserdeutil serialization deserialization datum structure interface implement artificial conducive follow extension upgrade	['pull-request-available']	3	4	Closed
13471789	IOTDB	3357	fix genrealtimeregionroutingmap bug	find realtimeregionroutingmap incorrect datanodes fall discover bug cause float able express timestamp long replace unit loadscore long temporary fix bug finally reinforce router test simulate real production environment possible	['pull-request-available']	3	1	Closed
13493711	IOTDB	3357	broadcast partitioncache removed datanode consensusgroupnotexistexception consensus group exist	schema region ratis datum region multileader issue contain benchmark run hour execute remove datanode datanode brush error log iotdb clientrpc error write locally fail tsstatus message consensusgroupnotexistexception consensus group exist message consensusgroupnotexistexception consensus group exist iotdb clientrpc error wrong happen call consensus layer write api consensusgroupnotexistexception consensus group attachment region information remove operation incorrect remove new dataregion create datum color test env confignode common ratisconsensus multileaderconsensus datanode benchmark configuration attachment remove cmd cat sleep start cluster start region remove	['pull-request-available']	3	1	Closed
13523418	IOTDB	3357	rename storagegroup database confignode	match new code framework	['pull-request-available']	3	4	Closed
13563308	IOTDB	3357	alter procedure timeout	alter procedure timeout equal internal rpc timeout procedure time process	['pull-request-available']	3	4	Closed
13477996	IOTDB	3357	record datanode read status confignode	datanode status readonly indicate persistence problem duty confignode leader monitor datanodes running status corrective measure datanodes run abnormally confignode leader ability monitor datanode readonly error status follow update merge systemstatus nodestatus datanodes report status heartbeat confignode leader broadcast late regionroutemap soon datanodes change status	['pull-request-available']	3	2	Closed
13517891	IOTDB	3357	parameter correct configclass	configclasses correspond file well future parameter management redundant parameter iotdbconfig remove	['pull-request-available']	3	4	Closed
13524866	IOTDB	3357	confignode counter dashboard	confignode dashboard ponderable comprehensible exhibit cluster metric	['pull-request-available']	3	4	Closed
13468303	IOTDB	3357	reinforce confignode startup process	startup process non seed confignode exist follow hidden danger register request send confignode leader user pick random confignode register target add retry logic protect redirect logic hidden parameter confignodelist confignodeconfig consensusmanager nodeinfo confusing create static class manage read write opeartion involve file	['pull-request-available']	3	4	Closed
13444865	IOTDB	3357	printing log getorcreate partition confignode	currently know partitiontable confignode return datanode conducive development debug temporarily add log getschemapartition getorcreateschemapartition getdatapartition getorcreatedatapartition interface	['pull-request-available']	3	4	Closed
13470973	IOTDB	3357	create parameter	need new global config parameter indicate read consistency level strong read request send leader replica weak read request send random replica	['pull-request-available']	3	2	Closed
13523881	IOTDB	3357	optimize logic datanodes restart second	start good idea wait restart datanode suppose change configuration need restart sense want restart immediately wait good designation	['pull-request-available']	3	4	Closed
13516112	IOTDB	3357	add parameter	need parameter distinguish different cluster add parameter	['pull-request-available']	3	2	Closed
13445407	IOTDB	3357	msg exception occur create timeserie executestatement fail error occur execute call method getorcreateschemapartition	msg exception occur create timeserie datatype rle compression snappy executestatement fail error occur execute call method getorcreateschemapartition 复现步骤 set storage group create timeserie datatype rle compression snappy create timeserie datatype rle compression snappy create timeserie datatype rle compression snappy insert insert	['pull-request-available']	3	1	Closed
13470610	IOTDB	3357	non seed confignode suicide wait leader scheduling long	obviously new feature necessary decide complete feature judge current non seed confignode join consensusgroup sucessfully	['pull-request-available']	3	2	Closed
13524190	IOTDB	3357	confignode error lacked datum partition allocation result response getorcreatedatapartition method	问题描述 设置集群为readonly 为了避免 insert drop database 并发报错 drop database root 全部drop成功 confignode报错 iotdb confignoderpc error lacked datum partition allocation result response getorcreatedatapartition method datanode报错 iotdb clientrpc warn status code operation inserttablet fail runtimeexception fail replicaset consensus dataregion 测试环境 iotdb log iotdb logs benchmark iotdb 数据库配置 confignode datanode common配置 启动benchmark 设置集群整体状态为readonly database root 删除所有数据库 查看集群日志	['pull-request-available']	2	1	Resolved
13558533	IOTDB	3357	greedy copyset allocation algorithm	new regiongroup allocation algorithm base copyset system file conference implementation use greedy dfs algorithm iterate possible allocation plan select random optimal result suitable small medium sized cluster new algorithm ensure datanode manage number region scatter width datanode large possible result cluster gain follow benifit regiongroup leader distribute evenly cluster datanodes shutdown datanode restore quickly restart data replication distribute datanodes cluster	['pull-request-available']	3	2	Closed
13533125	IOTDB	3357	construct cluster loadpublisher thread iclusterstatussubscriber	new feature confignode leader loadmanager cluster loadpublisher thread publish cluster event iclusterstatussubscriber subscribe cluster status event	['pull-request-available']	3	2	Closed
13480095	IOTDB	3357	disk space load balance new datanode	confignode开启时间分区 iotdb wal error fail sync wal node buffer change system mode error ioexception space leave device method iotdb multileaderconsensusrpc error exception inside handler iotdbexception fail sync log system read 测试流程 benchmark 集群和regions信息 增加datanode 集群和regions信息 wal大小达到限流	['pull-request-available']	3	1	Closed
13471414	IOTDB	3357	optimize leader route policy	currently confignode leader broadcast regionroutemap continuously set leader leadership region change	['pull-request-available']	3	4	Closed
13468842	IOTDB	3357	create parameter confignode	add parameter make maxregioncount configurable	['pull-request-available']	3	4	Closed
13535901	IOTDB	3357	fix route balance trigger bug	route balance trigger leader election fast confignode persist new create regiongroup	['pull-request-available']	3	1	Closed
13486862	IOTDB	3357	consensus heartbeat statistic	currently heartbeat sample cache consensus layer confignode connote load statistic discard long leader confignode switch obviously follow kind loadstatistic worth consensus status cluster nodes regiongroups leader regiongroup loadscore cluster nodes implement future refactor framework cluster heartbeat relate thread find detailed desgin loadbalancing docx doc	['pull-request-available']	3	4	Closed
13529162	IOTDB	3357	replace	parameter empirical value reall production environmennt replace improve efficiency default cluster simplify testing process	['pull-request-available']	3	4	Closed
13444997	IOTDB	3357	region expansion base total number cpu core	allocate region cluster cpu core facilitate testing	['pull-request-available']	3	4	Closed
13462607	IOTDB	3357	optimize getorcreatepartition process	partitionmanager poor judgment trigger condition region expansion optimize record document	['pull-request-available']	3	4	Closed
13482720	IOTDB	3357	doc mode datum operation restriction clear	current cluster version set set system readonly mode cli restriction datum clear example create storage group create time series insert datum	['pull-request-available']	4	4	Closed
13541898	IOTDB	3357	dtw algorithm	dtw algorithm select dtw substring target time series compare pattern time series	['pull-request-available']	3	2	In Progress
13554371	IOTDB	3357	rename	rename prevent misunderstanding	['pull-request-available']	3	4	Closed
13482855	IOTDB	3357	doc add load balance userguide	add relationship maxregioncout currentregioncount seriesslot datanode cpu core datanodes	['pull-request-available']	4	4	Closed
13445306	IOTDB	3357	confignode startup confignode fail start restart consider restart	iotdb start datum system confignode iotdb	['pull-request-available']	3	1	Closed
