id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
13573139	SPARK	3855		code package code code java package code	['pull-request-available']	3	7	Resolved
13593433	SPARK	3855	increase	master branch code info oracleintegrationsuite info oracleintegrationsuite aborted minute second info code pass eventually return normally attempt time minute failure message connect listener host port code code info mssqlservernamespacesuite info aborted minute second info code pass eventually return normally attempt time minute failure message tcp connection host port fail error connection refuse connection refuse verify connection property sure instance sql server run host accept tcp connection port sure tcp connection port block firewall code code info mssqlservernamespacesuite info aborted minute second info code pass eventually return normally attempt time minute failure message tcp connection host port fail error connection refuse connection refuse verify connection property sure instance sql server run host accept tcp connection port sure tcp connection port block firewall code	['pull-request-available']	4	7	Resolved
13558528	SPARK	3855	fix python	code error traceback recent file spark spark python pyspark panda test computation line def int file spark spark python pyspark panda line return file spark spark python pyspark panda typedef line return file spark spark python pyspark panda typedef line nametypeholder file spark spark python pyspark panda typedef line raise typeerror typeerror type hint specify type type type instance type type type instance dtype instance type type type instance dtype instance type got type ran test fail code	['pull-request-available']	3	7	Resolved
13572284	SPARK	3855	blockmanager warn removeblockinternal	code warn blockmanager put block fail exception nosuchfileexception spark warn blockmanager block remove normally info taskschedulerimpl cancel stage info taskschedulerimpl kill run task stage stage cancel info dagscheduler resultstage reduce fail job abort stage failure task serialization fail nosuchfileexception spark nosuchfileexception spark code	['pull-request-available']	3	7	Resolved
13588209	SPARK	3855	use late pmd rule instead deprecated one	warning pmd like following code java use rule category java brokennullcheck instead deprecated rule ruleset java brokennullcheck pmd remove support deprecated rule usage use rule category java checkskipresult instead deprecated rule ruleset java checkskipresult pmd remove support deprecated rule usage code code java clean build grep pmd code well fix release	['pull-request-available']	4	7	Resolved
13590919	SPARK	3855	add jjwt profile	issue aim add new profile jjwt provide jjwt impl jjwt jackson jar file spark distribution	['pull-request-available']	3	7	Resolved
13573772	SPARK	3855	use java instead jre dockerfile	code docker run azul zulu jre jmap docker error response daemon fail create task container fail create shim task oci runtime create fail runc create fail unable start container process exec jmap executable file find path unknown code	['pull-request-available']	3	7	Resolved
13570075	SPARK	3855	fix core module succeed sbt test	happen master okay code java build sbt core testonly info dagschedulersuite info parent stage low stage failed millisecond info illegalstateexception initialize plugin interface mockmaker alternate null info suite aborted info test fail error error test error dagschedulersuite error core test testonly sbt testsfailedexception test unsuccessful error total time complete feb code maven code java build mvn dependency tree core grep byte buddy info byte buddy test info byte buddy agent test code sbt code java build sbt core test dependencytree grep byte buddy info byte evict info byte code	['pull-request-available']	3	1	Resolved
13560333	SPARK	3855	improve filesystempersistenceengine allow non exist parent	prevent follow code info ioexception file directory info method info info info code	['pull-request-available']	3	7	Resolved
13558682	SPARK	3855	add ammonitetest test tag mark		['pull-request-available']	3	6	Resolved
13559120	SPARK	3855	install explicitly panda python	happen python code start temp output spark spark python traceback recent file line file line file spark spark python pyspark streaming test line import pysparkstreamingtestcase file spark spark python pyspark line import assertpandasonsparkequal file spark spark python pyspark testing line import file spark spark python pyspark line file spark spark python pyspark sql panda line import panda file local lib dist package line import file local lib dist package panda core line import file local lib dist package line import interval file line init file line init file line init attributeerror partially initialize module panda attribute likely circular import code	['pull-request-available']	3	7	Resolved
13543659	SPARK	3855	use driver instead	vuln detail	['pull-request-available']	3	7	Resolved
13586586	SPARK	3855	avoid unnecessary task configuration spark operator api		['pull-request-available']	4	7	Resolved
13540803	SPARK	3855	upgrade orc	apache orc community follow release cycle synchronize apache spark release orc year apache spark orc month apache spark orc apache spark orc apache spark orc apache spark	['pull-request-available']	3	7	Resolved
13556416	SPARK	3855	upgrade volcano	bring late feature bug fix addition test coverage volcano scheduler volcano volcano adapt volcano	['pull-request-available']	3	7	Resolved
13586412	SPARK	3855	upgrade gradle	gradle release	['pull-request-available']	4	7	Resolved
13139131	SPARK	3855	extend test coverage orc reader	orc reader well test coverage orc reader hive serde hive orcfileformat apache orc vectorized wrapper apache orc vectorized copy apache orc	['bulk-closed']	4	4	Resolved
12968564	SPARK	3855	add pivot functionality sparkr	user transform datum function dcast pkg introduce functionality scala python api like suggest add functionality sparkr api pivot dataframes love knowledge scala limited proper guidance try	['pivot']	4	4	Resolved
13597425	SPARK	3855	use spark instead	code java urlerror error sparkinstallationtestcase try download spark download hadoop fail download hadoop download hadoop fail download hadoop download hadoop fail download hadoop code	['pull-request-available']	4	7	Resolved
13589184	SPARK	3855	use api group	convention follow domain style instead package style code apiversion code	['pull-request-available']	2	7	Resolved
13568804	SPARK	3855	fix historyserversuite app refresh test start storedir	observe multiple time code java info incomplete app refresh failed second millisecond info code pass eventually return normally attempt time second failure message equal code	['pull-request-available']	3	7	Resolved
13384045	SPARK	3855	support spark apple silicon macos natively java	umbrella jira track progress support apple silicon macos natively	['release-notes']	3	2	Resolved
