topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99
0.0019609395	0.0019609395	0.001986675	0.001986674	0.0020062365	0.0019929868	0.0019738176	0.0019737838	0.001967382	0.0019738176	0.0019673673	0.0019802107	0.0019673477	0.0019609395	0.0019802758	0.0019802058	0.0019673884	0.0019673673	0.0019743782	0.0019609395	0.0019738576	0.0019609395	0.0019673354	0.0019738122	0.0019609395	0.0019673884	0.0019868833	0.0019738227	0.0019867222	0.0019673584	0.0019671626	0.0019804162	0.0019933356	0.0019609395	0.0019673673	0.001986754	0.0019996816	0.0019802651	0.001986648	0.0019609395	0.0019801978	0.0019737289	0.0019738718	0.0019801955	0.0019609395	0.0019867332	0.0019739342	0.0019609395	0.0019674827	0.0019802353	0.001967348	0.0019737855	0.0019672224	0.00196732	0.8041947	0.0019929947	0.0019674087	0.0019932226	0.0019930254	0.001980108	0.0019866335	0.0019739245	0.0019738593	0.0019801112	0.0019738295	0.001967404	0.0019868186	0.0019737685	0.001967382	0.0019609395	0.0019802453	0.0019673752	0.0019865432	0.0019802612	0.0019674127	0.0019738006	0.0019609395	0.001973922	0.00198038	0.0021239885	0.001967527	0.0019673994	0.002065334	0.0019609395	0.0019673884	0.0019867574	0.00197383	0.0019864477	0.0019803087	0.001967451	0.0019869192	0.0019609395	0.0019998008	0.0019803192	0.0019609395	0.0019931358	0.0019802668	0.0019803115	0.0019866524	0.0019801636
0.00051499263	0.00051499263	0.0005217514	0.0005217512	0.00052688876	0.00052340905	0.0005183748	0.0005183659	0.00051668455	0.0005183747	0.00051668065	0.0005200537	0.0005166756	0.00051499263	0.86735415	0.0005200524	0.0005166863	0.00051668065	0.000518522	0.00051499263	0.00051838526	0.00051499263	0.0005166723	0.00051837333	0.00051499263	0.0005166863	0.0005218061	0.00051837607	0.0005217638	0.0005166784	0.000516627	0.0005201077	0.00052350067	0.00051499263	0.00051668065	0.081740834	0.00052516727	0.00052006805	0.0005217443	0.00051499263	0.00052005035	0.00051835144	0.000518389	0.00052004977	0.00051499263	0.00052176666	0.00051840534	0.00051499263	0.00051671104	0.0005200602	0.00051667565	0.00051836635	0.00051664264	0.00051666825	0.0005234119	0.00052341114	0.0005166916	0.000523471	0.00052341924	0.0005200267	0.00052174047	0.00051840284	0.00051838567	0.0005200276	0.00051837787	0.0005166904	0.00052178913	0.00051836186	0.00051668455	0.00051499263	0.00052006287	0.0005166828	0.0005217168	0.000520067	0.00051669264	0.0005183703	0.00051499263	0.00051840214	0.00052009814	0.00055781344	0.0005167227	0.0005166891	0.00054240925	0.00051499263	0.0005166863	0.00052177306	0.0005183779	0.00052169175	0.00052007945	0.0005167027	0.00052181556	0.00051499263	0.0005251986	0.00052008225	0.00051499263	0.0005234482	0.00052006845	0.0005200802	0.0005217455	0.0005200414
0.00037626855	0.00037626855	0.00038120672	0.00038120654	0.00038496018	0.0003824178	0.0003787396	0.00037873312	0.0003775047	0.00037873958	0.21686882	0.0003799663	0.00037749813	0.00037626855	0.00037997882	0.00037996535	0.00037750596	0.00037750188	0.00037884718	0.00037626855	0.0003787473	0.00037626855	0.00037749577	0.00037873856	0.00037626855	0.00037750596	0.00038124667	0.00037874057	0.00038121574	0.0003775002	0.00037746262	0.00038000575	0.00038248472	0.00037626855	0.00037750188	0.00038122182	0.0003837024	0.21063185	0.0003812015	0.00037626855	0.00037996384	0.0003787226	0.00037875	0.0003799634	0.00037626855	0.15722777	0.00037876196	0.00037626855	0.00037752406	0.00037997105	0.0003774982	0.00037873344	0.0003774741	0.0003774928	0.0003824199	0.00038241933	0.00037750983	0.00038246304	0.00038242523	0.0003799466	0.0003811987	0.0003787601	0.00037874756	0.00037994722	0.00037874188	0.00037750893	0.00038123428	0.00037873018	0.0003775047	0.00037626855	0.00037997297	0.0003775034	0.0003811814	0.000379976	0.00037751062	0.00037873635	0.00037626855	0.0003787596	0.0003799988	0.00040755467	0.00037753256	0.00037750803	0.37885273	0.00037626855	0.00037750596	0.00038122252	0.00037874194	0.0003811631	0.00037998514	0.00037751795	0.00038125354	0.00037626855	0.0003837253	0.00037998715	0.00037626855	0.00038244642	0.00037997708	0.00037998566	0.00038120235	0.0003799573
0.009913835	0.009913835	0.010043944	0.01004394	0.0101428395	0.010075854	0.009978942	0.00997877	0.009946404	0.009978941	0.0099463295	0.010011262	0.009946232	0.009913835	0.010011592	0.010011237	0.009946438	0.0099463295	0.009981776	0.009913835	0.009979144	0.009913835	0.009946169	0.009978915	0.009913835	0.009946438	0.010044997	0.009978967	0.010044182	0.009946286	0.009945296	0.010012302	0.010077617	0.009913835	0.0099463295	0.010044343	0.0101097	0.010011538	0.010043807	0.009913835	0.010011197	0.009978493	0.009979215	0.010011186	0.009913835	0.010044238	0.009979531	0.009913835	0.009946914	0.010011387	0.009946233	0.00997878	0.009945598	0.009946091	0.010075909	0.010075894	0.009946539	0.010077046	0.01007605	0.0100107435	0.010043734	0.009979482	0.009979151	0.010010759	0.009979001	0.009946516	0.010044671	0.009978693	0.009946404	0.009913835	0.010011438	0.0099463705	0.010043277	0.010011517	0.0099465605	0.009978856	0.009913835	0.009979469	0.010012118	0.010738154	0.009947138	0.0099464925	0.010441616	0.009913835	0.009946438	0.0100443605	0.009979003	0.010042795	0.010011759	0.009946754	0.010045178	0.009913835	0.010110304	0.010011811	0.009913835	0.010076608	0.010011545	0.010011773	0.010043829	0.010011025
0.0013995718	0.0013995718	0.0014179398	0.0014179391	0.0014319012	0.0014224447	0.0014087631	0.001408739	0.0014041698	0.001408763	0.0014041592	0.001413326	0.0014041454	0.0013995718	0.0014133726	0.0014133224	0.0014041745	0.0014041592	0.0014091632	0.0013995718	0.0014087918	0.0013995718	0.0014041365	0.0014087593	0.0013995718	0.0014041745	0.0014180884	0.0014087667	0.0014179734	0.001404153	0.0014040133	0.0014134727	0.0014226936	0.0013995718	0.0014041592	0.001417996	0.0014272229	0.0014133649	0.0014179205	0.0013995718	0.0014133168	0.0014086999	0.0014088019	0.0014133152	0.0013995718	0.0014179812	0.0014088464	0.0013995718	0.0014042418	0.0014133436	0.0014041455	0.0014087403	0.001404056	0.0014041255	0.8602488	0.0014224503	0.0014041888	0.0014226129	0.0014224723	0.0014132527	0.0014179101	0.0014088394	0.0014087928	0.001413255	0.0014087716	0.0014041855	0.0014180423	0.0014087281	0.0014041698	0.0013995718	0.0014133508	0.0014041649	0.0014178457	0.001413362	0.0014041918	0.001408751	0.0013995718	0.0014088375	0.0014134469	0.0015159439	0.0014042733	0.0014041822	0.0014740806	0.0013995718	0.0014041745	0.0014179986	0.0014087718	0.0014177776	0.001413396	0.0014042191	0.001418114	0.0013995718	0.001427308	0.0014134034	0.0013995718	0.001422551	0.0014133661	0.001413398	0.0014179235	0.0014132925
0.00327424	0.00327424	0.0033172115	0.00331721	0.0033498737	0.0033277504	0.0032957431	0.0032956868	0.003284997	0.003295743	0.0032849724	0.0033064177	0.00328494	0.00327424	0.0033065267	0.0033064093	0.003285008	0.0032849724	0.0032966791	0.00327424	0.00329581	0.00327424	0.0032849195	0.003295734	0.00327424	0.003285008	0.0033175591	0.0032957515	0.00331729	0.0032849577	0.003284631	0.003306761	0.0033283327	0.00327424	0.0032849724	0.003317343	0.0033389288	0.0033065088	0.0033171664	0.00327424	0.0033063963	0.003295595	0.0032958335	0.0033063926	0.00327424	0.0033173084	0.0032959378	0.00327424	0.0032851654	0.003306459	0.0032849403	0.0032956896	0.0032847307	0.0032848935	0.0033277685	0.0033277636	0.0032850418	0.003328144	0.003327815	0.0033062461	0.003317142	0.0032959215	0.0032958123	0.0033062515	0.0032957627	0.0032850339	0.0033174513	0.0032956612	0.003284997	0.00327424	0.0033064757	0.003284986	0.0033169913	0.003306502	0.0032850485	0.0032957147	0.00327424	0.003295917	0.0033067004	0.003546488	0.0032852395	0.0032850262	0.0034485506	0.00327424	0.003285008	0.0033173491	0.0032957634	0.003316832	0.0033065814	0.0032851126	0.0033176192	0.00327424	0.67306936	0.0033065989	0.00327424	0.0033279993	0.0033065113	0.003306586	0.0033171736	0.0033063393
0.0009791238	0.0009791238	0.0009919739	0.0009919734	0.0010017412	0.0009951254	0.0009855541	0.0009855372	0.0009823405	0.000985554	0.0009823332	0.0009887462	0.0009823234	0.0009791238	0.0009887787	0.0009887436	0.0009823438	0.0009823332	0.0009858339	0.0009791238	0.000985574	0.0009791238	0.0009823174	0.0009855513	0.0009791238	0.0009823438	0.0009920779	0.0009855565	0.0009919974	0.0009823288	0.0009822311	0.0009888487	0.0009952995	0.0009791238	0.0009823332	0.0009920133	0.0009984681	0.0009887734	0.0009919604	0.0009791238	0.9022253	0.0009855097	0.0009855811	0.0009887386	0.0009791238	0.0009920029	0.0009856122	0.0009791238	0.000982391	0.0009887584	0.0009823235	0.000985538	0.0009822609	0.0009823096	0.0009951309	0.0009951293	0.0009823539	0.0009952431	0.0009951447	0.0009886948	0.0009919531	0.0009856074	0.0009855747	0.0009886965	0.0009855599	0.0009823516	0.0009920456	0.0009855295	0.0009823405	0.0009791238	0.0009887635	0.0009823372	0.000991908	0.0009887713	0.0009823559	0.0009855456	0.0009791238	0.0009856061	0.0009888306	0.0010605364	0.000982413	0.0009823493	0.0010312493	0.0009791238	0.0009823438	0.000992015	0.0009855601	0.0009918604	0.0009887951	0.000982375	0.0009920958	0.0009791238	0.0009985277	0.0009888003	0.0009791238	0.0009951999	0.0009887741	0.0009887965	0.0009919625	0.0009887227
0.0016333662	0.0016333662	0.0016548027	0.0016548019	0.0016710963	0.00166006	0.0016440931	0.0016440649	0.0016387324	0.001644093	0.00163872	0.0016494181	0.0016387039	0.0016333662	0.0016494724	0.001649414	0.0016387379	0.00163872	0.00164456	0.0016333662	0.0016441264	0.0016333662	0.61992955	0.0016440885	0.0016333662	0.0016387379	0.0016549762	0.0016440973	0.0016548418	0.21859162	0.0016385497	0.0016495893	0.0016603505	0.0016333662	0.00163872	0.0016548682	0.0016656363	0.0016494635	0.0016547801	0.0016333662	0.0016494074	0.0016440192	0.0016441382	0.0016494056	0.0016333662	0.001654851	0.0016441902	0.0016333662	0.0016388164	0.0016494386	0.0016387041	0.0016440663	0.0016385996	0.0016386807	0.0016600691	0.0016600665	0.0016387546	0.0016602564	0.0016600923	0.0016493326	0.001654768	0.001644182	0.0016441277	0.0016493353	0.0016441029	0.0016387508	0.0016549223	0.0016440522	0.0016387324	0.0016333662	0.0016494471	0.0016387268	0.0016546928	0.0016494602	0.0016387581	0.0016440789	0.0016333662	0.0016441799	0.0016495591	0.0017691781	0.0016388532	0.0016387468	0.0017203216	0.0016333662	0.0016387379	0.0016548713	0.0016441032	0.0016546133	0.0016494999	0.0016387899	0.001655006	0.0016333662	0.0016657357	0.0016495085	0.0016333662	0.0016601842	0.0016494648	0.0016495022	0.0016547836	0.0016493789
0.004922671	0.004922671	0.004987276	0.004987274	0.0050363825	0.005003121	0.0049549993	0.0049549146	0.5083932	0.004954999	0.0049388064	0.0049710483	0.0049387575	0.004922671	0.004971212	0.0049710358	0.00493886	0.0049388064	0.0049564065	0.004922671	0.0049551	0.004922671	0.004938727	0.004954986	0.004922671	0.00493886	0.004987799	0.0049550124	0.0049873944	0.0049387845	0.004938293	0.0049715643	0.0050039967	0.004922671	0.0049388064	0.004987474	0.005019927	0.0049711852	0.004987208	0.004922671	0.004971016	0.0049547767	0.0049551353	0.00497101	0.004922671	0.004987422	0.004955292	0.004922671	0.0049390965	0.0049711103	0.004938758	0.0049549188	0.0049384427	0.0049386877	0.005003148	0.005003141	0.0049389102	0.0050037126	0.005003218	0.0049707904	0.004987172	0.0049552675	0.0049551036	0.0049707983	0.004955029	0.0049388986	0.0049876366	0.0049548764	0.004938843	0.004922671	0.0049711354	0.0049388264	0.004986945	0.004971175	0.004938921	0.004954957	0.004922671	0.004955261	0.004971473	0.005331983	0.004939208	0.004938887	0.0051847384	0.004922671	0.00493886	0.004987483	0.00495503	0.0049867057	0.0049712947	0.004939017	0.004987889	0.004922671	0.005020227	0.0049713207	0.004922671	0.005003495	0.004971189	0.0049713016	0.004987219	0.00497093
0.0010880826	0.0010880826	0.0011023626	0.0011023622	0.0011132169	0.0011058649	0.0010952284	0.0010952096	0.0010916573	0.0010952282	0.0010916492	0.0010987758	0.0010916383	0.0010880826	0.0010988119	0.001098773	0.0010916609	0.0010916492	0.0010955394	0.0010880826	0.0010952506	0.0010880826	0.0010916315	0.0010952253	0.0010880826	0.0010916609	0.0011024782	0.0010952312	0.0011023888	0.0010916443	0.0010915357	0.0010988897	0.0011060584	0.0010880826	0.0010916492	0.0011024064	0.0011095797	0.001098806	0.0011023476	0.0010880826	0.0010987686	0.0010951791	0.0010952584	0.8913448	0.0010880826	0.0011023949	0.0010952931	0.0010880826	0.0010917133	0.0010987894	0.0010916385	0.0010952106	0.0010915688	0.0010916229	0.0011058709	0.0011058693	0.0010916721	0.0011059957	0.0011058864	0.0010987187	0.0011023396	0.0010952876	0.0010952514	0.0010987205	0.0010952349	0.0010916695	0.0011024424	0.0010952011	0.0010916573	0.0010880826	0.001098795	0.0010916536	0.0011022895	0.0010988037	0.0010916744	0.0010952189	0.0010880826	0.0010952862	0.0010988696	0.001178555	0.0010917379	0.001091667	0.0011460087	0.0010880826	0.0010916609	0.0011024084	0.0010952351	0.0011022366	0.0010988301	0.0010916956	0.0011024982	0.0010880826	0.0011096458	0.001098836	0.0010880826	0.0011059477	0.0010988069	0.0010988316	0.0011023501	0.0010987496
