topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.66744	0.19042763	0.019924745	0.018165465	0.01822458	0.01909688	0.017147891	0.01663841	0.016758785	0.016175583
0.5652048	0.0046492703	0.0051325387	0.39821014	0.0046952227	0.0049190535	0.0044176765	0.00428655	0.0043174913	0.0041672257
0.003108368	0.0033907327	0.9705403	0.0034131182	0.0034242836	0.0035873295	0.0032217822	0.0031261921	0.0031487276	0.0030391717
0.09361928	0.10212127	0.11273323	0.102794036	0.10312597	0.10803854	0.09703552	0.094157465	0.09483661	0.09153806
0.5267331	0.012783677	0.014115342	0.012868963	0.012910525	0.013526791	0.3719447	0.01178652	0.011871754	0.011458614
0.028118044	0.7303273	0.03386009	0.030874401	0.030973747	0.032448146	0.029143529	0.028278954	0.02848323	0.027492542
0.008153087	0.9218044	0.009818473	0.008952354	0.008981151	0.009409298	0.008450589	0.0082000205	0.00825901	0.007971565
0.86716807	0.014966341	0.016522093	0.015064741	0.015112564	0.015835507	0.014220156	0.013798282	0.01389804	0.013414199
0.043246243	0.047174152	0.05207937	0.04748685	0.047641616	0.049909994	0.04482532	0.04349524	0.5818562	0.042285025
0.009073219	0.009897864	0.13487634	0.009963314	0.009994746	0.010472507	0.009404653	0.009125528	0.78832024	0.008871567
0.0023738625	0.002589523	0.5983124	0.0026066354	0.002615021	0.3819287	0.0024604925	0.0023875511	0.0024047196	0.0023210961
0.0074019735	0.008074563	0.008915475	0.92905915	0.008154366	0.008542193	0.0076721306	0.007444557	0.007498186	0.0072373888
0.4215836	0.018046267	0.019923123	0.018164957	0.43647048	0.019092385	0.017147055	0.01663833	0.016758282	0.016175512
0.0032333452	0.0035270078	0.96935576	0.0035503192	0.003561809	0.0037317674	0.003351292	0.0032519195	0.003275338	0.003161446
0.04324794	0.04717591	0.052078903	0.04748635	0.047640007	0.049907565	0.044824578	0.5815448	0.043808777	0.042285126
0.005799717	0.9443751	0.0069841933	0.0063685942	0.0063888575	0.0066930256	0.0060114255	0.0058329836	0.005875336	0.0056707785
0.003677081	0.004011085	0.0044290093	0.0040375623	0.004050588	0.96496487	0.0038112681	0.003698339	0.003724902	0.0035953477
0.0040474106	0.96118146	0.0048741265	0.004444179	0.004458704	0.0046708994	0.0041951253	0.0040706033	0.0040999996	0.0039574527
0.0067777997	0.007393768	0.46929747	0.007442357	0.47393045	0.007822228	0.0070254677	0.006817227	0.006866077	0.0066271434
0.020830546	0.022722837	0.025084343	0.0228742	0.34331194	0.024039935	0.021591498	0.47807598	0.021101497	0.02036725
0.22564091	0.008893749	0.009817794	0.008952772	0.70440507	0.009408732	0.008450436	0.0081997905	0.008259111	0.007971625
0.0032333112	0.0035271095	0.0038939822	0.70152587	0.0035617813	0.0037315877	0.27083755	0.0032519556	0.0032754247	0.0031614094
0.028118322	0.030671947	0.033859584	0.030873828	0.03097369	0.032448214	0.02914346	0.72793555	0.028483024	0.027492383
0.013719488	0.014965581	0.016520817	0.015063728	0.22181813	0.015832713	0.014219923	0.6605479	0.013897569	0.013414175
0.01654356	0.841329	0.019923415	0.018166197	0.018224219	0.019093068	0.017147535	0.016638294	0.016758986	0.016175788
0.83982927	0.01804673	0.019922681	0.018165376	0.018223094	0.019093772	0.017147014	0.0166383	0.016758576	0.01617516
0.1979279	0.008074726	0.008914464	0.2810774	0.008154121	0.008543551	0.0076724594	0.46489942	0.007498412	0.007237513
0.01654297	0.018047	0.019923791	0.8414514	0.0182243	0.019091053	0.017147524	0.016638007	0.016758798	0.016175192
0.0008298182	0.0009052122	0.0009993421	0.0009111772	0.21776232	0.7752454	0.00086010847	0.00083458633	0.0008406178	0.00081136625
0.0017917822	0.16186242	0.1743859	0.0019674848	0.65069836	0.0020677946	0.001857184	0.0018020486	0.0018150542	0.0017519343
0.006250705	0.0068186685	0.0075276135	0.006863975	0.0068858587	0.007214075	0.006479001	0.006286717	0.93956167	0.0061117494
0.0054092957	0.0059009087	0.7415093	0.005939804	0.21318229	0.0062425206	0.0056067505	0.0054403855	0.0054796366	0.005289042
0.028118677	0.360356	0.03385941	0.030873844	0.030976266	0.03244922	0.02914358	0.39824608	0.028484337	0.027492588
0.001184452	0.9886397	0.0014263901	0.0013006331	0.0013048877	0.0013669463	0.0012277093	0.0011912627	0.0011998778	0.0011581212
0.02811745	0.03067225	0.033858776	0.030873546	0.73063076	0.032448243	0.029144088	0.028278932	0.028483756	0.027492227
0.008152959	0.00889378	0.009818005	0.92186433	0.008981438	0.009408761	0.0084504085	0.008199626	0.008259086	0.00797162
0.028117435	0.030671837	0.033858757	0.030873826	0.7306317	0.032448407	0.029143704	0.02827897	0.028483069	0.027492244
0.0036770585	0.004011095	0.0044281054	0.7062859	0.004050624	0.0042440584	0.0038113252	0.0036981895	0.26219833	0.0035953177
0.45390958	0.008893542	0.009817728	0.008952485	0.47613698	0.009408619	0.008450681	0.008199862	0.008259038	0.007971523
0.0042620935	0.9591222	0.005132694	0.0046800184	0.0046950122	0.0049189553	0.0044176364	0.004286617	0.0043175337	0.0041672336
0.0054093665	0.948117	0.006514837	0.0059400676	0.00595918	0.006242956	0.0056069694	0.00544042	0.005480119	0.005289109
0.004047388	0.4010716	0.0048744087	0.24264829	0.0044586617	0.0046712453	0.0041952217	0.0040706913	0.32600504	0.0039574346
0.09361928	0.10212127	0.11273323	0.102794036	0.10312597	0.10803854	0.09703552	0.094157465	0.09483661	0.09153806
0.0015205825	0.0016587685	0.0018313483	0.98542684	0.0016750632	0.0017548953	0.0015761077	0.0015293204	0.0015403444	0.0014867678
0.09361928	0.10212127	0.11273323	0.102794036	0.10312597	0.10803854	0.09703552	0.094157465	0.09483661	0.09153806
