topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.014049782	0.015107099	0.016590126	0.015338238	0.0156014245	0.016745426	0.0148891	0.014130637	0.014363219	0.014204386	0.014834976	0.8341456
0.8864055	0.003907671	0.004291271	0.003967502	0.07441018	0.004331453	0.00385129	0.0036550905	0.003715261	0.0036741605	0.0038372823	0.0039532753
0.0026513855	0.0028509118	0.51703787	0.0028945447	0.0029442178	0.003160096	0.0028097786	0.0026666536	0.0027105433	0.0026805692	0.45470923	0.0028841856
0.07756424	0.08340119	0.09158809	0.08467751	0.08613033	0.09244365	0.08219775	0.07801085	0.07929485	0.07841798	0.08189898	0.08437456
0.88145006	0.010718562	0.011770795	0.010882599	0.01106932	0.01188088	0.010563887	0.010025773	0.010190786	0.010078097	0.010525518	0.010843719
0.023790175	0.025580654	0.028091827	0.025972052	0.026417654	0.028353974	0.025211366	0.023927147	0.024321036	0.024052048	0.025119832	0.7191623
0.3334688	0.0074656084	0.008198542	0.0075798603	0.007709902	0.008275227	0.0073578614	0.0069830287	0.007097984	0.0070194816	0.59129095	0.0075527527
0.8613043	0.012540021	0.013771123	0.012731937	0.012950278	0.013900185	0.012359019	0.011729446	0.011922546	0.011790649	0.012314123	0.012686405
0.036412273	0.039152443	0.042996347	0.039752405	0.040434737	0.043398418	0.038587645	0.03662201	0.5677737	0.03681309	0.038447358	0.039609518
0.0077245096	0.008305885	0.50983775	0.008433014	0.008577599	0.009206633	0.008186012	0.007769012	0.40759102	0.007809523	0.008156241	0.008402769
0.0020254129	0.002177839	0.6387674	0.0022111763	0.0022491086	0.33992538	0.0021464103	0.0020370819	0.0020706016	0.0020477085	0.0021386181	0.0022032603
0.006305151	0.006779679	0.007445455	0.0068834596	0.9257115	0.0075147445	0.006681828	0.0063414583	0.006445835	0.006374551	0.0066575487	0.0068587577
0.30336875	0.015107145	0.016590307	0.015338376	0.015601752	0.01674525	0.0148891015	0.014130674	0.0143633	0.014204477	0.54437727	0.015283545
0.0027579323	0.0029654775	0.9676997	0.0030108695	0.003062526	0.0032870963	0.0029226826	0.0027738095	0.002819462	0.0027882874	0.0029120727	0.0030000992
0.03641236	0.039152473	0.042995784	0.03975158	0.040433675	0.043397333	0.03858743	0.56717515	0.037224654	0.03681298	0.03844728	0.039609287
0.004942842	0.005314876	0.005836595	0.005396175	0.0054887617	0.005891074	0.005238165	0.004971304	0.9413269	0.004997253	0.005219085	0.005376917
0.003136001	0.0033720017	0.0037031102	0.0034236177	0.003482349	0.96330637	0.00332335	0.0031540575	0.0032059653	0.003170522	0.0033112676	0.0034113582
0.003451405	0.4435916	0.004075498	0.0037679495	0.0038326888	0.0041135536	0.0036575987	0.0034712744	0.0035284199	0.0034893984	0.0036443104	0.51937634
0.0057746326	0.0062092207	0.006818832	0.0063042496	0.006412492	0.006882482	0.0061196457	0.0058078873	0.0059034894	0.005838206	0.9316472	0.0062816855
0.017666351	0.01899585	0.020860616	0.019286778	0.019617654	0.021055553	0.37868717	0.01776808	0.01806058	0.017860815	0.430923	0.019217486
0.006943055	0.007465566	0.008198384	0.0075798584	0.91819614	0.008274993	0.0073577897	0.006983015	0.007097993	0.00701945	0.0073310602	0.007552677
0.0027579386	0.0029655066	0.0032566295	0.0030108993	0.0030625616	0.0032870898	0.63028425	0.0027738304	0.0028194806	0.002788293	0.33999342	0.0030001043
0.02379025	0.025580527	0.028091582	0.025971966	0.026417607	0.028353946	0.025211362	0.71721095	0.02432099	0.024052026	0.025119783	0.025879007
0.011662283	0.012539953	0.0137709	0.012731802	0.22461303	0.013899683	0.012358987	0.6497099	0.011922498	0.011790645	0.01231414	0.012686267
0.014049898	0.015107157	0.016590437	0.015338509	0.01560154	0.016745456	0.014889232	0.014130765	0.8332239	0.014204517	0.014835052	0.015283544
0.83291113	0.015107161	0.01659028	0.015338361	0.015601409	0.016745752	0.014889107	0.014130652	0.0143632805	0.014204384	0.014835016	0.015283519
0.006305234	0.00677982	0.0074453047	0.006883506	0.007001696	0.0075149233	0.925391	0.0063415067	0.006445929	0.0063746036	0.00665761	0.0068588606
0.014049754	0.8339682	0.01659071	0.015338419	0.015601686	0.016745092	0.014889186	0.014130651	0.0143633345	0.014204405	0.014835019	0.015283462
0.00070837175	0.00076168193	0.0008364599	0.00077333866	0.18879774	0.8037004	0.00075069116	0.0007124497	0.00072417787	0.00071616826	0.0007479621	0.0007705717
0.0015290424	0.0016441206	0.1269654	0.0016692798	0.8568247	0.0018223857	0.0016203941	0.0015378445	0.0015631618	0.0015458739	0.001614494	0.0016633156
0.0053264997	0.005727355	0.0062896707	0.005815075	0.0059148166	0.006348485	0.0056447093	0.0053571803	0.9367726	0.0053851265	0.0056243166	0.0057942006
0.0046107653	0.004957782	0.94599956	0.00503366	0.005120099	0.0054952884	0.0048862193	0.004637314	0.0047136573	0.004661523	0.0048685223	0.0050156317
0.023790248	0.46368966	0.028091699	0.025972106	0.02641817	0.028354358	0.025211418	0.27910024	0.024321051	0.024052136	0.025119822	0.025879163
0.0010109867	0.93788195	0.0011937995	0.0011037178	0.05129355	0.0012049533	0.0010713856	0.0010168073	0.001033548	0.0010221157	0.001067493	0.0010997654
0.023790179	0.025580518	0.02809157	0.025972044	0.7197011	0.028354047	0.025211344	0.023927147	0.02432104	0.02405204	0.02511983	0.025879115
0.0069430266	0.007465541	0.008198411	0.9180662	0.0077098953	0.008274973	0.0073577757	0.00698299	0.0070979646	0.0070194476	0.0073310602	0.0075527458
0.023790145	0.025580507	0.028091595	0.025972001	0.026417831	0.028353922	0.025211355	0.023927128	0.024321012	0.024052022	0.71840346	0.025879003
0.0031359934	0.0033719956	0.00370302	0.9629924	0.0034823464	0.0037377435	0.0033233394	0.0031540422	0.0032059657	0.003170506	0.0033112604	0.0034113599
0.006943046	0.007465548	0.0081984	0.0075797974	0.39345503	0.008275013	0.0073578353	0.006983023	0.5318391	0.007019453	0.007331112	0.0075526503
0.0036341792	0.0039076917	0.0042913156	0.0039675017	0.004035544	0.0043314793	0.0038512812	0.0036551075	0.34684736	0.0036741698	0.6138511	0.0039532967
0.00461079	0.5295101	0.005444556	0.005033691	0.005120039	0.005495366	0.004886234	0.0046373345	0.42071617	0.0046615386	0.004868525	0.005015673
0.00345141	0.003711176	0.0040755044	0.0037679665	0.0038325978	0.0041135955	0.0036576132	0.003471282	0.35124373	0.0034894038	0.61143124	0.0037544817
0.07756424	0.08340119	0.09158809	0.08467751	0.08613033	0.09244365	0.08219775	0.07801085	0.07929485	0.07841798	0.08189898	0.08437456
0.001297738	0.0013954082	0.0015324145	0.85036284	0.001441069	0.0015467141	0.0013752679	0.0013052103	0.0013266951	0.001312022	0.13569288	0.0014116941
0.07756424	0.08340119	0.09158809	0.08467751	0.08613033	0.09244365	0.08219775	0.07801085	0.07929485	0.07841798	0.08189898	0.08437456
0.023790162	0.025580613	0.028091826	0.025972027	0.026417783	0.028353982	0.025211386	0.023927147	0.024321025	0.024052035	0.71840256	0.025879392
0.0069430214	0.9179516	0.0081988145	0.0075798105	0.0077099125	0.008274948	0.0073578106	0.0069829915	0.0070979395	0.0070194458	0.007331065	0.0075526945
0.0069430214	0.007465502	0.008198464	0.007579791	0.0077098054	0.008275171	0.007357788	0.006983017	0.0070979274	0.41068864	0.51414824	0.0075526554
0.011662364	0.012540061	0.013771297	0.012731997	0.012950436	0.013899814	0.012359068	0.011729522	0.8615642	0.011790727	0.01231413	0.012686332
0.008704196	0.44155404	0.010278039	0.009502463	0.009665609	0.010374021	0.0092242295	0.46433997	0.008898375	0.00879999	0.009190632	0.009468473
0.0364123	0.039152477	0.042997517	0.039752398	0.04043366	0.5739464	0.038587764	0.03662196	0.03722479	0.03681323	0.03844758	0.03960987
0.0069430643	0.32530048	0.008198536	0.0075798524	0.0077098613	0.008275061	0.007357826	0.0069830315	0.59974897	0.007019476	0.007331066	0.007552743
0.011662306	0.012540007	0.013771007	0.55810785	0.012950301	0.013899996	0.012359023	0.011729455	0.31618893	0.011790652	0.012314099	0.012686336
0.00040637472	0.00043695662	0.00047986218	0.0004436453	0.00045125827	0.8576748	0.00043065174	0.00040871574	0.00041544207	0.13798115	0.00042908758	0.00044205724
0.023790266	0.025580712	0.028091827	0.025972072	0.026417678	0.02835398	0.025211507	0.023927161	0.024321046	0.024052097	0.025119718	0.7191619
0.0006481612	0.00069693965	0.23452002	0.0007076042	0.7586086	0.0007725259	0.00068688416	0.0006518939	0.0006626227	0.0006552963	0.0006843862	0.0007050727
0.00461081	0.004957823	0.005444639	0.43709195	0.0051200767	0.005495508	0.004886279	0.0046373727	0.0047136964	0.0046615587	0.5133646	0.005015674
0.03641232	0.039152354	0.042995844	0.5703047	0.040433664	0.043397475	0.038587358	0.036621835	0.037224874	0.036813006	0.03844712	0.039609484
0.003286131	0.0035334246	0.35431993	0.0035875035	0.003649054	0.003916618	0.003482445	0.0033050561	0.0033594507	0.0033223063	0.6106635	0.003574669
0.006943026	0.0074655446	0.008198394	0.0075798994	0.007709849	0.008275146	0.91784406	0.006983004	0.0070979437	0.007019438	0.007331083	0.007552639
0.3384842	0.009359258	0.010278124	0.56750244	0.009665608	0.010374178	0.009224189	0.008754304	0.008898446	0.008800003	0.009190721	0.009468594
0.023790171	0.025580643	0.028091542	0.025972089	0.026417755	0.028354036	0.025211854	0.023927154	0.717604	0.024052028	0.025119757	0.025879044
0.017666347	0.01899601	0.020860571	0.019286709	0.019617513	0.021055356	0.28620285	0.017768022	0.5228147	0.017860746	0.01865363	0.019217556
0.07756424	0.08340119	0.09158809	0.08467751	0.08613033	0.09244365	0.08219775	0.07801085	0.07929485	0.07841798	0.08189898	0.08437456
