topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.25164023	0.011380507	0.0129727535	0.011718541	0.011897103	0.012361909	0.011407529	0.011443849	0.010999151	0.01124215	0.011567529	0.011864707	0.01144045	0.011061077	0.011661995	0.5853405
0.06007251	0.0029562043	0.0033698066	0.0030440132	0.003090396	0.0032111339	0.32497358	0.0029726585	0.0028571433	0.0029202648	0.0030047854	0.0030819802	0.5754743	0.002873229	0.0030293246	0.0030687077
0.0020791302	0.002157622	0.46334076	0.00222171	0.0022555632	0.002343686	0.0021627455	0.0021696314	0.0020853211	0.0021313913	0.50608623	0.0022494209	0.002168987	0.0020970618	0.0022109898	0.0022397337
0.059023328	0.061251596	0.06982127	0.06307095	0.06403199	0.06653364	0.061397035	0.061592516	0.059199084	0.060506944	0.06225818	0.063857615	0.061574224	0.059532385	0.06276661	0.063582614
0.8757494	0.00808792	0.009219499	0.008328156	0.008455054	0.008785386	0.008107124	0.0081329355	0.007816897	0.007989592	0.0082208365	0.008432031	0.008130521	0.007860906	0.008287969	0.008395718
0.018496372	0.019194655	0.021880172	0.019764794	0.020065956	0.020849906	0.01924023	0.019301487	0.018551448	0.0189613	0.01951009	0.7066374	0.019295756	0.018655896	0.01966942	0.019925138
0.005435042	0.0056402287	0.0064293556	0.00580776	0.0058962563	0.006126615	0.00565362	0.005671621	0.0054512266	0.0055716587	0.005732918	0.005880201	0.913587	0.005481917	0.0057797367	0.005854877
0.009111781	0.009455772	0.010778727	0.009736636	0.009884998	0.0102711925	0.0094782235	0.009508402	0.009138913	0.009340815	0.009611163	0.00985808	0.8551296	0.009190366	0.009689655	0.009815626
0.028166246	0.02922959	0.03331909	0.030097801	0.030556424	0.03175022	0.029298998	0.029392278	0.028250124	0.028874235	0.029709937	0.030473199	0.029383559	0.5512037	0.029952567	0.03034196
0.006044814	0.0062730205	0.007150691	0.0064593484	0.006557771	0.006813979	0.0062879156	0.25416037	0.65579635	0.0061967573	0.0063761105	0.006539914	0.006306062	0.0060969484	0.00642818	0.0065117497
0.00158867	0.0016486461	0.75640815	0.0016976161	0.0017234832	0.22034599	0.0016525607	0.0016578225	0.0015934005	0.001628603	0.0016757395	0.00171879	0.00165733	0.0016023716	0.0016894245	0.0017113881
0.004936966	0.005123349	0.0058401623	0.9216312	0.0053559137	0.0055651614	0.005135514	0.0051518646	0.004951667	0.005061062	0.0052075437	0.005341327	0.0051503354	0.004979546	0.0052500707	0.0053183255
0.5668087	0.011380519	0.012972771	0.011718554	0.011897118	0.012361923	0.011407541	0.011443862	0.010999163	0.011242162	0.011567544	0.011864716	0.26979873	0.01106109	0.011662009	0.011813621
0.0021625904	0.0022442332	0.9659186	0.0023108937	0.0023461056	0.0024377683	0.002249562	0.0022567243	0.0021690298	0.0022169494	0.0022811142	0.002339717	0.0022560542	0.0021812418	0.0022997428	0.0023296408
0.02816621	0.029229552	0.03331905	0.030097758	0.030556371	0.031750165	0.029298954	0.5521875	0.028250081	0.028874198	0.029709902	0.030473158	0.029383514	0.028409135	0.029952532	0.030341933
0.14383201	0.7984508	0.0045808475	0.0041379714	0.004201023	0.004365151	0.0040281476	0.004040973	0.0038839444	0.003969751	0.004084646	0.004189583	0.0040397733	0.0039058116	0.0041180034	0.0041715405
0.002458665	0.0025514856	0.0029084687	0.0026272726	0.0026673053	0.9611157	0.0025575438	0.002565687	0.0024659866	0.0025204665	0.002593416	0.002660042	0.0025649252	0.0024798703	0.002614595	0.0026485862
0.0027056048	0.29343817	0.0032005797	0.0028911466	0.002935201	0.003049875	0.0028144147	0.0028233752	0.0027136614	0.0027736132	0.002853889	0.0029272072	0.002822537	0.0027289398	0.0028771954	0.6664446
0.004522535	0.004693272	0.005349909	0.0048326766	0.004906314	0.005097998	0.004704416	0.0047193943	0.32400894	0.0046362146	0.60867465	0.0048929527	0.0047179926	0.0045615407	0.004809357	0.0048718816
0.013769212	0.014289033	0.016288204	0.014713462	0.014937656	0.015521251	0.014322963	0.014368566	0.780526	0.014115316	0.014523855	0.014896976	0.014364303	0.013887969	0.014642463	0.014832823
0.0054350113	0.0056401966	0.0064293123	0.005807727	0.8011963	0.006126579	0.005653587	0.0056715882	0.11806872	0.0055716257	0.005732884	0.0058801644	0.0056699044	0.0054818857	0.005779702	0.005854841
0.0021625904	0.0022442336	0.0025582241	0.0023108947	0.002346106	0.0024377657	0.0022495624	0.0022567248	0.0021690303	0.0022169496	0.2729704	0.002339717	0.0022560547	0.0021812422	0.69497085	0.0023296415
0.01849636	0.019194644	0.021880157	0.019764783	0.020065947	0.020849895	0.01924022	0.70592767	0.018551439	0.018961288	0.019510081	0.020011302	0.019295748	0.018655887	0.019669412	0.019925136
0.009111771	0.009455761	0.010778712	0.009736626	0.19668801	0.010271181	0.009478214	0.6683296	0.009138904	0.009340805	0.009611155	0.009858068	0.009505568	0.009190356	0.009689644	0.009815614
0.010966474	0.011380485	0.012972723	0.011718519	0.011897079	0.012361883	0.011407507	0.011443827	0.01099913	0.011242129	0.011567507	0.011864681	0.011440428	0.82526207	0.011661974	0.011813585
