topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.010238696	0.0102633815	0.011425085	0.010383517	0.010705888	0.011170231	0.010181156	0.01018715	0.010068712	0.010132784	0.010148643	0.823239	0.010284576	0.009828773	0.010730073	0.010503184	0.010349528	0.0101596
0.0026636573	0.0026700792	0.0029723034	0.0027013333	0.0027852003	0.0029060014	0.58724403	0.0026502472	0.0026194346	0.0026361034	0.0026402292	0.0027861947	0.36930868	0.0025570132	0.0027914918	0.0027324653	0.0026924908	0.0026430797
0.0019443867	0.0019490748	0.47334146	0.001971889	0.0020331095	0.0021212907	0.0019334597	0.001934598	0.0019121058	0.0019242734	0.49515375	0.0020338353	0.0019530996	0.00186654	0.0020377021	0.0019946145	0.0019654345	0.001929366
0.054614913	0.054746594	0.060943313	0.055387415	0.057106998	0.059583876	0.05430799	0.054339964	0.053708192	0.05404996	0.054134555	0.05712739	0.054859646	0.05242832	0.057236	0.056025736	0.055206116	0.054193
0.0072807805	0.0072983345	0.008124427	0.0073837633	0.0076130033	0.007943199	0.007239866	0.0072441264	0.007159904	0.007205466	0.007216743	0.87430453	0.0073134056	0.0069892826	0.0076302006	0.0074688587	0.007359594	0.0072245346
0.017244548	0.017286126	0.019242726	0.017488463	0.018031416	0.018813487	0.017147636	0.017157732	0.016958252	0.017066164	0.017092874	0.7022899	0.01732182	0.016554134	0.018072149	0.01769001	0.017431218	0.01711133
0.0050795944	0.0050918413	0.0056681833	0.0051514427	0.005311377	0.005541745	0.005051048	0.0050540217	0.0049952623	0.0050270497	0.0050349175	0.24840353	0.6690046	0.004876225	0.005323375	0.0052108117	0.0051345807	0.005040353
0.008510051	0.008530568	0.009496137	0.008630421	0.008898365	0.009284311	0.008462226	0.008467208	0.008368766	0.00842202	0.008435202	0.008901545	0.85272896	0.008169337	0.008918469	0.008729884	0.008602172	0.008444308
0.026212545	0.026275745	0.029249871	0.026583308	0.027408628	0.02859741	0.026065234	0.02608058	0.02577736	0.025941394	0.025981996	0.027418412	0.54637784	0.025163082	0.02747054	0.02688967	0.026496293	0.026010046
0.0056488663	0.0056624864	0.0063034194	0.0057287673	0.0059066247	0.006162811	0.0056171212	0.005620428	0.0055550835	0.0055904333	0.6754825	0.005908734	0.0056741796	0.0054227053	0.0059199682	0.005794789	0.23239581	0.005605228
0.0014858469	0.0014894293	0.69976246	0.0015068635	0.0015536463	0.27631065	0.0014774967	0.0014783666	0.0014611786	0.0014704769	0.0014727783	0.001554201	0.001492505	0.0014263586	0.0015571559	0.0015242295	0.001501931	0.0014743683
0.0046145325	0.004625658	0.0051492336	0.92018765	0.0048250942	0.005034371	0.0045886	0.004591301	0.0045379214	0.0045667985	0.004573946	0.0048268167	0.00463521	0.0044297823	0.0048359935	0.0047337357	0.0046644844	0.0045788838
0.010238727	0.010263412	0.011425121	0.010383548	0.010705921	0.011170264	0.010181187	0.010187181	0.010068742	0.010132814	0.010148673	0.010709744	0.010284606	0.8223576	0.010730105	0.010503215	0.0103495605	0.010159629
0.002022402	0.002027278	0.96522653	0.002051008	0.0021146843	0.002206404	0.0020110365	0.0020122204	0.0019888259	0.0020014816	0.002004614	0.0021154396	0.0020314644	0.0019414319	0.0021194613	0.002074645	0.0020442943	0.0020067785
0.54626065	0.026275733	0.02924986	0.026583297	0.027408613	0.028597396	0.026065223	0.026080571	0.02577735	0.025941383	0.025981985	0.027418401	0.026329992	0.025163073	0.02747053	0.02688966	0.026496282	0.026010035
0.0036202276	0.0036289562	0.0040397146	0.0036714338	0.0037854188	0.003949602	0.0035998826	0.003602002	0.46499145	0.0035827789	0.0035883863	0.0037867709	0.0036364498	0.0034752858	0.0037939702	0.11863777	0.3610176	0.0035922604
