topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.007419451	0.007622204	0.008196956	0.0077395285	0.0077388883	0.008363571	0.007576441	0.007506919	0.007536817	0.0074786777	0.0075052944	0.8165953	0.007532442	0.007528367	0.0077810814	0.00768968	0.007480655	0.0075118993	0.007839506	0.0075396015	0.0074771643	0.007845677	0.007538244	0.007530602	0.0074250232
0.73245156	0.0019897772	0.0021398163	0.002020405	0.0640296	0.0021833114	0.001977831	0.0019596822	0.001967487	0.0019523097	0.001959258	0.0020438666	0.15952057	0.0019652813	0.0020312523	0.002007392	0.0019528259	0.0019609823	0.0020465038	0.001968214	0.0019519147	0.002048115	0.0019678597	0.0019658646	0.0019383032
0.001414302	0.0014529509	0.46569705	0.0014753154	0.0014751934	0.0015942709	0.0014442275	0.0014309753	0.0014366744	0.0014255919	0.3107883	0.0014924472	0.0014358405	0.0014350637	0.0014832363	0.0014658133	0.0014259687	0.0014319246	0.0014943731	0.0014372052	0.0014253034	0.0014955496	0.19149153	0.0014354897	0.0014153642
0.03879774	0.039857976	0.042863462	0.040471487	0.04046814	0.04373473	0.03961867	0.03925513	0.03941147	0.03910745	0.039246634	0.04094146	0.039388593	0.039367285	0.040688775	0.04021082	0.039117787	0.03928117	0.040994287	0.039426032	0.039099537	0.041026562	0.039418936	0.03937897	0.03882688
0.70083016	0.005427456	0.0058367127	0.005510998	0.005510542	0.005955353	0.00539487	0.0053453664	0.0053666555	0.005325257	0.0053442097	0.0055749933	0.0053635403	0.0053606387	0.005540586	0.005475503	0.0053266645	0.005348913	0.0055821873	0.0053686383	0.0053241793	0.0055865822	0.0053676716	0.00536223	0.17357005
0.012456743	0.012797152	0.01376212	0.012994131	0.012993056	0.014041856	0.0127203185	0.012603597	0.012653792	0.012556181	0.012600869	0.013145023	0.012646448	0.012639606	0.013063896	0.01291044	0.0125595005	0.012611958	0.013161986	0.0126584675	0.012553641	0.013172348	0.0126561895	0.6915746	0.012466099
0.0036895291	0.003790354	0.004076165	0.0038486966	0.0038483783	0.0041590193	0.003767597	0.0037330252	0.0037478928	0.0037189815	0.0037322172	0.0038933891	0.0037457172	0.003743691	0.00386936	0.0038239083	0.0037199648	0.0037355018	0.27100754	0.0037492774	0.003718229	0.003901482	0.641543	0.0037448022	0.0036923003
0.00617161	0.006340263	0.00681835	0.0064378553	0.0064373226	0.0069569433	0.0063021965	0.0062443675	0.0062692366	0.006220876	0.006243016	0.006512614	0.006265598	0.0062622083	0.00647242	0.0063963905	0.0062225205	0.00624851	0.0065210178	0.006271553	0.006219617	0.0065261517	0.8471991	0.0062640673	0.0061762454
0.018858677	0.019374033	0.02083493	0.019672247	0.019670619	0.02125843	0.019257713	0.019081004	0.019156996	0.01900922	0.019076874	0.019900687	0.019145878	0.01913552	0.019777866	0.019545542	0.2642738	0.019093663	0.019926367	0.019164074	0.019005373	0.019942055	0.019160625	0.287805	0.018872842
0.0041019544	0.0042140493	0.0045318096	0.2575902	0.00427856	0.0046239253	0.0041887485	0.0041503124	0.004166842	0.004134699	0.004149414	0.004328602	0.0041644233	0.0041621705	0.0043018875	0.0042513544	0.43549854	0.004153066	0.0043341876	0.0041683814	0.0041338624	0.0043376	0.21376696	0.004163406	0.004105035
0.0010809964	0.001110537	0.64314765	0.0011276308	0.0011275376	0.18705158	0.0011038694	0.0010937402	0.0010980963	0.0010896255	0.0010935036	0.0011407253	0.0010974589	0.0010968652	0.0011336851	0.0011203681	0.0010899137	0.0010944658	0.0011421973	0.001098502	0.001089405	0.14549439	0.0010983043	0.0010971908	0.0010818082
0.003352444	0.003444057	0.0037037558	0.0034970695	0.00349678	0.0037790402	0.003423379	0.003391966	0.003405475	0.0033792052	0.0033912319	0.0035376786	0.0034034983	0.16059893	0.003515845	0.0034745457	0.0033800986	0.0033942163	0.0035422435	0.0034067333	0.0033785214	0.0035450323	0.00340612	0.003402667	0.7597494
0.007419476	0.0076222294	0.0081969835	0.0077395546	0.0077389143	0.008363599	0.0075764665	0.0075069442	0.0075368425	0.007478703	0.0075053195	0.007829429	0.5272206	0.0075283926	0.007781108	0.007689706	0.00748068	0.007511925	0.007839532	0.007539627	0.00747719	0.0078457035	0.0075382697	0.29660773	0.0074250484
0.0014709976	0.0015111958	0.9637106	0.0015344569	0.00153433	0.001658181	0.0015021227	0.0014883392	0.0014942668	0.00148274	0.001488017	0.0015522755	0.0014933995	0.0014925916	0.0015426952	0.0015245738	0.001483132	0.0014893266	0.0015542785	0.0014948188	0.0014824399	0.0015555022	0.0014945498	0.0014930347	0.0014721024
0.018858591	0.019373944	0.020834835	0.019672157	0.01967053	0.021258334	0.019257624	0.019080916	0.019156909	0.019009132	0.019076785	0.019900596	0.019145789	0.019135432	0.019777775	0.019545453	0.019014157	0.5330191	0.019926276	0.019163987	0.019005286	0.019941963	0.019160537	0.019141112	0.018872755
0.002631267	0.0027031724	0.002907005	0.0027447809	0.0027445538	0.002966094	0.0026869427	0.0026622873	0.0026728902	0.0026522717	0.002661711	0.0027766542	0.0026713389	0.0026698937	0.0027595174	0.0027271023	0.0026529727	0.0026640536	0.002780237	0.0026738779	0.002651735	0.0027824258	0.0026733966	0.9348506	0.0026332433
0.0016720835	0.0017177769	0.0018473057	0.0017442177	0.0017440735	0.496866	0.0017074635	0.0016917958	0.0016985337	0.0016854311	0.0016914296	0.0017644721	0.0016975477	0.0016966294	0.0017535823	0.0017329836	0.0016858767	0.0016929181	0.001766749	0.0016991613	0.0016850901	0.46368954	0.0016988553	0.0016971331	0.0016733393
0.0018397459	0.0018900211	0.002032538	0.0019191132	0.0019189544	0.0020738523	0.0018786736	0.0018614348	0.0018688483	0.0018544319	0.001861032	0.0019413986	0.0018677636	0.0018667531	0.0019294168	0.0019067526	0.0018549223	0.0018626697	0.0019439037	0.0018695388	0.0018540567	0.0019454341	0.0018692022	0.9544484	0.0018411276
0.0030717999	0.0031557437	0.0033937022	0.0032043185	0.0032040533	0.0034626843	0.0031367969	0.0031080137	0.0031203919	0.0030963211	0.0031073408	0.003241528	0.0031185807	0.0031168933	0.0032215223	0.0031836801	0.0030971395	0.0031100756	0.0032457109	0.0031215446	0.923921	0.0032482662	0.0031209828	0.0031178186	0.003074107
0.009299819	0.009553958	0.010274373	0.009701017	0.0097002145	0.010483216	0.009496597	0.48966065	0.00944693	0.009374057	0.009407419	0.009813668	0.28949025	0.009436339	0.0097531015	0.009638535	0.009376535	0.009415698	0.009826331	0.009450421	0.00937216	0.009834068	0.00944872	0.009439141	0.009306804
0.0036895159	0.00379034	0.0040761502	0.0038486826	0.0038483643	0.004159004	0.0037675833	0.0037330117	0.003747879	0.0037189678	0.0037322037	0.003893375	0.0037457037	0.0037436772	0.003869346	0.0038238943	0.003719951	0.0037354883	0.003898399	0.4548452	0.0037182153	0.003901468	0.003748589	0.0037447885	0.45750016
0.100550205	0.0015111972	0.0016251489	0.0015344582	0.0015343314	0.0016581825	0.0015021241	0.0014883406	0.0014942682	0.0014827413	0.0014880184	0.0015522769	0.0014934008	0.0014925929	0.0015426967	0.0015245752	0.0014831334	0.001489328	0.0015542799	0.0014948202	0.0014824413	0.0015555036	0.0014945512	0.0014930359	0.86447835
0.012456738	0.012797146	0.013762115	0.012994126	0.012993051	0.01404185	0.012720314	0.012603591	0.012653788	0.012556176	0.012600863	0.013145018	0.012646442	0.012639601	0.013063891	0.012910434	0.012559496	0.6915433	0.013161981	0.012658463	0.012553635	0.013172342	0.012656184	0.012643353	0.012466094
0.006171601	0.0063402536	0.00681834	0.006437846	0.15814212	0.006956933	0.0063021877	0.6954684	0.0062692277	0.006220867	0.006243007	0.006512604	0.0062655886	0.006262199	0.00647241	0.006396381	0.0062225116	0.006248501	0.006521008	0.006271544	0.0062196082	0.006526142	0.006270415	0.006264058	0.006176236
0.0074194865	0.0076222406	0.008196995	0.007739566	0.0077389255	0.008363611	0.0075764777	0.0075069554	0.8163018	0.007478714	0.0075053307	0.00782944	0.0075324783	0.0075284033	0.007781119	0.007689717	0.007480691	0.0075119357	0.007839543	0.007539638	0.0074772006	0.007845715	0.0075382804	0.0075306385	0.007425059
0.0074194637	0.0076222173	0.0081969695	0.0077395416	0.007738902	0.008363586	0.007576454	0.007506932	0.00753683	0.0074786907	0.0075053074	0.007829416	0.007532455	0.00752838	0.007781095	0.0076896935	0.007480668	0.0075119124	0.007839519	0.0075396146	0.0074771773	0.0078456905	0.81630385	0.007530615	0.0074250363
0.003352453	0.0034440663	0.0037037656	0.0034970788	0.0034967896	0.0037790502	0.0034233883	0.18276986	0.0034054844	0.0033792143	0.003391241	0.0035376882	0.0034035076	0.0034016664	0.0035158545	0.003474555	0.0033801077	0.0033942254	0.003542253	0.7376204	0.0033785307	0.003545042	0.0034061293	0.0034026762	0.0033549708
0.007419469	0.0076222224	0.008196975	0.007739547	0.007738907	0.0083635915	0.007576459	0.0075069373	0.007536835	0.007478696	0.0075053126	0.007829421	0.00753246	0.46481192	0.0077811005	0.0076896986	0.007480673	0.0075119175	0.007839524	0.0075396197	0.0074771824	0.007845696	0.3590202	0.0075306203	0.0074250414
0.000378512	0.00038885567	0.00041817728	0.0003948411	0.13412592	0.00042667738	0.00038652102	0.00038297428	0.00038449955	0.0003815335	0.0003828914	0.00039942612	0.00038427635	0.00038406847	0.000396961	0.00039229804	0.00038163437	0.00038322835	0.00039994155	0.54093295	0.0003814563	0.00040025642	0.31634912	0.0003841825	0.00037879625
0.0008164338	0.0008387446	0.31622052	0.000851655	0.4042298	0.0009203244	0.0008337089	0.00082605873	0.0008293487	0.0008229511	0.00082588	0.0008615447	0.0008288673	0.0008284189	0.0008562275	0.0008461697	0.00082316867	0.00082660676	0.0008626564	0.0008296551	0.00082278455	0.00086333556	0.00082950573	0.26108858	0.00081704697
