topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.4943872	0.0064111203	0.006886284	0.006455326	0.006556181	0.0067213587	0.0063913325	0.006367011	0.0062322714	0.006363167	0.006392795	0.32605565	0.006367273	0.0061648847	0.0065088645	0.006305091	0.0063691866	0.006472125	0.0064361678	0.006321137	0.006255151	0.0065605724	0.0064091873	0.0063034017	0.0064553395	0.006345267	0.0064155916	0.006446649	0.00636494	0.0062795314
0.38296917	0.0016755039	0.0017996847	0.0016870569	0.0017134146	0.0017565826	0.0016703325	0.0016639762	0.0016287629	0.0016629716	0.0016707147	0.0017229135	0.30075547	0.0016111517	0.0017010487	0.0016477938	0.0016645448	0.27098185	0.0016820498	0.0016519873	0.0016347424	0.0017145622	0.0016749988	0.0016473524	0.0016870603	0.0016582935	0.0016766724	0.001684789	0.0016634351	0.001641114
0.0012054688	0.0012235959	0.43866506	0.0012320329	0.0012512816	0.0012828066	0.0012198193	0.0012151775	0.0011894618	0.0012144438	0.5271362	0.0012582184	0.0012152275	0.0011766006	0.0012422509	0.0012033597	0.0012155927	0.0012352391	0.0012283764	0.0012064222	0.0011938284	0.0012521197	0.0012232271	0.0012030373	0.0012320355	0.0012110275	0.0012244494	0.0012303768	0.0012147822	0.0011984815
0.032816943	0.033310425	0.035779245	0.033540107	0.03406412	0.03492234	0.033207614	0.033081245	0.032381177	0.033061273	0.033215214	0.034252968	0.033082608	0.03203105	0.03381828	0.032759525	0.03309255	0.03362739	0.033440564	0.032842897	0.03250005	0.03408694	0.033300385	0.03275075	0.033540178	0.032968268	0.033333655	0.03349502	0.033070486	0.032626726
0.4801148	0.004567068	0.004905559	0.004598559	0.0046704044	0.004788072	0.004552972	0.004535646	0.004439662	0.004532908	0.004554014	0.0046962965	0.004535833	0.004391658	0.004636698	0.0044915364	0.004537196	0.0046105264	0.0045849113	0.004502967	0.004455961	0.0046735327	0.0045656916	0.004490333	0.0045985687	0.0045201564	0.39184862	0.004592377	0.0045341714	0.0044733286
0.010593387	0.010752684	0.011549626	0.010826826	0.0109959785	0.011273014	0.010719496	0.010678704	0.01045272	0.010672257	0.01072195	0.011056939	0.010679144	0.0103397	0.0109166205	0.010574853	0.010682354	0.010855001	0.010794694	0.0106017655	0.010491094	0.011003344	0.0107494425	0.6877696	0.010826848	0.010642235	0.010760183	0.010812272	0.010675232	0.010531984
0.0031432705	0.0031905372	0.0034270056	0.0032125367	0.0032627275	0.0033449295	0.0031806896	0.003168586	0.0031015319	0.003166673	0.0031814177	0.0032808157	0.9073867	0.0030679964	0.0032391804	0.003137771	0.0031696686	0.003220897	0.0032030023	0.0031457564	0.003112918	0.003264913	0.0031895754	0.0031369305	0.0032125434	0.003157765	0.0031927624	0.0032082181	0.0031675554	0.0031250513
0.005255177	0.0053342017	0.0057295486	0.005370982	0.005454895	0.005592327	0.0053177373	0.0052975016	0.005185395	0.0052943034	0.0053189546	0.0054851365	0.8451617	0.0051293275	0.005415527	0.0052459827	0.0052993116	0.0053849593	0.0053550415	0.005259333	0.0052044312	0.005458549	0.0053325933	0.0052445773	0.005370993	0.0052794097	0.0053379214	0.005363762	0.0052957786	0.0052247164
0.016016588	0.016257437	0.017462365	0.016369535	0.016625283	0.017044146	0.016207257	0.016145583	0.015803909	0.016135836	0.016210968	0.016717453	0.016146248	0.015633028	0.016505297	0.015988566	0.52809256	0.016412135	0.016320951	0.016029255	0.015861927	0.01663642	0.016252536	0.015984282	0.016369568	0.016090443	0.016268775	0.01634753	0.016140332	0.015923752
0.0034943358	0.19209805	0.0038097606	0.39435726	0.0036271347	0.0037185175	0.0035359343	0.0035224785	0.0034479355	0.003520352	0.0035367433	0.0036472431	0.0035226238	0.0034106544	0.0036009576	0.0034882221	0.0035236822	0.003580632	0.0035607389	0.0034970993	0.0034605933	0.0036295643	0.31772915	0.0034872876	0.0035713455	0.0035104488	0.0035493553	0.0035665373	0.003521333	0.0034740816
