topic_0	topic_1	topic_2	topic_3
0.8694675	0.040700786	0.0456919	0.044139877
0.9669758	0.010144631	0.011416925	0.011462586
0.038716663	0.0074118422	0.94551456	0.00835692
0.22461404	0.24005468	0.27002847	0.26530275
0.9076764	0.028378485	0.032107167	0.03183796
0.063436545	0.78432727	0.0767118	0.075524375
0.24716726	0.70859945	0.022314519	0.021918764
0.8932217	0.032873005	0.037360772	0.036544554
0.09865345	0.105787136	0.12002066	0.6755388
0.020166095	0.70662975	0.24890347	0.02430074
0.00525071	0.005618748	0.98277247	0.0063580708
0.016572176	0.017942218	0.945568	0.019917566
0.6062668	0.04027898	0.044866633	0.3085876
0.0071856873	0.007657938	0.97660536	0.008551043
0.6546355	0.10696844	0.11985472	0.11854138
0.012804764	0.9563044	0.015448111	0.015442752
0.008154751	0.008706545	0.97333217	0.009806528
0.008949274	0.9696188	0.010817644	0.01061433
0.014973977	0.01622626	0.20720233	0.76159745
0.04725654	0.050310332	0.056619715	0.84581345
0.018059801	0.24679993	0.021736031	0.7134043
0.007149205	0.12807404	0.008752165	0.8560246
0.7793802	0.06833237	0.07660215	0.07568528
0.89451313	0.032736678	0.03673947	0.036010727
0.037389867	0.87287515	0.045129817	0.044605166
0.87094575	0.03973502	0.045154218	0.044165056
0.016491964	0.017891537	0.020085247	0.9455313
0.03686997	0.8713763	0.046462126	0.045291647
0.99360925	0.0019643896	0.0022440027	0.00218235
0.0039817244	0.7176094	0.27365655	0.0047523445
0.013818986	0.015022414	0.016768297	0.95439035
0.012046438	0.012956917	0.9606897	0.014306927
0.06345734	0.7789275	0.077009484	0.08060564
0.0026088348	0.991102	0.0031572022	0.0031320618
0.06317706	0.068796374	0.07607825	0.7919483
0.018081916	0.019555852	0.021770468	0.94059175
0.77971643	0.06835942	0.07627628	0.0756479
0.008181399	0.008750693	0.00990245	0.9731655
0.9364623	0.019455126	0.021880968	0.022201624
0.96678185	0.010200038	0.011511825	0.011506305
0.011907718	0.9593057	0.014440941	0.0143456645
0.008949006	0.81019545	0.010897891	0.16995771
0.22461404	0.24005468	0.27002847	0.26530275
0.0033638799	0.16006486	0.0041340683	0.8324372
0.22461404	0.24005468	0.27002847	0.26530275
0.06414414	0.7830433	0.07690004	0.07591246
0.018059364	0.9379109	0.022553062	0.021476625
0.018034797	0.019311236	0.021986244	0.94066775
0.030628063	0.03295577	0.037303407	0.89911276
0.022924509	0.9211586	0.027890474	0.028026413
0.098970234	0.10687333	0.124800965	0.66935545
0.018111907	0.9384845	0.021876233	0.021527382
0.030754562	0.033246975	0.037183966	0.8988145
0.0010526696	0.001124286	0.6661192	0.33170387
0.06374266	0.7842154	0.07671609	0.075325854
0.99416465	0.0017932195	0.0020531109	0.001989038
0.012053777	0.4419493	0.014818506	0.5311784
0.099329755	0.10570918	0.11957263	0.67538846
0.008525872	0.009069772	0.972314	0.010090422
0.018293196	0.019583134	0.022142317	0.93998134
0.02317785	0.024466693	0.028030558	0.92432487
