topic_0	topic_1	topic_2	topic_3	topic_4	topic_5
0.8613242	0.025958745	0.0295082	0.026831025	0.026376007	0.030001828
0.51972306	0.006606895	0.007509587	0.4517845	0.006732164	0.0076438133
0.0045572543	0.0048120758	0.97518766	0.00498101	0.0049024243	0.005559608
0.15061453	0.15907091	0.18071578	0.16447824	0.16171122	0.18340935
0.9022485	0.018293079	0.020802066	0.018927189	0.018594839	0.021134304
0.042254657	0.76405454	0.050732795	0.046161864	0.04536286	0.051433306
0.012015329	0.93281835	0.014453957	0.013126603	0.0129064405	0.01467932
0.2474886	0.021470955	0.024421386	0.02220084	0.02180822	0.66261
0.065945156	0.069666095	0.07925317	0.63363266	0.07094567	0.08055724
0.013374194	0.5226294	0.4186661	0.014624422	0.014359157	0.016346797
0.0034759012	0.0036707467	0.724414	0.003798997	0.0037328987	0.26090744
0.010889296	0.011508306	0.24291977	0.011910413	0.7095043	0.013267944
0.36575767	0.025951944	0.029558277	0.026855797	0.5218828	0.029993542
0.004739271	0.005003782	0.9742015	0.005176671	0.0050904965	0.00578827
0.6278428	0.06969012	0.07918962	0.072064884	0.070855655	0.08035697
0.008521404	0.9524111	0.010227074	0.009313844	0.009150877	0.010375711
0.005390262	0.005692268	0.0064922036	0.0058894646	0.0057878643	0.97074795
0.005937442	0.9668015	0.0071368976	0.006488758	0.006391539	0.0072438587
0.009961834	0.010531874	0.5135559	0.010890291	0.44290605	0.012154077
0.031061187	0.032812554	0.03730786	0.03408117	0.8267793	0.037957903
0.012006526	0.012692733	0.01440806	0.013134357	0.9331346	0.014623748
0.0047372715	0.005011393	0.0057000592	0.973679	0.0050884434	0.005783851
0.76179683	0.044606656	0.050684694	0.046125844	0.045352586	0.051433355
0.59310097	0.021456614	0.02438145	0.022178547	0.3141228	0.024759585
0.024579512	0.86266977	0.029523911	0.026852727	0.026393894	0.029980205
0.3426995	0.025965339	0.029534355	0.026848057	0.02637169	0.54858106
0.01089264	0.011514677	0.013107496	0.385917	0.56521153	0.013356652
0.024561495	0.025971876	0.029590895	0.86354345	0.026410079	0.029922163
0.0012128075	0.0012814524	0.0014574232	0.0013250171	0.20227197	0.7924513
0.002622695	0.15250902	0.0031573216	0.0028658127	0.83564925	0.0031959037
0.009183961	0.009718013	0.011035908	0.9489721	0.009873833	0.011216176
0.007940149	0.008392247	0.74306375	0.008679338	0.22225323	0.009671282
0.04223698	0.04474252	0.050699055	0.04613932	0.7646924	0.05148971
0.0017320672	0.94047433	0.0020811348	0.0018939489	0.05170624	0.0021122976
0.042218413	0.044619642	0.05067611	0.04613967	0.76492447	0.05142172
0.012008538	0.012689784	0.014410627	0.93337315	0.012897358	0.014620555
0.042216163	0.04460606	0.050671693	0.04613273	0.76495993	0.051413428
0.005390932	0.0056951717	0.0064727757	0.8428498	0.0057897395	0.13380155
0.012005381	0.0126794875	0.014408092	0.013130574	0.9331555	0.014620952
0.4157941	0.006610065	0.0075178253	0.5557115	0.0067184735	0.007647966
0.007945408	0.95556074	0.009561429	0.008700738	0.008538394	0.00969323
0.005936964	0.60027707	0.0071358616	0.37302265	0.0063770455	0.0072504445
