topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89
0.0021708705	0.002196774	0.002199641	0.0021924211	0.0022632037	0.0021915112	0.0021780843	0.002185243	0.002185169	0.0021708705	0.0021923308	0.0021924335	0.0021708705	0.002178011	0.0021995774	0.0021781044	0.002221353	0.0021708705	0.0021708705	0.0021780347	0.0021708705	0.0021708705	0.002206697	0.0021708705	0.0021708705	0.0022139524	0.0022352564	0.0021780443	0.0021780105	0.0021708705	0.002177976	0.002192422	0.002206708	0.0021851927	0.0021995683	0.0022213843	0.0022065346	0.0021708705	0.0022240733	0.0021780678	0.0021995488	0.0021781558	0.0021925604	0.002185117	0.0021780238	0.0022280102	0.002206994	0.0021992684	0.0021853663	0.0021924027	0.002185208	0.0022067905	0.0021924349	0.0021780804	0.0022137675	0.0022316282	0.002178011	0.002177976	0.0021923238	0.0021924821	0.00219939	0.0021923373	0.002185205	0.0022067353	0.0021781044	0.0022067407	0.0021853652	0.0021925317	0.0021851403	0.002178044	0.0022207464	0.0021708705	0.0021781002	0.0021924705	0.0021780923	0.002185251	0.0021779954	0.8046908	0.0022140478	0.0023317211	0.0021997788	0.0021924106	0.0022800507	0.0021852562	0.0021780606	0.0022069025	0.00219248	0.0021924854	0.002228312	0.0021850816
0.0005699629	0.0005767638	0.00057751656	0.00057562103	0.000594205	0.0005753821	0.00057185686	0.0005737364	0.00057371694	0.0005699629	0.0005755973	0.0005756242	0.0005699629	0.0005718376	0.00057749986	0.00057186215	0.000583217	0.0005699629	0.0005699629	0.0005718438	0.0005699629	0.0005699629	0.0005793691	0.0005699629	0.0005699629	0.000581274	0.0005868674	0.0005718463	0.0005718375	0.0005699629	0.00057182845	0.00057562126	0.00057937205	0.00057372317	0.00057749747	0.0005832253	0.00057932653	0.0005699629	0.0005839312	0.0005718525	0.00057749235	0.0005718756	0.0005756575	0.0005737033	0.0005718409	0.00058496493	0.0005794471	0.0005774188	0.00057376875	0.00057561614	0.0005737272	0.0005793937	0.0005756246	0.0005718558	0.0005812255	0.00058591476	0.0005718376	0.00057182845	0.0005755955	0.000575637	0.0005774507	0.00057559897	0.00057372643	0.00057937915	0.00057186215	0.0005793806	0.00057376846	0.00057565	0.0005737094	0.00057184626	0.00058305776	0.0005699629	0.9487216	0.00057563395	0.00057185895	0.0005737385	0.0005718335	0.0005718284	0.0005812991	0.00061219424	0.00057755277	0.00057561824	0.00059862813	0.0005737399	0.00057185057	0.00057942304	0.00057563646	0.00057563785	0.00058504415	0.000573694
0.0004164194	0.00042138822	0.0004219382	0.0004205533	0.00043413092	0.00042037875	0.00041780315	0.00041917636	0.00041916218	0.0004164194	0.00042053594	0.00042055562	0.0004164194	0.00041778912	0.000421926	0.00041780702	0.000426103	0.0004164194	0.0004164194	0.00041779366	0.0004164194	0.0004164194	0.0004232917	0.0004164194	0.0004164194	0.0004246834	0.00042877	0.0004177955	0.00041778904	0.0004164194	0.0004177824	0.0004205535	0.00042329382	0.00041916672	0.00042192425	0.00042610904	0.0004232606	0.0004164194	0.0004266248	0.0004178	0.00042192053	0.0004178169	0.00042057998	0.0004191522	0.00041779154	0.00042738006	0.00042334868	0.00042186675	0.00041920002	0.00042054974	0.00041916966	0.00042330963	0.0004205559	0.0004178024	0.00042464797	0.000428074	0.00041778912	0.0004177824	0.00042053463	0.000420565	0.00042189006	0.0004205372	0.00041916908	0.00042329903	0.00041780702	0.00042330008	0.00041919982	0.00042057448	0.00041915665	0.00041779547	0.9625437	0.0004164194	0.0004178062	0.00042056275	0.0004178047	0.0004191779	0.00041778613	0.00041778237	0.00042470175	0.00044727398	0.00042196465	0.00042055125	0.0004373625	0.00041917892	0.0004177986	0.0004233311	0.00042056458	0.0004205656	0.00042743795	0.0004191454
0.010992463	0.011123627	0.011138145	0.011101587	0.011460003	0.0110969795	0.01102899	0.011065239	0.011064865	0.010992463	0.011101129	0.011101648	0.010992463	0.0110286195	0.011137824	0.011029093	0.011248086	0.010992463	0.010992463	0.01102874	0.010992463	0.010992463	0.011173874	0.010992463	0.010992463	0.011210612	0.011318488	0.011028788	0.011028618	0.010992463	0.0110284425	0.011101592	0.011173931	0.011064985	0.011137777	0.011248245	0.011173053	0.010992463	0.011261861	0.011028907	0.011137678	0.011029352	0.011102291	0.011064602	0.011028684	0.011281797	0.011175378	0.011136259	0.011065864	0.011101494	0.011065062	0.011174348	0.011101657	0.011028971	0.011209677	0.011300116	0.0110286195	0.0110284425	0.011101094	0.011101896	0.011136875	0.011101162	0.011065047	0.011174068	0.011029093	0.011174095	0.011065858	0.0111021465	0.011064719	0.011028787	0.011245015	0.010992463	0.01102907	0.011101837	0.011029031	0.01106528	0.01102854	0.011028442	0.011211095	0.011806948	0.011138843	0.011101534	0.011545309	0.011065306	0.01102887	0.011174914	0.011101885	0.011101912	0.011283325	0.011064422
0.0015492344	0.0015677202	0.0015697662	0.0015646139	0.0016151277	0.0015639645	0.0015543824	0.0015594913	0.0015594384	0.0015492344	0.0015645494	0.0015646226	0.0015492344	0.0015543301	0.0015697209	0.0015543968	0.0015852608	0.0015492344	0.0015492344	0.0015543471	0.0015492344	0.0015492344	0.0015748017	0.0015492344	0.0015492344	0.0015799796	0.001595183	0.0015543539	0.0015543299	0.0015492344	0.0015543052	0.0015646146	0.0015748098	0.0015594554	0.0015697144	0.0015852833	0.001574686	0.0015492344	0.0015872023	0.0015543706	0.0015697005	0.0015544335	0.0015647132	0.0015594014	0.0015543392	0.001590012	0.0015750137	0.0015695005	0.0015595793	0.0015646007	0.0015594664	0.0015748686	0.0015646237	0.0015543796	0.49066043	0.0015925937	0.0015543301	0.0015543052	0.0015645445	0.0015646574	0.0015695872	0.001564554	0.0015594641	0.0015748291	0.0015543968	0.001574833	0.0015595785	0.0015646927	0.0015594179	0.0015543537	0.001584828	0.0015492344	0.0015543938	0.0015646492	0.0015543881	0.001559497	0.001554319	0.3715377	0.0015800477	0.0016640248	0.0015698647	0.0015646063	0.0016271503	0.0015595007	0.0015543655	0.0015749484	0.0015646559	0.0015646596	0.0015902274	0.001559376
0.003625714	0.003668977	0.26885378	0.0036617073	0.0037799259	0.0036601874	0.003637762	0.0036497184	0.0036495947	0.003625714	0.0036615562	0.40864533	0.003625714	0.0036376398	0.0036736592	0.0036377958	0.0037100278	0.003625714	0.003625714	0.0036376794	0.003625714	0.003625714	0.00368555	0.003625714	0.003625714	0.0036976677	0.003733249	0.0036376952	0.003637639	0.003625714	0.0036375814	0.0036617087	0.0036855687	0.0036496345	0.0036736438	0.0037100802	0.003685279	0.003625714	0.0037145712	0.0036377346	0.0036736114	0.0036378817	0.0036619394	0.003649508	0.003637661	0.0037211468	0.0036860462	0.0036731432	0.0036499244	0.0036616763	0.0036496602	0.0036857063	0.00366173	0.0036377555	0.003697359	0.0037271893	0.0036376398	0.0036375814	0.0036615445	0.003661809	0.0036733462	0.003661567	0.003649655	0.0036856139	0.0036377958	0.003685623	0.0036499226	0.0036618917	0.0036495468	0.003637695	0.0037090147	0.003625714	0.0036377886	0.0036617897	0.0036377755	0.0036497319	0.0036376137	0.0036375811	0.0036978272	0.003894361	0.0036739956	0.0036616893	0.0038080628	0.0036497405	0.0036377225	0.0036858933	0.0036618055	0.0036618141	0.003721651	0.0036494487
0.0010837363	0.0010966677	0.0010980989	0.0010944948	0.0011298307	0.0010940405	0.0010873375	0.0010909113	0.0010908743	0.0010837363	0.0010944497	0.0010945009	0.0010837363	0.001087301	0.0010980673	0.0010873476	0.0011089379	0.0010837363	0.0010837363	0.0010873128	0.0010837363	0.0010837363	0.7176749	0.0010837363	0.0010837363	0.0011052435	0.0011158788	0.0010873176	0.0010873007	0.0010837363	0.0010872835	0.0010944953	0.001101627	0.0010908862	0.0010980627	0.0011089536	0.0011015405	0.0010837363	0.001110296	0.0010873294	0.001098053	0.0010873732	0.0010945642	0.0010908485	0.0010873072	0.0011122614	0.0011017697	0.18593559	0.0010909728	0.0010944855	0.0010908939	0.0011016682	0.0010945016	0.0010873355	0.0011051513	0.0011140675	0.001087301	0.0010872835	0.0010944462	0.0010945252	0.0010979737	0.0010944529	0.0010908924	0.0011016405	0.0010873476	0.0011016433	0.0010909723	0.0010945499	0.00109086	0.0010873175	0.0011086352	0.0010837363	0.0010873454	0.0010945194	0.0010873415	0.0010909153	0.0010872931	0.0010872834	0.0011052911	0.0011640356	0.0010981678	0.0010944895	0.0011382409	0.001090918	0.0010873256	0.0011017241	0.0010945242	0.0010945267	0.0011124121	0.0010908307
0.0018081121	0.0018296869	0.0018320748	0.0018260616	0.0018850162	0.0018253037	0.0018141203	0.0018200829	0.0018200213	0.0018081121	0.0018259863	0.0018260718	0.0018081121	0.0018140593	0.001832022	0.0018141372	0.0018501587	0.0018081121	0.0018081121	0.0018140791	0.0018081121	0.0018081121	0.0018379518	0.0018081121	0.0018081121	0.0018439948	0.0018617389	0.001814087	0.0018140591	0.0018081121	0.0018140302	0.0018260623	0.0018379611	0.001820041	0.0018320143	0.0018501849	0.0018378167	0.0018081121	0.0018524245	0.8373276	0.0018319981	0.0018141799	0.0018261774	0.001819978	0.0018140699	0.0018557037	0.0018381992	0.0018317647	0.0018201856	0.0018260462	0.0018200538	0.0018380297	0.0018260729	0.0018141171	0.0018438408	0.001858717	0.0018140593	0.0018140302	0.0018259805	0.0018261124	0.0018318659	0.0018259918	0.0018200513	0.0018379837	0.0018141372	0.0018379883	0.0018201846	0.0018261536	0.0018199973	0.0018140869	0.0018496535	0.0018081121	0.0018141336	0.0018261027	0.0018141271	0.0018200896	0.0018140464	0.0018140301	0.0018440743	0.001942084	0.0018321897	0.0018260528	0.0018990479	0.001820094	0.0018141007	0.001838123	0.0018261106	0.001826115	0.001855955	0.0018199484
0.0054528685	0.005517933	0.005525135	0.0055070003	0.0056847944	0.0055047143	0.005470988	0.00548897	0.0054887836	0.0054528685	0.005506773	0.0055070305	0.0054528685	0.005470804	0.0055249752	0.0054710386	0.0055796714	0.0054528685	0.0054528685	0.0054708635	0.0054528685	0.0054528685	0.0055428585	0.0054528685	0.0054528685	0.0055610826	0.005614595	0.0054708878	0.005470803	0.0054528685	0.0054707164	0.0055070026	0.0055428864	0.005488843	0.0055249524	0.0055797505	0.005542451	0.0054528685	0.0055865045	0.005470947	0.0055249035	0.0054711676	0.0055073495	0.005488653	0.005470836	0.005596394	0.0055436045	0.0055241995	0.0054892795	0.0055069537	0.005488882	0.0055430937	0.0055070342	0.005470978	0.0055606184	0.005605481	0.005470804	0.0054707164	0.005506756	0.005507153	0.0055245045	0.0055067893	0.0054888744	0.0055429544	0.50941586	0.005542968	0.0054892767	0.0055072773	0.0054887114	0.0054708873	0.005578148	0.0054528685	0.005471028	0.005507124	0.0054710084	0.00548899	0.005470765	0.005470716	0.0055613224	0.005856898	0.005525481	0.0055069732	0.0057271104	0.005489003	0.0054709283	0.0055433745	0.005507148	0.005507161	0.005597152	0.0054885643
0.0012043606	0.0012187313	0.0012203219	0.0012163166	0.0012555855	0.0012158117	0.0012083626	0.0012123343	0.0012122932	0.0012043606	0.0012162664	0.0012163233	0.0012043606	0.001208322	0.0012202867	0.0012083738	0.0012323674	0.0012043606	0.0012043606	0.0012083352	0.0012043606	0.0012043606	0.0012242364	0.0012043606	0.0012043606	0.0012282616	0.0012400807	0.0012083405	0.0012083218	0.0012043606	0.0012083027	0.0012163171	0.0012242427	0.0012123063	0.0012202816	0.0012323847	0.89166176	0.0012043606	0.0012338766	0.0012083536	0.0012202708	0.0012084023	0.0012163937	0.0012122643	0.0012083291	0.0012360608	0.0012244013	0.0012201153	0.0012124026	0.0012163064	0.0012123148	0.0012242884	0.0012163242	0.0012083604	0.0012281591	0.0012380679	0.001208322	0.0012083027	0.0012162626	0.0012163504	0.0012201827	0.00121627	0.0012123132	0.0012242578	0.0012083738	0.0012242607	0.001212402	0.0012163778	0.0012122772	0.0012083404	0.0012320308	0.0012043606	0.0012083715	0.001216344	0.0012083671	0.0012123387	0.0012083134	0.0012083026	0.0012283146	0.0012935976	0.0012203985	0.0012163107	0.0012649318	0.0012123416	0.0012083495	0.0012243505	0.0012163492	0.0012163521	0.0012362282	0.0012122446
