id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13486530	ARROW	use bundle orc cmake	test cpp noformat building apache orc source cmake error specify link library target build project stack recent include noformat	['pull-request-available']	1	4	Resolved	34	['cpp', 'use', 'fail', 'error', 'run', 'return', 'pyarrow', 'add', 'support', 'file']
13281806	ARROW	build repository package	apache arrow archive keyring failure noformat apache arrow archive noformat apache arrow release failure noformat tmp rpm tmp line apache arrow file directory noformat	['pull-request-available']	3	4	Resolved	28	['file', 'package', 'fail', 'add', 'return', 'run', 'pyarrow', 'cpp', 'support', 'use']
13386954	ARROW	add csv writer documentation	new csv writer python possibly language documentation user check site probably believe csv writer	['pull-request-available']	3	4	Resolved	24	['add', 'error', 'fail', 'file', 'return', 'run', 'pyarrow', 'cpp', 'support', 'use']
13334145	ARROW	string split kernel propagate null correctly sliced input	sure specific test issue valid behavior write test following test fail code java bar foo null bar foo null option code follow output code java fail got foo bar foo null expect foo bar foo null code output array see unequal	['pull-request-available']	4	4	Resolved	21	['test', 'fail', 'run', 'pyarrow', 'cpp', 'error', 'return', 'add', 'support', 'file']
13398254	ARROW	deprecate parquet pseudo version	currently member enable hodgepodge feature actually add parquet format allow fine grain selection format version deprecate value add value	['pull-request-available']	3	3	Resolved	24	['add', 'error', 'fail', 'file', 'return', 'run', 'pyarrow', 'cpp', 'support', 'use']
13437567	ARROW	add support llvm	ubuntu ship llvm	['pull-request-available']	3	4	Resolved	9	['support', 'type', 'error', 'add', 'pyarrow', 'test', 'return', 'run', 'file', 'fail']
13283607	ARROW	support nest dictionary json integration format	disabled library implementation support dictionary dictionary ipc believe need integration test	['pull-request-available']	3	4	Resolved	9	['support', 'type', 'error', 'add', 'pyarrow', 'test', 'return', 'run', 'file', 'fail']
13368930	ARROW	fix compressed file reading stream end file	initially report arrow user mailing list private access actual file	['pull-request-available']	3	1	Resolved	28	['file', 'package', 'fail', 'add', 'return', 'run', 'pyarrow', 'cpp', 'support', 'use']
13298378	ARROW	prefer original mirror bundle thirdparty dependency	currently ursa lab mirror high priority consider original mirror reliable	['pull-request-available']	3	3	Resolved	68	['cpp', 'error', 'type', 'return', 'test', 'package', 'run', 'use', 'file', 'fail']
13307774	ARROW	pyarrow documentation pip nightlies reference location	pyarrow documentation give option nightly build use anaconda use pip anaconda command work command pip send user url sphinx doc need update correct url	['pull-request-available']	4	3	Resolved	73	['pyarrow', 'run', 'fail', 'add', 'return', 'support', 'cpp', 'test', 'file', 'error']
13365315	ARROW	extract ipcfragmentscanoption parquetfragmentscanoption	follow	['dataset', 'datasets', 'pull-request-available']	3	3	Resolved	68	['cpp', 'error', 'type', 'return', 'test', 'package', 'run', 'use', 'file', 'fail']
13102443	ARROW	fix valgrind warning cuda test possible	run cuda test fail big issue worth investigate	['pull-request-available']	3	1	Resolved	110	['run', 'test', 'fail', 'error', 'add', 'return', 'pyarrow', 'cpp', 'support', 'file']
13327731	ARROW	disable sphinx api documentation build take hour master	reason unclear build log suggest turn gets resolve	['pull-request-available']	3	3	Resolved	68	['cpp', 'error', 'type', 'return', 'test', 'package', 'run', 'use', 'file', 'fail']
13500690	ARROW	signature find call executeupdate flightsql prepared statement	hey folk hit signature find npe precondition prepare dml statement executeupdate prepare step work fine code precondition checknotnull arrowflightmetaimpl execute arrowflightmetaimpl execute avaticaconnection executequeryinternal avaticapreparedstatement executelargeupdate avaticapreparedstatement executeupdate code null situation call executequeryinternal null signature regardless signature prepared statement non null enjoy play flightsql far thank james	['pull-request-available']	3	1	Resolved	68	['cpp', 'error', 'type', 'return', 'test', 'package', 'run', 'use', 'file', 'fail']
13481159	ARROW	add substrait flight sql		['pull-request-available']	3	2	Resolved	24	['add', 'error', 'fail', 'file', 'return', 'run', 'pyarrow', 'cpp', 'support', 'use']
13139539	ARROW	python asv benchmark setup account library change	create helper script run currently define benchmark specific commit ensure run pristine date release build arrow dependency like parquet cpp commit	['pull-request-available']	3	1	Resolved	110	['run', 'test', 'fail', 'error', 'add', 'return', 'pyarrow', 'cpp', 'support', 'file']
13317047	ARROW	fix failure cause malforme repetition definition level	fix case discover oss fuzz	['pull-request-available']	3	1	Resolved	68	['cpp', 'error', 'type', 'return', 'test', 'package', 'run', 'use', 'file', 'fail']
13311142	ARROW	add	useful compute total data size binary array sample implementation code const return code	['pull-request-available']	4	4	Resolved	101	['package', 'return', 'pyarrow', 'file', 'test', 'run', 'add', 'type', 'error', 'use']
13433410	ARROW	clarify	java flight usage locations flightendpoint location field flightendpoint mean particular interpretation clear protocol comment	['pull-request-available']	3	4	Resolved	68	['cpp', 'error', 'type', 'return', 'test', 'package', 'run', 'use', 'file', 'fail']
13272600	ARROW	remove duplicate nightly job	run test push github actions	['pull-request-available']	3	4	Resolved	88	['test', 'run', 'add', 'support', 'return', 'pyarrow', 'cpp', 'fail', 'use', 'file']
13413192	ARROW	fix crash validate corrupt list array oss fuzz	find oss fuzz	['pull-request-available']	3	1	Resolved	68	['cpp', 'error', 'type', 'return', 'test', 'package', 'run', 'use', 'file', 'fail']
