topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99
0.0019879797	0.0020071943	0.0019879797	0.0020007687	0.0019879797	0.0020006793	0.0019879797	0.0019879797	0.00200096	0.002000717	0.0020008418	0.0020134475	0.0020007223	0.30701438	0.0019943628	0.0019879797	0.002000783	0.002000807	0.0019879797	0.0019879797	0.0019879797	0.002026254	0.0019943262	0.0019879797	0.0019879797	0.002007208	0.0019945528	0.0019879797	0.0019879797	0.0019879797	0.0019943628	0.0019879797	0.0019879797	0.0019879797	0.0019879797	0.0019879797	0.0019879797	0.0019944527	0.0019943751	0.0019879797	0.0019879797	0.0019945125	0.0019944094	0.0019943628	0.0019943856	0.001994347	0.0019879797	0.0019879797	0.0020072944	0.0019879797	0.0019944438	0.0019944094	0.0019944324	0.0019879797	0.0019879797	0.0019879797	0.0019879797	0.002013556	0.0020071296	0.0019943628	0.0019944024	0.0019879797	0.0019879797	0.0020071364	0.0019879797	0.0019879797	0.0019879797	0.2974376	0.0020203323	0.0019879797	0.0019879797	0.0019879797	0.0019944154	0.0019879797	0.0020071683	0.0019879797	0.0019944094	0.0019879797	0.0019943628	0.002000804	0.0019879797	0.0019944636	0.0019879797	0.20214427	0.002013602	0.0019943628	0.0019946152	0.0019879797	0.0019879797	0.0019879797	0.0019943875	0.0019943947	0.0019879797	0.001993456	0.001994347	0.0020007824	0.0019879797	0.0019879797	0.0020008774	0.0019879797
0.0033149556	0.0033469961	0.0033149556	0.0033362813	0.0033149556	0.003336132	0.0033149556	0.0033149556	0.0033366005	0.003336195	0.003336403	0.003357423	0.0033362038	0.0033363567	0.0033255995	0.0033149556	0.0033363053	0.6708374	0.0033149556	0.0033149556	0.0033149556	0.0033787782	0.0033255382	0.0033149556	0.0033149556	0.0033470187	0.0033259164	0.0033149556	0.0033149556	0.0033149556	0.0033255992	0.0033149556	0.0033149556	0.0033149556	0.0033149556	0.0033149556	0.0033149556	0.0033257492	0.0033256202	0.0033149556	0.0033149556	0.003325849	0.003325677	0.0033255995	0.0033256374	0.0033255732	0.0033149556	0.0033149556	0.0033471629	0.0033149556	0.0033257345	0.003325677	0.0033257154	0.0033149556	0.0033149556	0.0033149556	0.0033149556	0.003357604	0.0033468879	0.0033255992	0.0033256654	0.0033149556	0.0033149556	0.0033468995	0.0033149556	0.0033149556	0.0033149556	0.0033363206	0.0033689034	0.0033149556	0.0033149556	0.0033149556	0.0033256873	0.0033149556	0.0033469526	0.0033149556	0.003325677	0.0033149556	0.0033255995	0.0033363402	0.0033149556	0.0033257673	0.0033149556	0.0033255732	0.003357681	0.0033255992	0.0033260202	0.0033149556	0.0033149556	0.0033149556	0.0033256407	0.0033256523	0.0033149556	0.003324087	0.0033255732	0.0033363043	0.0033149556	0.0033149556	0.0033364624	0.0033149556
0.0049755503	0.0050236415	0.0049755503	0.005007559	0.0049755503	0.005007335	0.0049755503	0.0049755503	0.005008038	0.005007429	0.0050077415	0.0050392915	0.0050074426	0.005007672	0.0049915262	0.0049755503	0.005007595	0.005007655	0.0049755503	0.0049755503	0.0049755503	0.0050713443	0.0049914345	0.0049755503	0.0049755503	0.0050236755	0.0049920017	0.0049755503	0.0049755503	0.0049755503	0.004991526	0.0049755503	0.0049755503	0.0049755503	0.0049755503	0.0049755503	0.0049755503	0.0049917507	0.004991557	0.0049755503	0.0049755503	0.004991901	0.0049916427	0.0049915262	0.004991583	0.5059303	0.0049755503	0.0049755503	0.0050238916	0.0049755503	0.004991729	0.0049916427	0.0049917004	0.0049755503	0.0049755503	0.0049755503	0.0049755503	0.005039563	0.005023479	0.004991526	0.0049916254	0.0049755503	0.0049755503	0.005023496	0.0049755503	0.0049755503	0.0049755503	0.005007618	0.005056523	0.0049755503	0.0049755503	0.0049755503	0.004991658	0.0049755503	0.005023576	0.0049755503	0.0049916427	0.0049755503	0.0049915262	0.0050076474	0.0049755503	0.004991778	0.0049755503	0.0049914867	0.0050396784	0.004991526	0.0049921577	0.0049755503	0.0049755503	0.0049755503	0.0049915877	0.0049916054	0.0049755503	0.004989256	0.0049914867	0.0050075934	0.0049755503	0.0049755503	0.005007831	0.0049755503
0.0016564413	0.0016724515	0.0016564413	0.0016670974	0.0016564413	0.0016670228	0.0016564413	0.0016564413	0.0016672569	0.0016670543	0.0016671583	0.0016776617	0.0016670588	0.0016671352	0.0016617599	0.0016564413	0.0016671093	0.0016671295	0.0016564413	0.0016564413	0.0016564413	0.40722364	0.0016617293	0.0016564413	0.0016564413	0.0016724629	0.0016619182	0.0016564413	0.0016564413	0.0016564413	0.0016617598	0.0016564413	0.0016564413	0.0016564413	0.0016564413	0.0016564413	0.0016564413	0.0016618347	0.0016617702	0.0016564413	0.0016564413	0.0016618846	0.0016617986	0.0016617599	0.0016617789	0.0016617468	0.0016564413	0.0016564413	0.0016725347	0.0016564413	0.0016618273	0.0016617986	0.0016618179	0.0016564413	0.0016564413	0.0016564413	0.0016564413	0.001677752	0.0016723975	0.0016617598	0.0016617929	0.0016564413	0.0016564413	0.0016724032	0.0016564413	0.0016564413	0.0016564413	0.42998624	0.0016833983	0.0016564413	0.0016564413	0.0016564413	0.0016618037	0.0016564413	0.0016724297	0.0016564413	0.0016617986	0.0016564413	0.0016617599	0.0016671269	0.0016564413	0.0016618439	0.0016564413	0.0016617468	0.0016777905	0.0016617598	0.00166197	0.0016564413	0.0016564413	0.0016564413	0.0016617804	0.0016617863	0.0016564413	0.0016610041	0.0016617468	0.0016671089	0.0016564413	0.0016564413	0.001667188	0.0016564413
0.0033149577	0.0033469982	0.0033149577	0.6708371	0.0033149577	0.0033361341	0.0033149577	0.0033149577	0.0033366026	0.003336197	0.0033364051	0.003357425	0.0033362058	0.0033363588	0.0033256016	0.0033149577	0.0033363074	0.0033363474	0.0033149577	0.0033149577	0.0033149577	0.0033787803	0.0033255403	0.0033149577	0.0033149577	0.003347021	0.0033259185	0.0033149577	0.0033149577	0.0033149577	0.0033256013	0.0033149577	0.0033149577	0.0033149577	0.0033149577	0.0033149577	0.0033149577	0.0033257513	0.0033256223	0.0033149577	0.0033149577	0.0033258512	0.003325679	0.0033256016	0.0033256395	0.0033255753	0.0033149577	0.0033149577	0.003347165	0.0033149577	0.0033257366	0.003325679	0.0033257175	0.0033149577	0.0033149577	0.0033149577	0.0033149577	0.003357606	0.0033468902	0.0033256013	0.0033256677	0.0033149577	0.0033149577	0.0033469016	0.0033149577	0.0033149577	0.0033149577	0.0033363227	0.0033689055	0.0033149577	0.0033149577	0.0033149577	0.0033256894	0.0033149577	0.0033469547	0.0033149577	0.003325679	0.0033149577	0.0033256016	0.0033363425	0.0033149577	0.0033257694	0.0033149577	0.0033255753	0.003357683	0.0033256013	0.0033260223	0.0033149577	0.0033149577	0.0033149577	0.0033256428	0.0033256544	0.0033149577	0.003324089	0.0033255753	0.0033363064	0.0033149577	0.0033149577	0.0033364645	0.0033149577
0.0033149584	0.0033469992	0.0033149584	0.003336284	0.0033149584	0.003336135	0.0033149584	0.0033149584	0.0033366033	0.0033361977	0.003336406	0.0033574258	0.0033362068	0.0033363597	0.0033256025	0.0033149584	0.003336308	0.003336348	0.0033149584	0.0033149584	0.0033149584	0.003378781	0.0033255413	0.0033149584	0.0033149584	0.0033470218	0.0033259192	0.0033149584	0.0033149584	0.0033149584	0.0033256023	0.0033149584	0.0033149584	0.0033149584	0.0033149584	0.0033149584	0.0033149584	0.003325752	0.003325623	0.0033149584	0.0033149584	0.003325852	0.0033256798	0.0033256025	0.0033256405	0.003325576	0.0033149584	0.0033149584	0.0033471656	0.0033149584	0.0033257373	0.0033256798	0.0033257185	0.0033149584	0.0033149584	0.0033149584	0.0033149584	0.0033576067	0.003346891	0.0033256023	0.0033256684	0.0033149584	0.0033149584	0.0033469023	0.0033149584	0.0033149584	0.0033149584	0.0033363237	0.0033689064	0.0033149584	0.0033149584	0.0033149584	0.00332569	0.0033149584	0.0033469556	0.0033149584	0.67082644	0.0033149584	0.0033256025	0.0033363432	0.0033149584	0.0033257704	0.0033149584	0.003325576	0.0033576838	0.0033256023	0.003326023	0.0033149584	0.0033149584	0.0033149584	0.0033256435	0.0033256554	0.0033149584	0.00332409	0.003325576	0.0033363071	0.0033149584	0.0033149584	0.0033364655	0.0033149584
0.0024854392	0.002509462	0.0024854392	0.0025014284	0.0024854392	0.0025013166	0.0024854392	0.0024854392	0.0025016677	0.0025013636	0.0025015196	0.0025172797	0.0025013704	0.002501485	0.0024934197	0.0024854392	0.0025014463	0.0025014763	0.0024854392	0.0024854392	0.0024854392	0.002533291	0.0024933738	0.0024854392	0.0024854392	0.0025094792	0.0024936572	0.0024854392	0.0024854392	0.0024854392	0.0024934195	0.0024854392	0.0024854392	0.0024854392	0.0024854392	0.0024854392	0.0024854392	0.0024935317	0.002493435	0.0024854392	0.0024854392	0.0024936069	0.0024934777	0.0024934197	0.002493448	0.0024934	0.0024854392	0.0024854392	0.002509587	0.0024854392	0.0024935207	0.0024934777	0.0024935065	0.0024854392	0.0024854392	0.0024854392	0.0024854392	0.0025174152	0.002509381	0.0024934195	0.002493469	0.0024854392	0.0024854392	0.0025093895	0.0024854392	0.0024854392	0.0024854392	0.25273597	0.0025258875	0.0024854392	0.0024854392	0.0024854392	0.0024934853	0.0024854392	0.0025094294	0.0024854392	0.5029627	0.0024854392	0.0024934197	0.0025014726	0.0024854392	0.0024935454	0.0024854392	0.0024934	0.0025174732	0.0024934195	0.002493735	0.0024854392	0.0024854392	0.0024854392	0.0024934504	0.0024934593	0.0024854392	0.0024922856	0.0024934	0.0025014456	0.0024854392	0.0024854392	0.0025015643	0.0024854392
0.0024854387	0.0025094617	0.0024854387	0.002501428	0.0024854387	0.0025013161	0.0024854387	0.0024854387	0.0025016672	0.0025013632	0.0025015194	0.0025172792	0.00250137	0.0025014845	0.0024934192	0.0024854387	0.0025014458	0.0025014759	0.0024854387	0.0024854387	0.0024854387	0.0025332908	0.0024933734	0.0024854387	0.0024854387	0.0025094787	0.0024936567	0.0024854387	0.0024854387	0.0024854387	0.002493419	0.0024854387	0.0024854387	0.0024854387	0.0024854387	0.0024854387	0.0024854387	0.0024935312	0.0024934346	0.0024854387	0.0024854387	0.0024936064	0.0024934772	0.0024934192	0.0024934476	0.0024933994	0.0024854387	0.0024854387	0.0025095865	0.0024854387	0.0024935203	0.0024934772	0.002493506	0.0024854387	0.0024854387	0.0024854387	0.0024854387	0.002517415	0.0025093805	0.002493419	0.0024934686	0.0024854387	0.0024854387	0.002509389	0.0024854387	0.0024854387	0.0024854387	0.0025014575	0.002525887	0.0024854387	0.0024854387	0.0024854387	0.0024934849	0.0024854387	0.7532132	0.0024854387	0.0024934772	0.0024854387	0.0024934192	0.0025014721	0.0024854387	0.002493545	0.0024854387	0.0024933994	0.0025174727	0.002493419	0.0024937345	0.0024854387	0.0024854387	0.0024854387	0.00249345	0.0024934588	0.0024854387	0.002492285	0.0024933994	0.0025014451	0.0024854387	0.0024854387	0.0025015639	0.0024854387
0.009969821	0.010066184	0.009969821	0.010033959	0.009969821	0.01003351	0.009969821	0.009969821	0.010034919	0.010033699	0.0100343255	0.010097543	0.010033726	0.010034186	0.010001834	0.009969821	0.01003403	0.010034151	0.009969821	0.009969821	0.009969821	0.01016177	0.010001649	0.009969821	0.009969821	0.010066252	0.010002786	0.009969821	0.009969821	0.009969821	0.010001833	0.009969821	0.009969821	0.009969821	0.009969821	0.009969821	0.009969821	0.010002283	0.010001895	0.009969821	0.009969821	0.010002584	0.010002066	0.010001834	0.010001947	0.010001754	0.009969821	0.009969821	0.010066685	0.009969821	0.010002239	0.010002066	0.010002182	0.009969821	0.009969821	0.009969821	0.009969821	0.010098087	0.010065859	0.010001833	0.010002032	0.009969821	0.009969821	0.010065894	0.009969821	0.009969821	0.009969821	0.010034078	0.010132071	0.009969821	0.009969821	0.009969821	0.010002097	0.009969821	0.010066053	0.009969821	0.010002066	0.009969821	0.010001834	0.0100341365	0.009969821	0.010002338	0.009969821	0.010001754	0.010098319	0.010001833	0.010003098	0.009969821	0.009969821	0.009969821	0.0100019565	0.010001992	0.009969821	0.009997285	0.010001754	0.0100340275	0.009969821	0.009969821	0.010034503	0.009969821
0.001987978	0.0020071925	0.001987978	0.0020007668	0.001987978	0.0020006774	0.001987978	0.001987978	0.0020009582	0.002000715	0.00200084	0.0020134454	0.0020007205	0.002000812	0.001994361	0.001987978	0.0020007812	0.0020008052	0.001987978	0.001987978	0.001987978	0.0020262522	0.0019943244	0.001987978	0.001987978	0.0020072062	0.001994551	0.001987978	0.001987978	0.001987978	0.0019943607	0.001987978	0.001987978	0.001987978	0.001987978	0.001987978	0.001987978	0.0019944506	0.0019943733	0.001987978	0.001987978	0.0019945106	0.0019944075	0.001994361	0.0019943838	0.001994345	0.001987978	0.001987978	0.0020072924	0.001987978	0.001994442	0.0019944075	0.0019944306	0.001987978	0.001987978	0.001987978	0.001987978	0.0020135539	0.0020071277	0.0019943607	0.0019944005	0.001987978	0.001987978	0.0020071345	0.001987978	0.001987978	0.001987978	0.0020007906	0.0020203304	0.001987978	0.001987978	0.001987978	0.0019944136	0.001987978	0.0020071664	0.001987978	0.0019944075	0.001987978	0.001994361	0.0020008022	0.001987978	0.0019944618	0.001987978	0.80259484	0.0020136002	0.0019943607	0.0019946133	0.001987978	0.001987978	0.001987978	0.0019943856	0.0019943926	0.001987978	0.001993454	0.001994345	0.0020007805	0.001987978	0.001987978	0.0020008755	0.001987978
