topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.018378582	0.82883894	0.018372538	0.019508017	0.018075826	0.020011399	0.019535877	0.01792263	0.019927045	0.019429188
0.03085898	0.033266336	0.030859493	0.032746654	0.030355135	0.033591982	0.03280628	0.030096188	0.7127887	0.032630302
0.046731293	0.05037818	0.046724383	0.049593575	0.045969594	0.05087134	0.5640731	0.045573648	0.05067814	0.049406745
0.015284287	0.016477473	0.015281238	0.016219731	0.015034381	0.85781753	0.01624809	0.014905045	0.01657426	0.016157918
0.030857792	0.033265825	0.030853163	0.032747477	0.030354824	0.033591025	0.7121486	0.030093305	0.033463843	0.032624155
0.03085819	0.03326596	0.03085332	0.032747887	0.030359553	0.03359164	0.32402334	0.030095086	0.033464503	0.4207405
0.023036107	0.024832744	0.023030559	0.024443496	0.5297536	0.2786138	0.024489079	0.022463946	0.02497913	0.024357526
0.023034396	0.024831496	0.02303026	0.024443654	0.022658756	0.02507268	0.024486	0.022465132	0.78562623	0.024351416
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.018376762	0.019809434	0.018372545	0.01950079	0.018075539	0.020002488	0.019533284	0.41727623	0.42962462	0.019428337
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.018375736	0.01981014	0.018372245	0.019500066	0.018075421	0.82905704	0.019536324	0.017919825	0.019926988	0.01942617
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.046731297	0.050378185	0.046724387	0.04959358	0.045969598	0.050871335	0.5640731	0.04557365	0.050678145	0.049406745
0.023034275	0.28348356	0.023030689	0.024443869	0.022658898	0.025077272	0.52647614	0.02246336	0.024980254	0.024351632
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.030857971	0.033267614	0.37174994	0.032754686	0.03035484	0.033591624	0.3712316	0.030093368	0.033466715	0.03263161
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.030859528	0.033267748	0.03085378	0.032746386	0.030355195	0.71292096	0.03281422	0.030093566	0.03346502	0.032623593
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.018375492	0.019811511	0.018372333	0.8285414	0.018075364	0.020008076	0.01954094	0.017920446	0.019927472	0.019426977
0.0076071396	0.8042533	0.0076064137	0.008073811	0.0074822176	0.13317518	0.008086845	0.007418966	0.00825265	0.008043522
0.046731297	0.050378185	0.046724387	0.04959358	0.045969598	0.050871335	0.5640731	0.04557365	0.050678145	0.049406745
0.046733364	0.050388455	0.046724528	0.04960115	0.04596962	0.5652416	0.049680326	0.04557673	0.050679773	0.049404442
0.046733666	0.05038022	0.04672396	0.049595885	0.045970246	0.050870847	0.04967745	0.5599609	0.050677277	0.04940956
0.02303433	0.024831058	0.023030156	0.024443354	0.78330547	0.025072403	0.024486134	0.022463594	0.024978979	0.024354497
0.0467337	0.05038022	0.04672396	0.04959594	0.045970246	0.050870847	0.04967745	0.55996096	0.050677277	0.049409423
0.04673442	0.050377622	0.046725802	0.049590874	0.045969598	0.050868012	0.04967749	0.04557315	0.56507593	0.049407057
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.02303407	0.024831709	0.023032028	0.024445565	0.022659447	0.02507652	0.024500456	0.02246431	0.024981054	0.7849749
0.046738565	0.050381057	0.04672467	0.049591325	0.04596959	0.5652553	0.04968319	0.04557314	0.05067746	0.04940569
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.046731293	0.05037818	0.046724383	0.049593575	0.045969594	0.050871335	0.5640731	0.045573648	0.05067814	0.049406745
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.01308301	0.2853357	0.013080563	0.013883538	0.39436528	0.0142407585	0.013907658	0.01275954	0.22551112	0.013832861
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.03085959	0.033265844	0.030852946	0.032746453	0.7097022	0.033589065	0.0328032	0.030093221	0.03346406	0.032623406
0.04673187	0.050377473	0.046723977	0.04959089	0.56035984	0.050867185	0.0496783	0.04557571	0.05067773	0.049417038
0.046734434	0.050377626	0.046725806	0.04959088	0.045969598	0.050868016	0.049677495	0.045573153	0.56507593	0.049407057
0.030859474	0.033269268	0.030853283	0.032748878	0.030354833	0.71292746	0.032805484	0.03009397	0.0334641	0.032623265
0.0070192	0.0075667845	0.007017883	0.23074414	0.006903947	0.5334291	0.0074614994	0.006844604	0.18559219	0.007420679
0.046731874	0.050377473	0.046723977	0.04959089	0.56035227	0.050867185	0.049678303	0.045575727	0.05067774	0.049424555
0.023036307	0.024832854	0.023030475	0.024447097	0.28314903	0.025076255	0.2558474	0.2912455	0.024980018	0.024355045
0.046732396	0.05037821	0.56109786	0.049591344	0.04596959	0.05087157	0.049681988	0.045576435	0.050685097	0.049415514
0.004139926	0.9614429	0.00413939	0.0043935752	0.0040724305	0.0045065796	0.0044012023	0.0040373984	0.004489585	0.004376992
0.0152841825	0.01647754	0.015281317	0.016219748	0.015034444	0.85781604	0.01624914	0.014905134	0.016574526	0.016157916
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.023036227	0.024833033	0.023030613	0.024443984	0.022658926	0.5592968	0.024488136	0.022464778	0.25139555	0.02435192
0.046731293	0.05037818	0.046724383	0.049593575	0.045969594	0.05087133	0.5640731	0.045573648	0.05067814	0.049406745
0.030859318	0.033266522	0.030853236	0.03274685	0.44321164	0.03358951	0.03280379	0.030096946	0.29994306	0.03262912
0.018378641	0.01980926	0.01837242	0.019499952	0.018082099	0.0200017	0.019533278	0.01791977	0.82897556	0.019427339
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.046733364	0.050388277	0.04672453	0.049601164	0.045969624	0.5652419	0.04968033	0.045576647	0.050679773	0.049404446
0.02303388	0.024832321	0.5631528	0.024448626	0.022658348	0.025074566	0.24499881	0.02246319	0.024980778	0.024356691
0.030859435	0.033265535	0.030853925	0.032746047	0.030354831	0.033589266	0.032803237	0.030093048	0.71281034	0.032624327
0.023036491	0.024832735	0.023030447	0.55725086	0.25049484	0.025073173	0.02448634	0.022463106	0.024979794	0.024352213
0.04673129	0.05037818	0.04672438	0.04959357	0.04596959	0.05087133	0.56407315	0.045573644	0.050678138	0.04940674
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.00830218	0.008950113	0.008299894	0.008814042	0.008165703	0.9227694	0.008825129	0.008095176	0.009002167	0.008776184
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.0230341	0.024831252	0.02303037	0.02444426	0.23712048	0.025073871	0.57066286	0.022464506	0.02497943	0.024358897
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.015284015	0.01647685	0.015281777	0.8574013	0.015034439	0.016636446	0.016247297	0.014904719	0.016574437	0.016158706
0.03085883	0.033266824	0.030853476	0.032748517	0.030355532	0.03359217	0.35530806	0.03009558	0.39029643	0.032624595
0.04673726	0.05038105	0.04672467	0.049591325	0.045969594	0.56525666	0.049683195	0.045573145	0.050677463	0.04940569
0.01837634	0.019811274	0.018372305	0.68634653	0.018075902	0.020004585	0.01953394	0.01792153	0.1621314	0.019426174
0.046731293	0.05037818	0.046724383	0.049593575	0.045969594	0.05087133	0.5640731	0.045573648	0.05067814	0.049406745
0.046733662	0.050380215	0.04672396	0.049595952	0.045970246	0.050870843	0.049677446	0.55996096	0.050677273	0.049409397
0.003642416	0.1110876	0.0036419244	0.0038659815	0.0035826631	0.003965677	0.19027196	0.003551967	0.67253876	0.0038510324
0.015284117	0.016477276	0.0152827045	0.016219994	0.015034508	0.016638955	0.016248114	0.8560769	0.01657747	0.01615997
0.030858768	0.033271026	0.03085647	0.7120684	0.030354846	0.03359773	0.032804772	0.030094514	0.03346611	0.032627385
0.0230363	0.024832549	0.023031319	0.5197373	0.02265848	0.025073374	0.024486408	0.022462938	0.29032835	0.024353005
0.010158676	0.0109516485	0.010156063	0.010784113	0.009991635	0.67235005	0.010798267	0.009905632	0.24416505	0.01073885
0.03085924	0.03326744	0.030853292	0.71209127	0.030355003	0.03358965	0.032803796	0.030093042	0.033463825	0.032623477
0.023034798	0.287205	0.023030415	0.5227172	0.02265871	0.025073258	0.024486672	0.022462932	0.024979288	0.024351751
0.04673454	0.050377626	0.04672581	0.04959088	0.045969598	0.050868016	0.049677495	0.045573153	0.5650758	0.049407065
0.046731293	0.05037818	0.046724383	0.049593575	0.045969594	0.050871335	0.5640731	0.045573648	0.05067814	0.049406745
0.009135988	0.91491205	0.009134288	0.009695018	0.008987046	0.00994447	0.009711745	0.008909952	0.00991121	0.009658272
0.046734385	0.05037763	0.04672581	0.04959088	0.0459696	0.05086802	0.0496775	0.045573153	0.56507593	0.04940706
0.015284472	0.01647696	0.01528189	0.016218882	0.015034643	0.016640225	0.19093528	0.014905092	0.6830641	0.01615845
0.0076067215	0.008200352	0.0076052626	0.008072255	0.007482912	0.008280951	0.00808587	0.0074180244	0.92920595	0.008041745
0.030857975	0.033267614	0.37171212	0.03275469	0.030354844	0.033591628	0.3712694	0.03009337	0.033466723	0.032631617
0.0032512324	0.8990516	0.0032508513	0.0034500023	0.07386692	0.0035391464	0.0034562137	0.0031705624	0.0035259372	0.0034374928
0.015284751	0.016477235	0.015281439	0.016219012	0.015034454	0.016643906	0.85742164	0.014904849	0.016574448	0.016158253
0.046733666	0.05038022	0.04672396	0.04959586	0.045970246	0.050870847	0.04967745	0.5599611	0.050677277	0.0494094
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.030860338	0.03326737	0.030863918	0.03274678	0.030354844	0.71288824	0.032810483	0.030097205	0.033473585	0.03263726
0.030859191	0.033267573	0.030853312	0.032750823	0.030355226	0.033593845	0.3413529	0.4008755	0.0334642	0.032627415
0.03085862	0.033267494	0.030856462	0.7120834	0.030354917	0.033589356	0.032803852	0.030093044	0.033465233	0.032627653
0.018375942	0.019810107	0.018372547	0.35403445	0.018077994	0.020004502	0.019545328	0.4924153	0.019931912	0.019431856
0.04673337	0.0503884	0.04672453	0.049601432	0.04596962	0.56524044	0.04968034	0.04557765	0.05067978	0.049404442
0.046733364	0.05038845	0.046724528	0.049601533	0.04596962	0.5652413	0.04968033	0.04557665	0.050679773	0.049404442
0.030859057	0.033266902	0.030852946	0.032748844	0.030355176	0.033590753	0.032803215	0.709434	0.033463392	0.03262577
0.023034591	0.02483233	0.02303045	0.024446506	0.02265857	0.025075987	0.21178137	0.5958065	0.024979364	0.02435437
0.030858101	0.033265457	0.030852953	0.032746054	0.7096965	0.033588823	0.032803662	0.030094398	0.03346363	0.03263044
0.010157228	0.010956967	0.010156669	0.9052226	0.009991728	0.0110563645	0.0107978415	0.009905367	0.011015526	0.010739697
0.018375473	0.019810535	0.018372994	0.82855386	0.018075375	0.020003665	0.019533833	0.017919833	0.019927207	0.019427244
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.030858377	0.033265844	0.7101866	0.032746293	0.030354824	0.033591136	0.032805607	0.030094778	0.033467516	0.032629065
0.009136644	0.0098496545	0.009134793	0.009699656	0.008986946	0.00994489	0.0097121075	0.008909692	0.91496664	0.009658991
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.030858865	0.033266377	0.030861218	0.032747228	0.030354839	0.03359414	0.7121156	0.030096326	0.033471286	0.032634135
0.023034673	0.02483115	0.023030154	0.024443448	0.7833066	0.02507246	0.024486028	0.022463322	0.024979075	0.024353085
0.018376196	0.019810524	0.018372878	0.019499648	0.8271107	0.020008996	0.01954441	0.017920408	0.019928893	0.01942738
0.1122249	0.014105991	0.013081039	0.7787777	0.012869354	0.014252547	0.01391073	0.012758308	0.014187597	0.013831789
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.015285143	0.016477467	0.015281353	0.01621975	0.015034785	0.60605896	0.016248265	0.26665583	0.0165797	0.01615868
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.046732962	0.050378893	0.046724252	0.04959194	0.045970723	0.050868083	0.049677633	0.045576736	0.56507415	0.049404584
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.046733364	0.05038831	0.04672453	0.049601287	0.045969624	0.5652417	0.04968033	0.04557665	0.050679777	0.049404446
0.0076075336	0.28914785	0.0076052523	0.26131642	0.0074841836	0.39504412	0.008086121	0.0074175694	0.008248974	0.008041977
0.023034183	0.024831243	0.7836681	0.024443433	0.022658337	0.025073959	0.024487596	0.022464136	0.024981583	0.024357483
0.008301944	0.008949667	0.008299861	0.29231265	0.008165723	0.36890417	0.00882496	0.008095533	0.27936938	0.008776087
0.018375892	0.019809626	0.018372256	0.01949937	0.01807542	0.829057	0.019537795	0.017919578	0.019926826	0.01942626
0.023034595	0.024831664	0.023034364	0.024444092	0.022658417	0.025074897	0.024488106	0.7830941	0.024982514	0.02435725
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.030857997	0.03326788	0.030859338	0.032755777	0.030354844	0.033591807	0.32881993	0.03009339	0.03346715	0.4159319
0.04673555	0.05038103	0.046724662	0.049591318	0.04596959	0.56525844	0.04968312	0.04557314	0.050677456	0.049405683
0.046733662	0.050380215	0.04672396	0.04959588	0.045970246	0.050870843	0.049677446	0.5599611	0.050677273	0.049409367
0.04673187	0.050377473	0.046723977	0.04959089	0.560359	0.050867185	0.0496783	0.045575712	0.05067773	0.04941782
0.03086013	0.03327373	0.030853568	0.032753736	0.030355461	0.32347345	0.032805335	0.03009738	0.42290413	0.03262305
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.03086118	0.47991246	0.030853542	0.032746855	0.030355101	0.2662819	0.032808106	0.030093051	0.0334639	0.03262393
0.030859193	0.033267573	0.030853312	0.032750826	0.030355226	0.033593845	0.341374	0.40085444	0.0334642	0.032627415
0.04673129	0.05037819	0.046724383	0.04959412	0.04596959	0.05087241	0.56407124	0.04557365	0.050678156	0.04940695
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.030859873	0.033265848	0.030852947	0.032746457	0.70970196	0.033589065	0.032803204	0.030093225	0.033464063	0.03262341
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.015285201	0.016477492	0.01528114	0.016221365	0.8562062	0.01663808	0.016247088	0.014908198	0.016574336	0.016160946
0.04673657	0.050381042	0.046724666	0.049591325	0.04596959	0.56525725	0.04968325	0.04557314	0.050677456	0.049405687
0.030859437	0.033265535	0.030853925	0.032746047	0.030354831	0.033589266	0.032803237	0.030093048	0.71281034	0.032624327
0.04673469	0.050378215	0.046723966	0.049591646	0.5603691	0.050867643	0.049677428	0.045573484	0.05067855	0.049405336
0.046732597	0.050380398	0.04672533	0.049591348	0.045970388	0.050879415	0.5640605	0.045574278	0.050680608	0.04940513
0.030858988	0.03326739	0.03085392	0.032746382	0.3971269	0.03359677	0.34535787	0.03009526	0.033466026	0.03263048
0.09623566	0.10374435	0.09622039	0.10212451	0.09466707	0.10475284	0.102302775	0.09385064	0.10436124	0.10174053
0.009136098	0.009849741	0.1028387	0.00969711	0.008986823	0.82129985	0.009713541	0.008909464	0.00990824	0.009660463
