topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109
0.0018145306	0.0018145435	0.0018087514	0.0018087514	0.0018087514	0.0018203546	0.0018087514	0.0018087514	0.0018203792	0.001814582	0.0018145435	0.0018145873	0.0018145699	0.0018204573	0.0018087514	0.0018087514	0.0018203739	0.0018145306	0.0018087514	0.0018203611	0.0018087514	0.0018203356	0.0018146039	0.0018145761	0.0018087514	0.0018087514	0.0018146605	0.0018145919	0.0018087514	0.0018087514	0.0018087514	0.0018087514	0.0018087514	0.0018087514	0.001814554	0.0018087514	0.0018087514	0.0018145867	0.0018145001	0.0018087514	0.0018204983	0.0018145987	0.0018087514	0.0018203158	0.0018087514	0.0018145761	0.0018145306	0.0018145306	0.0018087514	0.0018087514	0.0018087514	0.0018145435	0.0018087514	0.0018087514	0.0018145306	0.0018087514	0.0018204662	0.0018378175	0.0018087514	0.0018087514	0.3629487	0.0018087514	0.0018087514	0.0018145698	0.0018087514	0.0018145306	0.0018087514	0.0018203838	0.0018380487	0.0018087514	0.0018145698	0.0018145435	0.0018145435	0.0018087514	0.0018146287	0.0018087514	0.0018087514	0.0018087514	0.0018087514	0.0018087514	0.0018087514	0.0018261159	0.0018087514	0.0018087514	0.0018145435	0.0018087514	0.0018206321	0.001814554	0.001826123	0.0018087514	0.0018145306	0.0018203993	0.0018087514	0.0018087514	0.0018087514	0.0018145435	0.0018087514	0.0018145386	0.0018087516	0.0018087514	0.0018087514	0.0018147454	0.0018145698	0.0018087514	0.4412521	0.0018204174	0.0018087514	0.0018145435	0.0018204291	0.0018087514
0.0030256452	0.0030256666	0.0030160085	0.0030160085	0.0030160085	0.0030353563	0.0030160085	0.0030160085	0.0030353973	0.0030257308	0.0030256666	0.0030257397	0.0030257106	0.0030355277	0.0030160085	0.0030160085	0.0030353887	0.0030256452	0.0030160085	0.0030353672	0.0030160085	0.0030353246	0.0030257672	0.003025721	0.0030160085	0.0030160085	0.0030258617	0.0030257474	0.0030160085	0.0030160085	0.0030160085	0.0030160085	0.0030160085	0.0030160085	0.003025684	0.0030160085	0.0030160085	0.0030257388	0.0030255942	0.0030160085	0.0030355959	0.0030257585	0.0030160085	0.0030352916	0.0030160085	0.6704785	0.0030256452	0.0030256452	0.0030160085	0.0030160085	0.0030160085	0.0030256666	0.0030160085	0.0030160085	0.0030256452	0.0030160085	0.0030355426	0.003064475	0.0030160085	0.0030160085	0.0030257306	0.0030160085	0.0030160085	0.0030257103	0.0030160085	0.0030256452	0.0030160085	0.0030354052	0.0030648604	0.0030160085	0.0030257103	0.0030256666	0.0030256666	0.0030160085	0.0030258086	0.0030160085	0.0030160085	0.0030160085	0.0030160085	0.0030160085	0.0030160085	0.003044963	0.0030160085	0.0030160085	0.0030256666	0.0030160085	0.0030358192	0.003025684	0.0030449748	0.0030160085	0.0030256452	0.0030354308	0.0030160085	0.0030160085	0.0030160085	0.0030256666	0.0030160085	0.0030256584	0.0030160088	0.0030160085	0.0030160085	0.0030260033	0.0030257103	0.0030160085	0.0030354434	0.003035461	0.0030160085	0.0030256666	0.0030354806	0.0030160085
0.004541147	0.004541179	0.0045266836	0.0045266836	0.0045266836	0.0045557222	0.0045266836	0.0045266836	0.0045557837	0.0045412756	0.004541179	0.0045412886	0.0045412453	0.0045559793	0.0045266836	0.0045266836	0.0045557707	0.004541147	0.0045266836	0.0045557385	0.0045266836	0.0045556747	0.00454133	0.0045412607	0.0045266836	0.0045266836	0.004541472	0.0045413002	0.0045266836	0.0045266836	0.0045266836	0.0045266836	0.0045266836	0.0045266836	0.0045412052	0.0045266836	0.0045266836	0.004541287	0.00454107	0.0045266836	0.0045560817	0.004541317	0.0045266836	0.0045556254	0.0045266836	0.0045412607	0.004541147	0.004541147	0.0045266836	0.0045266836	0.0045266836	0.004541179	0.0045266836	0.0045266836	0.004541147	0.0045266836	0.0045560016	0.004599426	0.0045266836	0.0045266836	0.004541275	0.0045266836	0.0045266836	0.004541245	0.0045266836	0.004541147	0.0045266836	0.0045557953	0.0046000043	0.0045266836	0.004541245	0.004541179	0.004541179	0.0045266836	0.0045413924	0.0045266836	0.0045266836	0.0045266836	0.0045266836	0.0045266836	0.0045266836	0.004570141	0.0045266836	0.0045266836	0.004541179	0.0045266836	0.004556417	0.0045412052	0.0045701587	0.0045266836	0.004541147	0.004555834	0.0045266836	0.0045266836	0.0045266836	0.5054259	0.0045266836	0.004541167	0.004526684	0.0045266836	0.0045266836	0.0045416844	0.004541245	0.0045266836	0.004555853	0.0045558796	0.0045266836	0.004541179	0.004555909	0.0045266836
0.0015119294	0.8353365	0.001507114	0.001507114	0.001507114	0.0015167822	0.001507114	0.001507114	0.0015168027	0.0015119723	0.0015119402	0.0015119767	0.0015119623	0.0015168678	0.001507114	0.001507114	0.0015167983	0.0015119294	0.001507114	0.0015167876	0.001507114	0.0015167664	0.0015119904	0.0015119674	0.001507114	0.001507114	0.0015120377	0.0015119805	0.001507114	0.001507114	0.001507114	0.001507114	0.001507114	0.001507114	0.0015119489	0.001507114	0.001507114	0.0015119762	0.001511904	0.001507114	0.0015169019	0.0015119861	0.001507114	0.0015167498	0.001507114	0.0015119674	0.0015119294	0.0015119294	0.001507114	0.001507114	0.001507114	0.0015119402	0.001507114	0.001507114	0.0015119294	0.001507114	0.0015168752	0.0015313328	0.001507114	0.001507114	0.0015119722	0.001507114	0.001507114	0.001511962	0.001507114	0.0015119294	0.001507114	0.0015168065	0.0015315255	0.001507114	0.001511962	0.0015119402	0.0015119402	0.001507114	0.0015120112	0.001507114	0.001507114	0.001507114	0.001507114	0.001507114	0.001507114	0.0015215827	0.001507114	0.001507114	0.0015119402	0.001507114	0.0015170134	0.0015119489	0.0015215887	0.001507114	0.0015119294	0.0015168195	0.001507114	0.001507114	0.001507114	0.0015119402	0.001507114	0.0015119361	0.0015071142	0.001507114	0.001507114	0.0015121084	0.001511962	0.001507114	0.0015168256	0.0015168345	0.001507114	0.0015119402	0.0015168443	0.001507114
0.003025645	0.0030256663	0.0030160083	0.0030160083	0.0030160083	0.003035356	0.0030160083	0.0030160083	0.003035397	0.0030257306	0.0030256663	0.0030257395	0.0030257103	0.0030355272	0.0030160083	0.0030160083	0.0030353884	0.003025645	0.0030160083	0.003035367	0.0030160083	0.0030353244	0.003025767	0.0030257206	0.0030160083	0.0030160083	0.0030258615	0.0030257471	0.0030160083	0.0030160083	0.0030160083	0.0030160083	0.0030160083	0.0030160083	0.0030256838	0.0030160083	0.0030160083	0.0030257385	0.003025594	0.0030160083	0.0030355956	0.0030257583	0.0030160083	0.0030352913	0.0030160083	0.0030257206	0.003025645	0.003025645	0.0030160083	0.0030160083	0.0030160083	0.0030256663	0.0030160083	0.0030160083	0.003025645	0.0030160083	0.0030355423	0.0030644746	0.0030160083	0.0030160083	0.0030257304	0.0030160083	0.0030160083	0.0030257101	0.0030160083	0.003025645	0.0030160083	0.003035405	0.0030648601	0.0030160083	0.0030257101	0.0030256663	0.0030256663	0.0030160083	0.0030258084	0.0030160083	0.0030160083	0.0030160083	0.0030160083	0.0030160083	0.0030160083	0.0030449629	0.0030160083	0.0030160083	0.0030256663	0.0030160083	0.003035819	0.0030256838	0.0030449745	0.0030160083	0.003025645	0.0030354306	0.0030160083	0.0030160083	0.0030160083	0.67047846	0.0030160083	0.0030256582	0.0030160085	0.0030160083	0.0030160083	0.003026003	0.0030257101	0.0030160083	0.0030354431	0.0030354608	0.0030160083	0.0030256663	0.0030354804	0.0030160083
0.0030256447	0.003025666	0.003016008	0.003016008	0.003016008	0.0030353558	0.003016008	0.003016008	0.0030353968	0.0030257304	0.003025666	0.0030257392	0.0030257101	0.003035527	0.003016008	0.003016008	0.0030353882	0.0030256447	0.003016008	0.0030353668	0.003016008	0.0030353242	0.0030257667	0.0030257204	0.003016008	0.003016008	0.0030258612	0.003025747	0.003016008	0.003016008	0.003016008	0.003016008	0.003016008	0.003016008	0.0030256836	0.003016008	0.003016008	0.0030257383	0.0030255937	0.003016008	0.0030355954	0.003025758	0.003016008	0.003035291	0.003016008	0.0030257204	0.0030256447	0.0030256447	0.003016008	0.003016008	0.003016008	0.003025666	0.003016008	0.003016008	0.0030256447	0.003016008	0.003035542	0.0030644743	0.003016008	0.003016008	0.0030257301	0.003016008	0.003016008	0.00302571	0.003016008	0.0030256447	0.003016008	0.0030354045	0.00306486	0.003016008	0.00302571	0.6704785	0.003025666	0.003016008	0.0030258081	0.003016008	0.003016008	0.003016008	0.003016008	0.003016008	0.003016008	0.0030449627	0.003016008	0.003016008	0.003025666	0.003016008	0.0030358187	0.0030256836	0.0030449743	0.003016008	0.0030256447	0.0030354303	0.003016008	0.003016008	0.003016008	0.003025666	0.003016008	0.003025658	0.0030160083	0.003016008	0.003016008	0.0030260028	0.00302571	0.003016008	0.003035443	0.0030354606	0.003016008	0.003025666	0.0030354802	0.003016008
0.002268563	0.002268579	0.0022613376	0.0022613376	0.0022613376	0.0022758443	0.0022613376	0.0022613376	0.002275875	0.0022686273	0.002268579	0.0022686338	0.0022686122	0.0022759726	0.0022613376	0.0022613376	0.0022758686	0.002268563	0.0022613376	0.0022758525	0.0022613376	0.0022758204	0.0022686545	0.0022686198	0.0022613376	0.0022613376	0.0022687253	0.0022686396	0.0022613376	0.0022613376	0.0022613376	0.0022613376	0.0022613376	0.0022613376	0.0022685921	0.0022613376	0.0022613376	0.002268633	0.0022685248	0.0022613376	0.0022760238	0.002268648	0.0022613376	0.0022757957	0.0022613376	0.0022686198	0.002268563	0.002268563	0.0022613376	0.0022613376	0.0022613376	0.002268579	0.0022613376	0.0022613376	0.002268563	0.0022613376	0.0022759838	0.0022976766	0.0022613376	0.0022613376	0.002268627	0.0022613376	0.0022613376	0.002268612	0.0022613376	0.002268563	0.0022613376	0.002275881	0.0022979658	0.0022613376	0.002268612	0.002268579	0.002268579	0.0022613376	0.0022686855	0.0022613376	0.0022613376	0.0022613376	0.0022613376	0.0022613376	0.0022613376	0.0022830472	0.0022613376	0.0022613376	0.002268579	0.0022613376	0.0022761913	0.0022685921	0.7529464	0.0022613376	0.002268563	0.0022759002	0.0022613376	0.0022613376	0.0022613376	0.002268579	0.0022613376	0.002268573	0.0022613378	0.0022613376	0.0022613376	0.0022688315	0.002268612	0.0022613376	0.0022759095	0.0022759228	0.0022613376	0.002268579	0.0022759375	0.0022613376
0.0022685628	0.0022685789	0.0022613374	0.0022613374	0.0022613374	0.0022758439	0.0022613374	0.0022613374	0.0022758746	0.002268627	0.0022685789	0.0022686336	0.002268612	0.0022759724	0.0022613374	0.0022613374	0.002275868	0.0022685628	0.0022613374	0.002275852	0.0022613374	0.0022758201	0.0022686543	0.0022686196	0.0022613374	0.0022613374	0.002268725	0.0022686394	0.0022613374	0.0022613374	0.0022613374	0.0022613374	0.0022613374	0.0022613374	0.002268592	0.0022613374	0.0022613374	0.0022686329	0.0022685246	0.0022613374	0.0022760236	0.0022686478	0.0022613374	0.0022757954	0.0022613374	0.75293195	0.0022685628	0.0022685628	0.0022613374	0.0022613374	0.0022613374	0.0022685789	0.0022613374	0.0022613374	0.0022685628	0.0022613374	0.0022759836	0.0022976764	0.0022613374	0.0022613374	0.0022686268	0.0022613374	0.0022613374	0.0022686117	0.0022613374	0.0022685628	0.0022613374	0.0022758807	0.0022979653	0.0022613374	0.0022686117	0.0022685789	0.0022685789	0.0022613374	0.0022686853	0.0022613374	0.0022613374	0.0022613374	0.0022613374	0.0022613374	0.0022613374	0.002283047	0.0022613374	0.0022613374	0.0022685789	0.0022613374	0.002276191	0.002268592	0.0022830558	0.0022613374	0.0022685628	0.0022759	0.0022613374	0.0022613374	0.0022613374	0.0022685789	0.0022613374	0.0022685728	0.0022613376	0.0022613374	0.0022613374	0.0022688312	0.0022686117	0.0022613374	0.0022759093	0.0022759226	0.0022613374	0.0022685789	0.0022759372	0.0022613374
0.009098392	0.009098457	0.009069414	0.009069414	0.009069414	0.0091275945	0.009069414	0.009069414	0.009127718	0.00909865	0.009098457	0.009098677	0.009098589	0.00912811	0.009069414	0.009069414	0.009127692	0.009098392	0.009069414	0.009127627	0.009069414	0.0091275	0.00909876	0.00909862	0.009069414	0.009069414	0.009099044	0.0090987	0.009069414	0.009069414	0.009069414	0.009069414	0.009069414	0.009069414	0.009098509	0.009069414	0.009069414	0.009098674	0.009098239	0.009069414	0.009128315	0.009098734	0.009069414	0.009127401	0.009069414	0.00909862	0.009098392	0.009098392	0.009069414	0.009069414	0.009069414	0.009098457	0.009069414	0.009069414	0.009098392	0.009069414	0.009128154	0.0092151575	0.009069414	0.009069414	0.009098649	0.009069414	0.009069414	0.0090985885	0.009069414	0.009098392	0.009069414	0.009127742	0.009216316	0.009069414	0.0090985885	0.009098457	0.009098457	0.009069414	0.009098884	0.009069414	0.009069414	0.009069414	0.009069414	0.009069414	0.009069414	0.009156483	0.009069414	0.009069414	0.009098457	0.009069414	0.009128987	0.009098509	0.009156519	0.009069414	0.009098392	0.009127819	0.009069414	0.009069414	0.009069414	0.009098457	0.009069414	0.009098433	0.009069415	0.009069414	0.009069414	0.0090994695	0.0090985885	0.009069414	0.009127856	0.00912791	0.009069414	0.009098457	0.009127969	0.009069414
0.0018145292	0.0018145421	0.00180875	0.00180875	0.00180875	0.0018203532	0.00180875	0.00180875	0.0018203778	0.0018145806	0.0018145421	0.0018145859	0.0018145685	0.0018204559	0.00180875	0.00180875	0.0018203725	0.0018145292	0.00180875	0.0018203597	0.00180875	0.0018203342	0.0018146025	0.0018145747	0.00180875	0.00180875	0.0018146591	0.0018145905	0.00180875	0.00180875	0.00180875	0.00180875	0.00180875	0.00180875	0.0018145526	0.00180875	0.00180875	0.0018145853	0.0018144987	0.00180875	0.0018204969	0.0018145973	0.00180875	0.0018203144	0.00180875	0.0018145747	0.8023805	0.0018145292	0.00180875	0.00180875	0.00180875	0.0018145421	0.00180875	0.00180875	0.0018145306	0.00180875	0.0018204649	0.0018378161	0.00180875	0.00180875	0.0018145805	0.00180875	0.00180875	0.0018145684	0.00180875	0.0018145292	0.00180875	0.0018203824	0.0018380473	0.00180875	0.0018145684	0.0018145421	0.0018145421	0.00180875	0.0018146273	0.00180875	0.00180875	0.00180875	0.00180875	0.00180875	0.00180875	0.0018261145	0.00180875	0.00180875	0.0018145421	0.00180875	0.0018206307	0.0018145526	0.0018261216	0.00180875	0.0018145292	0.0018203979	0.00180875	0.00180875	0.00180875	0.0018145421	0.00180875	0.0018145372	0.0018087502	0.00180875	0.00180875	0.001814744	0.0018145684	0.00180875	0.0018204054	0.001820416	0.00180875	0.0018145421	0.0018204277	0.00180875
