topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119
0.001659608	0.001659608	0.0016649411	0.0016760483	0.001659608	0.0016701891	0.001659608	0.0016649088	0.0016702994	0.0016649411	0.001659608	0.001659608	0.0016702312	0.0016649454	0.001659608	0.001659608	0.0016702503	0.0016649492	0.001659608	0.001659608	0.001659608	0.0016755416	0.0016702256	0.001659608	0.0016649247	0.0016649088	0.0016649901	0.001659608	0.0016649623	0.001659608	0.0016707523	0.001659608	0.001659608	0.0016649175	0.49798524	0.001659608	0.001659608	0.0016648424	0.0016649492	0.001659608	0.001670255	0.0016649492	0.001659608	0.001659608	0.001659608	0.0016649804	0.001659608	0.001659608	0.001659608	0.001659608	0.001659608	0.001659608	0.0016649454	0.001659608	0.001659608	0.001659608	0.001659608	0.30581754	0.0016649362	0.001659608	0.0016649454	0.001659608	0.001659608	0.001659608	0.001659608	0.001659608	0.0016649088	0.001659608	0.0016864268	0.0016702419	0.0016702737	0.001659608	0.001659608	0.0016649098	0.0016702419	0.001659608	0.001659608	0.001659608	0.001659608	0.001659608	0.001659608	0.0016596183	0.001659608	0.0016596082	0.001659608	0.001659608	0.0016650344	0.001659608	0.0016649088	0.001659608	0.001670237	0.001665004	0.0016702629	0.0016649623	0.001659608	0.001659608	0.001659608	0.001659608	0.001659608	0.001659608	0.001659608	0.0016704588	0.001659608	0.001659608	0.001659608	0.0016702181	0.001659608	0.001659608	0.0016649175	0.001659608	0.0016702331	0.001659608	0.001659608	0.0016648993	0.001659608	0.0016649086	0.0016650624	0.001659608	0.001659608	0.001659608
0.0027670779	0.0027670779	0.0027759697	0.002794489	0.0027670779	0.00278472	0.0027670779	0.002775916	0.0027849039	0.0027759697	0.0027670779	0.0027670779	0.00278479	0.002775977	0.0027670779	0.0027670779	0.002784822	0.0027759834	0.0027670779	0.0027670779	0.0027670779	0.002793644	0.0027847807	0.0027670779	0.0027759424	0.002775916	0.0027760514	0.0027670779	0.67008525	0.0027670779	0.002785659	0.0027670779	0.0027670779	0.0027759303	0.0027759697	0.0027670779	0.0027670779	0.002775805	0.0027759834	0.0027670779	0.0027848296	0.0027759834	0.0027670779	0.0027670779	0.0027670779	0.0027760353	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.002775977	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027935507	0.0027759618	0.0027670779	0.002775977	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.002775916	0.0027670779	0.0028117932	0.002784808	0.002784861	0.0027670779	0.0027670779	0.0027759175	0.002784808	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.002767095	0.0027670779	0.0027670783	0.0027670779	0.0027670779	0.0027761254	0.0027670779	0.002775916	0.0027670779	0.0027847998	0.0027760745	0.0027848429	0.002776005	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027670779	0.0027851695	0.0027670779	0.0027670779	0.0027670779	0.0027847681	0.0027670779	0.0027670779	0.0027759303	0.0027670779	0.0027847933	0.0027670779	0.0027670779	0.0027759	0.0027670779	0.0027759157	0.002776172	0.0027670779	0.0027670779	0.0027670779
0.00415262	0.00415262	0.004165964	0.0041937563	0.00415262	0.004179096	0.00415262	0.0041658836	0.004179372	0.004165964	0.00415262	0.00415262	0.004179201	0.004165975	0.00415262	0.00415262	0.0041792486	0.0041659847	0.00415262	0.00415262	0.00415262	0.0041924883	0.004179187	0.00415262	0.50488895	0.0041658836	0.0041660867	0.00415262	0.0041660173	0.00415262	0.004180505	0.00415262	0.00415262	0.004165905	0.004165964	0.00415262	0.00415262	0.004165717	0.0041659847	0.00415262	0.00417926	0.0041659847	0.00415262	0.00415262	0.00415262	0.0041660625	0.00415262	0.00415262	0.00415262	0.00415262	0.00415262	0.00415262	0.004165975	0.00415262	0.00415262	0.00415262	0.00415262	0.0041923486	0.004165952	0.00415262	0.004165975	0.00415262	0.00415262	0.00415262	0.00415262	0.00415262	0.0041658836	0.00415262	0.0042197253	0.0041792276	0.0041793077	0.00415262	0.00415262	0.004165886	0.0041792276	0.00415262	0.00415262	0.00415262	0.00415262	0.00415262	0.00415262	0.004152646	0.00415262	0.0041526207	0.00415262	0.00415262	0.004166198	0.00415262	0.0041658836	0.00415262	0.0041792155	0.0041661216	0.0041792803	0.0041660173	0.00415262	0.00415262	0.00415262	0.00415262	0.00415262	0.00415262	0.00415262	0.0041797706	0.00415262	0.00415262	0.00415262	0.004179168	0.00415262	0.00415262	0.004165905	0.00415262	0.0041792057	0.00415262	0.00415262	0.00416586	0.00415262	0.004165883	0.004166268	0.00415262	0.00415262	0.00415262
0.0013828726	0.0013828726	0.0013873163	0.0013965714	0.0013828726	0.0013916893	0.0013828726	0.0013872895	0.0013917813	0.0013873163	0.0013828726	0.0013828726	0.0013917243	0.0013873199	0.0013828726	0.0013828726	0.0013917402	0.0013873231	0.0013828726	0.0013828726	0.0013828726	0.8351309	0.0013917197	0.0013828726	0.0013873026	0.0013872895	0.0013873571	0.0013828726	0.001387334	0.0013828726	0.0013921586	0.0013828726	0.0013828726	0.0013872966	0.0013873163	0.0013828726	0.0013828726	0.001387234	0.0013873231	0.0013828726	0.0013917441	0.0013873231	0.0013828726	0.0013828726	0.0013828726	0.0013873491	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013873199	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013961026	0.0013873123	0.0013828726	0.0013873199	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013872895	0.0013828726	0.0014052194	0.0013917332	0.0013917597	0.0013828726	0.0013828726	0.0013872902	0.0013917332	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013828811	0.0013828726	0.0013828727	0.0013828726	0.0013828726	0.0013873941	0.0013828726	0.0013872895	0.0013828726	0.0013917292	0.0013873687	0.0013917508	0.001387334	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.0013828726	0.001391914	0.0013828726	0.0013828726	0.0013828726	0.0013917134	0.0013828726	0.0013828726	0.0013872966	0.0013828726	0.001391726	0.0013828726	0.0013828726	0.0013872816	0.0013828726	0.0013872893	0.0013874174	0.0013828726	0.0013828726	0.0013828726
0.0027670788	0.0027670788	0.0027759706	0.0027944897	0.0027670788	0.0027847209	0.0027670788	0.0027759168	0.0027849048	0.0027759706	0.0027670788	0.0027670788	0.002784791	0.0027759778	0.0027670788	0.0027670788	0.0027848226	0.0027759844	0.0027670788	0.0027670788	0.0027670788	0.002793645	0.0027847816	0.0027670788	0.6700851	0.0027759168	0.0027760523	0.0027670788	0.002776006	0.0027670788	0.0027856599	0.0027670788	0.0027670788	0.0027759313	0.0027759706	0.0027670788	0.0027670788	0.002775806	0.0027759844	0.0027670788	0.0027848305	0.0027759844	0.0027670788	0.0027670788	0.0027670788	0.0027760363	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027759778	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027935517	0.0027759625	0.0027670788	0.0027759778	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027759182	0.0027670788	0.002811794	0.0027848086	0.002784862	0.0027670788	0.0027670788	0.0027759185	0.0027848086	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027670958	0.0027670788	0.002767079	0.0027670788	0.0027670788	0.0027761264	0.0027670788	0.0027759168	0.0027670788	0.0027848007	0.0027760754	0.0027848438	0.002776006	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027670788	0.0027851705	0.0027670788	0.0027670788	0.0027670788	0.002784769	0.0027670788	0.0027670788	0.0027759313	0.0027670788	0.0027847942	0.0027670788	0.0027670788	0.002775901	0.0027670788	0.0027759166	0.002776173	0.0027670788	0.0027670788	0.0027670788
0.0027670804	0.0027670804	0.0027759722	0.0027944914	0.0027670804	0.0027847223	0.0027670804	0.0027759185	0.0027849062	0.6700849	0.0027670804	0.0027670804	0.0027847926	0.0027759792	0.0027670804	0.0027670804	0.0027848242	0.0027759857	0.0027670804	0.0027670804	0.0027670804	0.0027936464	0.0027847833	0.0027670804	0.0027759448	0.0027759185	0.002776054	0.0027670804	0.0027760076	0.0027670804	0.0027856615	0.0027670804	0.0027670804	0.0027759327	0.0027759722	0.0027670804	0.0027670804	0.0027758074	0.0027759857	0.0027670804	0.002784832	0.0027759857	0.0027670804	0.0027670804	0.0027670804	0.0027760377	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027759792	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027935533	0.002775964	0.0027670804	0.0027759792	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027759185	0.0027670804	0.0028117956	0.0027848103	0.0027848633	0.0027670804	0.0027670804	0.00277592	0.0027848103	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027670974	0.0027670804	0.0027670807	0.0027670804	0.0027670804	0.0027761278	0.0027670804	0.0027759185	0.0027670804	0.002784802	0.002776077	0.0027848454	0.0027760076	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.0027670804	0.002785172	0.0027670804	0.0027670804	0.0027670804	0.0027847704	0.0027670804	0.0027670804	0.0027759327	0.0027670804	0.0027847956	0.0027670804	0.0027670804	0.0027759026	0.0027670804	0.0027759182	0.0027761746	0.0027670804	0.0027670804	0.0027670804
0.0020748088	0.0020748088	0.0020814762	0.0020953622	0.0020748088	0.25226864	0.0020748088	0.0020814359	0.0020881752	0.5024429	0.0020748088	0.0020748088	0.0020880897	0.0020814815	0.0020748088	0.0020748088	0.0020881137	0.0020814864	0.0020748088	0.0020748088	0.0020748088	0.0020947286	0.0020880827	0.0020748088	0.0020814557	0.0020814359	0.0020815374	0.0020748088	0.0020815027	0.0020748088	0.0020887414	0.0020748088	0.0020748088	0.0020814466	0.0020814762	0.0020748088	0.0020748088	0.0020813528	0.0020814864	0.0020748088	0.0020881195	0.0020814864	0.0020748088	0.0020748088	0.0020748088	0.0020815253	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020814815	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020946588	0.00208147	0.0020748088	0.0020814815	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020814359	0.0020748088	0.0021083371	0.0020881032	0.002088143	0.0020748088	0.0020748088	0.002081437	0.0020881032	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020748216	0.0020748088	0.002074809	0.0020748088	0.0020748088	0.0020815928	0.0020748088	0.0020814359	0.0020748088	0.0020880972	0.0020815546	0.0020881295	0.0020815027	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020748088	0.0020883742	0.0020748088	0.0020748088	0.0020748088	0.0020880732	0.0020748088	0.0020748088	0.0020814466	0.0020748088	0.0020880923	0.0020748088	0.0020748088	0.002081424	0.0020748088	0.0020814356	0.0020816277	0.0020748088	0.0020748088	0.0020748088
0.0020748083	0.0020748083	0.0020814757	0.0020953617	0.0020748083	0.0020880366	0.0020748083	0.0020814354	0.0020881747	0.0020814757	0.0020748083	0.0020748083	0.0020880892	0.002081481	0.0020748083	0.0020748083	0.002088113	0.002081486	0.0020748083	0.0020748083	0.0020748083	0.0020947282	0.0020880823	0.0020748083	0.0020814552	0.0020814354	0.002081537	0.0020748083	0.75262356	0.0020748083	0.0020887407	0.0020748083	0.0020748083	0.0020814461	0.0020814757	0.0020748083	0.0020748083	0.002081352	0.002081486	0.0020748083	0.0020881188	0.002081486	0.0020748083	0.0020748083	0.0020748083	0.0020815248	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.002081481	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020946583	0.0020814696	0.0020748083	0.002081481	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020814354	0.0020748083	0.0021083367	0.0020881025	0.0020881426	0.0020748083	0.0020748083	0.0020814366	0.0020881025	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020748212	0.0020748083	0.0020748086	0.0020748083	0.0020748083	0.0020815923	0.0020748083	0.0020814354	0.0020748083	0.0020880965	0.0020815542	0.0020881288	0.0020815022	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020748083	0.0020883738	0.0020748083	0.0020748083	0.0020748083	0.0020880727	0.0020748083	0.0020748083	0.0020814461	0.0020748083	0.0020880916	0.0020748083	0.0020748083	0.0020814235	0.0020748083	0.0020814352	0.0020816273	0.0020748083	0.0020748083	0.0020748083
0.008317267	0.008317267	0.008343994	0.008399659	0.008317267	0.008370295	0.008317267	0.008343833	0.008370848	0.008343994	0.008317267	0.008317267	0.008370507	0.008344015	0.008317267	0.008317267	0.008370602	0.008344035	0.008317267	0.008317267	0.008317267	0.008397119	0.008370479	0.008317267	0.008343912	0.008343833	0.00834424	0.008317267	0.008344101	0.008317267	0.008373118	0.008317267	0.008317267	0.008343875	0.008343994	0.008317267	0.008317267	0.008343499	0.008344035	0.008317267	0.008370625	0.008344035	0.008317267	0.008317267	0.008317267	0.008344191	0.008317267	0.008317267	0.008317267	0.008317267	0.008317267	0.008317267	0.008344015	0.008317267	0.008317267	0.008317267	0.008317267	0.008396839	0.0083439695	0.008317267	0.008344015	0.008317267	0.008317267	0.008317267	0.008317267	0.008317267	0.008343833	0.008317267	0.008451671	0.00837056	0.008370719	0.008317267	0.008317267	0.008343837	0.00837056	0.008317267	0.008317267	0.008317267	0.008317267	0.008317267	0.008317267	0.008317319	0.008317267	0.0083172675	0.008317267	0.008317267	0.008344462	0.008317267	0.008343833	0.008317267	0.008370535	0.0083443085	0.008370665	0.008344101	0.008317267	0.008317267	0.008317267	0.008317267	0.008317267	0.008317267	0.008317267	0.0083716465	0.008317267	0.008317267	0.008317267	0.0083704395	0.008317267	0.008317267	0.008343875	0.008317267	0.008370516	0.008317267	0.008317267	0.008343785	0.008317267	0.008343832	0.008344602	0.008317267	0.008317267	0.008317267
0.0016596075	0.0016596075	0.0016649406	0.0016760478	0.0016596075	0.0016701886	0.0016596075	0.0016649084	0.001670299	0.0016649406	0.0016596075	0.0016596075	0.0016702308	0.0016649449	0.0016596075	0.0016596075	0.0016702497	0.0016649488	0.0016596075	0.0016596075	0.0016596075	0.001675541	0.0016702252	0.0016596075	0.0016649242	0.0016649084	0.0016649896	0.0016596075	0.0016649618	0.0016596075	0.0016707518	0.0016596075	0.0016596075	0.001664917	0.40189597	0.0016596075	0.0016596075	0.0016648418	0.0016649488	0.0016596075	0.0016702545	0.0016649488	0.0016596075	0.0016596075	0.0016596075	0.00166498	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016649449	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016754852	0.0016649357	0.0016596075	0.0016649449	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016649084	0.0016596075	0.0016864263	0.0016702414	0.0016702733	0.0016596075	0.0016596075	0.40189627	0.0016702414	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016596178	0.0016596075	0.0016596077	0.0016596075	0.0016596075	0.001665034	0.0016596075	0.0016649084	0.0016596075	0.0016702366	0.0016650034	0.0016702624	0.0016649618	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016596075	0.0016704584	0.0016596075	0.0016596075	0.0016596075	0.0016702176	0.0016596075	0.0016596075	0.001664917	0.0016596075	0.0016702326	0.0016596075	0.0016596075	0.0016648988	0.0016596075	0.0016649081	0.0016650619	0.0016596075	0.0016596075	0.0016596075
