topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129
0.0015323882	0.0015323882	0.0015323882	0.0015373226	0.0015323882	0.0015372823	0.0015372748	0.0015421687	0.0015372748	0.0015373023	0.0015323882	0.0015372823	0.0015323884	0.0015422504	0.0015323882	0.0015323882	0.001547054	0.001537302	0.0015323882	0.0015372982	0.0015372982	0.0015471147	0.0015323882	0.0015323882	0.0015373061	0.0015323882	0.001542234	0.0015323882	0.0015323882	0.0015323882	0.0015372935	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015372048	0.0015422204	0.0015323882	0.0015373094	0.0015373158	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015373061	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015372748	0.0015323882	0.6018606	0.0015421985	0.0015323882	0.0015323882	0.0015373095	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015421796	0.001562011	0.0015323882	0.0015372746	0.0015323882	0.0015323882	0.0015323882	0.001542226	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015372045	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.001537411	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015421802	0.0015422067	0.0015323882	0.0015323882	0.0015323882	0.0015323882	0.0015372746	0.0015372748	0.0015323882	0.0015323882	0.0015472978	0.0015323882	0.0015323882	0.0015372823	0.20165491	0.0015323882	0.0015323882	0.0015323882	0.0015372963	0.0015323882	0.0015323882	0.0015323882	0.0015422321	0.0015323882	0.0015323882	0.0015374104	0.0015323882	0.0015421523	0.0015372746	0.0015323882	0.0015323882	0.0015323882	0.0015372823	0.0015323882	0.0015323882	0.0015372748	0.0015471088	0.0015372884	0.0015323882
0.0025548965	0.0025548965	0.0025548965	0.0025631236	0.0025548965	0.0025630563	0.0025630437	0.002571203	0.0025630437	0.0025630896	0.0025548965	0.0025630563	0.002554897	0.0025713395	0.0025548965	0.0025548965	0.0025793484	0.0025630894	0.0025548965	0.0025630828	0.0025630828	0.0025794494	0.0025548965	0.0025548965	0.002563096	0.0025548965	0.0025713122	0.0025548965	0.0025548965	0.0025548965	0.0025630752	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025629273	0.0025712894	0.0025548965	0.0025631015	0.0025631122	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.002563096	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025630437	0.0025548965	0.0025630898	0.0025712529	0.0025548965	0.0025548965	0.0025631017	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025712214	0.0026042857	0.0025548965	0.0025630435	0.0025548965	0.0025548965	0.0025548965	0.6698371	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025629266	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.002563271	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025712224	0.0025712666	0.0025548965	0.0025548965	0.0025548965	0.0025548965	0.0025630435	0.0025630437	0.0025548965	0.0025548965	0.002579755	0.0025548965	0.0025548965	0.0025630563	0.00257935	0.0025548965	0.0025548965	0.0025548965	0.0025630796	0.0025548965	0.0025548965	0.0025548965	0.002571309	0.0025548965	0.0025548965	0.00256327	0.0025548965	0.0025711758	0.0025630435	0.0025548965	0.0025548965	0.0025548965	0.0025630563	0.0025548965	0.0025548965	0.0025630437	0.0025794397	0.0025630665	0.0025548965
0.0038340716	0.0038340716	0.0038340716	0.0038464176	0.0038340716	0.0038463166	0.003846298	0.0038585425	0.5045202	0.0038463667	0.0038340716	0.0038463166	0.003834072	0.0038587472	0.0038340716	0.0038340716	0.0038707657	0.0038463662	0.0038340716	0.0038463566	0.0038463566	0.0038709175	0.0038340716	0.0038340716	0.0038463762	0.0038340716	0.0038587062	0.0038340716	0.0038340716	0.0038340716	0.003846345	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.003846123	0.0038586718	0.0038340716	0.0038463844	0.0038464004	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038463762	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.003846298	0.0038340716	0.0038463671	0.003858617	0.0038340716	0.0038340716	0.0038463848	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.00385857	0.0039081885	0.0038340716	0.0038462975	0.0038340716	0.0038340716	0.0038340716	0.003858686	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038461222	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038466388	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038585714	0.0038586378	0.0038340716	0.0038340716	0.0038340716	0.0038340716	0.0038462975	0.003846298	0.0038340716	0.0038340716	0.003871376	0.0038340716	0.0038340716	0.0038463166	0.0038707682	0.0038340716	0.0038340716	0.0038340716	0.0038463518	0.0038340716	0.0038340716	0.0038340716	0.0038587013	0.0038340716	0.0038340716	0.0038466374	0.0038340716	0.0038585013	0.0038462975	0.0038340716	0.0038340716	0.0038340716	0.0038463166	0.0038340716	0.0038340716	0.003846298	0.0038709026	0.003846332	0.0038340716
0.001276874	0.001276874	0.001276874	0.0012809857	0.001276874	0.001280952	0.0012809458	0.0012850236	0.0012809458	0.0012809687	0.001276874	0.001280952	0.0012768742	0.0012850919	0.001276874	0.001276874	0.0012890944	0.0012809685	0.001276874	0.0012809654	0.0012809654	0.001289145	0.001276874	0.001276874	0.0012809719	0.001276874	0.0012850781	0.001276874	0.001276874	0.001276874	0.0012809614	0.001276874	0.001276874	0.001276874	0.001276874	0.001276874	0.001276874	0.0012808875	0.0012850667	0.001276874	0.0012809746	0.00128098	0.001276874	0.001276874	0.001276874	0.001276874	0.001276874	0.001276874	0.0012809719	0.001276874	0.001276874	0.001276874	0.001276874	0.001276874	0.0012809458	0.001276874	0.0012809689	0.0012850484	0.001276874	0.001276874	0.0012809747	0.001276874	0.001276874	0.001276874	0.001276874	0.001276874	0.001276874	0.0012850328	0.0013015575	0.001276874	0.0012809456	0.001276874	0.001276874	0.001276874	0.0012850714	0.001276874	0.001276874	0.001276874	0.001276874	0.001276874	0.001276874	0.0012808873	0.001276874	0.001276874	0.001276874	0.001276874	0.0012810593	0.001276874	0.001276874	0.001276874	0.001276874	0.0012850333	0.0012850554	0.001276874	0.001276874	0.001276874	0.001276874	0.0012809456	0.8349886	0.001276874	0.001276874	0.0012892976	0.001276874	0.001276874	0.001280952	0.0012890953	0.001276874	0.001276874	0.001276874	0.0012809638	0.001276874	0.001276874	0.001276874	0.0012850765	0.001276874	0.001276874	0.0012810589	0.001276874	0.00128501	0.0012809456	0.001276874	0.001276874	0.001276874	0.001280952	0.001276874	0.001276874	0.0012809458	0.00128914	0.0012809571	0.001276874
0.0025548982	0.0025548982	0.0025548982	0.0025631252	0.0025548982	0.002563058	0.6698286	0.0025712047	0.002563105	0.0025630912	0.0025548982	0.002563058	0.0025548984	0.002571341	0.0025548982	0.0025548982	0.00257935	0.002563091	0.0025548982	0.0025630845	0.0025630845	0.002579451	0.0025548982	0.0025548982	0.0025630975	0.0025548982	0.0025713139	0.0025548982	0.0025548982	0.0025548982	0.0025630768	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.002562929	0.002571291	0.0025548982	0.002563103	0.0025631138	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025630975	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025630454	0.0025548982	0.0025630915	0.0025712545	0.0025548982	0.0025548982	0.0025631033	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.002571223	0.0026042874	0.0025548982	0.0025630451	0.0025548982	0.0025548982	0.0025548982	0.0025713004	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025629282	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025632726	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.002571224	0.0025712682	0.0025548982	0.0025548982	0.0025548982	0.0025548982	0.0025630451	0.0025630454	0.0025548982	0.0025548982	0.0025797565	0.0025548982	0.0025548982	0.002563058	0.0025793517	0.0025548982	0.0025548982	0.0025548982	0.0025630812	0.0025548982	0.0025548982	0.0025548982	0.0025713106	0.0025548982	0.0025548982	0.0025632717	0.0025548982	0.0025711774	0.0025630451	0.0025548982	0.0025548982	0.0025548982	0.002563058	0.0025548982	0.0025548982	0.0025630454	0.0025794413	0.0025630682	0.0025548982
0.002554898	0.002554898	0.002554898	0.002563125	0.002554898	0.0025630577	0.0025630451	0.0025712047	0.6698287	0.002563091	0.002554898	0.0025630577	0.0025548984	0.0025713409	0.002554898	0.002554898	0.0025793498	0.0025630908	0.002554898	0.0025630845	0.0025630845	0.0025794508	0.002554898	0.002554898	0.0025630975	0.002554898	0.0025713136	0.002554898	0.002554898	0.002554898	0.0025630766	0.002554898	0.002554898	0.002554898	0.002554898	0.002554898	0.002554898	0.0025629287	0.0025712908	0.002554898	0.0025631029	0.0025631136	0.002554898	0.002554898	0.002554898	0.002554898	0.002554898	0.002554898	0.0025630975	0.002554898	0.002554898	0.002554898	0.002554898	0.002554898	0.0025630451	0.002554898	0.0025630915	0.0025712543	0.002554898	0.002554898	0.002563103	0.002554898	0.002554898	0.002554898	0.002554898	0.002554898	0.002554898	0.0025712228	0.0026042871	0.002554898	0.002563045	0.002554898	0.002554898	0.002554898	0.0025713001	0.002554898	0.002554898	0.002554898	0.002554898	0.002554898	0.002554898	0.002562928	0.002554898	0.002554898	0.002554898	0.002554898	0.0025632724	0.002554898	0.002554898	0.002554898	0.002554898	0.0025712238	0.0025712682	0.002554898	0.002554898	0.002554898	0.002554898	0.002563045	0.0025630451	0.002554898	0.002554898	0.0025797563	0.002554898	0.002554898	0.0025630577	0.0025793514	0.002554898	0.002554898	0.002554898	0.0025630812	0.002554898	0.002554898	0.002554898	0.0025713104	0.002554898	0.002554898	0.0025632714	0.002554898	0.0025711772	0.002563045	0.002554898	0.002554898	0.002554898	0.0025630577	0.002554898	0.002554898	0.0025630451	0.002579441	0.002563068	0.002554898
0.0019157423	0.0019157423	0.0019157423	0.0019219113	0.0019157423	0.0019218607	0.0019218514	0.0019279695	0.0019218514	0.0019218858	0.0019157423	0.0019218607	0.0019157425	0.0019280718	0.0019157423	0.0019157423	0.0019340771	0.0019218855	0.0019157423	0.0019218808	0.0019218808	0.0019341529	0.0019157423	0.0019157423	0.0019218905	0.0019157423	0.0019280514	0.0019157423	0.0019157423	0.0019157423	0.0019218749	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.001921764	0.0019280342	0.0019157423	0.0019218946	0.0019219026	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019218905	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019218514	0.0019157423	0.001921886	0.0019280069	0.0019157423	0.0019157423	0.0019218948	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019279832	0.0019527759	0.0019157423	0.0019218512	0.0019157423	0.0019157423	0.0019157423	0.0019280412	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019217635	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019220217	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.001927984	0.0019280172	0.0019157423	0.0019157423	0.0019157423	0.0019157423	0.0019218512	0.0019218514	0.0019157423	0.0019157423	0.0019343819	0.0019157423	0.0019157423	0.0019218607	0.0019340784	0.0019157423	0.0019157423	0.0019157423	0.0019218783	0.0019157423	0.0019157423	0.0019157423	0.4254178	0.0019157423	0.0019157423	0.001922021	0.0019157423	0.001927949	0.32893747	0.0019157423	0.0019157423	0.0019157423	0.0019218607	0.0019157423	0.0019157423	0.0019218514	0.0019341455	0.0019218684	0.0019157423
0.0019157412	0.0019157412	0.0019157412	0.0019219101	0.0019157412	0.0019218596	0.0019218503	0.0019279683	0.0019218503	0.0019218846	0.0019157412	0.0019218596	0.0019157415	0.0019280707	0.0019157412	0.0019157412	0.001934076	0.0019218844	0.0019157412	0.0019218796	0.7524274	0.0019341517	0.0019157412	0.0019157412	0.0019218894	0.0019157412	0.0019280502	0.0019157412	0.0019157412	0.0019157412	0.0019218738	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.001921763	0.0019280331	0.0019157412	0.0019218934	0.0019219015	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019218894	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019218503	0.0019157412	0.0019218848	0.0019280057	0.0019157412	0.0019157412	0.0019218937	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019279821	0.0019527747	0.0019157412	0.00192185	0.0019157412	0.0019157412	0.0019157412	0.0019280401	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019217625	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019220206	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.0019279828	0.0019280161	0.0019157412	0.0019157412	0.0019157412	0.0019157412	0.00192185	0.0019218503	0.0019157412	0.0019157412	0.0019343809	0.0019157412	0.0019157412	0.0019218596	0.0019340772	0.0019157412	0.0019157412	0.0019157412	0.0019218771	0.0019157412	0.0019157412	0.0019157412	0.0019280477	0.0019157412	0.0019157412	0.0019220199	0.0019157412	0.0019279479	0.00192185	0.0019157412	0.0019157412	0.0019157412	0.0019218596	0.0019157412	0.0019157412	0.0019218503	0.0019341443	0.0019218673	0.0019157412
0.0076784915	0.0076784915	0.0076784915	0.007703217	0.0076784915	0.007703014	0.007702977	0.007727499	0.007702977	0.0077031148	0.0076784915	0.007703014	0.0076784925	0.0077279094	0.0076784915	0.0076784915	0.007751979	0.007703114	0.0076784915	0.0077030947	0.0077030947	0.007752283	0.0076784915	0.0076784915	0.007703134	0.0076784915	0.007727827	0.0076784915	0.0076784915	0.0076784915	0.0077030715	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0077026268	0.0077277585	0.0076784915	0.00770315	0.0077031823	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.007703134	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.007702977	0.0076784915	0.0077031157	0.0077276486	0.0076784915	0.0076784915	0.007703151	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.007727554	0.007826925	0.0076784915	0.007702976	0.0076784915	0.0076784915	0.0076784915	0.0077277864	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.007702625	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.0077036596	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.007727557	0.00772769	0.0076784915	0.0076784915	0.0076784915	0.0076784915	0.007702976	0.007702977	0.0076784915	0.0076784915	0.007753201	0.0076784915	0.0076784915	0.007703014	0.007751984	0.0076784915	0.0076784915	0.0076784915	0.007703085	0.0076784915	0.0076784915	0.0076784915	0.007727817	0.0076784915	0.0076784915	0.007703657	0.0076784915	0.007727417	0.007702976	0.0076784915	0.0076784915	0.0076784915	0.007703014	0.0076784915	0.0076784915	0.007702977	0.0077522527	0.0077030454	0.0076784915
0.0015323869	0.0015323869	0.0015323869	0.0015373214	0.0015323869	0.0015372809	0.0015372734	0.0015421673	0.0015372734	0.0015373009	0.0015323869	0.0015372809	0.001532387	0.0015422491	0.0015323869	0.0015323869	0.0015470526	0.0015373008	0.0015323869	0.0015372969	0.0015372969	0.0015471133	0.0015323869	0.0015323869	0.0015373047	0.0015323869	0.0015422327	0.0015323869	0.0015323869	0.0015323869	0.0015372923	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015372036	0.001542219	0.0015323869	0.001537308	0.0015373145	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015373047	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015372734	0.0015323869	0.0015373011	0.0015421971	0.0015323869	0.0015323869	0.0015373082	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015421783	0.0015620097	0.0015323869	0.0015372733	0.0015323869	0.0015323869	0.0015323869	0.0015422245	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015372032	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015374097	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015421788	0.0015422055	0.0015323869	0.0015323869	0.0015323869	0.0015323869	0.0015372733	0.0015372734	0.0015323869	0.0015323869	0.0015472965	0.0015323869	0.0015323869	0.0015372809	0.0015470537	0.0015323869	0.0015323869	0.0015323869	0.001537295	0.0015323869	0.0015323869	0.0015323869	0.0015422307	0.0015323869	0.0015323869	0.0015374091	0.0015323869	0.80197334	0.0015372733	0.0015323869	0.0015323869	0.0015323869	0.0015372809	0.0015323869	0.0015323869	0.0015372734	0.0015471074	0.001537287	0.0015323869
