topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139
0.0014242178	0.0014242178	0.0014287512	0.0014287767	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014287767	0.0014287736	0.0014287615	0.0014332964	0.0014242178	0.0014424834	0.0014242178	0.0014287797	0.0014424276	0.0014242182	0.0014242178	0.0014242178	0.0014287891	0.0014288503	0.0014242678	0.0014242178	0.0014242178	0.0014287562	0.0014288202	0.0014242178	0.0014242178	0.4780531	0.001433314	0.0014242178	0.0014242178	0.0014242178	0.0014242183	0.0014287615	0.0014287562	0.0014286553	0.0014242178	0.0014242178	0.0014242178	0.0014287791	0.0014242178	0.0014242183	0.0014242178	0.0014288155	0.0014242178	0.0014242178	0.001428787	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.001428787	0.0014267103	0.0014242178	0.0014242178	0.0014378855	0.0014242178	0.0014242178	0.3251289	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014470643	0.0014242178	0.0014242178	0.0014287821	0.0014242183	0.0014242178	0.001437873	0.0014242178	0.0014242178	0.001427473	0.0014242178	0.0014242178	0.0014242178	0.0014287463	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014334267	0.0014242178	0.0014242178	0.0014242178	0.0014242906	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014334499	0.0014242178	0.0014242178	0.0014242178	0.0014333217	0.0014242178	0.0014287736	0.0014242178	0.0014242178	0.00142877	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014288672	0.0014242178	0.0014287498	0.0014287499	0.0014287767	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014277574	0.0014287562	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014262731	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014287562	0.0014332926	0.0014242178
0.0023743375	0.0023743375	0.0023818952	0.0023819376	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023819376	0.0023819325	0.0023819124	0.0023894724	0.0023743375	0.0024047883	0.0023743375	0.0023819427	0.0024046954	0.002374338	0.0023743375	0.0023743375	0.0023819585	0.0023820605	0.0023744209	0.0023743375	0.0023743375	0.0023819036	0.0023820102	0.0023743375	0.0023743375	0.0023819325	0.002389502	0.0023743375	0.0023743375	0.0023743375	0.0023743385	0.0023819124	0.0023819036	0.0023817355	0.0023743375	0.0023743375	0.0023743375	0.0023819418	0.0023743375	0.0023743385	0.0023743375	0.0023820025	0.0023743375	0.0023743375	0.0023819548	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023819548	0.0023784928	0.0023743375	0.0023743375	0.002397123	0.0023743375	0.0023743375	0.0023819325	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0024124254	0.0023743375	0.0023743375	0.002381947	0.0023743385	0.0023743375	0.66951466	0.0023743375	0.0023743375	0.0023797643	0.0023743375	0.0023743375	0.0023743375	0.002381887	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.00238969	0.0023743375	0.0023743375	0.0023743375	0.0023744588	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023897286	0.0023743375	0.0023743375	0.0023743375	0.0023895148	0.0023743375	0.0023819325	0.0023743375	0.0023743375	0.0023819266	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023820887	0.0023743375	0.0023818929	0.002381893	0.0023819376	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023802386	0.0023819036	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.002377764	0.0023743375	0.0023743375	0.0023743375	0.0023743375	0.0023819036	0.0023894664	0.0023743375
0.0035627126	0.0035627126	0.0035740526	0.0035741166	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035741166	0.0035741087	0.0035740784	0.0035854226	0.0035627126	0.0036084042	0.0035627126	0.003574124	0.0036082645	0.0035627133	0.0035627126	0.0035627126	0.0035741478	0.0035743008	0.0035628374	0.0035627126	0.0035627126	0.0035740652	0.0035742254	0.0035627126	0.0035627126	0.0035741087	0.0035854669	0.0035627126	0.0035627126	0.0035627126	0.0035627137	0.50408125	0.0035740652	0.003573813	0.0035627126	0.0035627126	0.0035627126	0.0035741227	0.0035627126	0.0035627137	0.0035627126	0.0035742137	0.0035627126	0.0035627126	0.0035741425	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035741425	0.0035689475	0.0035627126	0.0035627126	0.0035969024	0.0035627126	0.0035627126	0.0035741087	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0036198637	0.0035627126	0.0035627126	0.0035741304	0.0035627137	0.0035627126	0.0035968712	0.0035627126	0.0035627126	0.0035708554	0.0035627126	0.0035627126	0.0035627126	0.0035740405	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035857486	0.0035627126	0.0035627126	0.0035627126	0.0035628946	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035858066	0.0035627126	0.0035627126	0.0035627126	0.003585486	0.0035627126	0.0035741087	0.0035627126	0.0035627126	0.0035740999	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035743432	0.0035627126	0.003574049	0.0035740496	0.0035741166	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.003571567	0.0035740652	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.003567854	0.0035627126	0.0035627126	0.0035627126	0.0035627126	0.0035740652	0.0035854133	0.0035627126
0.0011867675	0.0011867675	0.0011905449	0.0011905662	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011905662	0.0011905637	0.0011905537	0.0011943324	0.0011867675	0.0012019877	0.0011867675	0.35553834	0.0012019413	0.0011867677	0.0011867675	0.0011867675	0.0011905767	0.0011906277	0.0011868092	0.0011867675	0.0011867675	0.0011905491	0.0011906025	0.0011867675	0.0011867675	0.0011905637	0.0011943472	0.0011867675	0.0011867675	0.0011867675	0.001186768	0.0011905537	0.0011905491	0.0011904652	0.0011867675	0.0011867675	0.0011867675	0.0011905683	0.0011867675	0.001186768	0.0011867675	0.0011905986	0.0011867675	0.0011867675	0.0011905748	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011905748	0.0011888444	0.0011867675	0.0011867675	0.0011981564	0.0011867675	0.0011867675	0.48045784	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.001205805	0.0011867675	0.0011867675	0.0011905709	0.001186768	0.0011867675	0.001198146	0.0011867675	0.0011867675	0.00118948	0.0011867675	0.0011867675	0.0011867675	0.001190541	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.001194441	0.0011867675	0.0011867675	0.0011867675	0.0011868281	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011944603	0.0011867675	0.0011867675	0.0011867675	0.0011943536	0.0011867675	0.0011905637	0.0011867675	0.0011867675	0.0011905608	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011906417	0.0011867675	0.0011905438	0.001190544	0.0011905662	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.001189717	0.0011905491	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011884802	0.0011867675	0.0011867675	0.0011867675	0.0011867675	0.0011905491	0.0011943292	0.0011867675
0.0023743382	0.0023743382	0.0023818957	0.0023819383	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023819383	0.0023819332	0.002381913	0.0023894731	0.0023743382	0.002404789	0.0023743382	0.0023819432	0.0024046958	0.0023743387	0.0023743382	0.0023743382	0.002381959	0.0023820612	0.0023744213	0.0023743382	0.0023743382	0.002381904	0.0023820107	0.0023743382	0.0023743382	0.0023819332	0.0023895025	0.0023743382	0.0023743382	0.0023743382	0.002374339	0.6694994	0.002381904	0.002381736	0.0023743382	0.0023743382	0.0023743382	0.0023819422	0.0023743382	0.002374339	0.0023743382	0.002382003	0.0023743382	0.0023743382	0.0023819555	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023819555	0.0023784935	0.0023743382	0.0023743382	0.0023971237	0.0023743382	0.0023743382	0.0023819332	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.002412426	0.0023743382	0.0023743382	0.0023819474	0.002374339	0.0023743382	0.0023971028	0.0023743382	0.0023743382	0.002379765	0.0023743382	0.0023743382	0.0023743382	0.0023818875	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023896904	0.0023743382	0.0023743382	0.0023743382	0.0023744595	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.002389729	0.0023743382	0.0023743382	0.0023743382	0.0023895153	0.0023743382	0.0023819332	0.0023743382	0.0023743382	0.002381927	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023820892	0.0023743382	0.0023818933	0.0023818936	0.0023819383	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.002380239	0.002381904	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.0023777646	0.0023743382	0.0023743382	0.0023743382	0.0023743382	0.002381904	0.0023894669	0.0023743382
0.0023743396	0.0023743396	0.0023818973	0.0023819397	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023819397	0.0023819346	0.0023819145	0.0023894745	0.0023743396	0.0024047904	0.0023743396	0.0023819448	0.0024046975	0.00237434	0.0023743396	0.0023743396	0.0023819606	0.0023820626	0.002374423	0.0023743396	0.0023743396	0.0023819057	0.0023820123	0.0023743396	0.0023743396	0.0023819346	0.002389504	0.0023743396	0.0023743396	0.0023743396	0.0023743405	0.0023819145	0.0023819057	0.0023817376	0.0023743396	0.0023743396	0.0023743396	0.0023819439	0.0023743396	0.0023743405	0.0023743396	0.0023820046	0.0023743396	0.0023743396	0.002381957	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.002381957	0.002378495	0.0023743396	0.0023743396	0.0023971251	0.0023743396	0.0023743396	0.0023819346	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0024124274	0.0023743396	0.0023743396	0.002381949	0.0023743405	0.0023743396	0.0023971044	0.0023743396	0.0023743396	0.0023797664	0.0023743396	0.0023743396	0.0023743396	0.0023818891	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.002389692	0.0023743396	0.0023743396	0.0023743396	0.002374461	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023897307	0.0023743396	0.0023743396	0.0023743396	0.002389517	0.0023743396	0.6694992	0.0023743396	0.0023743396	0.0023819287	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023820908	0.0023743396	0.002381895	0.0023818952	0.0023819397	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023802407	0.0023819057	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023777662	0.0023743396	0.0023743396	0.0023743396	0.0023743396	0.0023819057	0.0023894685	0.0023743396
0.0017804523	0.0017804523	0.0017861195	0.0017861514	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017861514	0.0017861476	0.0017861325	0.0017918017	0.0017804523	0.0018032866	0.0017804523	0.0017861552	0.0018032168	0.0017804527	0.0017804523	0.0017804523	0.001786167	0.0017862435	0.0017805147	0.0017804523	0.0017804523	0.0017861258	0.0017862058	0.0017804523	0.0017804523	0.0017861476	0.0017918238	0.0017804523	0.0017804523	0.0017804523	0.0017804529	0.0017861325	0.0017861258	0.0017859997	0.0017804523	0.0017804523	0.0017804523	0.0017861545	0.0017804523	0.0017804529	0.0017804523	0.0017862	0.0017804523	0.0017804523	0.0017861644	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017861644	0.0017835683	0.0017804523	0.0017804523	0.0017975386	0.0017804523	0.0017804523	0.0017861476	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0018090134	0.0017804523	0.0017804523	0.0017861583	0.0017804529	0.0017804523	0.001797523	0.0017804523	0.0017804523	0.0017845217	0.0017804523	0.0017804523	0.0017804523	0.0017861135	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017919645	0.0017804523	0.0017804523	0.0017804523	0.0017805434	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017919936	0.0017804523	0.0017804523	0.0017804523	0.0017918333	0.0017804523	0.50203985	0.0017804523	0.0017804523	0.0017861432	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017862647	0.0017804523	0.0017861178	0.001786118	0.0017861514	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017848773	0.25191277	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017830217	0.0017804523	0.0017804523	0.0017804523	0.0017804523	0.0017861258	0.001791797	0.0017804523
0.0017804519	0.0017804519	0.001786119	0.0017861509	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017861509	0.001786147	0.0017861319	0.0017918011	0.0017804519	0.001803286	0.0017804519	0.0017861546	0.0018032163	0.0017804522	0.0017804519	0.0017804519	0.0017861666	0.001786243	0.0017805143	0.0017804519	0.0017804519	0.0017861252	0.0017862053	0.0017804519	0.0017804519	0.001786147	0.0017918232	0.0017804519	0.0017804519	0.0017804519	0.0017804524	0.0017861319	0.0017861252	0.0017859993	0.0017804519	0.0017804519	0.0017804519	0.0017861539	0.0017804519	0.0017804524	0.0017804519	0.0017861995	0.0017804519	0.0017804519	0.0017861639	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017861639	0.0017835677	0.0017804519	0.0017804519	0.001797538	0.0017804519	0.0017804519	0.001786147	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0018090128	0.0017804519	0.0017804519	0.0017861578	0.0017804524	0.0017804519	0.75217795	0.0017804519	0.0017804519	0.0017845212	0.0017804519	0.0017804519	0.0017804519	0.0017861129	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.001791964	0.0017804519	0.0017804519	0.0017804519	0.0017805428	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.001791993	0.0017804519	0.0017804519	0.0017804519	0.0017918327	0.0017804519	0.001786147	0.0017804519	0.0017804519	0.0017861426	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017862641	0.0017804519	0.0017861172	0.0017861174	0.0017861509	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017848768	0.0017861252	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017830213	0.0017804519	0.0017804519	0.0017804519	0.0017804519	0.0017861252	0.0017917964	0.0017804519
0.0071326606	0.0071326606	0.007155364	0.007155492	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.007155492	0.007155476	0.0071554156	0.007178127	0.0071326606	0.0072241365	0.0071326606	0.007155507	0.007223857	0.007132662	0.0071326606	0.0071326606	0.0071555544	0.007155861	0.0071329107	0.0071326606	0.0071326606	0.007155389	0.0071557094	0.0071326606	0.0071326606	0.007155476	0.0071782153	0.0071326606	0.0071326606	0.0071326606	0.007132663	0.0071554156	0.007155389	0.0071548843	0.0071326606	0.0071326606	0.0071326606	0.007155504	0.0071326606	0.007132663	0.0071326606	0.007155686	0.0071326606	0.0071326606	0.0071555437	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071555437	0.007145143	0.0071326606	0.0071326606	0.0072011095	0.0071326606	0.0071326606	0.007155476	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0072470787	0.0071326606	0.0071326606	0.0071555194	0.007132663	0.0071326606	0.007201047	0.0071326606	0.0071326606	0.007148963	0.0071326606	0.0071326606	0.0071326606	0.0071553397	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071787797	0.0071326606	0.0071326606	0.0071326606	0.007133025	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071788956	0.0071326606	0.0071326606	0.0071326606	0.007178254	0.0071326606	0.007155476	0.0071326606	0.0071326606	0.0071554584	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.007155945	0.0071326606	0.007155357	0.007155358	0.007155492	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071503874	0.007155389	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.007142954	0.0071326606	0.0071326606	0.0071326606	0.0071326606	0.007155389	0.007178108	0.0071326606
0.0014242178	0.0014242178	0.0014287512	0.0014287767	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014287767	0.0014287736	0.0014287615	0.0014332964	0.0014242178	0.0014424834	0.0014242178	0.0014287797	0.0014424276	0.0014242182	0.0014242178	0.0014242178	0.0014287891	0.0014288503	0.0014242678	0.0014242178	0.0014242178	0.0014287562	0.0014288202	0.0014242178	0.0014242178	0.40159088	0.001433314	0.0014242178	0.0014242178	0.0014242178	0.0014242183	0.0014287615	0.0014287562	0.0014286553	0.0014242178	0.0014242178	0.0014242178	0.0014287791	0.0014242178	0.0014242183	0.0014242178	0.0014288155	0.0014242178	0.0014242178	0.001428787	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.001428787	0.0014267103	0.0014242178	0.0014242178	0.0014378855	0.0014242178	0.0014242178	0.0014287736	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014470643	0.0014242178	0.0014242178	0.0014287821	0.0014242183	0.0014242178	0.001437873	0.0014242178	0.0014242178	0.001427473	0.0014242178	0.0014242178	0.0014242178	0.0014287463	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014334267	0.0014242178	0.0014242178	0.0014242178	0.0014242906	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014334499	0.0014242178	0.0014242178	0.0014242178	0.0014333217	0.0014242178	0.0014287736	0.0014242178	0.0014242178	0.00142877	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014288672	0.0014242178	0.40159112	0.0014287499	0.0014287767	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014277574	0.0014287562	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014262731	0.0014242178	0.0014242178	0.0014242178	0.0014242178	0.0014287562	0.0014332926	0.0014242178
