topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13
0.013174107	0.013556198	0.013417595	0.014063752	0.012976138	0.014146149	0.01393512	0.01340543	0.014366587	0.013747113	0.013849436	0.013813179	0.014597956	0.8209513
0.022078333	0.022718703	0.022486635	0.023569284	0.02174672	0.023707308	0.023353867	0.022466155	0.6999786	0.023038806	0.023210187	0.023149613	0.024464302	0.024031509
0.03334845	0.03431574	0.033965062	0.035600528	0.03284759	0.035808943	0.54573745	0.03393422	0.036367316	0.034799144	0.03505809	0.034966413	0.036952414	0.036298674
0.010963226	0.011281234	0.011165925	0.011703582	0.010798558	0.8508377	0.0115966005	0.011155786	0.011955664	0.011440126	0.011525273	0.011495118	0.012148048	0.0119330995
0.0220783	0.02271869	0.022486527	0.023569291	0.021746708	0.023707267	0.69925594	0.022466112	0.024076939	0.023038732	0.023210166	0.023149472	0.02446432	0.02403149
0.022078315	0.022718707	0.022486545	0.023569304	0.021746723	0.023707299	0.34530824	0.02246622	0.024076963	0.37698615	0.023210203	0.023149487	0.024464367	0.024031518
0.016501676	0.016980406	0.016806733	0.017615972	0.016253762	0.017719492	0.01745496	0.016791489	0.017995419	0.7749832	0.017347708	0.017302237	0.018285442	0.017961508
0.016501589	0.016980218	0.016806696	0.01761595	0.016253741	0.01771908	0.017454937	0.01679147	0.7757608	0.017219415	0.01734755	0.017302182	0.018284896	0.01796142
0.06812235	0.07009825	0.06938193	0.07272271	0.06709922	0.073148474	0.07205804	0.069318935	0.07428911	0.071085736	0.071614705	0.07142743	0.07548421	0.07414887
0.45347887	0.01355612	0.013417593	0.014063676	0.012976135	0.014146004	0.013935117	0.013405427	0.014366679	0.013747107	0.38015682	0.013813169	0.014597767	0.0143394945
0.06812235	0.07009825	0.06938193	0.07272271	0.06709922	0.073148474	0.07205804	0.069318935	0.07428911	0.071085736	0.071614705	0.07142743	0.07548421	0.07414887
0.013173997	0.013556129	0.0134175755	0.014063644	0.012976124	0.82075864	0.013935095	0.013405389	0.014366565	0.013747066	0.013849411	0.013813151	0.014597734	0.014339448
0.06812235	0.07009825	0.06938193	0.07272271	0.06709922	0.073148474	0.07205804	0.069318935	0.07428911	0.071085736	0.071614705	0.07142743	0.07548421	0.07414887
0.06812235	0.07009825	0.06938193	0.07272271	0.06709922	0.073148474	0.07205804	0.069318935	0.07428911	0.071085736	0.071614705	0.07142743	0.07548421	0.07414887
0.03334845	0.03431574	0.033965062	0.035600528	0.03284759	0.035808943	0.54573745	0.03393422	0.036367316	0.034799144	0.03505809	0.034966413	0.036952417	0.036298674
