topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139	topic_140	topic_141	topic_142	topic_143	topic_144	topic_145	topic_146	topic_147	topic_148	topic_149
0.0013339604	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013382221	0.0013297241	0.001333982	0.0013382033	0.0013382531	0.0013297241	0.0013297241	0.0013424682	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.001333977	0.0013297241	0.0013297241	0.0013339637	0.0013297241	0.0013382669	0.0013297241	0.0013297241	0.0013297241	0.0013339495	0.0013339551	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013339277	0.0013339731	0.0013297241	0.0013297241	0.0013339838	0.0013297241	0.0013297241	0.0013297241	0.0013340083	0.0013297241	0.0013297241	0.0013339597	0.0013297241	0.0013297241	0.001333982	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013339553	0.33345863	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013331382	0.0013297241	0.0013339672	0.0013297241	0.0013297241	0.0013340184	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013382158	0.0013297241	0.0013297241	0.0013339703	0.0013297241	0.0013297241	0.0013297241	0.46950382	0.0013339597	0.0013297241	0.0013297241	0.0013297241	0.0013340343	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.001333973	0.0013297241	0.0013339838	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013339526	0.0013297241	0.0013297241	0.0013383294	0.0013297241	0.0013297241	0.0013382451	0.0013339352	0.0013339551	0.0013297241	0.0013395037	0.0013297241	0.0013382133	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.001334055	0.0013297242	0.0013297241	0.0013297241	0.0013339495	0.0013297241	0.0013297241	0.0013339637	0.0013339756	0.0013297241	0.0013297241	0.0013339838	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013339551	0.0013297241	0.0013297241	0.0013297241	0.0013381685	0.0013339672	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013297241	0.0013339189	0.0013339252
0.002223804	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022309083	0.0022167414	0.0022238398	0.002230877	0.00223096	0.0022167414	0.0022167414	0.0022379868	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022238314	0.0022167414	0.0022167414	0.0022238092	0.0022167414	0.002230983	0.0022167414	0.0022167414	0.0022167414	0.0022237855	0.0022237948	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022237492	0.002223825	0.0022167414	0.0022167414	0.66929394	0.0022167414	0.0022167414	0.0022167414	0.0022238835	0.0022167414	0.0022167414	0.0022238027	0.0022167414	0.0022167414	0.0022238398	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022237953	0.00222378	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022224332	0.0022167414	0.002223815	0.0022167414	0.0022167414	0.0022239003	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022308978	0.0022167414	0.0022167414	0.0022238202	0.0022167414	0.0022167414	0.0022167414	0.0022308766	0.0022238027	0.0022167414	0.0022167414	0.0022167414	0.0022239268	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022238248	0.0022167414	0.002223843	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022237909	0.0022167414	0.0022167414	0.002231087	0.0022167414	0.0022167414	0.0022309467	0.0022237618	0.0022237948	0.0022167414	0.0022330447	0.0022167414	0.0022308938	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022239615	0.0022167417	0.0022167414	0.0022167414	0.0022237855	0.0022167414	0.0022167414	0.0022238092	0.002223829	0.0022167414	0.0022167414	0.002223843	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022237948	0.0022167414	0.0022167414	0.0022167414	0.002230819	0.0022239217	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022167414	0.0022237345	0.002223745
0.0033367171	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.003347377	0.0033261206	0.003336771	0.00334733	0.0033474548	0.0033261206	0.0033261206	0.003357998	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033367586	0.0033261206	0.0033261206	0.0033367253	0.0033261206	0.003347489	0.0033261206	0.0033261206	0.0033261206	0.00333669	0.0033367039	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033366354	0.003336749	0.0033261206	0.0033261206	0.0033367758	0.0033261206	0.0033261206	0.0033261206	0.0033368368	0.0033261206	0.0033261206	0.0033367155	0.0033261206	0.0033261206	0.003336771	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033367043	0.0033366813	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033346605	0.0033261206	0.0033367341	0.0033261206	0.0033261206	0.0033368622	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033473615	0.0033261206	0.0033261206	0.0033367418	0.0033261206	0.0033261206	0.0033261206	0.0033473293	0.5037906	0.0033261206	0.0033261206	0.0033261206	0.0033369018	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033367486	0.0033261206	0.0033367758	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033366978	0.0033261206	0.0033261206	0.0033476455	0.0033261206	0.0033261206	0.0033474348	0.003336654	0.0033367039	0.0033261206	0.0033505827	0.0033261206	0.0033473554	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033369537	0.0033261208	0.0033261206	0.0033261206	0.00333669	0.0033261206	0.0033261206	0.0033367253	0.003336755	0.0033261206	0.0033261206	0.0033367758	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033367039	0.0033261206	0.0033261206	0.0033261206	0.0033472432	0.0033367341	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033261206	0.0033366133	0.003336629
0.0011115655	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011151166	0.0011080354	0.0011115834	0.001115101	0.0011151426	0.0011080354	0.0011080354	0.001118655	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.35541567	0.0011080354	0.0011080354	0.0011115683	0.0011080354	0.001115154	0.0011080354	0.0011080354	0.0011080354	0.0011115564	0.0011115611	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011115383	0.0011115762	0.0011080354	0.0011080354	0.0011115851	0.0011080354	0.0011080354	0.0011080354	0.0011116054	0.0011080354	0.0011080354	0.001111565	0.0011080354	0.0011080354	0.0011115834	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011115613	0.4803929	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011108804	0.0011080354	0.0011115712	0.0011080354	0.0011080354	0.0011116138	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011151115	0.0011080354	0.0011080354	0.0011115738	0.0011080354	0.0011080354	0.0011080354	0.0011151008	0.001111565	0.0011080354	0.0011080354	0.0011080354	0.0011116271	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.001111576	0.0011080354	0.0011115851	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011115591	0.0011080354	0.0011080354	0.0011152062	0.0011080354	0.0011080354	0.001115136	0.0011115446	0.0011115611	0.0011080354	0.0011161846	0.0011080354	0.0011151094	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011116443	0.0011080356	0.0011080354	0.0011080354	0.0011115564	0.0011080354	0.0011080354	0.0011115683	0.0011115782	0.0011080354	0.0011080354	0.0011115851	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011115611	0.0011080354	0.0011080354	0.0011080354	0.0011150722	0.0011115712	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011080354	0.0011115309	0.0011115362
0.0022238046	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.002230909	0.0022167421	0.0022238404	0.0022308778	0.0022309606	0.0022167421	0.0022167421	0.0022379875	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.002223832	0.0022167421	0.0022167421	0.00222381	0.0022167421	0.0022309837	0.0022167421	0.0022167421	0.0022167421	0.0022237862	0.0022237957	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022237499	0.0022238258	0.0022167421	0.0022167421	0.0022238437	0.0022167421	0.0022167421	0.0022167421	0.0022238842	0.0022167421	0.0022167421	0.0022238034	0.0022167421	0.0022167421	0.0022238404	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.002223796	0.0022237806	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.002222434	0.0022167421	0.0022238158	0.0022167421	0.0022167421	0.002223901	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022308985	0.0022167421	0.0022167421	0.002223821	0.0022167421	0.0022167421	0.0022167421	0.0022308773	0.6692939	0.0022167421	0.0022167421	0.0022167421	0.0022239275	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022238255	0.0022167421	0.0022238437	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022237916	0.0022167421	0.0022167421	0.0022310878	0.0022167421	0.0022167421	0.0022309474	0.0022237625	0.0022237957	0.0022167421	0.0022330454	0.0022167421	0.0022308945	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022239622	0.0022167424	0.0022167421	0.0022167421	0.0022237862	0.0022167421	0.0022167421	0.00222381	0.0022238297	0.0022167421	0.0022167421	0.0022238437	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022237957	0.0022167421	0.0022167421	0.0022167421	0.0022308198	0.0022238158	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022167421	0.0022237352	0.0022237457
0.0022238058	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022309101	0.0022167433	0.0022238416	0.002230879	0.002230962	0.0022167433	0.0022167433	0.0022379886	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022238335	0.0022167433	0.0022167433	0.002223811	0.0022167433	0.0022309849	0.0022167433	0.0022167433	0.0022167433	0.0022237876	0.002223797	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022237513	0.002223827	0.0022167433	0.0022167433	0.0022238449	0.0022167433	0.0022167433	0.0022167433	0.0022238856	0.0022167433	0.0022167433	0.0022238046	0.0022167433	0.0022167433	0.0022238416	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022237971	0.0022237818	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.002222435	0.0022167433	0.0022238172	0.0022167433	0.0022167433	0.0022239024	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022308996	0.0022167433	0.0022167433	0.6692937	0.0022167433	0.0022167433	0.0022167433	0.0022308785	0.0022238046	0.0022167433	0.0022167433	0.0022167433	0.0022239287	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022238267	0.0022167433	0.0022238449	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022237927	0.0022167433	0.0022167433	0.002231089	0.0022167433	0.0022167433	0.0022309485	0.0022237636	0.002223797	0.0022167433	0.0022330466	0.0022167433	0.0022308957	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022239634	0.0022167435	0.0022167433	0.0022167433	0.0022237876	0.0022167433	0.0022167433	0.002223811	0.0022238311	0.0022167433	0.0022167433	0.0022238449	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.002223797	0.0022167433	0.0022167433	0.0022167433	0.002230821	0.0022238172	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022167433	0.0022237364	0.0022237469
0.0016676007	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016729282	0.0016623047	0.0016676276	0.0016729047	0.0016729671	0.0016623047	0.0016623047	0.0016782363	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016676214	0.0016623047	0.0016623047	0.0016676048	0.0016623047	0.0016729842	0.0016623047	0.0016623047	0.0016623047	0.0016675871	0.0016675941	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016675598	0.0016676167	0.0016623047	0.0016623047	0.00166763	0.0016623047	0.0016623047	0.0016623047	0.0016676605	0.0016623047	0.0016623047	0.0016675999	0.0016623047	0.0016623047	0.0016676276	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016675943	0.0016675828	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016665729	0.0016623047	0.0016676092	0.0016623047	0.0016623047	0.0016676731	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016729204	0.0016623047	0.0016623047	0.5018946	0.0016623047	0.0016623047	0.0016623047	0.0016729044	0.0016675999	0.0016623047	0.0016623047	0.0016623047	0.0016676929	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016676164	0.0016623047	0.00166763	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.251781	0.0016623047	0.0016623047	0.0016730623	0.0016623047	0.0016623047	0.0016729571	0.0016675692	0.0016675941	0.0016623047	0.0016745303	0.0016623047	0.0016729173	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016677189	0.0016623049	0.0016623047	0.0016623047	0.0016675871	0.0016623047	0.0016623047	0.0016676048	0.0016676197	0.0016623047	0.0016623047	0.00166763	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016675941	0.0016623047	0.0016623047	0.0016623047	0.0016728613	0.0016676092	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016623047	0.0016675488	0.0016675566
0.0016676001	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016729276	0.0016623043	0.0016676271	0.0016729042	0.0016729665	0.0016623043	0.0016623043	0.0016782358	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.001667621	0.0016623043	0.0016623043	0.0016676042	0.0016623043	0.0016729836	0.0016623043	0.0016623043	0.0016623043	0.0016675865	0.0016675935	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016675593	0.0016676162	0.0016623043	0.0016623043	0.0016676296	0.0016623043	0.0016623043	0.0016623043	0.0016676601	0.0016623043	0.0016623043	0.0016675993	0.0016623043	0.0016623043	0.0016676271	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016675937	0.0016675822	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016665723	0.0016623043	0.0016676087	0.0016623043	0.0016623043	0.0016676727	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016729198	0.0016623043	0.0016623043	0.0016676126	0.0016623043	0.0016623043	0.0016623043	0.0016729039	0.0016675993	0.0016623043	0.0016623043	0.0016623043	0.0016676924	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.001667616	0.0016623043	0.0016676296	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016675905	0.0016623043	0.0016623043	0.0016730619	0.0016623043	0.0016623043	0.0016729565	0.0016675686	0.0016675935	0.0016623043	0.0016745299	0.0016623043	0.0016729168	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016677184	0.0016623044	0.0016623043	0.0016623043	0.0016675865	0.0016623043	0.0016623043	0.0016676042	0.0016676192	0.0016623043	0.0016623043	0.0016676296	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016675935	0.0016623043	0.0016623043	0.0016623043	0.0016728608	0.7520081	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016623043	0.0016675482	0.001667556
0.006679497	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006700836	0.006658285	0.006679605	0.0067007425	0.006700992	0.006658285	0.006658285	0.0067220978	0.006658285	0.006658285	0.006658285	0.006658285	0.0066795805	0.006658285	0.006658285	0.0066795135	0.006658285	0.0067010606	0.006658285	0.006658285	0.006658285	0.0066794427	0.0066794707	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.0066793337	0.0066795615	0.006658285	0.006658285	0.006679615	0.006658285	0.006658285	0.006658285	0.006679737	0.006658285	0.006658285	0.006679494	0.006658285	0.006658285	0.006679605	0.006658285	0.006658285	0.006658285	0.006658285	0.0066794716	0.0066794255	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.0066753803	0.006658285	0.006679531	0.006658285	0.006658285	0.0066797873	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006700805	0.006658285	0.006658285	0.0066795466	0.006658285	0.006658285	0.006658285	0.006700741	0.006679494	0.006658285	0.006658285	0.006658285	0.006679867	0.006658285	0.006658285	0.006658285	0.006658285	0.0066795605	0.006658285	0.006679615	0.006658285	0.006658285	0.006658285	0.006658285	0.0066794585	0.006658285	0.006658285	0.006701374	0.006658285	0.006658285	0.006700952	0.006679371	0.0066794707	0.006658285	0.0067072534	0.006658285	0.006700793	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006679971	0.0066582854	0.006658285	0.006658285	0.0066794427	0.006658285	0.006658285	0.0066795135	0.0066795736	0.006658285	0.006658285	0.006679615	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.0066794707	0.006658285	0.006658285	0.006658285	0.0067005684	0.006679531	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006658285	0.006679289	0.0066793207
0.0013339602	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013382218	0.0013297239	0.0013339818	0.0013382031	0.0013382529	0.0013297239	0.0013297239	0.001342468	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013339767	0.0013297239	0.0013297239	0.0013339635	0.0013297239	0.0013382667	0.0013297239	0.0013297239	0.0013297239	0.0013339493	0.0013339549	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013339275	0.0013339729	0.0013297239	0.0013297239	0.0013339836	0.0013297239	0.0013297239	0.0013297239	0.0013340081	0.0013297239	0.0013297239	0.0013339595	0.0013297239	0.0013297239	0.0013339818	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013339551	0.0013339458	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.001333138	0.0013297239	0.001333967	0.0013297239	0.0013297239	0.0013340181	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013382155	0.0013297239	0.0013297239	0.00133397	0.0013297239	0.0013297239	0.0013297239	0.40451744	0.0013339595	0.0013297239	0.0013297239	0.0013297239	0.0013340339	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013339728	0.0013297239	0.0013339836	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013339524	0.0013297239	0.0013297239	0.001338329	0.0013297239	0.0013297239	0.0013382449	0.001333935	0.0013339549	0.0013297239	0.0013395033	0.0013297239	0.0013382131	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013340547	0.0013297239	0.0013297239	0.0013297239	0.398445	0.0013297239	0.0013297239	0.0013339635	0.0013339753	0.0013297239	0.0013297239	0.0013339836	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013339549	0.0013297239	0.0013297239	0.0013297239	0.0013381683	0.001333967	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013297239	0.0013339187	0.0013339248
