topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139	topic_140	topic_141	topic_142	topic_143	topic_144	topic_145	topic_146	topic_147	topic_148	topic_149	topic_150	topic_151	topic_152	topic_153	topic_154	topic_155	topic_156	topic_157	topic_158	topic_159
0.0012468655	0.0012508323	0.0012468655	0.0012468655	0.0012468655	0.0012468658	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012587832	0.0012508323	0.0012508429	0.0012587734	0.0012468655	0.0012468655	0.0012468656	0.0012468655	0.0012508463	0.0012468655	0.0012548079	0.0012468686	0.0012468655	0.0012508595	0.0012468655	0.0012468655	0.0012508441	0.0012468655	0.0012508284	0.0012468655	0.0012508341	0.0012468655	0.0012468655	0.0012468655	0.0012508485	0.0012468655	0.0012468655	0.0012508638	0.0012508543	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012508313	0.0012468655	0.0012468655	0.0012508162	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012508332	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012588224	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012548224	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012508037	0.0012508387	0.0012508369	0.0012468655	0.0012468655	0.0012548413	0.0012468655	0.0012468655	0.0012468655	0.0012508417	0.0012468655	0.0012468655	0.0012468655	0.0012508536	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.001262839	0.001250836	0.0012468655	0.0012468655	0.0012468686	0.0012468655	0.0012508417	0.001254813	0.0012508533	0.0012468655	0.0012508698	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012509179	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012508463	0.0012468655	0.0012468655	0.0012468655	0.0012508441	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012508284	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012468655	0.0012508284	0.0012468655	0.0012468655	0.0012468655	0.0012508355	0.0012468655	0.0012548143	0.0012548451	0.50606364	0.0012468655	0.0012468655	0.0012468655	0.29671276	0.0012508417	0.0012468655	0.0012468655
0.0020785567	0.0020851695	0.0020785567	0.0020785567	0.0020785567	0.0020785574	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020984237	0.0020851695	0.0020851851	0.0020984074	0.0020785567	0.0020785567	0.002078557	0.0020785567	0.0020851928	0.0020785567	0.0020917968	0.0020785618	0.0020785567	0.0020852147	0.0020785567	0.0020785567	0.002085189	0.0020785567	0.0020851628	0.0020785567	0.66911167	0.0020785567	0.0020785567	0.0020785567	0.0020851963	0.0020785567	0.0020785567	0.002085222	0.002085206	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020851677	0.0020785567	0.0020785567	0.0020851425	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020851707	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.002098489	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020918208	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020851216	0.0020851803	0.0020851772	0.0020785567	0.0020785567	0.0020918525	0.0020785567	0.0020785567	0.0020785567	0.0020851851	0.0020785567	0.0020785567	0.0020785567	0.002085205	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0021051848	0.0020851756	0.0020785567	0.0020785567	0.0020785618	0.0020785567	0.0020851851	0.0020918055	0.0020852042	0.0020785567	0.002085232	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.002085312	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020851928	0.0020785567	0.0020785567	0.0020785567	0.002085189	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020851628	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020785567	0.0020851628	0.0020785567	0.0020785567	0.0020785567	0.002085175	0.0020785567	0.0020918075	0.0020918588	0.0020851851	0.0020785567	0.0020785567	0.0020785567	0.0021115923	0.0020851851	0.0020785567	0.0020785567
0.003118678	0.5035333	0.003118678	0.003118678	0.003118678	0.003118679	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.0031484866	0.0031285998	0.0031286231	0.003148462	0.003118678	0.003118678	0.0031186782	0.003118678	0.0031286348	0.003118678	0.0031385436	0.0031186857	0.003118678	0.0031286678	0.003118678	0.003118678	0.0031286292	0.003118678	0.0031285898	0.003118678	0.003128604	0.003118678	0.003118678	0.003118678	0.0031286401	0.003118678	0.003118678	0.0031286785	0.003128655	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003128597	0.003118678	0.003118678	0.0031285593	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.0031286017	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.0031485846	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.0031385797	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.0031285281	0.003128616	0.0031286112	0.003118678	0.003118678	0.0031386272	0.003118678	0.003118678	0.003118678	0.0031286231	0.003118678	0.003118678	0.003118678	0.0031286532	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003158631	0.003128609	0.003118678	0.003118678	0.0031186857	0.003118678	0.0031286231	0.0031385564	0.0031286522	0.003118678	0.0031286937	0.003118678	0.003118678	0.003118678	0.003118678	0.0031288138	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.0031286348	0.003118678	0.003118678	0.003118678	0.0031286292	0.003118678	0.003118678	0.003118678	0.003118678	0.00312859	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.003118678	0.0031285898	0.003118678	0.003118678	0.003118678	0.0031286078	0.003118678	0.0031385596	0.0031386365	0.0031286231	0.003118678	0.003118678	0.003118678	0.0031682448	0.0031286231	0.003118678	0.003118678
0.001038998	0.0010423035	0.001038998	0.001038998	0.001038998	0.0010389984	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.0010489288	0.0010423035	0.0010423113	0.0010489207	0.001038998	0.001038998	0.0010389981	0.001038998	0.2655536	0.001038998	0.0010456163	0.0010390006	0.001038998	0.0010423261	0.001038998	0.001038998	0.0010423133	0.001038998	0.0010423003	0.001038998	0.0010423049	0.001038998	0.001038998	0.001038998	0.001042317	0.001038998	0.001038998	0.0010423297	0.0010423219	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.0010423026	0.001038998	0.001038998	0.00104229	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.0010423042	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.0010489615	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.0010456283	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.0010422796	0.0010423089	0.0010423074	0.001038998	0.001038998	0.0010456442	0.001038998	0.001038998	0.001038998	0.0010423113	0.001038998	0.001038998	0.001038998	0.0010423212	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.0010523085	0.0010423065	0.001038998	0.001038998	0.0010390006	0.001038998	0.0010423113	0.0010456205	0.001042321	0.001038998	0.0010423347	0.001038998	0.001038998	0.001038998	0.001038998	0.0010423748	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.0010423152	0.001038998	0.001038998	0.001038998	0.0010423133	0.001038998	0.001038998	0.001038998	0.001038998	0.0010423003	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.001038998	0.0010423003	0.001038998	0.001038998	0.001038998	0.0010423062	0.001038998	0.0010456217	0.0010456473	0.0010423113	0.001038998	0.001038998	0.001038998	0.5701024	0.0010423113	0.001038998	0.001038998
0.0020785572	0.66911155	0.0020785572	0.0020785572	0.0020785572	0.0020785579	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020984241	0.00208517	0.0020851856	0.0020984078	0.0020785572	0.0020785572	0.0020785574	0.0020785572	0.0020851933	0.0020785572	0.0020917973	0.0020785623	0.0020785572	0.0020852152	0.0020785572	0.0020785572	0.0020851896	0.0020785572	0.0020851633	0.0020785572	0.0020851728	0.0020785572	0.0020785572	0.0020785572	0.0020851968	0.0020785572	0.0020785572	0.0020852224	0.0020852066	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020851681	0.0020785572	0.0020785572	0.002085143	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020851712	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020984896	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020918213	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020851223	0.0020851807	0.0020851777	0.0020785572	0.0020785572	0.0020918532	0.0020785572	0.0020785572	0.0020785572	0.0020851856	0.0020785572	0.0020785572	0.0020785572	0.0020852054	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0021051853	0.002085176	0.0020785572	0.0020785572	0.0020785623	0.0020785572	0.0020851856	0.002091806	0.0020852047	0.0020785572	0.0020852324	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020853125	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020851933	0.0020785572	0.0020785572	0.0020785572	0.0020851896	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020851633	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020785572	0.0020851633	0.0020785572	0.0020785572	0.0020785572	0.0020851754	0.0020785572	0.002091808	0.0020918592	0.0020851856	0.0020785572	0.0020785572	0.0020785572	0.0021115928	0.0020851856	0.0020785572	0.0020785572
0.0020785586	0.0020854545	0.0020785586	0.0020785586	0.0020785586	0.0020785592	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020984258	0.0020851714	0.002085187	0.0020984095	0.0020785586	0.0020785586	0.0020785588	0.0020785586	0.0020851947	0.0020785586	0.0020917987	0.0020785637	0.0020785586	0.0020852168	0.0020785586	0.0020785586	0.002085191	0.0020785586	0.002085165	0.0020785586	0.0020851742	0.0020785586	0.0020785586	0.0020785586	0.0020851984	0.0020785586	0.0020785586	0.0020852238	0.0020852082	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020851695	0.0020785586	0.0020785586	0.0020851444	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020851728	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.002098491	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.002091823	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020851237	0.0020851821	0.002085179	0.0020785586	0.0020785586	0.0020918546	0.0020785586	0.0020785586	0.0020785586	0.002085187	0.0020785586	0.0020785586	0.0020785586	0.002085207	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.002105187	0.0020851775	0.0020785586	0.0020785586	0.0020785637	0.0020785586	0.6691111	0.0020918073	0.0020852063	0.0020785586	0.002085234	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020853141	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020851947	0.0020785586	0.0020785586	0.0020785586	0.002085191	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.002085165	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.0020785586	0.002085165	0.0020785586	0.0020785586	0.0020785586	0.0020851768	0.0020785586	0.0020918096	0.0020918609	0.002085187	0.0020785586	0.0020785586	0.0020785586	0.0021115944	0.002085187	0.0020785586	0.0020785586
0.0015587073	0.0015636663	0.0015587073	0.0015587073	0.0015587073	0.0015587078	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015736056	0.0015636663	0.001563678	0.0015735934	0.0015587073	0.0015587073	0.0015587074	0.0015587073	0.0015636839	0.0015587073	0.0015686362	0.0015587112	0.0015587073	0.0015637003	0.0015587073	0.0015587073	0.001563681	0.0015587073	0.0015636613	0.0015587073	0.0015636684	0.0015587073	0.0015587073	0.0015587073	0.0015636865	0.0015587073	0.0015587073	0.0015637056	0.0015636939	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015636649	0.0015587073	0.0015587073	0.001563646	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015636672	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015736546	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015686542	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015636304	0.0015636743	0.001563672	0.0015587073	0.0015587073	0.001568678	0.0015587073	0.0015587073	0.0015587073	0.001563678	0.0015587073	0.0015587073	0.0015587073	0.0015636929	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015786758	0.0015636708	0.0015587073	0.0015587073	0.0015587112	0.0015587073	0.50176615	0.0015686426	0.0015636925	0.0015587073	0.0015637132	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015637733	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015636839	0.0015587073	0.0015587073	0.0015587073	0.001563681	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.2516647	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015587073	0.0015636613	0.0015587073	0.0015587073	0.0015587073	0.0015636702	0.0015587073	0.0015686442	0.0015686826	0.001563678	0.0015587073	0.0015587073	0.0015587073	0.0015834807	0.001563678	0.0015587073	0.0015587073
0.0015587069	0.0015636658	0.0015587069	0.0015587069	0.0015587069	0.0015587073	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015736051	0.0015636658	0.0015636774	0.0015735929	0.0015587069	0.0015587069	0.001558707	0.0015587069	0.0015636834	0.0015587069	0.0015686357	0.0015587107	0.0015587069	0.0015636998	0.0015587069	0.0015587069	0.0015636806	0.0015587069	0.0015636608	0.0015587069	0.0015636679	0.0015587069	0.0015587069	0.0015587069	0.0015636861	0.0015587069	0.0015587069	0.0015637052	0.0015636934	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015636644	0.0015587069	0.0015587069	0.0015636456	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015636667	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015736541	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015686537	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.00156363	0.75186723	0.0015636715	0.0015587069	0.0015587069	0.0015686775	0.0015587069	0.0015587069	0.0015587069	0.0015636774	0.0015587069	0.0015587069	0.0015587069	0.0015636925	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015786754	0.0015636703	0.0015587069	0.0015587069	0.0015587107	0.0015587069	0.0015636774	0.0015686421	0.001563692	0.0015587069	0.0015637127	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015637728	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015636834	0.0015587069	0.0015587069	0.0015587069	0.0015636806	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015636608	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015587069	0.0015636608	0.0015587069	0.0015587069	0.0015587069	0.0015636698	0.0015587069	0.0015686437	0.0015686821	0.0015636774	0.0015587069	0.0015587069	0.0015587069	0.0015834803	0.0015636774	0.0015587069	0.0015587069
0.006242408	0.006262268	0.006242408	0.006242408	0.006242408	0.00624241	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006302073	0.006262268	0.0062623145	0.0063020242	0.006242408	0.006242408	0.0062424084	0.006242408	0.006262338	0.006242408	0.0062821712	0.0062424233	0.006242408	0.006262404	0.006242408	0.006242408	0.0062623266	0.006242408	0.006262248	0.006242408	0.0062622763	0.006242408	0.006242408	0.006242408	0.0062623485	0.006242408	0.006242408	0.0062624253	0.006262378	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.0062622624	0.006242408	0.006242408	0.006262187	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.0062622717	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.0063022696	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.0062822434	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.0062621245	0.0062623	0.0062622908	0.006242408	0.006242408	0.006282339	0.006242408	0.006242408	0.006242408	0.0062623145	0.006242408	0.006242408	0.006242408	0.006262374	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.0063223788	0.006262286	0.006242408	0.006242408	0.0062424233	0.006242408	0.0062623145	0.006282197	0.0062623722	0.006242408	0.0062624556	0.006242408	0.006242408	0.006242408	0.006242408	0.0062626963	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006262338	0.006242408	0.006242408	0.006242408	0.0062623266	0.006242408	0.006242408	0.006242408	0.006242408	0.006262248	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006242408	0.006262248	0.006242408	0.006242408	0.006242408	0.006262284	0.006242408	0.0062822034	0.0062823575	0.0062623145	0.006242408	0.006242408	0.006242408	0.006341622	0.0062623145	0.006242408	0.006242408
0.0012468654	0.0012508322	0.0012468654	0.0012468654	0.0012468654	0.0012468657	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.001258783	0.0012508322	0.0012508415	0.0012587733	0.0012468654	0.0012468654	0.0012468655	0.0012468654	0.0012508462	0.0012468654	0.0012548078	0.0012468685	0.0012468654	0.0012508593	0.0012468654	0.0012468654	0.001250844	0.0012468654	0.0012508283	0.0012468654	0.001250834	0.0012468654	0.0012468654	0.0012468654	0.0012508484	0.0012468654	0.0012468654	0.0012508637	0.0012508542	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012508312	0.0012468654	0.0012468654	0.001250816	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.001250833	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012588223	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012548222	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012508036	0.0012508386	0.40138033	0.0012468654	0.0012468654	0.0012548412	0.0012468654	0.0012468654	0.0012468654	0.0012508415	0.0012468654	0.0012468654	0.0012468654	0.0012508535	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012628388	0.0012508358	0.0012468654	0.0012468654	0.0012468685	0.0012468654	0.0012508415	0.0012548129	0.0012508531	0.0012468654	0.0012508697	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012509178	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012508462	0.0012468654	0.0012468654	0.0012468654	0.001250844	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012508283	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012468654	0.0012508283	0.0012468654	0.0012468654	0.0012468654	0.0012508354	0.0012468654	0.0012548142	0.001254845	0.40138024	0.0012468654	0.0012468654	0.0012468654	0.0012666825	0.0012508415	0.0012468654	0.0012468654
