topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.3418808	0.012022741	0.011685833	0.012067329	0.011551296	0.0125649255	0.011915757	0.011887754	0.01255648	0.012382826	0.012081714	0.012413181	0.012759525	0.48783717	0.012681177	0.011711484
0.019484071	0.020136787	0.019572519	0.020211456	0.01934718	0.02104486	0.019957608	0.019910729	0.69592404	0.020739907	0.02023557	0.020790756	0.021370793	0.020418672	0.021239605	0.019615475
0.02940754	0.030392695	0.02954103	0.030505404	0.029200934	0.031763263	0.030122355	0.030051472	0.031741966	0.03130298	0.030541793	0.031379707	0.032255206	0.03081815	0.5413697	0.029605871
0.009682293	0.010006657	0.009726243	0.010043758	0.009614268	0.84890133	0.009917611	0.009894305	0.010450891	0.010306356	0.010055739	0.01033162	0.010619876	0.01014673	0.010554678	0.009747605
0.01948406	0.020136777	0.019572502	0.02021145	0.01934717	0.02104485	0.019957606	0.019910699	0.02103074	0.020739889	0.02023556	0.020790724	0.021370787	0.020418663	0.6961331	0.019615464
0.01948408	0.0201368	0.019572524	0.020211473	0.019347202	0.021044873	0.019957624	0.019910742	0.021030765	0.020739969	0.0202356	0.020790748	0.021370824	0.020418685	0.6961326	0.019615492
0.014568114	0.015056148	0.01463424	0.015111976	0.014465763	0.24581382	0.014922173	0.014887112	0.015724555	0.5423482	0.01513001	0.0155451	0.015978824	0.015266908	0.015880719	0.014666365
0.014568109	0.01505614	0.014634234	0.01511197	0.014465755	0.015735097	0.014922168	0.01488711	0.77264446	0.015507079	0.015129998	0.015545091	0.015978798	0.015266903	0.01588071	0.014666356
0.059931308	0.061939012	0.060203355	0.0621687	0.059510253	0.064732164	0.061387874	0.061243616	0.064688765	0.06379412	0.062242866	0.0639505	0.065734714	0.06280607	0.06533119	0.0603355
0.39911562	0.012022733	0.011685831	0.012067315	0.0115512945	0.012564901	0.011915752	0.011887752	0.43096787	0.012382822	0.012081719	0.012413177	0.012759512	0.012191032	0.012681184	0.011711479
0.059931308	0.061939012	0.060203355	0.0621687	0.059510253	0.064732164	0.061387874	0.061243616	0.064688765	0.06379412	0.062242866	0.0639505	0.065734714	0.06280607	0.06533119	0.0603355
0.011633019	0.012022732	0.011685825	0.01206731	0.011551289	0.818459	0.011915748	0.011887745	0.01255647	0.012382814	0.01208171	0.012413169	0.012759498	0.0121910265	0.012681167	0.011711479
0.059931308	0.061939012	0.060203355	0.0621687	0.059510253	0.064732164	0.061387874	0.061243616	0.064688765	0.06379412	0.062242866	0.0639505	0.065734714	0.06280607	0.06533119	0.0603355
0.059931308	0.061939012	0.060203355	0.0621687	0.059510253	0.064732164	0.061387874	0.061243616	0.064688765	0.06379412	0.062242866	0.0639505	0.065734714	0.06280607	0.06533119	0.0603355
0.02940754	0.030392695	0.02954103	0.030505404	0.029200934	0.031763263	0.030122282	0.030051472	0.031741966	0.03130298	0.030541793	0.031379707	0.032255206	0.03081815	0.54136974	0.029605871
0.014568111	0.015056151	0.01463424	0.015111976	0.01446576	0.015735114	0.014922175	0.0148871085	0.015724557	0.015507085	0.535773	0.0155451	0.015978804	0.25154376	0.015880715	0.014666363
0.059931308	0.061939012	0.060203355	0.0621687	0.059510253	0.064732164	0.061387874	0.061243616	0.064688765	0.06379412	0.062242866	0.0639505	0.065734714	0.06280607	0.06533119	0.0603355
0.01948408	0.020136802	0.019572629	0.020211518	0.019347193	0.021044873	0.019957624	0.019910721	0.021030782	0.020739948	0.020235583	0.02079082	0.021370823	0.02041869	0.6961324	0.019615486
0.059931308	0.061939012	0.060203355	0.0621687	0.059510253	0.064732164	0.061387874	0.061243616	0.064688765	0.06379412	0.062242866	0.0639505	0.065734714	0.06280607	0.06533119	0.0603355
0.01948407	0.020136794	0.019572513	0.020211458	0.01934718	0.69593817	0.019957611	0.019910708	0.021030752	0.020739896	0.020235589	0.02079074	0.021370802	0.020418674	0.021239605	0.019615477
0.059931308	0.061939012	0.060203355	0.0621687	0.059510253	0.064732164	0.061387874	0.061243616	0.064688765	0.06379412	0.062242866	0.0639505	0.065734714	0.06280607	0.06533119	0.0603355
0.011633022	0.012022739	0.011685828	0.012067319	0.011551293	0.012564905	0.81780976	0.011887749	0.012556475	0.012382818	0.012081709	0.012413174	0.0127595	0.012191032	0.012681176	0.011711486
0.30522543	0.0049880366	0.0048482614	0.0050065336	0.0047924425	0.005212978	0.004943651	0.0049320348	0.005209481	0.0051374324	0.0050125043	0.005150028	0.005293713	0.6241273	0.005261211	0.0048589017
0.02940754	0.030392695	0.02954103	0.030505404	0.029200934	0.031763263	0.030122278	0.030051472	0.031741966	0.03130298	0.030541793	0.031379707	0.032255206	0.03081815	0.54136974	0.029605871
0.029407544	0.030392725	0.029541034	0.030505408	0.029200938	0.031763278	0.030122267	0.030051477	0.031741973	0.03130298	0.030541796	0.031379715	0.032255203	0.030818155	0.0320572	0.5389183
0.5387199	0.030392705	0.029541034	0.03050541	0.02920094	0.031763267	0.030122263	0.030051483	0.031741973	0.03130299	0.0305418	0.031379715	0.032255247	0.030818159	0.032057207	0.029605877
0.014568107	0.01505614	0.014634237	0.015111973	0.7713856	0.0157351	0.014922169	0.01488711	0.015724551	0.015507102	0.015130008	0.015545093	0.01597881	0.015266905	0.015880717	0.01466636
0.5387199	0.030392705	0.029541034	0.03050541	0.02920094	0.031763267	0.030122263	0.030051483	0.031741973	0.03130299	0.0305418	0.031379715	0.032255244	0.030818159	0.032057207	0.029605877
0.029407552	0.030392708	0.029541044	0.03050541	0.029200945	0.031763278	0.030122269	0.030051485	0.54105425	0.031302992	0.030541833	0.03137973	0.03225522	0.03081816	0.032057237	0.029605882
0.059931308	0.061939012	0.060203355	0.0621687	0.059510253	0.064732164	0.061387874	0.061243616	0.064688765	0.06379412	0.062242866	0.0639505	0.065734714	0.06280607	0.06533119	0.0603355
0.014568112	0.0150561435	0.014634245	0.015111977	0.014465761	0.015735107	0.014922183	0.014887111	0.015724564	0.602024	0.015130007	0.015545111	0.01597881	0.015266908	0.18628357	0.014666363
0.029407548	0.030392706	0.029541034	0.030505404	0.029200936	0.5410757	0.03012226	0.030051475	0.03174197	0.03130298	0.030541798	0.031379715	0.032255236	0.030818153	0.032057196	0.029605879
0.059931308	0.061939012	0.060203355	0.0621687	0.059510253	0.064732164	0.061387874	0.061243616	0.064688765	0.06379412	0.062242866	0.0639505	0.065734714	0.06280607	0.06533119	0.0603355
0.029407542	0.030392697	0.029541032	0.030505406	0.029200936	0.031763267	0.030122276	0.030051474	0.03174197	0.03130298	0.030541794	0.03137971	0.03225521	0.030818151	0.5413697	0.029605873
