topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139	topic_140	topic_141	topic_142	topic_143	topic_144	topic_145	topic_146	topic_147	topic_148	topic_149	topic_150	topic_151	topic_152	topic_153	topic_154	topic_155	topic_156	topic_157	topic_158	topic_159	topic_160	topic_161	topic_162	topic_163	topic_164	topic_165	topic_166	topic_167	topic_168	topic_169
0.0011737836	0.0011737836	0.0011737836	0.0011775339	0.0011737836	0.22915532	0.0011737836	0.0011737836	0.0011737836	0.0011774789	0.0011737836	0.0011737836	0.0011775069	0.0011886932	0.0011737836	0.0011737836	0.0011849686	0.0011737836	0.0011737836	0.0011737836	0.0011775148	0.0011775137	0.0011775196	0.0011737836	0.001177522	0.0011737836	0.0011775529	0.0011737836	0.0011775175	0.0011737836	0.0011737836	0.0011737836	0.0011774967	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011775136	0.0011737836	0.0011737836	0.0011775339	0.0011737836	0.0011737836	0.0011737836	0.0011774481	0.0011737836	0.0011737836	0.0011775262	0.0011737836	0.0011737836	0.0011737836	0.0011775015	0.0011775048	0.001177517	0.0011775161	0.0011737836	0.0011737836	0.0011775262	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.001185058	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011775196	0.0011775417	0.0011775125	0.0011775197	0.0011737836	0.0011737836	0.0011737836	0.0011775206	0.0011737836	0.0011775241	0.0011737882	0.0011737836	0.0011775596	0.0011737836	0.0011737836	0.0011737836	0.0011775168	0.0011737836	0.0011737836	0.0011775132	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011775799	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.001177531	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.001177587	0.0011737836	0.0011737836	0.0011737836	0.0011737898	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011775533	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011775168	0.0011737836	0.0011737861	0.0011737836	0.001177495	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011812294	0.0011737836	0.0011737836	0.0011737836	0.0011774296	0.0011737836	0.001185005	0.0011850354	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011812815	0.0011737836	0.5734398	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011737836	0.0011775137	0.0011737836	0.0011737836
0.001956684	0.001956684	0.001956684	0.0019629358	0.001956684	0.001962916	0.001956684	0.001956684	0.001956684	0.0019628443	0.001956684	0.001956684	0.0019628908	0.0019815383	0.001956684	0.001956684	0.0019753296	0.001956684	0.001956684	0.001956684	0.001962904	0.0019629023	0.0019629118	0.001956684	0.001962916	0.001956684	0.0019629674	0.001956684	0.6689528	0.001956684	0.001956684	0.001956684	0.0019628739	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001962902	0.001956684	0.001956684	0.0019629358	0.001956684	0.001956684	0.001956684	0.0019627928	0.001956684	0.001956684	0.001962923	0.001956684	0.001956684	0.001956684	0.001962882	0.0019628871	0.0019629076	0.0019629062	0.001956684	0.001956684	0.001962923	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.0019754784	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.0019629118	0.0019629486	0.0019629002	0.001962912	0.001956684	0.001956684	0.001956684	0.0019629137	0.001956684	0.0019629195	0.0019566917	0.001956684	0.0019629786	0.001956684	0.001956684	0.001956684	0.0019629071	0.001956684	0.001956684	0.0019629013	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.0019630126	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001962931	0.001956684	0.001956684	0.001956684	0.001956684	0.0019630243	0.001956684	0.001956684	0.001956684	0.0019566945	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.0019629681	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.0019629071	0.001956684	0.0019566882	0.001956684	0.001962871	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001969096	0.001956684	0.001956684	0.001956684	0.0019627619	0.001956684	0.00197539	0.001975441	0.001956684	0.001956684	0.001956684	0.001956684	0.001969183	0.001956684	0.0019753864	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.001956684	0.0019629023	0.001956684	0.001956684
0.0029357395	0.0029357395	0.0029357395	0.0029451193	0.0029357395	0.0029450897	0.0029357395	0.0029357395	0.0029357395	0.002944982	0.0029357395	0.0029357395	0.0029450518	0.0029730296	0.0029357395	0.0029357395	0.0029637143	0.0029357395	0.0029357395	0.0029357395	0.0029450716	0.5033086	0.0029450834	0.0029357395	0.0029450895	0.0029357395	0.0029451668	0.0029357395	0.002945078	0.0029357395	0.0029357395	0.0029357395	0.0029450264	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029450688	0.0029357395	0.0029357395	0.0029451193	0.0029357395	0.0029357395	0.0029357395	0.0029449046	0.0029357395	0.0029357395	0.0029451	0.0029357395	0.0029357395	0.0029357395	0.0029450385	0.0029450464	0.002945077	0.0029450748	0.0029357395	0.0029357395	0.0029451	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029639378	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029450834	0.0029451386	0.0029450657	0.0029450837	0.0029357395	0.0029357395	0.0029357395	0.002945086	0.0029357395	0.0029450948	0.002935751	0.0029357395	0.0029451835	0.0029357395	0.0029357395	0.0029357395	0.0029450764	0.0029357395	0.0029357395	0.0029450676	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029452343	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.002945112	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.002945252	0.0029357395	0.0029357395	0.0029357395	0.002935755	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029451677	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029450764	0.0029357395	0.0029357458	0.0029357395	0.0029450222	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.002954362	0.0029357395	0.0029357395	0.0029357395	0.0029448583	0.0029357395	0.0029638049	0.0029638815	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029544923	0.0029357395	0.0029637998	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.0029357395	0.002945069	0.0029357395	0.0029357395
0.000978105	0.000978105	0.000978105	0.00098123	0.000978105	0.3744213	0.000978105	0.000978105	0.000978105	0.0009811843	0.000978105	0.000978105	0.0009812076	0.0009905291	0.000978105	0.000978105	0.0009874254	0.000978105	0.000978105	0.000978105	0.0009812142	0.0009812133	0.0009812182	0.000978105	0.0009812202	0.000978105	0.0009812459	0.000978105	0.0009812163	0.000978105	0.000978105	0.000978105	0.0009811991	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.0009812133	0.000978105	0.000978105	0.00098123	0.000978105	0.000978105	0.000978105	0.0009811586	0.000978105	0.000978105	0.0009812237	0.000978105	0.000978105	0.000978105	0.0009812032	0.0009812058	0.46107554	0.0009812153	0.000978105	0.000978105	0.0009812237	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.0009874998	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.0009812182	0.0009812366	0.0009812122	0.0009812182	0.000978105	0.000978105	0.000978105	0.000981219	0.000978105	0.0009812219	0.0009781088	0.000978105	0.0009812515	0.000978105	0.000978105	0.000978105	0.0009812159	0.000978105	0.000978105	0.0009812128	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.0009812685	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.0009812277	0.000978105	0.000978105	0.000978105	0.000978105	0.0009812743	0.000978105	0.000978105	0.000978105	0.0009781102	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.0009812462	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.0009812159	0.000978105	0.0009781071	0.000978105	0.0009811977	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.0009843095	0.000978105	0.000978105	0.000978105	0.0009811432	0.000978105	0.0009874556	0.0009874811	0.000978105	0.000978105	0.000978105	0.000978105	0.000984353	0.000978105	0.000987454	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.000978105	0.0009821211	0.000978105	0.000978105
0.0019566845	0.0019566845	0.0019566845	0.0019629363	0.0019566845	0.0019629165	0.0019566845	0.0019566845	0.0019566845	0.0019628447	0.0019566845	0.0019566845	0.0019628913	0.0019815387	0.0019566845	0.0019566845	0.00197533	0.0019566845	0.0019566845	0.0019566845	0.0019629044	0.6689527	0.0019629123	0.0019566845	0.0019629165	0.0019566845	0.001962968	0.0019566845	0.0019629088	0.0019566845	0.0019566845	0.0019566845	0.0019628743	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019629025	0.0019566845	0.0019566845	0.0019629363	0.0019566845	0.0019566845	0.0019566845	0.0019627933	0.0019566845	0.0019566845	0.0019629234	0.0019566845	0.0019566845	0.0019566845	0.0019628825	0.0019628876	0.001962908	0.0019629067	0.0019566845	0.0019566845	0.0019629234	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019754788	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019629123	0.001962949	0.0019629006	0.0019629125	0.0019566845	0.0019566845	0.0019566845	0.0019629141	0.0019566845	0.00196292	0.0019566922	0.0019566845	0.001962979	0.0019566845	0.0019566845	0.0019566845	0.0019629076	0.0019566845	0.0019566845	0.0019629018	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.001963013	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019629314	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019630247	0.0019566845	0.0019566845	0.0019566845	0.001956695	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019629686	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019629076	0.0019566845	0.0019566887	0.0019566845	0.0019628715	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019690965	0.0019566845	0.0019566845	0.0019566845	0.0019627623	0.0019566845	0.0019753904	0.0019754414	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019691836	0.0019566845	0.0019753869	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019566845	0.0019629027	0.0019566845	0.0019566845
0.0019566854	0.0019566854	0.0019566854	0.0019629372	0.0019566854	0.0019629174	0.0019566854	0.0019566854	0.0019566854	0.0019628457	0.0019566854	0.0019566854	0.0019628922	0.0019815397	0.0019566854	0.0019566854	0.001975331	0.0019566854	0.0019566854	0.0019566854	0.0019629053	0.30139846	0.0019629132	0.0019566854	0.0019629174	0.0019566854	0.0019629688	0.0019566854	0.0019629097	0.0019566854	0.0019566854	0.0019566854	0.0019628752	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019629034	0.0019566854	0.0019566854	0.0019629372	0.0019566854	0.0019566854	0.0019566854	0.0019627942	0.0019566854	0.0019566854	0.0019629244	0.0019566854	0.0019566854	0.0019566854	0.0019628834	0.369517	0.001962909	0.0019629076	0.0019566854	0.0019566854	0.0019629244	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019754798	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019629132	0.0019629502	0.0019629016	0.0019629134	0.0019566854	0.0019566854	0.0019566854	0.001962915	0.0019566854	0.001962921	0.0019566931	0.0019566854	0.00196298	0.0019566854	0.0019566854	0.0019566854	0.0019629085	0.0019566854	0.0019566854	0.0019629027	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.001963014	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019629323	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019630257	0.0019566854	0.0019566854	0.0019566854	0.001956696	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019629695	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019629085	0.0019566854	0.0019566896	0.0019566854	0.0019628725	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019690974	0.0019566854	0.0019566854	0.0019566854	0.0019627633	0.0019566854	0.0019753913	0.0019754423	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019691845	0.0019566854	0.0019753878	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019566854	0.0019629037	0.0019566854	0.0019566854
0.0014673355	0.0014673355	0.0014673355	0.0014720237	0.0014673355	0.25156283	0.0014673355	0.0014673355	0.0014673355	0.001471955	0.0014673355	0.0014673355	0.0014719899	0.0014859738	0.0014673355	0.0014673355	0.0014813178	0.0014673355	0.0014673355	0.0014673355	0.0014719998	0.0014719985	0.0014720057	0.0014673355	0.0014720088	0.0014673355	0.0014720474	0.0014673355	0.0014720031	0.0014673355	0.0014673355	0.0014673355	0.0014719772	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014719984	0.0014673355	0.0014673355	0.0014720237	0.0014673355	0.0014673355	0.0014673355	0.0014719164	0.0014673355	0.0014673355	0.001472014	0.0014673355	0.0014673355	0.0014673355	0.0014719833	0.50165385	0.0014720025	0.0014720014	0.0014673355	0.0014673355	0.001472014	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014814296	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014720057	0.0014720333	0.0014719969	0.0014720059	0.0014673355	0.0014673355	0.0014673355	0.001472007	0.0014673355	0.0014720114	0.0014673413	0.0014673355	0.0014720558	0.0014673355	0.0014673355	0.0014673355	0.0014720022	0.0014673355	0.0014673355	0.0014719978	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014720812	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.00147202	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.00147209	0.0014673355	0.0014673355	0.0014673355	0.0014673433	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014720479	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014720022	0.0014673355	0.0014673386	0.0014673355	0.0014719751	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014766434	0.0014673355	0.0014673355	0.0014673355	0.0014718933	0.0014673355	0.0014813631	0.0014814014	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014767086	0.0014673355	0.0014813605	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014673355	0.0014719985	0.0014673355	0.0014673355
0.001467335	0.001467335	0.001467335	0.0014720232	0.001467335	0.0014720084	0.001467335	0.001467335	0.001467335	0.0014719545	0.001467335	0.001467335	0.0014719894	0.0014859734	0.001467335	0.001467335	0.0014813173	0.001467335	0.001467335	0.001467335	0.0014719993	0.001471998	0.0014720053	0.001467335	0.0014720083	0.001467335	0.0014720471	0.001467335	0.0014720026	0.001467335	0.001467335	0.001467335	0.0014719767	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.0014719979	0.001467335	0.001467335	0.0014720232	0.001467335	0.001467335	0.001467335	0.001471916	0.001467335	0.001467335	0.0014720135	0.001467335	0.001467335	0.001467335	0.0014719828	0.0014719868	0.001472002	0.0014737237	0.001467335	0.001467335	0.0014720135	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.0014814291	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.7517431	0.0014720329	0.0014719964	0.0014720054	0.001467335	0.001467335	0.001467335	0.0014720066	0.001467335	0.001472011	0.0014673409	0.001467335	0.0014720554	0.001467335	0.001467335	0.001467335	0.0014720018	0.001467335	0.001467335	0.0014719974	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.0014720808	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.0014720196	0.001467335	0.001467335	0.001467335	0.001467335	0.0014720897	0.001467335	0.001467335	0.001467335	0.0014673428	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.0014720475	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.0014720018	0.001467335	0.0014673382	0.001467335	0.0014719747	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.0014766429	0.001467335	0.001467335	0.001467335	0.0014718928	0.001467335	0.0014813627	0.0014814009	0.001467335	0.001467335	0.001467335	0.001467335	0.0014767081	0.001467335	0.0014813602	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001467335	0.001471998	0.001467335	0.001467335
0.0058757504	0.0058757504	0.0058757504	0.005894524	0.0058757504	0.0058944644	0.0058757504	0.0058757504	0.0058757504	0.005894249	0.0058757504	0.0058757504	0.0058943885	0.0059503852	0.0058757504	0.0058757504	0.005931741	0.0058757504	0.0058757504	0.0058757504	0.005894428	0.005894423	0.005894452	0.0058757504	0.005894464	0.0058757504	0.005894619	0.0058757504	0.005894441	0.0058757504	0.0058757504	0.0058757504	0.005894338	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058944225	0.0058757504	0.0058757504	0.005894524	0.0058757504	0.0058757504	0.0058757504	0.0058940942	0.0058757504	0.0058757504	0.005894485	0.0058757504	0.0058757504	0.0058757504	0.005894362	0.005894378	0.005894439	0.0058944346	0.0058757504	0.0058757504	0.005894485	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.005932188	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.005894452	0.0058945627	0.0058944165	0.0058944523	0.0058757504	0.0058757504	0.0058757504	0.005894457	0.0058757504	0.0058944747	0.0058757737	0.0058757504	0.0058946526	0.0058757504	0.0058757504	0.0058757504	0.005894438	0.0058757504	0.0058757504	0.00589442	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.005894754	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.005894509	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058947895	0.0058757504	0.0058757504	0.0058757504	0.0058757816	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.005894621	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.005894438	0.0058757504	0.005875763	0.0058757504	0.0058943294	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0059130224	0.0058757504	0.0058757504	0.0058757504	0.0058940016	0.0058757504	0.0059319222	0.0059320754	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0059132837	0.0058757504	0.005931912	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.0058757504	0.005894423	0.0058757504	0.0058757504
0.0011737839	0.0011737839	0.0011737839	0.0011775342	0.0011737839	0.0011775224	0.0011737839	0.0011737839	0.0011737839	0.0011774793	0.0011737839	0.0011737839	0.0011775072	0.0011886936	0.0011737839	0.0011737839	0.001184969	0.0011737839	0.0011737839	0.0011737839	0.0011775151	0.0011775141	0.0011775199	0.0011737839	0.0011775224	0.0011737839	0.0011775532	0.0011737839	0.0011775177	0.0011737839	0.0011737839	0.0011737839	0.0011774971	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.001177514	0.0011737839	0.0011737839	0.0011775342	0.0011737839	0.0011737839	0.0011737839	0.0011774484	0.0011737839	0.0011737839	0.0011775265	0.0011737839	0.0011737839	0.0011737839	0.0011775019	0.0011775051	0.0011775172	0.0011775164	0.0011737839	0.0011737839	0.0011775265	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011850584	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011775199	0.0011775419	0.0011775128	0.00117752	0.0011737839	0.0011737839	0.0011737839	0.001177521	0.0011737839	0.0011775244	0.0011737886	0.0011737839	0.00117756	0.0011737839	0.0011737839	0.0011737839	0.0011775171	0.0011737839	0.0011737839	0.0011775135	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011775802	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.40129405	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011775873	0.0011737839	0.0011737839	0.0011737839	0.0011737902	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011775536	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011775171	0.0011737839	0.0011737865	0.0011737839	0.0011774953	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011812297	0.0011737839	0.0011737839	0.0011737839	0.0011774299	0.0011737839	0.0011850053	0.0011850358	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011812819	0.0011737839	0.40130097	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011737839	0.0011775141	0.0011737839	0.0011737839
