topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.010554332	0.010538766	0.010381795	0.010751997	0.0104500735	0.010851966	0.010799022	0.010519003	0.011163453	0.0110286595	0.010778908	0.010706081	0.011585806	0.8161911	0.011116687	0.010518905	0.010872858	0.011190632
0.017663617	0.017637562	0.017374862	0.017994426	0.01748913	0.01816173	0.018073127	0.01760449	0.6922739	0.018457446	0.018039463	0.017917585	0.019389864	0.018788503	0.018604768	0.017604323	0.018196695	0.018728524
0.02663373	0.026594447	0.026198337	0.027132537	0.026370635	0.027384803	0.027251204	0.026544578	0.02817084	0.027830688	0.027200444	0.027016668	0.029236622	0.028329872	0.53588337	0.026544327	0.027437521	0.028239425
0.008786176	0.008773218	0.008642545	0.008950727	0.0086993845	0.8466726	0.008989874	0.008756766	0.009293253	0.00918104	0.008973129	0.008912504	0.0096448455	0.009345715	0.009254321	0.008756683	0.009051339	0.009315878
0.017663607	0.017637555	0.017374853	0.017994417	0.017489122	0.018161722	0.01807312	0.017604481	0.018683026	0.018457435	0.018039454	0.017917573	0.019389857	0.018788496	0.6921958	0.017604314	0.018196685	0.018728511
0.017663633	0.017637579	0.017374875	0.017994443	0.017489146	0.018161746	0.018073142	0.017604508	0.018683052	0.018457469	0.018039485	0.017917598	0.019389885	0.01878852	0.69219536	0.01760434	0.01819671	0.018728537
0.013213412	0.013193923	0.012997405	0.013460876	0.013082885	0.013586034	0.01351975	0.013169181	0.013975996	0.013807242	0.76932144	0.013403392	0.014504835	0.0140548935	0.013917447	0.013169057	0.013612185	0.014010022
0.013213398	0.013193909	0.012997393	0.013460863	0.013082872	0.013586016	0.013519735	0.7689964	0.0139759835	0.013807227	0.013494553	0.013403379	0.014504732	0.014054879	0.013917434	0.013169044	0.013612171	0.0140100075
0.054114953	0.05403514	0.05323031	0.055128437	0.053580392	0.055641	0.055369545	0.053933814	0.057238087	0.056546956	0.055266414	0.054893013	0.059403557	0.057561208	0.056998305	0.053933304	0.055748112	0.057377435
0.010554323	0.010538756	0.010381787	0.010751989	0.010450065	0.010851956	0.010799013	0.010518994	0.41364577	0.01102865	0.010778899	0.010706073	0.011585789	0.011226465	0.011116679	0.4130013	0.010872847	0.011190623
0.054114953	0.05403514	0.05323031	0.055128437	0.053580392	0.055641	0.055369545	0.053933814	0.057238087	0.056546956	0.055266414	0.054893013	0.059403557	0.057561208	0.056998305	0.053933304	0.055748112	0.057377435
0.01055432	0.010538753	0.010381784	0.010751985	0.010450062	0.81581676	0.01079901	0.010518991	0.011163441	0.0110286465	0.010778896	0.01070607	0.011585787	0.011226461	0.011116675	0.010518892	0.010872844	0.011190621
0.054114953	0.05403514	0.05323031	0.055128437	0.053580392	0.055641	0.055369545	0.053933814	0.057238087	0.056546956	0.055266414	0.054893013	0.059403557	0.057561208	0.056998305	0.053933304	0.055748112	0.057377435
0.054114953	0.05403514	0.05323031	0.055128437	0.053580392	0.055641	0.055369545	0.053933814	0.057238087	0.056546956	0.055266414	0.054893013	0.059403557	0.057561208	0.056998305	0.053933304	0.055748112	0.057377435
0.02663373	0.026594447	0.026198337	0.027132537	0.026370635	0.027384803	0.027251206	0.026544578	0.02817084	0.027830688	0.027200444	0.027016668	0.029236622	0.028329872	0.53588337	0.026544327	0.027437521	0.028239425
0.013213406	0.013193917	0.012997401	0.013460872	0.013082881	0.013586026	0.013519746	0.013169177	0.013975991	0.013807236	0.5169402	0.013403388	0.014504741	0.2664363	0.013917442	0.013169052	0.01361218	0.014010019
0.054114953	0.05403514	0.05323031	0.055128437	0.053580392	0.055641	0.055369545	0.053933814	0.057238087	0.056546956	0.055266414	0.054893013	0.059403557	0.057561208	0.056998305	0.053933304	0.055748112	0.057377435
0.017663622	0.01763757	0.01737487	0.017994437	0.017489135	0.018161736	0.018073134	0.017604496	0.018683044	0.018457456	0.018039469	0.017917592	0.019389873	0.018788511	0.6921955	0.017604329	0.018196702	0.018728528
