topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.0076874522	0.007764501	0.0076640123	0.007874194	0.0076625086	0.16096832	0.007860192	0.007737406	0.008065932	0.007973435	0.007763663	0.007848368	0.008157432	0.4898445	0.008294307	0.17642245	0.007883017	0.007768723	0.0076866546	0.0077104648	0.0077662934	0.0081082415	0.007901955	0.007871138	0.00771488
0.012850055	0.012978846	0.012810873	0.013162205	0.012808359	0.013364439	0.0131388	0.012933556	0.685046	0.013328094	0.0129774455	0.013119035	0.013635655	0.013484208	0.013864449	0.012800924	0.013176953	0.012985904	0.012848721	0.012888521	0.012981842	0.013553429	0.013208609	0.013157097	0.012895902
0.01934613	0.019540029	0.01928714	0.01981608	0.019283356	0.02012055	0.019780843	0.019471843	0.020298608	0.020065831	0.01953792	0.019751089	0.020528873	0.020300865	0.5264025	0.01927216	0.019838285	0.019550655	0.019344121	0.019404043	0.01954454	0.02040508	0.019885942	0.01980839	0.019415153
0.0064015216	0.0064656823	0.0063820025	0.006557026	0.0063807503	0.8430402	0.0065453663	0.0064431196	0.006716691	0.006639667	0.0064649843	0.0065355203	0.006792885	0.0067174383	0.0069068633	0.006377046	0.0065643727	0.006469198	0.006400857	0.0064206845	0.0064671747	0.0067519224	0.0065801432	0.006554481	0.0064243614
0.012850052	0.012978844	0.012810871	0.013162203	0.012808357	0.013364437	0.013138798	0.012933554	0.013482706	0.013328091	0.012977444	0.013119034	0.013635653	0.013484206	0.6854279	0.012800921	0.013176951	0.012985902	0.012848719	0.012888519	0.01298184	0.0135534275	0.013208607	0.013157094	0.0128959
0.012850062	0.012978855	0.012810881	0.013162213	0.012808368	0.013364448	0.013138808	0.012933564	0.013482717	0.013328102	0.012977454	0.013119044	0.013635663	0.013484216	0.6854276	0.012800931	0.013176962	0.012985912	0.012848729	0.012888529	0.012981851	0.013553438	0.013208617	0.013157105	0.01289591
0.009619879	0.009716296	0.009590547	0.009853562	0.009588665	0.2613796	0.00983604	0.5124317	0.010093499	0.009977751	0.009715247	0.009821245	0.0102079995	0.010094622	0.010379281	0.009583098	0.009864603	0.009721579	0.00961888	0.009648676	0.009718538	0.010146443	0.009888302	0.009849738	0.009654202
0.009619875	0.009716292	0.009590542	0.009853559	0.009588661	0.010004956	0.009836037	0.009682386	0.76421756	0.009977747	0.009715243	0.009821241	0.010207995	0.0100946175	0.010379276	0.009583094	0.009864599	0.009721575	0.0096188765	0.009648672	0.009718535	0.010146439	0.009888298	0.009849734	0.009654197
0.03912491	0.03951705	0.039005615	0.040075324	0.038997963	0.040691074	0.040004063	0.03937915	0.041051168	0.04058041	0.039512783	0.039943885	0.04151685	0.041055735	0.04221347	0.03897532	0.04012023	0.039538536	0.039120853	0.039242033	0.039526172	0.041266497	0.040216614	0.04005977	0.039264504
0.0076874476	0.007764497	0.0076640076	0.00787419	0.0076625044	0.007995174	0.007860187	0.007737402	0.008065928	0.007973432	0.40952116	0.007848363	0.008157427	0.008066826	0.008294302	0.40941584	0.007883012	0.007768719	0.00768665	0.0077104606	0.007766289	0.008108237	0.007901951	0.007871133	0.0077148755
0.03912491	0.03951705	0.039005615	0.040075324	0.038997963	0.040691074	0.040004063	0.03937915	0.041051168	0.04058041	0.039512783	0.039943885	0.04151685	0.041055735	0.04221347	0.03897532	0.04012023	0.039538536	0.039120853	0.039242033	0.039526172	0.041266497	0.040216614	0.04005977	0.039264504
0.0076874476	0.007764497	0.0076640076	0.00787419	0.0076625044	0.34875447	0.007860187	0.007737402	0.008065928	0.007973432	0.0077636587	0.007848363	0.008157427	0.008066826	0.008294302	0.0076580555	0.007883012	0.007768719	0.00768665	0.0077104606	0.007766289	0.008108237	0.47065794	0.007871133	0.0077148755
0.03912491	0.03951705	0.039005615	0.040075324	0.038997963	0.040691074	0.040004063	0.03937915	0.041051168	0.04058041	0.039512783	0.039943885	0.04151685	0.041055735	0.04221347	0.03897532	0.04012023	0.039538536	0.039120853	0.039242033	0.039526172	0.041266497	0.040216614	0.04005977	0.039264504
0.03912491	0.03951705	0.039005615	0.040075324	0.038997963	0.040691074	0.040004063	0.03937915	0.041051168	0.04058041	0.039512783	0.039943885	0.04151685	0.041055735	0.04221347	0.03897532	0.04012023	0.039538536	0.039120853	0.039242033	0.039526172	0.041266497	0.040216614	0.04005977	0.039264504
0.01934613	0.019540029	0.01928714	0.01981608	0.019283356	0.02012055	0.019780843	0.019471843	0.020298608	0.020065831	0.01953792	0.019751089	0.020528873	0.020300865	0.5264025	0.01927216	0.019838285	0.019550655	0.019344121	0.019404043	0.01954454	0.02040508	0.019885942	0.01980839	0.019415153
0.009619877	0.009716294	0.009590545	0.0098535605	0.0095886635	0.010004959	0.0098360395	0.009682388	0.010093497	0.00997775	0.009715245	0.009821244	0.010207998	0.20445955	0.010379279	0.009583096	0.009864601	0.009721577	0.009618878	0.009648674	0.009718536	0.010146441	0.5696474	0.0098497365	0.0096542
0.03912491	0.03951705	0.039005615	0.040075324	0.038997963	0.040691074	0.040004063	0.03937915	0.041051168	0.04058041	0.039512783	0.039943885	0.04151685	0.041055735	0.04221347	0.03897532	0.04012023	0.039538536	0.039120853	0.039242033	0.039526172	0.041266497	0.040216614	0.04005977	0.039264504
0.01285007	0.012978863	0.012810889	0.013162222	0.012808376	0.013364457	0.013138817	0.012933573	0.013482725	0.013328111	0.012977462	0.013119052	0.013635673	0.013484225	0.6854274	0.012800939	0.01317697	0.0129859205	0.012848738	0.012888538	0.012981859	0.013553447	0.013208626	0.013157113	0.012895918
0.03912491	0.03951705	0.039005615	0.040075324	0.038997963	0.040691074	0.040004063	0.03937915	0.041051168	0.04058041	0.039512783	0.039943885	0.04151685	0.041055735	0.04221347	0.03897532	0.04012023	0.039538536	0.039120853	0.039242033	0.039526172	0.041266497	0.040216614	0.04005977	0.039264504
