topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.00646406	0.00657921	0.006465794	0.0065323627	0.006421407	0.16667333	0.0066152876	0.006593157	0.006623117	0.006656162	0.00655203	0.0064459676	0.0068343403	0.47023028	0.006738295	0.0064010737	0.0067519727	0.0066169216	0.0064850464	0.0064442004	0.006573553	0.0066596363	0.0065743453	0.0064834147	0.0064876527	0.006529818	0.0066186683	0.0064639114	0.006636553	0.18584844
0.010800228	0.010992622	0.010803127	0.01091435	0.010728965	0.01105907	0.011052902	0.011015926	0.68187934	0.011121195	0.01094721	0.01077	0.011418898	0.01114209	0.011258423	0.010694991	0.011281277	0.011055632	0.010835293	0.010767047	0.010983171	0.011127	0.010984494	0.010832567	0.010839648	0.0109100975	0.01105855	0.01079998	0.011088432	0.010837472
0.01625088	0.016540373	0.01625524	0.016422596	0.016143652	0.016640354	0.016631072	0.016575435	0.016650755	0.016733833	0.01647204	0.016205397	0.01718178	0.016765272	0.52162	0.016092531	0.016974704	0.016635181	0.016303642	0.016200954	0.016526151	0.016742567	0.016528143	0.01629954	0.016310195	0.016416198	0.016639572	0.016250508	0.016684534	0.01630692
0.005383372	0.00547927	0.005384816	0.005440255	0.00534785	0.48783758	0.0055093165	0.0054908856	0.0055158366	0.005543357	0.0054566343	0.005368304	0.005691747	0.005553772	0.0056117587	0.0053309156	0.0056231497	0.005510677	0.0054008495	0.0053668325	0.0054745595	0.35913804	0.005475219	0.0053994907	0.00540302	0.0054381355	0.005512132	0.0053832475	0.0055270265	0.0054019354
0.010800226	0.010992619	0.010803123	0.010914346	0.010728961	0.011059066	0.011052898	0.011015922	0.011065979	0.011121191	0.010947206	0.010769997	0.011418894	0.011142086	0.6820719	0.010694987	0.011281273	0.011055628	0.01083529	0.010767044	0.010983168	0.011126996	0.010984491	0.010832563	0.010839644	0.010910094	0.011058547	0.010799977	0.011088428	0.010837468
0.010800229	0.010992623	0.010803127	0.01091435	0.010728965	0.011059071	0.011052903	0.0110159265	0.011065983	0.37749264	0.010947211	0.0107700005	0.011418899	0.011142091	0.31570026	0.010694992	0.011281278	0.0110556325	0.010835294	0.010767048	0.010983172	0.011127001	0.010984495	0.010832568	0.010839649	0.010910098	0.011058551	0.010799981	0.011088433	0.010837473
0.008087595	0.008231666	0.008089765	0.008173053	0.008034229	0.24944606	0.008276805	0.008249116	0.008286601	0.52065665	0.00819766	0.008064958	0.008550877	0.008343593	0.008430707	0.008008789	0.008447821	0.00827885	0.008113853	0.008062747	0.008224589	0.008332293	0.00822558	0.008111811	0.008117113	0.008169869	0.008281035	0.008087409	0.008303412	0.008115484
0.008087594	0.008231665	0.008089763	0.008173051	0.008034228	0.008281424	0.008276804	0.008249115	0.76177996	0.008327944	0.008197659	0.008064957	0.008550875	0.008343591	0.008430706	0.008008787	0.008447819	0.008278849	0.008113851	0.008062746	0.008224588	0.008332292	0.008225579	0.008111809	0.008117112	0.008169867	0.008281034	0.008087408	0.00830341	0.0081154825
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.0064640553	0.006579205	0.0064657894	0.0065323575	0.0064214026	0.0066189747	0.0066152825	0.006593152	0.0066231117	0.006656157	0.0065520247	0.006445963	0.006834335	0.0066686627	0.0067382897	0.006401069	0.0067519676	0.0066169165	0.0064850417	0.0064441958	0.006573548	0.006659631	0.00657434	0.0064834096	0.0064876475	0.0065298127	0.006618663	0.0064639063	0.006636548	0.8094646
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.0064640557	0.0065792054	0.00646579	0.006532358	0.006421403	0.80959713	0.006615283	0.0065931524	0.006623112	0.0066561573	0.006552025	0.0064459634	0.006834336	0.0066686636	0.00673829	0.0064010695	0.006751968	0.006616917	0.006485042	0.006444196	0.006573549	0.0066596316	0.0065743406	0.0064834105	0.0064876485	0.006529813	0.006618664	0.0064639067	0.0066365483	0.0064863465
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.01625088	0.016540373	0.01625524	0.016422596	0.016143652	0.016640354	0.016631072	0.016575435	0.016650755	0.016733833	0.01647204	0.016205397	0.01718178	0.016765272	0.52162	0.016092531	0.016974704	0.016635181	0.016303642	0.016200954	0.016526151	0.016742567	0.016528143	0.01629954	0.016310195	0.016416198	0.016639572	0.016250508	0.016684534	0.01630692
0.008087596	0.008231668	0.008089766	0.008173054	0.00803423	0.008281426	0.008276806	0.008249117	0.008286602	0.008327947	0.008197661	0.008064959	0.008550878	0.26175702	0.008430709	0.00800879	0.008447822	0.0082788505	0.008113854	0.008062748	0.00822459	0.008332294	0.5083055	0.008111812	0.008117114	0.00816987	0.008281036	0.00808741	0.008303413	0.008115485
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.010800231	0.010992625	0.010803129	0.010914352	0.010728966	0.011059073	0.011052904	0.011015928	0.011065985	0.011121198	0.010947213	0.010770002	0.0114189	0.011142093	0.68207175	0.010694993	0.01128128	0.011055634	0.010835296	0.01076705	0.010983174	0.011127003	0.010984497	0.01083257	0.01083965	0.0109101	0.011058553	0.010799983	0.011088435	0.010837475
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.010800232	0.010992626	0.0108031295	0.010914353	0.010728967	0.68187237	0.011052905	0.011015929	0.011065986	0.011121199	0.0109472135	0.010770003	0.011418901	0.011142094	0.011258427	0.010694994	0.01128128	0.011055635	0.0108352965	0.010767051	0.010983175	0.0111270035	0.010984498	0.0108325705	0.010839651	0.010910101	0.011058554	0.0107999835	0.011088436	0.010837476
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.0064640576	0.0065792073	0.0064657917	0.00653236	0.006421405	0.006618977	0.006615285	0.0065931543	0.006623114	0.006656159	0.0065520275	0.0064459653	0.006834338	0.0066686654	0.19667995	0.0064010713	0.61978847	0.006616919	0.006485044	0.006444198	0.006573551	0.0066596335	0.0065743425	0.0064834123	0.0064876503	0.006529815	0.006618666	0.0064639086	0.00663655	0.0064863483
0.002687526	0.42374963	0.002688247	0.0027159238	0.0026697926	0.002751936	0.002750401	0.0027412	0.0027536561	0.002767395	0.0027241006	0.0026800039	0.0028414754	0.4998437	0.002801543	0.0026613385	0.0028072298	0.0027510803	0.0026962515	0.002679269	0.0027330494	0.0027688397	0.0027333787	0.002695573	0.0026973349	0.0027148656	0.0027518068	0.002687464	0.0027592424	0.0026967935
0.01625088	0.016540373	0.01625524	0.016422596	0.016143652	0.016640354	0.016631072	0.016575435	0.016650755	0.016733833	0.01647204	0.016205397	0.01718178	0.016765272	0.52162	0.016092531	0.016974704	0.016635181	0.016303642	0.016200954	0.016526151	0.016742567	0.016528143	0.01629954	0.016310195	0.016416198	0.016639572	0.016250508	0.016684534	0.01630692
0.016250888	0.016540378	0.016255246	0.016422601	0.016143657	0.016640361	0.016631078	0.01657544	0.01665076	0.016733838	0.016472047	0.016205402	0.017181786	0.016765278	0.016940324	0.016092537	0.01697471	0.5213147	0.016303647	0.01620096	0.016526157	0.016742572	0.016528148	0.016299546	0.0163102	0.016416205	0.01663958	0.016250513	0.016684541	0.016306927
0.01625088	0.016540373	0.01625524	0.016422596	0.016143652	0.016640354	0.016631072	0.016575435	0.016650755	0.016733833	0.01647204	0.016205397	0.01718178	0.016765272	0.016940318	0.016092531	0.016974704	0.016635181	0.016303642	0.016200954	0.016526151	0.016742567	0.016528143	0.52097917	0.016310195	0.016416198	0.016639572	0.016250508	0.016684534	0.01630692
0.008087593	0.008231664	0.008089763	0.008173051	0.76152766	0.008281423	0.008276803	0.008249114	0.008286599	0.008327944	0.008197658	0.008064956	0.008550875	0.008343591	0.008430705	0.008008787	0.008447819	0.008278848	0.008113851	0.008062745	0.008224587	0.008332291	0.008225578	0.008111809	0.008117111	0.008169867	0.0082810335	0.008087407	0.00830341	0.0081154825
0.016250886	0.016540376	0.016255246	0.016422601	0.016143655	0.01664036	0.016631078	0.01657544	0.01665076	0.016733836	0.016472045	0.016205402	0.017181786	0.016765278	0.016940322	0.016092537	0.01697471	0.016635185	0.016303647	0.016200958	0.016526155	0.016742572	0.016528146	0.24220526	0.016310198	0.016416203	0.016639577	0.016250512	0.01668454	0.29508072
0.016250884	0.016540376	0.016255245	0.0164226	0.016143655	0.016640358	0.016631076	0.016575439	0.016650759	0.016733836	0.5211516	0.0162054	0.017181784	0.016765276	0.016940322	0.016092535	0.016974708	0.016635185	0.016303645	0.016200958	0.016526155	0.01674257	0.016528146	0.016299544	0.016310198	0.016416203	0.016639577	0.016250512	0.016684538	0.016306924
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.008087598	0.00823167	0.008089768	0.008173056	0.008034233	0.008281427	0.008276808	0.00824912	0.008286604	0.23189396	0.008197662	0.008064962	0.00855088	0.008343596	0.18721789	0.008008792	0.008447824	0.008278853	0.35925394	0.008062751	0.008224592	0.008332296	0.008225583	0.008111814	0.008117116	0.008169872	0.008281038	0.0080874115	0.008303415	0.008115487
0.016250882	0.016540373	0.016255243	0.016422598	0.016143652	0.52132	0.016631074	0.016575437	0.016650757	0.016733833	0.016472042	0.016205397	0.01718178	0.016765274	0.016940318	0.016092533	0.016974704	0.016635181	0.016303644	0.016200954	0.016526151	0.016742568	0.016528143	0.01629954	0.016310195	0.0164162	0.016639573	0.016250508	0.016684536	0.016306922
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.01625088	0.016540373	0.01625524	0.016422596	0.016143652	0.016640354	0.016631072	0.016575435	0.016650755	0.016733833	0.01647204	0.016205397	0.01718178	0.016765272	0.52162	0.016092531	0.016974704	0.016635181	0.016303642	0.016200954	0.016526151	0.016742567	0.016528143	0.01629954	0.016310195	0.016416198	0.016639572	0.016250508	0.016684534	0.01630692
0.03280883	0.033393282	0.032817632	0.033155505	0.032592345	0.033595137	0.033576395	0.03346407	0.033616133	0.033783857	0.033255327	0.032717	0.034688216	0.033847332	0.03420073	0.03248914	0.034270152	0.03358469	0.03291535	0.03270803	0.03336457	0.033801492	0.03336859	0.032907065	0.032928575	0.03314259	0.033593558	0.032808077	0.033684332	0.03292197
0.0046122754	0.0046944376	0.0046135127	0.004661011	0.0045818416	0.0047228145	0.00472018	0.0047043893	0.0047257664	0.004749345	0.004675044	0.004599366	0.00487648	0.004758268	0.004807949	0.863987	0.0048177084	0.004721346	0.0046272497	0.004598105	0.0046904017	0.004751824	0.0046909666	0.0046260855	0.004629109	0.004659195	0.0047225924	0.004612169	0.0047353534	0.00462818
