topic_0	topic_1	topic_2	topic_3
0.050265856	0.547282	0.047277667	0.35517445
0.081228286	0.082407534	0.7576435	0.07872067
0.1221806	0.12558144	0.120416254	0.63182175
0.041741785	0.87981796	0.039306644	0.039133612
0.08048832	0.08259468	0.07932004	0.75759697
0.09018324	0.08232386	0.07955606	0.74793684
0.8197545	0.061727777	0.05917354	0.05934419
0.060841866	0.062128905	0.8182208	0.058808465
0.2512965	0.2547941	0.24751264	0.24639678
0.8537539	0.048889175	0.04811087	0.049246006
0.2512965	0.2547941	0.24751264	0.24639678
0.05105048	0.85409737	0.04790363	0.04694858
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.12218026	0.12557118	0.12041581	0.6318327
0.063474126	0.8164778	0.061382093	0.058665957
0.2512965	0.2547941	0.24751264	0.24639678
0.08040315	0.0822761	0.08261968	0.7547011
0.2512965	0.2547941	0.24751264	0.24639678
0.7542311	0.085976854	0.08115715	0.078634836
0.2512965	0.2547941	0.24751264	0.24639678
0.04892209	0.3913569	0.04717807	0.51254296
0.020741884	0.93667513	0.021715732	0.020867268
0.12218146	0.12561594	0.12041714	0.63178545
0.12482795	0.6338352	0.119964585	0.1213723
0.12644261	0.12501542	0.11985547	0.6286865
0.82076484	0.060770053	0.059000183	0.059464917
0.12645374	0.12501583	0.119855516	0.6286749
0.6291723	0.123584196	0.1281211	0.1191224
0.2512965	0.2547941	0.24751264	0.24639678
0.0684201	0.061658725	0.34463346	0.5252877
0.6267221	0.13265009	0.12112529	0.11950251
0.2512965	0.2547941	0.24751264	0.24639678
0.122180454	0.12557657	0.12041601	0.631827
0.2512965	0.2547941	0.24751264	0.24639678
0.3987179	0.5320316	0.035312947	0.03393755
0.2512965	0.2547941	0.24751264	0.24639678
0.7603929	0.081505015	0.07898824	0.07911379
0.63427794	0.12366683	0.12017468	0.12188056
0.6291704	0.123584196	0.12812299	0.1191224
0.08441771	0.7568267	0.07945868	0.07929692
0.9422867	0.019684928	0.018726598	0.01930184
0.63429713	0.123666584	0.12017442	0.1218619
0.3059905	0.061596405	0.05911657	0.57329655
0.12273079	0.123677514	0.6343763	0.11921541
0.010816755	0.96759325	0.0107804835	0.010809498
0.041905455	0.8793223	0.03966255	0.039109692
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.81277245	0.065109506	0.06318591	0.05893217
0.12218017	0.12556744	0.12041573	0.63183665
0.74609447	0.084829494	0.08920206	0.079874
0.8560474	0.048429884	0.048746254	0.046776474
0.2512965	0.2547941	0.24751264	0.24639678
0.12488924	0.63376623	0.11996506	0.12137947
0.05993664	0.061259236	0.06238031	0.81642383
0.75638294	0.08143665	0.0836545	0.078525916
0.2567451	0.06154277	0.059143312	0.6225688
0.12218062	0.12558405	0.120416224	0.6318191
0.2512965	0.2547941	0.24751264	0.24639678
0.9332609	0.023101773	0.021413956	0.022223394
0.2512965	0.2547941	0.24751264	0.24639678
0.063666	0.061417386	0.059256796	0.8156598
0.2512965	0.2547941	0.24751264	0.24639678
0.039968614	0.04063386	0.039670296	0.87972724
0.08221074	0.08534206	0.42532182	0.40712535
0.62665695	0.13271439	0.121125974	0.11950269
0.049667094	0.42079085	0.050430357	0.47911173
0.122179955	0.12556024	0.120415494	0.63184434
0.12648852	0.12501693	0.11985562	0.6286389
0.009752944	0.25375578	0.72650063	0.009990609
0.042459674	0.20015486	0.55611366	0.20127182
0.082955524	0.20920055	0.083655	0.6241889
0.36998203	0.06161328	0.06210681	0.5062979
0.7165872	0.22998081	0.026472667	0.02695928
0.08104696	0.08233794	0.07919729	0.75741774
0.06037308	0.31525135	0.059079316	0.56529623
0.6289998	0.12358471	0.12829301	0.119122475
0.12218117	0.1256035	0.12041683	0.6317985
0.023746831	0.929344	0.023596691	0.023312466
0.6291593	0.12358424	0.12813406	0.119122416
0.87927127	0.040869467	0.04103023	0.038829
0.2753501	0.021069733	0.68400776	0.019572407
0.08040282	0.08227482	0.08250114	0.75482124
0.009511754	0.9735824	0.00853256	0.008373331
0.869921	0.043804552	0.040338308	0.045936078
0.12647063	0.12501639	0.11985556	0.6286574
0.2512965	0.2547941	0.24751264	0.24639678
0.38263863	0.08689542	0.4516247	0.07884126
0.08164455	0.082421616	0.07915584	0.756778
0.080674596	0.08215782	0.082475446	0.75469214
0.05228861	0.050569933	0.18444079	0.7127007
0.124841034	0.6338189	0.119964704	0.12137535
0.1248342	0.6338264	0.119964644	0.121374734
0.08297332	0.08226305	0.078994274	0.7557694
0.061110888	0.061390057	0.058989476	0.8185096
0.75923365	0.081484996	0.07918074	0.080100596
0.026415933	0.029402934	0.027238391	0.9169427
0.04879579	0.051572293	0.047947425	0.85168445
0.2512965	0.2547941	0.24751264	0.24639678
0.080815405	0.08149131	0.7591131	0.07858023
0.024513697	0.024830116	0.9254763	0.025179885
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.08132942	0.08317371	0.4582591	0.3772378
0.8210586	0.06077449	0.058954272	0.05921271
0.8565658	0.048910823	0.047457542	0.047065813
0.1313478	0.037491243	0.03390747	0.7972535
0.2512965	0.2547941	0.24751264	0.24639678
0.87724704	0.042467512	0.04057726	0.03970816
0.2512965	0.2547941	0.24751264	0.24639678
0.12420415	0.12705451	0.62903756	0.11970376
0.2512965	0.2547941	0.24751264	0.24639678
0.12485907	0.6338005	0.11996483	0.12137559
0.15904495	0.78979754	0.020450214	0.030707283
0.06024074	0.06076921	0.82038397	0.058606096
0.83793527	0.023422528	0.022283431	0.116358764
0.8544707	0.050981093	0.04775799	0.04679017
0.06296993	0.061743118	0.5847351	0.29055184
0.2512965	0.2547941	0.24751264	0.24639678
0.08040303	0.08227562	0.08257442	0.7547469
0.6268362	0.13253754	0.121124074	0.119502194
0.12653278	0.12501836	0.11985577	0.6285931
0.6342714	0.123666905	0.120174766	0.12188695
0.08307157	0.7513885	0.08592688	0.07961302
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.08298041	0.758802	0.079366125	0.0788515
0.08160865	0.082413614	0.07915552	0.75682217
0.122180015	0.1255609	0.12041556	0.63184357
0.2512965	0.2547941	0.24751264	0.24639678
0.7603852	0.08150513	0.078988306	0.07912136
0.2512965	0.2547941	0.24751264	0.24639678
0.88060117	0.040433116	0.039083414	0.03988232
0.62663007	0.13274094	0.12112625	0.11950275
0.7564469	0.08143655	0.08359065	0.07852589
0.63634723	0.12369862	0.11984379	0.12011035
0.6235937	0.13047306	0.12681489	0.1191184
0.7566978	0.083185524	0.080846846	0.07926988
0.2512965	0.2547941	0.24751264	0.24639678
0.025161026	0.92539775	0.025346426	0.0240948
0.2512965	0.2547941	0.24751264	0.24639678
0.81776613	0.06261514	0.060999725	0.058618996
0.6291006	0.12358441	0.12819248	0.11912244
0.12218016	0.12556633	0.120415695	0.63183784
0.080516875	0.08162395	0.7577277	0.08013145
0.2512965	0.2547941	0.24751264	0.24639678
0.12661102	0.12502132	0.11985602	0.6285116
0.12218023	0.12557	0.12041574	0.63183403
0.12218108	0.12560089	0.120416716	0.6318013
0.018799616	0.94479585	0.01811676	0.018287776
0.9540965	0.016025843	0.014858662	0.015018958
0.0044183847	0.8615465	0.004315967	0.12971914
0.0808264	0.0814914	0.7591019	0.07858028
0.12314209	0.12512925	0.120204166	0.63152444
0.03599923	0.8951099	0.034475412	0.034415476
0.124939315	0.63371015	0.119965434	0.12138512
0.81194705	0.06273012	0.06447935	0.060843464
0.58851284	0.027043272	0.027718045	0.35672584
0.08292259	0.082262285	0.07899419	0.75582093
0.19843538	0.014260527	0.77347094	0.01383311
0.12659223	0.12502052	0.11985596	0.6285313
0.018681733	0.019224761	0.15549882	0.80659467
0.122731574	0.12367746	0.6343756	0.11921541
0.0845169	0.082807794	0.42353797	0.4091373
0.8121651	0.06200546	0.059264205	0.066565245
0.2512965	0.2547941	0.24751264	0.24639678
0.90875304	0.032184143	0.029839749	0.029223034
0.06520254	0.81020886	0.05922342	0.06536517
0.34781522	0.56769985	0.042155955	0.042329
0.005859732	0.007608959	0.9808338	0.005697478
0.2512965	0.2547941	0.24751264	0.24639678
0.08048856	0.082612984	0.07932027	0.75757813
0.122740954	0.12367803	0.6343655	0.1192155
0.2512965	0.2547941	0.24751264	0.24639678
0.08024272	0.08176023	0.7559264	0.08207067
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.082912154	0.082262106	0.07899417	0.75583154
0.090106465	0.08232359	0.07955595	0.748014
0.08097087	0.7606947	0.07897216	0.07936225
0.12645666	0.12501591	0.119855516	0.62867194
0.2512965	0.2547941	0.24751264	0.24639678
0.6292006	0.1235841	0.12809291	0.11912239
0.8210633	0.06077445	0.05895425	0.05920803
0.08024269	0.08176009	0.75595474	0.08204244
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.030623214	0.31340158	0.030568909	0.62540627
0.033873856	0.89935875	0.033382542	0.03338491
0.06326401	0.8135404	0.059723895	0.063471675
0.2512965	0.2547941	0.24751264	0.24639678
0.62688124	0.13249308	0.12112359	0.11950207
0.06327474	0.062431943	0.57517517	0.29911813
0.2512965	0.2547941	0.24751264	0.24639678
0.4967159	0.022061331	0.021270063	0.4599527
0.629	0.123584725	0.12829277	0.11912249
0.121416464	0.63912743	0.11967024	0.11978588
0.08164934	0.083420746	0.75606596	0.07886393
0.08040306	0.082275726	0.08258382	0.75473744
0.12218074	0.12558946	0.120416366	0.6318134
0.62684894	0.13252497	0.12112395	0.11950216
0.2512965	0.2547941	0.24751264	0.24639678
0.013141231	0.9610389	0.012915714	0.012904215
0.12658869	0.12502055	0.119855955	0.6285348
0.122180216	0.12556836	0.12041583	0.6318356
0.2512965	0.2547941	0.24751264	0.24639678
0.08048794	0.08256922	0.07931954	0.7576233
0.8163085	0.06343937	0.061686516	0.05856559
0.12483162	0.63383096	0.11996461	0.1213728
0.2512965	0.2547941	0.24751264	0.24639678
0.5878055	0.061302193	0.28853452	0.062357765
0.12218012	0.12556484	0.12041562	0.63183945
0.63633955	0.12369902	0.119843915	0.12011754
0.022362785	0.7009472	0.021375284	0.25531465
0.2512965	0.2547941	0.24751264	0.24639678
0.08048825	0.08258918	0.07931995	0.75760263
0.75189465	0.08419165	0.08079861	0.08311506
0.08382786	0.0836973	0.7539173	0.07855757
0.047900986	0.04893366	0.04796174	0.85520357
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.62372375	0.015296524	0.34614012	0.014839647
0.122748055	0.1236787	0.6343577	0.11921556
0.049532685	0.36081734	0.047110066	0.5425399
0.2512965	0.2547941	0.24751264	0.24639678
0.6342309	0.123667434	0.120175354	0.121926285
0.2512965	0.2547941	0.24751264	0.24639678
0.0249442	0.92677605	0.023863003	0.024416776
0.0422441	0.8777672	0.039528795	0.04045997
0.6267987	0.13257453	0.12112448	0.1195023
0.12647524	0.12501653	0.119855575	0.62865263
0.08122873	0.082404375	0.75764626	0.07872065
0.62917066	0.123584196	0.12812275	0.1191224
0.2512965	0.2547941	0.24751264	0.24639678
0.75508493	0.086438455	0.079729415	0.078747205
0.122179836	0.12555426	0.12041533	0.63185054
0.2512965	0.2547941	0.24751264	0.24639678
0.122180015	0.12556197	0.12041551	0.6318425
0.62683487	0.13253888	0.12112409	0.119502194
0.014034039	0.9582033	0.013881769	0.013880865
0.2512965	0.2547941	0.24751264	0.24639678
0.029019678	0.38673717	0.027279485	0.5569636
0.062623344	0.06272087	0.63919675	0.23545901
0.2512965	0.2547941	0.24751264	0.24639678
0.043189786	0.71267444	0.20217687	0.041958854
0.6343379	0.123666026	0.12017382	0.121822275
0.12218043	0.12557755	0.120416	0.631826
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.9069663	0.03106257	0.031862754	0.03010833
0.12218043	0.1255769	0.120416015	0.63182664
0.040450096	0.042256612	0.03970329	0.87759
0.2512965	0.2547941	0.24751264	0.24639678
0.12218014	0.12556654	0.12041574	0.6318376
0.62659746	0.13277309	0.12112659	0.11950285
0.8175854	0.06425229	0.059436977	0.05872534
0.0619764	0.29450175	0.5838134	0.059708435
0.004853115	0.0048347893	0.98562056	0.0046915477
0.1242209	0.12709881	0.6289758	0.119704515
0.6363431	0.123698875	0.119843856	0.12011417
0.09033283	0.08232435	0.079556264	0.7477866
0.2512965	0.2547941	0.24751264	0.24639678
0.6326389	0.06508021	0.061985847	0.24029508
0.12421012	0.12705383	0.6290322	0.11970385
0.12485163	0.63380826	0.11996476	0.12137534
0.12218002	0.1255605	0.12041557	0.6318439
0.12314331	0.12512778	0.12020415	0.63152474
0.124211535	0.12706168	0.62902284	0.119703956
0.05071114	0.5135758	0.04843789	0.38727522
0.63633424	0.12369928	0.119844	0.12012246
0.2512965	0.2547941	0.24751264	0.24639678
0.06837798	0.06165859	0.3446306	0.5253328
0.020466352	0.021628328	0.092800476	0.8651048
0.3952423	0.08292091	0.07946599	0.4423708
0.00053569087	0.0005337503	0.99841183	0.000518737
0.6343068	0.12366645	0.12017428	0.12185251
0.123144194	0.12513013	0.12020424	0.63152146
0.04148572	0.041644454	0.8247142	0.09215565
0.2512965	0.2547941	0.24751264	0.24639678
0.8812389	0.040285602	0.039106663	0.039368823
0.75498027	0.08231456	0.079053015	0.083652206
0.021651352	0.022029307	0.021834197	0.9344852
0.9005479	0.022259079	0.021353614	0.055839423
0.63424927	0.123667195	0.120175086	0.121908456
0.2512965	0.2547941	0.24751264	0.24639678
0.2512965	0.2547941	0.24751264	0.24639678
0.8790866	0.04236664	0.039636828	0.038909893
0.5015942	0.049066547	0.047151186	0.40218806
0.2512965	0.2547941	0.24751264	0.24639678
0.6290714	0.1235845	0.12822163	0.11912245
0.2512965	0.2547941	0.24751264	0.24639678
0.62358063	0.13042562	0.12687536	0.11911841
0.06055036	0.8189142	0.061581094	0.058954373
0.036152344	0.45966583	0.46749207	0.03668977
0.75628716	0.0814368	0.0837501	0.07852593
0.12141646	0.6391296	0.11967022	0.119783714
0.2512965	0.2547941	0.24751264	0.24639678
0.88096905	0.040278424	0.03976787	0.03898472
0.7543251	0.08588495	0.081155196	0.078634754
0.014421564	0.015572286	0.95613384	0.013872369
0.080761574	0.08245423	0.07925826	0.7575259
0.04142736	0.04046301	0.87897617	0.03913347
0.62677175	0.13260113	0.12112476	0.119502366
0.08437149	0.7568734	0.0794585	0.07929662
0.12420324	0.12704854	0.62904453	0.11970368
0.9212457	0.026758913	0.025954254	0.026041139
0.80920184	0.06406641	0.06108959	0.06564212
0.12218024	0.12557018	0.12041576	0.6318338
0.081049025	0.082330815	0.079197235	0.757423
0.013856097	0.014081095	0.013532757	0.95853007
0.020089168	0.9396254	0.019468324	0.020817095
0.2512965	0.2547941	0.24751264	0.24639678
0.03585819	0.8966056	0.034164764	0.03337143
0.8190418	0.061158277	0.058939543	0.060860373
0.08160841	0.082413554	0.07915553	0.7568225
