topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49
0.0039316937	0.003970595	0.003945086	0.0039832946	0.0039318176	0.23065735	0.0039189276	0.0039316937	0.0039843167	0.0039836667	0.0039833575	0.0039563864	0.003983274	0.0040639816	0.003995916	0.57907736	0.004049887	0.003970643	0.003984083	0.003957432	0.003944787	0.0040266416	0.0039711148	0.0039572255	0.0039704465	0.0039709215	0.0039590956	0.003944666	0.003945283	0.0039318176	0.003996436	0.003957763	0.0039569344	0.00394494	0.003970384	0.0039703967	0.0039189276	0.003970772	0.0039316937	0.0039189276	0.0039843656	0.003945561	0.0039189276	0.0039965576	0.0039318176	0.0039973943	0.00394446	0.00393209	0.0039843186	0.003944607
0.6757416	0.006627632	0.0065850527	0.0066488297	0.0065629054	0.0066493484	0.00654139	0.006562698	0.0066505354	0.006649451	0.006648934	0.0066039143	0.006648795	0.00678351	0.006669896	0.0065849735	0.0067599835	0.0066277115	0.006650145	0.0066056605	0.0065845535	0.006721183	0.006628499	0.0066053155	0.0066273836	0.0066281767	0.006608437	0.0065843514	0.006585382	0.0065629054	0.006670765	0.0066062124	0.00660483	0.006584809	0.00662728	0.0066273003	0.00654139	0.006627927	0.006562698	0.00654139	0.0066506173	0.0065858453	0.00654139	0.0066709677	0.0065629054	0.006672364	0.0065840078	0.0065633603	0.006650539	0.006584253
0.00986263	0.009960214	0.009896224	0.00999207	0.00986294	0.00999285	0.009830606	0.00986263	0.0099946335	0.009993004	0.009992227	0.00992457	0.009992018	0.010194472	0.01002373	0.009896105	0.010159116	0.009960333	0.009994047	0.009927195	0.009895474	0.010100805	0.009961517	0.009926676	0.00995984	0.009961032	0.009931366	0.00989517	0.009896719	0.00986294	0.010025036	0.009928023	0.5127576	0.009895858	0.009959685	0.009959715	0.009830606	0.009960657	0.00986263	0.009830606	0.009994757	0.0098974155	0.009830606	0.01002534	0.00986294	0.010027438	0.009894653	0.009863624	0.009994639	0.009895022
0.0032751777	0.0033075835	0.003286334	0.0033181624	0.003275281	0.0033184213	0.0032645436	0.0032751777	0.0033190136	0.0033184723	0.0033182146	0.003295747	0.0033181452	0.003385376	0.0033286759	0.0032862944	0.0033736348	0.0033076233	0.003318819	0.0032966186	0.0032860849	0.8382548	0.003308016	0.0032964463	0.0033074596	0.0033078552	0.003298004	0.003285984	0.0032864981	0.003275281	0.0033291094	0.0032968938	0.003296204	0.0032862122	0.0033074077	0.003307418	0.0032645436	0.003307731	0.0032751777	0.0032645436	0.0033190546	0.0032867296	0.0032645436	0.0033292104	0.003275281	0.0033299075	0.0032858122	0.003275508	0.0033190155	0.003285935
0.006562697	0.0066276304	0.0065850513	0.006648828	0.0065629035	0.006649347	0.006541388	0.006562697	0.0066505335	0.006649449	0.0066489326	0.006603913	0.006648794	0.0067835087	0.006669895	0.006584972	0.006759982	0.00662771	0.0066501433	0.006605659	0.006584552	0.0067211813	0.006628497	0.006605314	0.0066273822	0.006628175	0.006608435	0.00658435	0.00658538	0.0065629035	0.0066707633	0.006606211	0.6757838	0.0065848073	0.006627278	0.006627299	0.006541388	0.0066279257	0.006562697	0.006541388	0.006650616	0.006585844	0.006541388	0.006670966	0.0065629035	0.006672363	0.006584006	0.0065633585	0.0066505373	0.0065842513
0.0065626977	0.0066276314	0.0065850522	0.0066488287	0.006562905	0.006649348	0.006541389	0.0065626977	0.006650535	0.0066494504	0.0066489335	0.006603914	0.0066487947	0.0067835096	0.0066698957	0.006584973	0.006759983	0.006627711	0.0066501447	0.00660566	0.006584553	0.0067211827	0.006628498	0.006605315	0.6758063	0.006628176	0.006608436	0.006584351	0.006585381	0.006562905	0.0066707646	0.006606212	0.0066048293	0.0065848087	0.0066272793	0.0066273	0.006541389	0.0066279266	0.0065626977	0.006541389	0.006650617	0.006585845	0.006541389	0.006670967	0.006562905	0.0066723637	0.006584007	0.00656336	0.0066505386	0.0065842527
0.004917397	0.0049660513	0.004934147	0.0049819346	0.004917552	0.0049823234	0.0049014306	0.004917397	0.004983213	0.7570998	0.0049820133	0.00494828	0.004981909	0.0050828503	0.00499772	0.004934088	0.005065222	0.004966111	0.0049829204	0.0049495883	0.004933773	0.0050361487	0.004966701	0.00494933	0.0049658655	0.0049664592	0.0049516684	0.0049336217	0.0049343933	0.004917552	0.004998371	0.004950002	0.004948966	0.0049339645	0.0049657873	0.004965803	0.0049014306	0.0049662725	0.004917397	0.0049014306	0.0049832743	0.004934741	0.0049014306	0.004998523	0.004917552	0.004999569	0.0049333638	0.004917893	0.0049832156	0.0049335477
0.75703514	0.0049660443	0.00493414	0.0049819276	0.0049175452	0.004982317	0.004901424	0.00491739	0.004983206	0.0049823932	0.0049820063	0.0049482733	0.004981902	0.0050828434	0.004997713	0.004934081	0.005065215	0.0049661044	0.0049829134	0.004949582	0.004933766	0.0050361417	0.004966694	0.004949323	0.0049658585	0.0049664527	0.0049516615	0.0049336147	0.004934387	0.0049175452	0.004998364	0.004949995	0.004948959	0.0049339575	0.004965781	0.004965796	0.004901424	0.004966266	0.00491739	0.004901424	0.0049832677	0.004934734	0.004901424	0.004998516	0.0049175452	0.004999562	0.0049333572	0.004917886	0.0049832086	0.004933541
0.019837605	0.020033885	0.019905176	0.02009796	0.01983823	0.02009953	0.019773193	0.019837605	0.020103116	0.02009984	0.020098276	0.019962192	0.020097857	0.02050507	0.02016164	0.019904938	0.020433955	0.020034125	0.020101937	0.01996747	0.019903667	0.02031667	0.020036506	0.019966427	0.020033134	0.020035531	0.019975862	0.019903058	0.019906173	0.01983823	0.020164266	0.019969137	0.01996496	0.01990444	0.02003282	0.020032883	0.019773193	0.020034777	0.019837605	0.019773193	0.020103365	0.019907573	0.019773193	0.020164879	0.01983823	0.0201691	0.019902017	0.019839605	0.020103127	0.01990276
0.003931693	0.0039705946	0.003945085	0.0039832937	0.003931817	0.0039836047	0.003918927	0.003931693	0.003984316	0.003983666	0.0039833565	0.0039563854	0.003983273	0.0040639807	0.003995915	0.0039450377	0.004049886	0.003970642	0.003984082	0.0039574318	0.0039447863	0.0040266407	0.003971114	0.0039572245	0.0039704456	0.0039709206	0.0039590946	0.003944665	0.0039452827	0.003931817	0.0039964356	0.003957762	0.003956934	0.0039449395	0.0039703837	0.003970396	0.003918927	0.0039707716	0.003931693	0.003918927	0.003984365	0.00394556	0.003918927	0.0039965566	0.003931817	0.0039973934	0.0039444594	0.0039320895	0.003984318	0.80575067
