topic_0	topic_1	topic_2	topic_3	topic_4	topic_5
0.029122103	0.4024574	0.031758446	0.31411237	0.028862244	0.1936875
0.048829213	0.054138817	0.7391146	0.051979996	0.048675798	0.057261564
0.07440785	0.08274733	0.08155168	0.59892285	0.074254	0.0881163
0.024044268	0.026702078	0.026366476	0.025636157	0.023963915	0.8732871
0.048864216	0.05429994	0.053557053	0.73678124	0.048754547	0.057743024
0.048932076	0.054296788	0.053565275	0.052378193	0.7330036	0.05782406
0.03642789	0.040272925	0.039857257	0.03870891	0.47431818	0.37041485
0.036358356	0.040382624	0.8056388	0.03871971	0.036274582	0.042625934
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.8425667	0.03206566	0.031795964	0.030851852	0.028854595	0.033865225
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.028937314	0.032113947	0.031747803	0.030835297	0.028842798	0.84752285
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.07440815	0.0827486	0.081551984	0.5988531	0.07425447	0.08818367
0.03633456	0.3082945	0.0399237	0.038700227	0.03623276	0.54051423
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.04883418	0.054195814	0.05383746	0.73707604	0.04869637	0.05736008
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.048793435	0.054092355	0.05357591	0.051944174	0.048638996	0.74295515
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.028953781	0.032267097	0.031736273	0.8438297	0.028860591	0.034352545
0.011988087	0.7860705	0.013226824	0.012806903	0.011908506	0.16399914
0.07440776	0.08274692	0.08155159	0.59894425	0.07425384	0.088095635
0.07429037	0.08286552	0.08142277	0.07945831	0.074022524	0.6079405
0.5958131	0.082333	0.08140619	0.07937114	0.07404695	0.08702963
0.03641046	0.04021707	0.039823405	0.038698908	0.8023041	0.042546093
0.595773	0.08233369	0.08140623	0.07940855	0.07404705	0.087031476
0.5956552	0.08232916	0.08195614	0.07908388	0.074098736	0.08687687
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.03646632	0.04043436	0.34567752	0.038983677	0.4952223	0.043215796
0.07426589	0.082386576	0.081482254	0.079075836	0.07402227	0.60876715
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.074408084	0.08274877	0.08155191	0.5988714	0.074254364	0.08816544
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.020615116	0.4503648	0.022702567	0.021935664	0.4602154	0.024166495
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.04889595	0.05402801	0.05348075	0.051966038	0.73459285	0.057036355
0.074530944	0.08221242	0.081428364	0.079143055	0.5955491	0.0871361
0.59567523	0.08232901	0.08193645	0.07908386	0.07409864	0.08687681
0.04879326	0.054244503	0.053503048	0.05205075	0.048627682	0.7427808
0.15828928	0.012257732	0.012178396	0.2296694	0.010988632	0.5766166
0.07450289	0.08221242	0.08142826	0.07914281	0.595579	0.08713461
0.80122393	0.040445395	0.03987954	0.039019763	0.03647068	0.0429607
0.07433322	0.08226556	0.60306484	0.079088055	0.07402226	0.08722606
0.0065004174	0.96533674	0.0071372045	0.006932261	0.006470982	0.007622368
0.024045512	0.026699906	0.026375396	0.025635721	0.02396594	0.87327754
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.0363645	0.040437117	0.040238257	0.038725514	0.036279738	0.8079549
0.07440795	0.08274788	0.08155179	0.59889895	0.07425417	0.088139266
0.048919488	0.05431307	0.05422428	0.05204715	0.7330756	0.057420384
0.8425173	0.032062463	0.031831544	0.0308162	0.028933736	0.03383876
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.07429036	0.082861885	0.08142275	0.07945759	0.07402252	0.6079449
0.036350824	0.040320028	0.040121578	0.8043474	0.03624113	0.042619083
0.73444647	0.05407175	0.05379528	0.051950894	0.04866939	0.0570662
0.03643169	0.04032915	0.039844483	0.56657815	0.27431098	0.04250551
0.07440777	0.082747	0.08155161	0.5989408	0.07425387	0.088099
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.013033309	0.014488277	0.014300606	0.11482235	0.012994966	0.8303605
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.036430076	0.040484533	0.03989651	0.039082654	0.80097026	0.043135993
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.024046807	0.026675025	0.026415516	0.87075925	0.02397495	0.028128441
0.04891923	0.054577217	0.05446916	0.052288037	0.048862353	0.740884
0.07426589	0.082385466	0.081482194	0.07907583	0.07402227	0.60876834
0.028984804	0.03236562	0.032148723	0.8433437	0.028927404	0.03422978
0.07440793	0.08274764	0.08155175	0.59890664	0.07425411	0.08813194
0.5958092	0.08233305	0.08140619	0.07937484	0.07404696	0.08702973
0.005715205	0.24317805	0.7325121	0.0061226934	0.0056992387	0.0067726495
0.1704562	0.026798178	0.45284122	0.02576155	0.02398558	0.3001573
0.048811026	0.054376155	0.053782266	0.7366248	0.048633587	0.0577722
0.29087654	0.04037274	0.04008762	0.5498672	0.036262695	0.04253322
0.24659342	0.017813155	0.017589401	0.01724056	0.015925718	0.68483776
0.04879602	0.054161433	0.05350591	0.73778844	0.048655987	0.057092164
0.036330987	0.32415256	0.039839387	0.5209192	0.03623462	0.04252328
0.59567416	0.08232903	0.08193754	0.07908386	0.074098654	0.08687682
0.07440809	0.082748316	0.08155192	0.59886914	0.074254364	0.08816814
0.01434421	0.92352927	0.015751157	0.0152822565	0.014305037	0.016788099
0.5956354	0.0823293	0.08197561	0.0790839	0.07409883	0.086876936
0.56738335	0.026677297	0.026560608	0.025601013	0.023992622	0.32978508
0.22132763	0.013421773	0.7260699	0.012824711	0.011955688	0.014400265
0.048834153	0.05419569	0.053824905	0.7370891	0.048696328	0.057359822
0.005108146	0.9029752	0.0056156656	0.0054297093	0.07488595	0.0059853205
0.024052385	0.026675275	0.02639513	0.025638713	0.023980869	0.87325764
0.59581214	0.08233301	0.08140619	0.07937205	0.074046955	0.08702966
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.048855662	0.054104667	0.054440103	0.05196333	0.048627682	0.74200857
0.049158927	0.054234095	0.053521056	0.7368772	0.048707146	0.05750163
0.048800215	0.054123133	0.053794086	0.7375654	0.048647583	0.05706963
0.029014695	0.032256138	0.032005228	0.40741974	0.4651639	0.034140278
0.07429034	0.082852736	0.08142275	0.0794571	0.074022524	0.60795456
0.074290335	0.08285238	0.081422746	0.07945673	0.07402252	0.6079553
0.734546	0.05407388	0.0534772	0.05211224	0.04864111	0.057149578
0.80130166	0.040450517	0.039875947	0.0390791	0.036302257	0.04299053
0.048915256	0.054007977	0.05348926	0.05198308	0.7343979	0.057206515
0.015954982	0.017927388	0.017593788	0.9139492	0.01590905	0.018665655
0.028942792	0.032173004	0.031804588	0.8442	0.028848974	0.034030594
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.048823576	0.054037347	0.73929924	0.051953305	0.048627604	0.057258952
0.014370366	0.015982267	0.92301494	0.015469542	0.014325959	0.016836956
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.048902202	0.054225534	0.054525163	0.052195802	0.04870079	0.7414505
0.03640566	0.040221743	0.039821416	0.038694933	0.80234987	0.042506423
0.029007766	0.032117225	0.03188789	0.030818628	0.7779352	0.09823329
0.020571733	0.022867214	0.02257594	0.7481314	0.02050892	0.16534483
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.02421047	0.026747258	0.026508605	0.025711475	0.023999391	0.8728228
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.07435393	0.08265743	0.6023682	0.079185456	0.0741992	0.08723581
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.07429033	0.082844846	0.08142273	0.07945693	0.07402252	0.6079626
0.011982158	0.30812088	0.013139189	0.2383727	0.057304796	0.3710803
0.03635041	0.040233016	0.805905	0.038682066	0.03620636	0.04262313
0.013088152	0.014522989	0.18958281	0.30456638	0.01301249	0.46522713
0.028935459	0.032079503	0.03175234	0.03080718	0.028842777	0.8475827
0.33063594	0.04028229	0.5113428	0.038801674	0.03621617	0.042721115
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.048834197	0.054195892	0.053846575	0.7370667	0.048696388	0.05736022
0.07426589	0.082385406	0.081482194	0.07907583	0.07402227	0.6087684
0.5958083	0.082333066	0.0814062	0.07937568	0.07404696	0.08702976
0.074506566	0.08221242	0.081428275	0.079142846	0.595575	0.08713488
0.048879497	0.054632585	0.05432567	0.052157164	0.04878562	0.7412194
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.048788305	0.48252207	0.053536035	0.051977854	0.0486389	0.31453687
0.049153704	0.054234043	0.05352105	0.73688257	0.04870713	0.05750149
0.07440758	0.0827462	0.08155142	0.5989796	0.074253574	0.0880616
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.048897926	0.054028023	0.053480763	0.051966053	0.7345909	0.057036363
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.25928128	0.026643582	0.026357826	0.025663445	0.6338908	0.028163034
0.07426589	0.08238531	0.08148217	0.07907583	0.07402227	0.6087685
0.7344722	0.054071672	0.05376967	0.051950883	0.04866934	0.057066165
0.074467614	0.08224906	0.0814127	0.07911159	0.5959367	0.086822286
0.07429104	0.08234153	0.081683196	0.079067186	0.07406331	0.60855377
0.049084943	0.054043777	0.05358452	0.05203041	0.049254302	0.742002
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.014351049	0.015938548	0.11587812	0.0153909875	0.014301206	0.8241401
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.27510902	0.04032842	0.040144373	0.03868381	0.036251195	0.56948316
0.5956794	0.08232898	0.08193235	0.07908387	0.074098624	0.0868768
0.07440761	0.082746334	0.08155145	0.5989762	0.074253604	0.08806483
0.04881189	0.054058388	0.7392266	0.052120294	0.048632424	0.057150412
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.595812	0.08233302	0.08140619	0.079372145	0.074046955	0.08702966
0.0744078	0.08274713	0.08155164	0.5989341	0.07425392	0.08810541
0.07440759	0.08274623	0.08155143	0.5989779	0.07425358	0.08806326
0.011014856	0.35665563	0.012082739	0.011796444	0.010980591	0.5974697
0.008940736	0.009948688	0.009815257	0.009635357	0.008915504	0.9527445
0.0025948698	0.9180523	0.0028494727	0.070879705	0.0025931215	0.003030483
0.048823573	0.054037344	0.7392989	0.0519533	0.0486276	0.05725932
0.07428346	0.082495585	0.08145838	0.6007648	0.07407391	0.086923845
0.020581398	0.022860533	0.022659473	0.021938598	0.020527033	0.891433
0.07429045	0.08290772	0.08142282	0.07946049	0.07402252	0.60789603
0.8011796	0.04050062	0.040461037	0.03878532	0.03632483	0.042748623
0.016019596	0.017713722	0.31247064	0.017102249	0.61798096	0.018712813
0.7345334	0.05407395	0.0534772	0.052124605	0.04864112	0.057149712
0.23160674	0.009331441	0.7318122	0.0089750085	0.008430552	0.009844134
0.59580874	0.082333066	0.0814062	0.07937529	0.07404696	0.08702976
0.011023324	0.01224462	0.111581184	0.84120905	0.010986284	0.01295552
0.074333705	0.08226572	0.6030339	0.07908811	0.07402226	0.087256275
0.47515255	0.054105874	0.31256238	0.052104346	0.04863977	0.057435077
0.036406975	0.04037415	0.03985406	0.20177697	0.63906324	0.042524606
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.017969288	0.019929735	0.019720733	0.01913951	0.017911676	0.90532905
0.03684529	0.49043047	0.039850358	0.03900991	0.036237214	0.35762677
0.024133462	0.026814507	0.026662007	0.025712254	0.024135293	0.87254244
0.0034061826	0.022176808	0.96340495	0.0036285485	0.003396079	0.003987401
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.04886423	0.05429999	0.053557068	0.7367749	0.048754565	0.057749186
0.074333504	0.08226569	0.60303897	0.0790881	0.07402226	0.08725151
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.048800223	0.05407953	0.7391405	0.05229707	0.048637256	0.057045408
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.734549	0.05407386	0.0534772	0.052109316	0.048641108	0.057149537
0.048931926	0.054296494	0.053565204	0.052371737	0.7330395	0.057795152
0.048795097	0.7393028	0.053484738	0.052121762	0.048634157	0.057661384
0.5958103	0.08233304	0.0814062	0.07937383	0.074046955	0.0870297
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.5956793	0.08232898	0.08193248	0.07908387	0.074098624	0.0868768
0.036405735	0.04022174	0.039821412	0.03869493	0.80234975	0.04250642
0.048800204	0.054079488	0.7391516	0.05228605	0.04863724	0.057045393
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.017992817	0.020059299	0.019845387	0.9028783	0.01795007	0.021274168
0.020562453	0.8904319	0.022541605	0.021908242	0.020503154	0.02405269
0.03634557	0.04033656	0.03985872	0.03878476	0.036240418	0.80843395
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.07426589	0.08238621	0.081482194	0.079075836	0.07402227	0.60876757
0.33800545	0.040357098	0.50384784	0.0388191	0.03625166	0.042718858
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.013114657	0.0144571755	0.014289051	0.45616224	0.48668447	0.015292383
0.5956559	0.08232916	0.08195542	0.07908389	0.07409874	0.086876884
0.074253805	0.6042963	0.08140251	0.07913168	0.07404594	0.08686976
0.048834875	0.05424346	0.7389274	0.05200691	0.04872476	0.05726259
0.04883416	0.054195706	0.05382666	0.73708725	0.04869633	0.05735986
0.0744309	0.08283016	0.081574954	0.08002507	0.074289	0.6068499
0.07426589	0.082386814	0.08148222	0.079075836	0.07402227	0.608767
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.007937097	0.9576721	0.008702774	0.008455984	0.00791374	0.009318302
0.59581316	0.082333	0.0814062	0.079371065	0.074046955	0.08702963
0.07440763	0.082746476	0.08155147	0.59896994	0.07425365	0.088070825
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.048864163	0.0542997	0.053557	0.7368095	0.048754457	0.05771516
0.03633419	0.040262744	0.039920434	0.03867397	0.036222417	0.8085863
0.07429035	0.08285613	0.08142275	0.079457365	0.074022524	0.60795087
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.036422662	0.04030205	0.040364385	0.2753008	0.56513333	0.042476762
0.07440782	0.082747236	0.08155166	0.59892887	0.074253954	0.08811047
0.07449267	0.08224919	0.08141276	0.07911175	0.5959113	0.0868223
0.2126821	0.7305904	0.01431365	0.013966665	0.012998202	0.01544898
0.15541637	0.17207399	0.17036465	0.16549066	0.15493162	0.18172272
0.04886414	0.054299597	0.053556986	0.7368205	0.04875442	0.05770434
0.34639278	0.054155573	0.053620882	0.05213738	0.048665483	0.44502792
