topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7
0.022698049	0.34454003	0.02298026	0.3398117	0.021704275	0.19952902	0.024497239	0.024239432
0.038171254	0.039995663	0.038707476	0.040699787	0.036507804	0.041896407	0.04120331	0.72281826
0.057924297	0.06069253	0.05866165	0.06178567	0.05540633	0.06356342	0.5800949	0.06187118
0.018864617	0.019771755	0.019104216	0.020121315	0.018043963	0.8635866	0.02036052	0.020147018
0.03816671	0.039990447	0.038652413	0.04070889	0.036507793	0.041880213	0.7233274	0.04076615
0.038182493	0.03999085	0.03865292	0.04071247	0.3671901	0.0418869	0.39255506	0.040829208
0.028470691	0.029825544	0.028823702	0.030348435	0.52534413	0.2960353	0.030721374	0.030430863
0.028458789	0.029821612	0.028824978	0.03034773	0.02722248	0.031225678	0.030711297	0.7933875
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.83366966	0.02377899	0.022985084	0.024222167	0.021712063	0.024902543	0.024484929	0.0242445
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.022689894	0.023779212	0.02297935	0.024198916	0.021703618	0.8359103	0.024507152	0.024231588
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.0579243	0.060692534	0.058661655	0.061785698	0.05540633	0.06356342	0.5800949	0.061871182
0.028460167	0.27721608	0.028825209	0.03035165	0.027225154	0.031255584	0.5462709	0.030395258
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.038172096	0.040001612	0.31078604	0.040774032	0.03650781	0.041880894	0.4511038	0.040773697
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.03816907	0.039997023	0.038658783	0.040699758	0.036511295	0.723947	0.041256707	0.040760368
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.022690639	0.023789687	0.022978546	0.8351102	0.021702692	0.02493889	0.024549147	0.024240145
0.009381653	0.80408955	0.00950818	0.010015707	0.008970848	0.13786839	0.010128265	0.010037433
0.0579243	0.060692534	0.058661655	0.061785676	0.05540633	0.063563414	0.58009493	0.06187118
0.05792692	0.060742896	0.058659896	0.061832845	0.055406358	0.5810292	0.06252934	0.061872575
0.05797275	0.06071237	0.058661655	0.57924634	0.055416346	0.06358828	0.06251527	0.06188701
0.028473247	0.029818399	0.028820677	0.030348325	0.7901909	0.031222185	0.03070869	0.030417616
0.057967596	0.060712323	0.058661643	0.5792517	0.055416323	0.06358819	0.06251524	0.061886955
0.058000695	0.060699843	0.05870941	0.06176844	0.5728535	0.0635575	0.062500805	0.06190981
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.028469013	0.029822148	0.028851112	0.030356262	0.027234595	0.031244406	0.2895229	0.5344996
0.057928074	0.060705293	0.058665387	0.06176647	0.055406325	0.58114105	0.06252617	0.06186123
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.057924304	0.060692538	0.05866166	0.06178567	0.055406332	0.063563414	0.58009493	0.061871182
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.016145252	0.29288083	0.016348505	0.017215319	0.015446981	0.017712764	0.017420074	0.6068303
0.120086	0.12582034	0.12161214	0.12805237	0.11486922	0.13173902	0.12957312	0.1282478
0.038212284	0.039991073	0.038651407	0.040701743	0.71862257	0.041869357	0.04118379	0.04076778
0.057945963	0.06068853	0.058659047	0.061767824	0.5729322	0.06355057	0.062502414	0.061953466
0.0579875	0.060699806	0.058709223	0.06176843	0.57286716	0.06355745	0.0625008	0.061909623
0.038168438	0.0400094	0.03865295	0.040716454	0.0365078	0.72398394	0.041197184	0.040763844
0.008662067	0.009072647	0.13749048	0.23651122	0.008282497	0.5813883	0.009341742	0.009251053
0.05794595	0.060688533	0.05865905	0.061767828	0.572934	0.06355057	0.062502414	0.061951652
0.5247851	0.029827822	0.028822865	0.030394105	0.027234623	0.031242853	0.29728305	0.030409599
0.057931338	0.06069589	0.5761772	0.061767332	0.055406325	0.06358054	0.062529534	0.061911847
0.0051026866	0.96284306	0.0051686293	0.0054440945	0.004880629	0.005600872	0.0055105295	0.0054494473
