topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.014440607	0.014465337	0.014175964	0.01503122	0.017084487	0.8673393	0.013720036	0.015308037	0.014179465	0.014255571
0.007790292	0.0078036143	0.0076471935	0.008109032	0.009215851	0.0073614316	0.0074011143	0.5798452	0.35713586	0.0076904744
0.00954893	0.009565354	0.009373743	0.009939679	0.91455084	0.009023545	0.009072301	0.010122486	0.009376348	0.00942672
0.34186187	0.0053428765	0.005235863	0.005551977	0.61574227	0.005040237	0.0050675008	0.0056543653	0.0052374955	0.005265497
0.029604893	0.029654942	0.02906085	0.030817833	0.03501835	0.02797571	0.028126325	0.03138209	0.02906963	0.7292894
0.09870291	0.09887231	0.09689245	0.10274184	0.11674972	0.09327265	0.09377672	0.10463134	0.0969197	0.09744034
0.09870291	0.09887231	0.09689245	0.10274184	0.11674972	0.09327265	0.09377672	0.10463134	0.0969197	0.09744034
0.09870291	0.09887231	0.09689245	0.10274184	0.11674972	0.09327265	0.09377672	0.10463134	0.0969197	0.09744034
0.01444046	0.014465423	0.0141761275	0.015032841	0.017083524	0.013646254	0.013719545	0.015308826	0.86787117	0.014255823
0.029605415	0.029655188	0.02906066	0.73086834	0.035027117	0.02797538	0.028126173	0.03138562	0.029068898	0.029227246
0.008580381	0.008595015	0.008422902	0.008931346	0.9232189	0.008108092	0.008152069	0.009095745	0.008425202	0.008470377
0.09870291	0.09887231	0.09689245	0.10274184	0.11674972	0.09327265	0.09377672	0.10463134	0.0969197	0.09744034
0.014440529	0.014466543	0.014175556	0.015032023	0.017083919	0.013646143	0.013719388	0.015308573	0.014179276	0.867948
0.49023148	0.23755735	0.007002197	0.0074252724	0.22265863	0.0067404862	0.006777048	0.0075616636	0.007004083	0.0070417365
0.009548955	0.009565449	0.009373748	0.009939857	0.91455	0.00902358	0.009072362	0.010122852	0.009376371	0.009426832
0.9288642	0.007803458	0.0076472186	0.008109056	0.009215812	0.007361452	0.007401112	0.008258097	0.007649245	0.007690398
0.007133253	0.0071451566	0.0070024375	0.007425369	0.93616915	0.006740494	0.0067769894	0.007561379	0.0070041656	0.0070416066
0.014440562	0.01446525	0.014175302	0.015031551	0.017083533	0.8673403	0.013719482	0.015308243	0.014179858	0.014255858
0.02960385	0.029654449	0.7291294	0.030816255	0.035018165	0.027975172	0.028126623	0.03138186	0.029069357	0.029224932
0.4159041	0.0044928463	0.0044028154	0.004668983	0.005306561	0.0042383657	0.0042611887	0.0047548707	0.3565913	0.19537896
0.5069629	0.43504477	0.0070022712	0.0074252966	0.008439102	0.0067406055	0.00677706	0.007561955	0.007004196	0.0070418795
0.021928376	0.42925945	0.02152629	0.022826577	0.39647457	0.020722417	0.020833872	0.023246687	0.021533154	0.021648591
0.007790022	0.0078034126	0.007647205	0.008109016	0.009215764	0.7016	0.2342368	0.0082581295	0.0076492466	0.0076903505
0.014440345	0.014465309	0.014175206	0.015031733	0.0170838	0.4096204	0.013719449	0.015308397	0.47189975	0.014255605
0.09870291	0.09887231	0.09689245	0.10274184	0.11674972	0.09327265	0.09377672	0.10463134	0.0969197	0.09744034
0.0018854972	0.0018887521	0.0018508268	0.0019627083	0.0022304468	0.0017817196	0.0017913044	0.6546845	0.0018513775	0.3300729
0.010764596	0.010783707	0.010567238	0.90214	0.012734688	0.01017266	0.010227169	0.011412392	0.010570333	0.0106271515
0.09870291	0.09887231	0.09689245	0.10274184	0.11674972	0.09327265	0.09377672	0.10463134	0.0969197	0.09744034
0.004490725	0.0044928873	0.004402746	0.004668911	0.5485572	0.41553977	0.0042611747	0.004754624	0.0044041504	0.0044277455
0.7066607	0.014465516	0.014175613	0.015031923	0.01708229	0.013645806	0.013719501	0.17678282	0.014179716	0.014256077
0.014441617	0.014465752	0.014175964	0.86872244	0.01708359	0.013645685	0.013720025	0.01530913	0.014180017	0.014255768
0.0071332376	0.93487316	0.007002259	0.00742526	0.008440547	0.0067405202	0.006776889	0.0075617274	0.0070044077	0.007041992
0.014440574	0.014465011	0.0141754495	0.015031746	0.017094363	0.86733115	0.013719426	0.015307611	0.014179293	0.014255433
0.012334281	0.012355462	0.012107873	0.012839203	0.014591443	0.0116558205	0.011718498	0.013075174	0.8871457	0.01217652
0.007133299	0.0071453783	0.34040937	0.007424887	0.008438953	0.21879974	0.0067770714	0.38982528	0.0070042	0.0070417896
0.09870291	0.09887231	0.09689245	0.10274184	0.11674972	0.09327265	0.09377672	0.10463134	0.0969197	0.09744034
0.012334733	0.012356049	0.5350529	0.3649243	0.014593022	0.011656235	0.011718756	0.013075731	0.012111626	0.012176627
0.014440659	0.014465138	0.014175295	0.8687261	0.017083919	0.013646233	0.013719393	0.015307598	0.014179701	0.0142560145
0.8681367	0.014465103	0.0141755035	0.015031614	0.01708279	0.013645601	0.013719694	0.015308038	0.014179478	0.014255461
0.009549593	0.009565617	0.009374311	0.0099399155	0.01129849	0.009023712	0.009073259	0.010123258	0.91262496	0.009426938
0.012334096	0.8873887	0.012107952	0.012840216	0.014590049	0.011655603	0.011718509	0.013075958	0.01211125	0.0121777
0.014440615	0.014465038	0.4687117	0.0150320055	0.017091636	0.41279688	0.01371958	0.015307656	0.014179471	0.014255442
0.003036099	0.0030412993	0.0029803938	0.003160388	0.0035919324	0.46186647	0.4431497	0.0032185419	0.072957955	0.002997221
0.045547526	0.045625277	0.044711217	0.047410317	0.053892646	0.04304149	0.043273352	0.0482823	0.58325166	0.044964224
0.045549124	0.04562583	0.044711675	0.0474161	0.0538783	0.043042347	0.043273848	0.04828308	0.044725426	0.5834943
0.005333822	0.0053428747	0.00523589	0.3834756	0.0063096266	0.573078	0.005067392	0.0056540575	0.0052373284	0.005265373
0.006103896	0.0061143613	0.0059917914	0.0063539543	0.007220993	0.005767591	0.005798952	0.0064708735	0.0059935204	0.9441841
0.5238197	0.0022986578	0.002252606	0.0023888326	0.0027150146	0.22320506	0.0021801316	0.0024327163	0.19257382	0.046133507
0.029605145	0.029655095	0.02906089	0.030817783	0.035023067	0.027976092	0.028126338	0.031382125	0.72912645	0.029227007
0.009549606	0.009565491	0.009373872	0.009940281	0.01129713	0.009023641	0.009072471	0.010123297	0.009376618	0.9126776
0.04554971	0.04562716	0.04471289	0.047415238	0.053884212	0.04304143	0.04327384	0.04828836	0.5832405	0.044966664
0.009549329	0.009566512	0.009374257	0.009941357	0.011296667	0.00902375	0.009072532	0.010123446	0.9126236	0.009428589
0.0053336564	0.0053428896	0.0052357707	0.005552074	0.0063095232	0.005040149	0.0050673694	0.0056543914	0.0052374736	0.9512267
