topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139
0.0011798657	0.0011875062	0.001183676	0.0011798657	0.0012104628	0.00118669	0.0011760684	0.0012027684	0.0011760684	0.0011799074	0.0011951351	0.0011760684	0.0011760684	0.0011798542	0.0011848664	0.0011760684	0.0011912426	0.0011836365	0.0011798831	0.0011874485	0.0011798737	0.0011874462	0.0011874299	0.0011798542	0.0011798759	0.0011798623	0.0011798799	0.0011838041	0.0011760684	0.0011760684	0.0011810852	0.0011760684	0.0011760684	0.0011760684	0.0011798713	0.0011836943	0.0011874842	0.0011836361	0.0011760684	0.0011836534	0.0011760684	0.0011874959	0.0011798586	0.001183663	0.0011760684	0.0011836741	0.0011760684	0.0011760684	0.0011760684	0.001187524	0.0011836595	0.0011760684	0.0011912583	0.0011760684	0.0011798657	0.0011798686	0.0011988468	0.0011836491	0.0011874296	0.001187436	0.0011760896	0.0011798713	0.0011874442	0.0011836804	0.0011798759	0.0011798154	0.0011798542	0.0011836953	0.0011798799	0.0011912879	0.0011760684	0.2611013	0.0011799039	0.001183693	0.0011836819	0.0011798384	0.0011760686	0.0011798799	0.0011912682	0.001195105	0.0011799183	0.0011874911	0.0011836723	0.0011760684	0.0011760684	0.0011873781	0.0011798657	0.0011836647	0.0011760684	0.0011760684	0.0011912792	0.0011873763	0.0011760684	0.0011789519	0.0011874856	0.0011760684	0.0011798713	0.0011760684	0.0011760684	0.0011837044	0.0011760694	0.0011798511	0.0011875099	0.0011760684	0.0011760684	0.0011760684	0.0011988784	0.0011837425	0.0011760684	0.0011837031	0.0011760684	0.0011798873	0.0011798713	0.0011798586	0.0011798884	0.0011760684	0.0011837187	0.0011836397	0.0011912911	0.57575613	0.0011836876	0.0011799188	0.0011798613	0.0011912952	0.0011760686	0.0011760684	0.0011760684	0.001183727	0.0011798713	0.0011950418	0.0011798586	0.0011798736	0.001183721	0.0011875298	0.0011837056	0.001191256	0.0011836762	0.0011798368	0.0011760684	0.0011912188
0.0006431573	0.0006473222	0.0006452343	0.0006431573	0.0006598361	0.29353562	0.00064108736	0.00065564184	0.00064108736	0.00064318	0.00065148075	0.00064108736	0.00064108736	0.00064315094	0.00064588326	0.00064108736	0.00064935896	0.0006452128	0.17061394	0.0006472907	0.00064316165	0.00064728945	0.0006472806	0.00064315094	0.0006431629	0.0006431554	0.00064316497	0.00064530416	0.00064108736	0.00064108736	0.0006438221	0.00064108736	0.00064108736	0.00064108736	0.0006431603	0.0006452443	0.0006473102	0.00064521254	0.00064108736	0.00064522197	0.00064108736	0.0006473165	0.0006431534	0.0006452272	0.00064108736	0.00064523326	0.00064108736	0.00064108736	0.00064108736	0.0006473318	0.00064522534	0.00064108736	0.0006493675	0.00064108736	0.0006431573	0.00064315886	0.0006535041	0.0006452196	0.0006472805	0.000647284	0.00064109894	0.0006431603	0.00064728834	0.0006452367	0.0006431629	0.00064312987	0.00064315094	0.00064524484	0.00064316497	0.00064938364	0.00064108736	0.00064315886	0.00064317806	0.00064524356	0.0006452375	0.0006431424	0.0006410874	0.00064316497	0.0006493729	0.0006514644	0.0006431859	0.000647314	0.0006452323	0.00064108736	0.00064108736	0.00064725237	0.0006431573	0.00064522814	0.00064108736	0.00064108736	0.00064937887	0.0006472514	0.00064108736	0.0006426592	0.000647311	0.00064108736	0.0006431603	0.00064108736	0.00064108736	0.0006452498	0.0006410879	0.00064314937	0.00064732414	0.00064108736	0.00064108736	0.00064108736	0.0006535213	0.0006452706	0.00064108736	0.00064524903	0.00064108736	0.0006431691	0.0006431603	0.0006431534	0.0006431696	0.00064108736	0.0006452576	0.0006452146	0.0006493854	0.00064730644	0.0006452406	0.0006431862	0.00064315484	0.00064938766	0.0006410874	0.00064108736	0.00064108736	0.00064526213	0.0006431603	0.00065142993	0.0006431534	0.0006431616	0.0006452588	0.000647335	0.00064525043	0.00064936624	0.00064523437	0.00064314157	0.00064108736	0.44756857
0.00078621163	0.00079130294	0.00078875065	0.00078621163	0.0008066002	0.000790759	0.0007836813	0.00080147304	0.0007836813	0.0007862394	0.00079638645	0.0007836813	0.0007836813	0.0007862039	0.0007895439	0.0007836813	0.0007937927	0.89049995	0.0007862233	0.00079126447	0.00078621693	0.0007912629	0.00079125207	0.0007862039	0.00078621844	0.00078620936	0.00078622106	0.00078883604	0.0007836813	0.0007836813	0.00078702427	0.0007836813	0.0007836813	0.0007836813	0.00078621536	0.0007887629	0.0007912883	0.00078872405	0.0007836813	0.0007887356	0.0007836813	0.000791296	0.00078620686	0.000788742	0.0007836813	0.0007887493	0.0007836813	0.0007836813	0.0007836813	0.0007913147	0.00078873965	0.0007836813	0.0007938032	0.0007836813	0.00078621163	0.00078621355	0.0007988598	0.00078873266	0.00079125195	0.0007912562	0.00078369543	0.00078621536	0.00079126155	0.00078875356	0.00078621844	0.0007861781	0.0007862039	0.0007887635	0.00078622106	0.00079382287	0.0007836813	0.00078621355	0.00078623707	0.00078876194	0.00078875455	0.0007861934	0.0007836814	0.00078622106	0.00079380977	0.0007963665	0.0007862467	0.0007912929	0.0007887482	0.0007836813	0.0007836813	0.00079121755	0.00078621163	0.00078874314	0.0007836813	0.0007836813	0.00079381705	0.0007912164	0.0007836813	0.0007856027	0.0007912892	0.0007836813	0.00078627566	0.0007836813	0.0007836813	0.0007887695	0.0007836819	0.0007862019	0.0007913053	0.0007836813	0.0007836813	0.0007836813	0.0007988808	0.00078879495	0.0007836813	0.00078876864	0.0007836813	0.00078622607	0.00078621536	0.00078620686	0.00078622677	0.0007836813	0.0007887791	0.0007887265	0.000793825	0.0007912836	0.00078875833	0.00078624696	0.00078620866	0.00079382776	0.0007836814	0.0007836813	0.0007836813	0.00078878464	0.00078621536	0.00079632434	0.00078620686	0.0007862169	0.0007887806	0.0007913186	0.0007887704	0.0007938016	0.0007887507	0.0007861924	0.0007836813	0.0007937769
0.00044206544	0.00044492816	0.00044349305	0.00044206544	0.00045352938	0.0004446223	0.0004406427	0.00045064653	0.0004406427	0.00044208104	0.00044778647	0.0004406427	0.0004406427	0.0004420611	0.0004439391	0.0004406427	0.00044632808	0.00044347826	0.000442072	0.00044490653	0.00044206844	0.00044490566	0.00044489955	0.0004420611	0.0004420693	0.00044206416	0.9384297	0.00044354107	0.0004406427	0.0004406427	0.00044252237	0.0004406427	0.0004406427	0.0004406427	0.00044206754	0.00044349994	0.00044491992	0.00044347811	0.0004406427	0.00044348458	0.0004406427	0.00044492426	0.00044206277	0.00044348818	0.0004406427	0.00044349232	0.0004406427	0.0004406427	0.0004406427	0.00044493476	0.00044348688	0.0004406427	0.00044633396	0.0004406427	0.00044206544	0.00044206652	0.00044917717	0.00044348295	0.0004448995	0.00044490187	0.00044065065	0.00044206754	0.0004449049	0.0004434947	0.0004420693	0.00044204658	0.0004420611	0.00044350032	0.00044207074	0.00044634505	0.0004406427	0.00044206652	0.00044207973	0.00044349945	0.00044349526	0.00044205523	0.00044064276	0.00044207074	0.00044633765	0.00044777524	0.00044208515	0.0004449225	0.00044349168	0.0004406427	0.0004406427	0.00044488013	0.00044206544	0.00044348883	0.0004406427	0.0004406427	0.00044634176	0.00044487946	0.0004406427	0.0004417231	0.00044492044	0.0004406427	0.00044206754	0.0004406427	0.0004406427	0.0004435037	0.00044064305	0.00044206	0.0004449295	0.0004406427	0.0004406427	0.0004406427	0.00044918898	0.000443518	0.0004406427	0.0004435032	0.0004406427	0.00044207356	0.00044206754	0.00044206277	0.00044207394	0.0004406427	0.00044350908	0.00044347948	0.00044634627	0.0004449173	0.00044349738	0.00044208532	0.00044206379	0.0004463478	0.00044064276	0.0004406427	0.0004406427	0.0004435122	0.00044206754	0.00044775155	0.00044206277	0.0004420684	0.00044350993	0.00044493694	0.00044350416	0.00044633308	0.0004434931	0.00044205465	0.0004406427	0.00044631917
0.0023630073	0.0023783096	0.0023706385	0.0023630073	0.0024242864	0.0023766747	0.0023554023	0.0024088765	0.0023554023	0.0023630906	0.0023935884	0.0023554023	0.0023554023	0.0023629842	0.0023730227	0.0023554023	0.0023857928	0.0023705594	0.0023630424	0.002378194	0.0023630233	0.0023781892	0.0023781566	0.67088354	0.0023630278	0.0023630005	0.0023630357	0.0023708951	0.0023554023	0.0023554023	0.00236545	0.0023554023	0.0023554023	0.0023554023	0.0023630185	0.0023706753	0.0023782656	0.0023705587	0.0023554023	0.0023705931	0.0023554023	0.002378289	0.002362993	0.0023706125	0.0023554023	0.0023706346	0.0023554023	0.0023554023	0.0023554023	0.002378345	0.0023706055	0.0023554023	0.0023858242	0.0023554023	0.0023630073	0.002363013	0.0024010222	0.0023705845	0.0023781564	0.002378169	0.0023554447	0.0023630185	0.0023781853	0.0023706474	0.0023630278	0.0023629067	0.0023629842	0.0023706772	0.0023630357	0.0023858834	0.0023554023	0.002363013	0.0023630837	0.0023706725	0.0023706504	0.0023629528	0.0023554026	0.0023630357	0.002385844	0.0023935284	0.0023631128	0.0023782793	0.002370631	0.0023554023	0.0023554023	0.002378053	0.0023630073	0.002370616	0.0023554023	0.0023554023	0.002385866	0.0023780493	0.0023554023	0.0023611772	0.0023782684	0.0023554023	0.0023630185	0.0023554023	0.0023554023	0.0023706954	0.0023554042	0.0023629782	0.0023783168	0.0023554023	0.0023554023	0.0023554023	0.0024010853	0.0023707717	0.0023554023	0.0023706926	0.0023554023	0.0023630508	0.0023630185	0.002362993	0.0023630527	0.0023554023	0.002370724	0.002370566	0.0023858899	0.0023782516	0.0023706616	0.0023631137	0.0023629984	0.0023858983	0.0023554026	0.0023554023	0.0023554023	0.0023707408	0.0023630185	0.0023934017	0.002362993	0.002363023	0.0023707286	0.0023783566	0.0023706977	0.0023858196	0.0023706388	0.0023629495	0.0023554023	0.002385745
0.0071286694	0.007174833	0.007151691	0.0071286694	0.007313535	0.007169901	0.0071057267	0.0072670463	0.0071057267	0.007128921	0.0072209258	0.0071057267	0.0071057267	0.0071285996	0.007158884	0.0071057267	0.007197408	0.0071514524	0.007128775	0.007174484	0.007128718	0.00717447	0.0071743713	0.0071285996	0.0071287313	0.0071286485	0.0071287546	0.007152465	0.0071057267	0.0071057267	0.0071360376	0.0071057267	0.0071057267	0.0071057267	0.007128703	0.0071518016	0.0071747	0.00715145	0.0071057267	0.0071515543	0.0071057267	0.0071747703	0.007128626	0.0071516125	0.0071057267	0.007151679	0.0071057267	0.0071057267	0.0071057267	0.00717494	0.007151591	0.0071057267	0.007197503	0.0071057267	0.0071286694	0.0071286866	0.007243352	0.007151528	0.0071743703	0.007174409	0.007105855	0.007128703	0.007174458	0.007151718	0.0071287313	0.0071283653	0.0071285996	0.0071518077	0.0071287546	0.0071976813	0.0071057267	0.0071286866	0.0071289	0.0071517937	0.0071517266	0.0071285046	0.0071057277	0.0071287546	0.0071975626	0.0072207446	0.007128987	0.007174742	0.007151669	0.0071057267	0.0071057267	0.007174059	0.0071286694	0.007151623	0.0071057267	0.0071057267	0.0071976287	0.007174048	0.0071057267	0.0071231485	0.0071747084	0.0071057267	0.007128703	0.0071057267	0.0071057267	0.007151862	0.0071057323	0.0071285814	0.0071748546	0.0071057267	0.0071057267	0.0071057267	0.0072435425	0.0071520926	0.0071057267	0.007151854	0.0071057267	0.0071288003	0.007128703	0.007128626	0.0071288063	0.0071057267	0.007151949	0.007151472	0.007197701	0.007174658	0.0071517606	0.0071289903	0.0071286424	0.007197726	0.0071057277	0.0071057267	0.0071057267	0.0071519995	0.007128703	0.0072203623	0.007128626	0.0071287174	0.0071519627	0.007174975	0.0071518696	0.0071974886	0.0071516917	0.0071284953	0.0071057267	0.007197264
0.0071286694	0.007174833	0.007151691	0.0071286694	0.007313535	0.007169901	0.0071057267	0.0072670463	0.0071057267	0.007128921	0.0072209258	0.0071057267	0.0071057267	0.0071285996	0.007158884	0.0071057267	0.007197408	0.0071514524	0.007128775	0.007174484	0.007128718	0.00717447	0.0071743713	0.0071285996	0.0071287313	0.0071286485	0.0071287546	0.007152465	0.0071057267	0.0071057267	0.0071360376	0.0071057267	0.0071057267	0.0071057267	0.007128703	0.0071518016	0.0071747	0.00715145	0.0071057267	0.0071515543	0.0071057267	0.0071747703	0.007128626	0.0071516125	0.0071057267	0.007151679	0.0071057267	0.0071057267	0.0071057267	0.00717494	0.007151591	0.0071057267	0.007197503	0.0071057267	0.0071286694	0.0071286866	0.007243352	0.007151528	0.0071743703	0.007174409	0.007105855	0.007128703	0.007174458	0.007151718	0.0071287313	0.0071283653	0.0071285996	0.0071518077	0.0071287546	0.0071976813	0.0071057267	0.0071286866	0.0071289	0.0071517937	0.0071517266	0.0071285046	0.0071057277	0.0071287546	0.0071975626	0.0072207446	0.007128987	0.007174742	0.007151669	0.0071057267	0.0071057267	0.007174059	0.0071286694	0.007151623	0.0071057267	0.0071057267	0.0071976287	0.007174048	0.0071057267	0.0071231485	0.0071747084	0.0071057267	0.007128703	0.0071057267	0.0071057267	0.007151862	0.0071057323	0.0071285814	0.0071748546	0.0071057267	0.0071057267	0.0071057267	0.0072435425	0.0071520926	0.0071057267	0.007151854	0.0071057267	0.0071288003	0.007128703	0.007128626	0.0071288063	0.0071057267	0.007151949	0.007151472	0.007197701	0.007174658	0.0071517606	0.0071289903	0.0071286424	0.007197726	0.0071057277	0.0071057267	0.0071057267	0.0071519995	0.007128703	0.0072203623	0.007128626	0.0071287174	0.0071519627	0.007174975	0.0071518696	0.0071974886	0.0071516917	0.0071284953	0.0071057267	0.007197264
0.0071286694	0.007174833	0.007151691	0.0071286694	0.007313535	0.007169901	0.0071057267	0.0072670463	0.0071057267	0.007128921	0.0072209258	0.0071057267	0.0071057267	0.0071285996	0.007158884	0.0071057267	0.007197408	0.0071514524	0.007128775	0.007174484	0.007128718	0.00717447	0.0071743713	0.0071285996	0.0071287313	0.0071286485	0.0071287546	0.007152465	0.0071057267	0.0071057267	0.0071360376	0.0071057267	0.0071057267	0.0071057267	0.007128703	0.0071518016	0.0071747	0.00715145	0.0071057267	0.0071515543	0.0071057267	0.0071747703	0.007128626	0.0071516125	0.0071057267	0.007151679	0.0071057267	0.0071057267	0.0071057267	0.00717494	0.007151591	0.0071057267	0.007197503	0.0071057267	0.0071286694	0.0071286866	0.007243352	0.007151528	0.0071743703	0.007174409	0.007105855	0.007128703	0.007174458	0.007151718	0.0071287313	0.0071283653	0.0071285996	0.0071518077	0.0071287546	0.0071976813	0.0071057267	0.0071286866	0.0071289	0.0071517937	0.0071517266	0.0071285046	0.0071057277	0.0071287546	0.0071975626	0.0072207446	0.007128987	0.007174742	0.007151669	0.0071057267	0.0071057267	0.007174059	0.0071286694	0.007151623	0.0071057267	0.0071057267	0.0071976287	0.007174048	0.0071057267	0.0071231485	0.0071747084	0.0071057267	0.007128703	0.0071057267	0.0071057267	0.007151862	0.0071057323	0.0071285814	0.0071748546	0.0071057267	0.0071057267	0.0071057267	0.0072435425	0.0071520926	0.0071057267	0.007151854	0.0071057267	0.0071288003	0.007128703	0.007128626	0.0071288063	0.0071057267	0.007151949	0.007151472	0.007197701	0.007174658	0.0071517606	0.0071289903	0.0071286424	0.007197726	0.0071057277	0.0071057267	0.0071057267	0.0071519995	0.007128703	0.0072203623	0.007128626	0.0071287174	0.0071519627	0.007174975	0.0071518696	0.0071974886	0.0071516917	0.0071284953	0.0071057267	0.007197264
0.16807745	0.0011875071	0.0011836769	0.0011798665	0.0012104637	0.0011866908	0.0011760693	0.0012027693	0.0011760693	0.0011799082	0.0011951359	0.0011760693	0.0011760693	0.46344256	0.0011848673	0.0011760693	0.0011912435	0.0011836373	0.0011798841	0.0011874493	0.0011798745	0.001187447	0.0011874307	0.001179855	0.0011798767	0.0011798631	0.0011798807	0.0011838049	0.0011760693	0.0011760693	0.0011810861	0.0011760693	0.0011760693	0.0011760693	0.0011798721	0.0011836952	0.0011874851	0.001183637	0.0011760693	0.0011836542	0.0011760693	0.0011874967	0.0011798594	0.0011836638	0.0011760693	0.0011836749	0.0011760693	0.0011760693	0.0011760693	0.0011875248	0.0011836604	0.0011760693	0.0011912591	0.0011760693	0.0011798665	0.0011798694	0.0011988477	0.0011836499	0.0011874306	0.0011874369	0.0011760906	0.0011798721	0.001187445	0.0011836813	0.0011798767	0.0011798162	0.001179855	0.0011836962	0.0011798807	0.0011912887	0.0011760693	0.0011798694	0.0011799047	0.0011836939	0.0011836827	0.0011798393	0.0011760695	0.0011798807	0.001191269	0.001195106	0.0011799191	0.001187492	0.0011836732	0.0011760693	0.0011760693	0.0011873789	0.0011798665	0.0011836656	0.0011760693	0.0011760693	0.00119128	0.0011873771	0.0011760693	0.0011789527	0.0011874865	0.0011760693	0.0011798721	0.0011760693	0.0011760693	0.0011837052	0.0011760702	0.001179852	0.0011875107	0.0011760693	0.0011760693	0.0011760693	0.0011988792	0.0011837434	0.0011760693	0.0011837039	0.0011760693	0.0011798883	0.0011798721	0.20650952	0.0011798892	0.0011760693	0.0011837196	0.0011836406	0.001191292	0.0011874781	0.0011836884	0.0011799196	0.0011798621	0.0011912961	0.0011760695	0.0011760693	0.0011760693	0.0011837279	0.0011798721	0.0011950426	0.0011798594	0.0011798744	0.0011837218	0.0011875306	0.0011837065	0.0011912568	0.001183677	0.0011798377	0.0011760693	0.0011912197
0.0023630084	0.0023783108	0.0023706397	0.0023630084	0.0024242876	0.0023766758	0.0023554035	0.0024088777	0.0023554035	0.0023630918	0.0023935896	0.0023554035	0.0023554035	0.0023629852	0.3366333	0.0023554035	0.002385794	0.0023705605	0.0023630434	0.002378195	0.0023630245	0.0023781904	0.0023781578	0.0023629852	0.002363029	0.0023630017	0.0023630369	0.0023708963	0.0023554035	0.0023554035	0.0023654508	0.0023554035	0.0023554035	0.0023554035	0.0023630196	0.0023706763	0.0023782668	0.0023705598	0.0023554035	0.0023705943	0.0023554035	0.0023782898	0.33662316	0.0023706136	0.0023554035	0.0023706357	0.0023554035	0.0023554035	0.0023554035	0.0023783462	0.0023706066	0.0023554035	0.0023858254	0.0023554035	0.0023630084	0.0023630143	0.0024010234	0.0023705857	0.0023781576	0.0023781701	0.0023554459	0.0023630196	0.0023781864	0.0023706486	0.002363029	0.0023629076	0.0023629852	0.0023706784	0.0023630369	0.0023858845	0.0023554035	0.0023630143	0.0023630848	0.0023706737	0.0023706513	0.0023629537	0.0023554037	0.0023630369	0.0023858452	0.0023935295	0.002363114	0.0023782805	0.0023706323	0.0023554035	0.0023554035	0.0023780542	0.0023630084	0.0023706171	0.0023554035	0.0023554035	0.002385867	0.0023780505	0.0023554035	0.0023611784	0.0023782696	0.0023554035	0.0023630196	0.0023554035	0.0023554035	0.0023706965	0.0023554054	0.0023629793	0.002378318	0.0023554035	0.0023554035	0.0023554035	0.0024010865	0.0023707729	0.0023554035	0.0023706937	0.0023554035	0.002363052	0.0023630196	0.0023629942	0.0023630538	0.0023554035	0.0023707252	0.002370567	0.002385891	0.0023782528	0.0023706628	0.0023631149	0.0023629996	0.0023858992	0.0023554037	0.0023554035	0.0023554035	0.002370742	0.0023630196	0.0023934029	0.0023629942	0.0023630243	0.0023707298	0.0023783578	0.0023706988	0.0023858207	0.00237064	0.0023629507	0.0023554035	0.0023857462
