topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.009365722	0.0097522205	0.009463574	0.009775346	0.010628363	0.009495986	0.009521486	0.010312404	0.009424242	0.009471953	0.009837393	0.0092094345	0.8554695	0.009230633	0.009717586	0.00932413
0.0050733057	0.005282669	0.00512631	0.005295196	0.0057572597	0.005143869	0.0051576807	0.17162032	0.005105006	0.005130851	0.0053288057	0.004988647	0.0050863493	0.2306906	0.005263908	0.5299492
0.006212128	0.006468487	0.0062770313	0.006483826	0.9049568	0.00629853	0.006315443	0.0068400465	0.0062509445	0.0062825903	0.0065249847	0.006108466	0.0062280996	0.006122527	0.006445515	0.006184541
0.0034788926	0.0036224574	0.003515239	0.0036310474	0.003947902	0.9463537	0.0035367506	0.0038305372	0.0035006304	0.0035183523	0.0036540958	0.0034208398	0.0034878366	0.0034287155	0.003609593	0.0034634434
0.01902241	0.019807417	0.019221151	0.019854404	0.021586902	0.019286988	0.019338777	0.020945186	0.019141272	0.7066157	0.019980412	0.018704982	0.01907132	0.018748041	0.019737076	0.018937938
0.06084788	0.06335891	0.061483603	0.06350916	0.06905101	0.06169419	0.061859854	0.06699835	0.06122809	0.06153806	0.06391228	0.05983251	0.061004322	0.05997024	0.0631339	0.060577665
0.06084788	0.06335891	0.061483603	0.06350916	0.06905101	0.06169419	0.061859854	0.06699835	0.06122809	0.06153806	0.06391228	0.05983251	0.061004322	0.05997024	0.0631339	0.060577665
0.06084788	0.06335891	0.061483603	0.06350916	0.06905101	0.06169419	0.061859854	0.06699835	0.06122809	0.06153806	0.06391228	0.05983251	0.061004322	0.05997024	0.0631339	0.060577665
0.009365736	0.009752237	0.009463587	0.009775363	0.01062837	0.0094960015	0.009521499	0.010312422	0.85550374	0.009471969	0.0098374095	0.009209449	0.009389817	0.009230651	0.009717602	0.0093241455
0.019022387	0.019807395	0.019221129	0.01985437	0.021586874	0.019286962	0.019338753	0.02094517	0.01914125	0.019238155	0.019980388	0.01870496	0.019071294	0.018748024	0.707115	0.018937914
0.0055852663	0.0058157556	0.0056436197	0.0058295466	0.91454756	0.0056629498	0.005678157	0.0061498224	0.0056201657	0.0056486186	0.005866553	0.005492064	0.005599626	0.0055047073	0.0057951016	0.005560463
0.06084788	0.06335891	0.061483603	0.06350916	0.06905101	0.06169419	0.061859854	0.06699835	0.06122809	0.06153806	0.06391228	0.05983251	0.061004322	0.05997024	0.0631339	0.060577665
0.009365718	0.0097522205	0.009463568	0.0097753545	0.010628353	0.009495984	0.009521481	0.010312407	0.009424239	0.009471957	0.009837394	0.009209432	0.009389797	0.009230631	0.85579735	0.009324126
0.004647316	0.0048391004	0.004695871	0.0048505752	0.005273846	0.0047119535	0.004724607	0.0051170667	0.0046763546	0.0047000293	0.2761719	0.004569766	0.65699273	0.004580285	0.0048219133	0.004626678
0.0062121316	0.006468491	0.006277035	0.00648383	0.007049625	0.006298534	0.006315447	0.0068400516	0.0062509486	0.006282595	0.9044322	0.0061084703	0.0062281042	0.0061225314	0.0064455187	0.006184545
0.0050733113	0.005282673	0.0051263156	0.005295201	0.005757266	0.005143874	0.0051576863	0.005586119	0.005105012	0.005130856	0.005328812	0.004988653	0.005086355	0.005000136	0.0052639134	0.9216738
0.004647313	0.0048390958	0.004695867	0.0048505715	0.005273842	0.004711951	0.0047246036	0.005117061	0.0046763523	0.004700026	0.9285054	0.004569764	0.004659262	0.0045802826	0.0048219105	0.004626675
0.009365729	0.009752229	0.009463579	0.009775356	0.010628366	0.85557556	0.009521493	0.010312414	0.009424253	0.009471963	0.009837407	0.009209443	0.009389809	0.009230643	0.009717596	0.009324138
0.019022409	0.019807413	0.019221151	0.019854385	0.021586893	0.019286986	0.019338775	0.02094518	0.019141275	0.019238174	0.01998041	0.70608264	0.019071316	0.018748038	0.01973707	0.018937932
0.0029269676	0.003047756	0.0029575478	0.003054984	0.0033215645	0.0029676778	0.0029756469	0.0032228257	0.0029452574	0.0029601674	0.0030743747	0.0028781255	0.002934493	0.95478165	0.0030369335	0.002913969
0.004647319	0.004839103	0.004695873	0.0048505776	0.005273843	0.004711957	0.004724609	0.005117069	0.004676358	0.004700032	0.004881366	0.0045697694	0.004659268	0.004580288	0.004821916	0.9282506
0.014156849	0.01474107	0.014304757	0.014776023	0.01606543	0.014353751	0.014392293	0.015587823	0.014245307	0.7816577	0.0148698175	0.013920614	0.014193248	0.013952657	0.014688716	0.01409398
0.19955555	0.005282676	0.7272671	0.0052952026	0.005757271	0.0051438753	0.0051576872	0.0055861226	0.005105012	0.0051308577	0.0053288126	0.0049886536	0.005086357	0.005000137	0.005263915	0.005050782
0.009365721	0.0097522205	0.009463571	0.009775347	0.010628355	0.510553	0.009521484	0.010312406	0.009424243	0.009471954	0.0098373955	0.0092094345	0.009389801	0.35425338	0.009717586	0.009324131
0.06084788	0.06335891	0.061483603	0.06350916	0.06905101	0.06169419	0.061859854	0.06699835	0.06122809	0.06153806	0.06391228	0.05983251	0.061004322	0.05997024	0.0631339	0.060577665
0.0012324244	0.0012832838	0.0012453004	0.0012863268	0.0013985728	0.0012495659	0.0012529212	0.4035377	0.0012401254	0.32215792	0.0012944915	0.0012118588	0.0012355931	0.0012146486	0.21352668	0.045632616
0.0069975406	0.0072863125	0.0070706494	0.007303591	0.007940907	0.0070948675	0.007113918	0.8927043	0.0070412653	0.0070769126	0.0073499484	0.0068807723	0.007015532	0.0068966113	0.007260436	0.006966466
0.06084788	0.06335891	0.061483603	0.06350916	0.06905101	0.06169419	0.061859854	0.06699835	0.06122809	0.06153806	0.06391228	0.05983251	0.061004322	0.05997024	0.0631339	0.060577665
0.0029269601	0.0030477487	0.00295754	0.0030549758	0.0033215561	0.0029676703	0.002975639	0.003222816	0.00294525	0.00296016	0.95497143	0.0028781178	0.0029344857	0.0028847433	0.0030369249	0.0029139621
0.009365726	0.009752225	0.009463576	0.009775351	0.0106283575	0.009495989	0.009521489	0.010312414	0.009424247	0.85555166	0.0098374	0.009209438	0.009389805	0.009230638	0.009717593	0.009324133
0.009365716	0.009752215	0.009463565	0.009775347	0.010628344	0.00949598	0.00952148	0.010312402	0.0094242385	0.8555518	0.009837389	0.009209429	0.009389795	0.00923063	0.009717582	0.009324124
0.0046473285	0.447095	0.004695882	0.0048505873	0.0052738595	0.0047119665	0.004724619	0.0051170806	0.0046763676	0.0047000423	0.4862492	0.004569778	0.004659277	0.004580325	0.0048219273	0.0046266904
0.85544556	0.009752212	0.009463564	0.009775338	0.0106283715	0.009495978	0.009521475	0.010312393	0.009424234	0.009471946	0.00983739	0.009209426	0.009389793	0.009230626	0.009717578	0.00932412
0.008010274	0.008340839	0.008093963	0.008360645	0.009090179	0.008121688	0.008143494	0.008819952	0.876416	0.008101134	0.0084136855	0.007876607	0.008030868	0.00789474	0.008311217	0.007974702
0.0046473234	0.0048391065	0.0046958774	0.0048505813	0.00527385	0.27707708	0.29832688	0.19473451	0.004676362	0.0047000367	0.004881371	0.004569773	0.004659272	0.0045802924	0.0048219217	0.17266573
0.06084788	0.06335891	0.061483603	0.06350916	0.06905101	0.06169419	0.061859854	0.06699835	0.06122809	0.06153806	0.06391228	0.05983251	0.061004322	0.05997024	0.0631339	0.060577665
0.00801028	0.008340846	0.5715027	0.31330752	0.009090185	0.0081216935	0.008143501	0.00881996	0.008060332	0.008101139	0.008413691	0.007876612	0.008030876	0.007894743	0.008311224	0.0079747075
0.009365731	0.00975223	0.00946358	0.855855	0.010628367	0.009495996	0.009521494	0.010312414	0.009424254	0.009471964	0.009837408	0.009209444	0.00938981	0.009230644	0.009717597	0.00932414
0.5646199	0.009752247	0.009463597	0.009775372	0.010628384	0.009496011	0.009521511	0.010312432	0.009424267	0.00947198	0.009837422	0.00920946	0.009389825	0.009230659	0.0097176125	0.3001493
0.0062121497	0.00646851	0.0062770527	0.006483848	0.007049635	0.0062985527	0.0063154656	0.006840072	0.0062509673	0.0062826127	0.0065250043	0.0061084875	0.0062281215	0.9040294	0.0064455373	0.006184563
0.008010245	0.00834081	0.0080939345	0.00836059	0.0090901395	0.008121657	0.008143465	0.008819923	0.008060298	0.87645733	0.008413656	0.007876578	0.008030841	0.00789471	0.008311188	0.007974674
0.009365727	0.009752226	0.009463578	0.009775353	0.1854244	0.6807796	0.00952149	0.010312408	0.00942425	0.009471959	0.009837404	0.009209441	0.009389806	0.009230639	0.009717592	0.009324134
0.1148841	0.002064946	0.56923413	0.0020698428	0.28952792	0.0020106905	0.0020160896	0.0021835603	0.0019954995	0.002005602	0.0020829807	0.0019500159	0.0019882065	0.001954505	0.0020576126	0.0019743014
0.028983783	0.03017987	0.029286597	0.030251434	0.032891214	0.029386908	0.029465817	0.031913444	0.55283296	0.029312536	0.030443529	0.028500129	0.0290583	0.028565735	0.030072687	0.028855069
0.028983865	0.030179957	0.02928668	0.030251535	0.032891303	0.029386993	0.029465903	0.031913538	0.02916497	0.55297935	0.030443545	0.02850021	0.029058388	0.028565817	0.030072777	0.028855164
0.5770665	0.003622463	0.0035152428	0.0036310523	0.003947903	0.17455566	0.003536754	0.0038305447	0.0035006336	0.0035183567	0.0036540995	0.0034208437	0.2016982	0.003428718	0.003609597	0.0034634466
0.003979102	0.0041433102	0.0040206746	0.004153135	0.0045155413	0.004034446	0.0040452797	0.00438131	0.0040039658	0.45924532	0.0041794963	0.0039127027	0.0039893324	0.0039217095	0.4835132	0.003961432
0.016421767	0.0015614311	0.0015152154	0.0015651338	0.0017017096	0.32851624	0.0015244879	0.0016511224	0.63494664	0.0015165574	0.0015750686	0.0014745254	0.0015034039	0.0014779199	0.0015558861	0.0014928892
0.01902246	0.019807471	0.019221202	0.019854449	0.021586966	0.019287039	0.019338826	0.02094524	0.019141326	0.019238237	0.70735717	0.01870503	0.01907137	0.01874809	0.019737126	0.018937988
0.006212136	0.0064684944	0.0062770383	0.0064838342	0.00704962	0.0062985374	0.006315451	0.006840056	0.0062509524	0.0062825982	0.006524989	0.006108473	0.0062281075	0.006122536	0.006445524	0.9040916
0.028983919	0.030180022	0.029286738	0.030251585	0.03289137	0.029387046	0.029465962	0.031913616	0.02916503	0.55297846	0.030443603	0.028500266	0.029058438	0.02856587	0.030072834	0.028855212
0.006212137	0.0064684968	0.0062770396	0.0064838356	0.00704962	0.006298539	0.0063154534	0.006840058	0.0062509547	0.14883478	0.006524991	0.006108475	0.006228109	0.7614774	0.0064455243	0.0061845495
0.003478887	0.003622452	0.0035152335	0.0036310425	0.0039478913	0.0035272741	0.0035367452	0.0038305335	0.003500625	0.9463448	0.00365409	0.0034208351	0.0034878317	0.0034287102	0.0036095877	0.0034634385
0.019022418	0.019807424	0.019221157	0.019854395	0.70896435	0.01928699	0.019338785	0.020945197	0.019141287	0.019238185	0.019980425	0.018704988	0.019071326	0.018748049	0.019737097	0.01893795
0.003979092	0.0041433	0.004020665	0.0041531273	0.004515529	0.004034436	0.0040452695	0.004381299	0.004003956	0.9386301	0.004179486	0.003912693	0.0039893226	0.0039216997	0.0041285856	0.003961422
0.011273341	0.011738562	0.011391122	0.011766401	0.012793146	0.011430139	0.01146083	0.012412843	0.011343784	0.011401211	0.011841087	0.8258143	0.011302326	0.011110739	0.011696874	0.011223278
