topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.008707024	0.008642467	0.00866156	0.00871246	0.009286605	0.85297126	0.008410943	0.00905301	0.008478228	0.008575162	0.008606621	0.008253043	0.008450921	0.008521577	0.008981462	0.0083138	0.008796568	0.0085773
0.004720514	0.004685514	0.0046958663	0.004723462	0.005034733	0.0045917095	0.0045599937	0.26923054	0.0045964723	0.004649025	0.0046660807	0.004474388	0.0045816675	0.17442332	0.0048693004	0.4860782	0.0047690608	0.0046501844
0.0057788263	0.005735979	0.005748652	0.0057824343	0.0061634914	0.005621144	0.005582318	0.0060084555	0.005626975	0.00569131	0.90250844	0.0054775197	0.005608851	0.005655746	0.0059609693	0.005517845	0.0058382563	0.0056927293
0.003238003	0.0032139947	0.0032210955	0.0032400244	0.0034535392	0.00314965	0.003127895	0.0033666694	0.0031529174	0.0031889654	0.0032006647	0.0030691742	0.0031427622	0.493411	0.0033400618	0.0030917693	0.003271303	0.45512047
0.017650545	0.017519673	0.017558383	0.017661564	0.018825443	0.017168928	0.01705034	0.018351912	0.017186737	0.017383238	0.017447012	0.01673025	0.01713138	0.017274614	0.018206872	0.7016335	0.017832063	0.017387575
0.055994373	0.055579204	0.055702	0.056029335	0.059721608	0.0544665	0.054090295	0.058219384	0.054523	0.055146378	0.05534869	0.053074844	0.054347385	0.05480178	0.057759263	0.05346558	0.056570224	0.05516013
0.055994373	0.055579204	0.055702	0.056029335	0.059721608	0.0544665	0.054090295	0.058219384	0.054523	0.055146378	0.05534869	0.053074844	0.054347385	0.05480178	0.057759263	0.05346558	0.056570224	0.05516013
0.055994373	0.055579204	0.055702	0.056029335	0.059721608	0.0544665	0.054090295	0.058219384	0.054523	0.055146378	0.05534869	0.053074844	0.054347385	0.05480178	0.057759263	0.05346558	0.056570224	0.05516013
0.008707018	0.008642459	0.008661554	0.008712454	0.009286596	0.008469436	0.008410936	0.009053003	0.0084782215	0.008575155	0.008606615	0.008253036	0.008450914	0.8530235	0.008981454	0.008313797	0.0087965615	0.008577295
0.017650537	0.017519668	0.017558375	0.017661558	0.018825436	0.01716892	0.017050333	0.018351905	0.017186731	0.01738323	0.017447004	0.016730243	0.017131373	0.33124244	0.3890192	0.01685341	0.017832058	0.017387567
0.005196324	0.005157796	0.005169192	0.005199569	0.0055422154	0.0050545363	0.0050196243	0.005402807	0.0050597796	0.0051176297	0.0051364047	0.00492539	0.0050434824	0.005085651	0.0053601074	0.00496165	0.005249764	0.91231805
0.055994373	0.055579204	0.055702	0.056029335	0.059721608	0.0544665	0.054090295	0.058219384	0.054523	0.055146378	0.05534869	0.053074844	0.054347385	0.05480178	0.057759263	0.05346558	0.056570224	0.05516013
0.008706982	0.008642425	0.008661519	0.008712419	0.009286559	0.008469402	0.008410903	0.009052967	0.008478187	0.008575122	0.00860658	0.008253003	0.00845088	0.008521537	0.853484	0.008313761	0.008796526	0.008577259
0.004324513	0.004292449	0.0043019326	0.0043272134	0.0046123723	0.0042065135	0.0041774586	0.0044963537	0.0042108768	0.004259021	0.18539171	0.0040990342	0.7458491	0.0042324075	0.0044608177	0.004129211	0.004368987	0.0042600837
0.005778829	0.005735982	0.005748655	0.0057824375	0.006163494	0.005621147	0.005582321	0.006008459	0.005626978	0.0056913127	0.90250844	0.005477523	0.005608854	0.0056557492	0.005960972	0.005517848	0.005838259	0.005692732
0.004720504	0.0046855034	0.0046958555	0.0047234506	0.0050347215	0.0045916988	0.0045599835	0.004908079	0.004596462	0.0046490147	0.00466607	0.0044743777	0.2427882	0.004619964	0.004869289	0.6819976	0.00476905	0.004650174
0.004324507	0.0042924425	0.004301926	0.004327207	0.0046123653	0.0042065075	0.0041774525	0.0044963467	0.0042108707	0.004259015	0.9270435	0.004099028	0.004197308	0.0042324015	0.0044608107	0.004129205	0.0043689804	0.0042600776
0.008707023	0.008642466	0.00866156	0.00871246	0.009286602	0.008469441	0.008410942	0.009053009	0.008478228	0.008575161	0.85310847	0.008253042	0.00845092	0.008521577	0.00898146	0.0083138	0.008796567	0.008577299
0.017650524	0.017519655	0.017558362	0.017661544	0.018825421	0.017168907	0.01705032	0.018351892	0.017186718	0.017383218	0.017446991	0.70151067	0.01713136	0.017274596	0.018206852	0.016853398	0.017832043	0.017387554
0.0027245902	0.0027043887	0.0027103638	0.0027262913	0.002905951	0.0026502465	0.0026319409	0.0028328556	0.0026529955	0.002683328	0.0026931723	0.0025825307	0.0026444504	0.74691725	0.20990147	0.0026015432	0.0027526102	0.0026839972
0.004324525	0.0042924616	0.004301945	0.0043272255	0.0046123858	0.0042065256	0.0041774707	0.0044963663	0.004210889	0.004259033	0.004274658	0.004099046	0.92696595	0.00423242	0.0044608302	0.0041292226	0.004369	0.004260096
0.013148608	0.50152695	0.013079952	0.013156817	0.0140238395	0.0127898315	0.012701491	0.013671086	0.012803099	0.012949482	0.289701	0.012463043	0.012761861	0.012868563	0.01356304	0.012554795	0.013283829	0.012952711
0.004720505	0.0046855044	0.0046958565	0.004723452	0.005034723	0.5190867	0.0045599844	0.0049080807	0.004596463	0.004649016	0.0046660714	0.40567613	0.004581658	0.0046199653	0.0048692906	0.004507319	0.004769051	0.004650175
0.008707003	0.008642444	0.008661538	0.008712439	0.00928658	0.008469421	0.008410921	0.009052987	0.008478207	0.0085751405	0.0086066	0.008253021	0.008450899	0.85302377	0.008981438	0.00831378	0.008796547	0.008577279
0.055994373	0.055579204	0.055702	0.056029335	0.059721608	0.0544665	0.054090295	0.058219384	0.054523	0.055146378	0.05534869	0.053074844	0.054347385	0.05480178	0.057759263	0.05346558	0.056570224	0.05516013
