topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19
0.0076702912	0.007809479	0.0076509477	0.008058455	0.008372183	0.007507247	0.0074517396	0.008197746	0.0077335835	0.0075978218	0.008146613	0.0075070523	0.00768835	0.0076910513	0.007896813	0.45198318	0.007901578	0.0077156946	0.008013801	0.4074064
0.0041606515	0.004236152	0.0041501587	0.004371206	0.0045413836	0.0040722103	0.004042101	0.0044467626	0.0041949833	0.0041213413	0.004419026	0.0040721046	0.004170447	0.0041719126	0.004283525	0.50533855	0.0042861104	0.00418528	0.41824022	0.004495846
0.0050927387	0.0051851533	0.0050798953	0.005350462	0.90167046	0.0049844845	0.0049476298	0.0054429458	0.005134762	0.005044622	0.0054089953	0.004984355	0.005104729	0.0051065222	0.005243139	0.005026078	0.0052463035	0.0051228846	0.0053208144	0.005503025
0.14584918	0.0029063246	0.80162233	0.0029989819	0.0031157369	0.002793848	0.0027731906	0.0030508197	0.00287808	0.0028275556	0.0030317903	0.0027937756	0.0028612462	0.0028622514	0.0029388263	0.0028171614	0.0029405998	0.0028714226	0.0029823638	0.0030844947
0.015530658	0.015812483	0.015491491	0.016316604	0.016951835	0.015200529	0.015088138	0.016598638	0.01565881	0.0153839225	0.016495105	0.015200134	0.015567223	0.015572692	0.015989315	0.015327371	0.015998963	0.6988081	0.01622619	0.016781855
0.049021292	0.049910847	0.048897665	0.051502068	0.053507123	0.047979265	0.047624514	0.052392285	0.049425796	0.048558135	0.05206549	0.04797802	0.049136706	0.04915397	0.050469004	0.048379634	0.05049946	0.049311467	0.051216684	0.052970596
0.049021292	0.049910847	0.048897665	0.051502068	0.053507123	0.047979265	0.047624514	0.052392285	0.049425796	0.048558135	0.05206549	0.04797802	0.049136706	0.04915397	0.050469004	0.048379634	0.05049946	0.049311467	0.051216684	0.052970596
0.049021292	0.049910847	0.048897665	0.051502068	0.053507123	0.047979265	0.047624514	0.052392285	0.049425796	0.048558135	0.05206549	0.04797802	0.049136706	0.04915397	0.050469004	0.048379634	0.05049946	0.049311467	0.051216684	0.052970596
0.0076702777	0.0078094653	0.8511826	0.008058441	0.008372168	0.007507234	0.007451726	0.008197731	0.0077335695	0.0075978083	0.008146598	0.0075070392	0.0076883365	0.007691038	0.007896799	0.0075698784	0.007901564	0.007715681	0.008013787	0.008288219
0.015530624	0.01581245	0.015491459	0.016316568	0.016951798	0.015200497	0.0150881065	0.016598603	0.015658777	0.01538389	0.01649507	0.015200103	0.01556719	0.3582548	0.3564933	0.015327338	0.01599893	0.015622557	0.016226156	0.01678182
0.004579754	0.0046628597	0.0045682047	0.004811518	0.9115751	0.0044824043	0.004449262	0.0048946855	0.0046175444	0.0045364844	0.004864155	0.004482288	0.0045905365	0.0045921495	0.004715005	0.004519808	0.0047178506	0.0046068635	0.004784856	0.004948713
0.049021292	0.049910847	0.048897665	0.051502068	0.053507123	0.047979265	0.047624514	0.052392285	0.049425796	0.048558135	0.05206549	0.04797802	0.049136706	0.04915397	0.050469004	0.048379634	0.05049946	0.049311467	0.051216684	0.052970596
0.0076702754	0.0078094625	0.007650932	0.008058438	0.008372165	0.0075072316	0.007451724	0.0081977295	0.007733567	0.85112953	0.008146596	0.0075070364	0.007688334	0.007691035	0.007896797	0.007569876	0.007901562	0.007715679	0.008013784	0.008288216
