topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.0053417482	0.0052730097	0.0052136085	0.0054012313	0.005727432	0.0053067724	0.0052452413	0.005611306	0.0053241844	0.0051958095	0.005404462	0.00519599	0.0052529015	0.00527127	0.005427128	0.0052330103	0.0053094635	0.0052323504	0.00530864	0.35760322	0.0054418435	0.005270129	0.0056063314	0.0051942775	0.005491892	0.005326043	0.0051386175	0.0053079817	0.49316755	0.0051765093
0.00290295	0.002865594	0.002833313	0.002935276	0.0031125483	0.0028839423	0.0028505037	0.0030494398	0.002893405	0.0028236401	0.0029370314	0.0028237384	0.0028546664	0.0028646488	0.0029493493	0.0028438566	0.0028854047	0.0028434983	0.3507844	0.002918325	0.0029573462	0.0028640288	0.0030467366	0.0028228075	0.0029845447	0.002894415	0.0027925593	0.0028845996	0.5680843	0.0028131513
0.0035515279	0.0035058258	0.0034663326	0.003591076	0.8975046	0.0035282737	0.003487364	0.0037307465	0.0035398502	0.0034544985	0.0035932236	0.0034546186	0.0034924566	0.0035046693	0.0036082938	0.0034792318	0.0035300627	0.0034787934	0.0035295154	0.0035703378	0.0036180771	0.0035039107	0.003727439	0.00345348	0.0036513526	0.0035410859	0.0034164737	0.0035290776	0.0035160673	0.0034416665
0.0019930257	0.001967379	0.0019452162	0.002015219	0.0021369257	0.001979976	0.0019570186	0.0020935985	0.0019864726	0.0019385753	0.14816833	0.0019386427	0.0019598764	0.00196673	0.0020248813	0.001952455	0.00198098	0.0019522089	0.0019806728	0.0020035813	0.0020303715	0.0019663041	0.0020917426	0.0019380037	0.0020490447	0.7961806	0.0019172368	0.0019804272	0.001973126	0.0019313743
0.0107711	0.010632495	0.010512719	0.010891042	0.011548793	0.010700574	0.010576503	0.011314636	0.010735685	0.0104768295	0.010897555	0.010477193	0.010591949	0.010628987	0.01094326	0.01055184	0.010706	0.01055051	0.01070434	0.010828148	0.010972932	0.010626687	0.011304606	0.01047374	0.011073849	0.010739432	0.010361508	0.010703013	0.010663555	0.68804055
0.03340939	0.03297947	0.032607954	0.03378142	0.03582161	0.033190634	0.032805797	0.035095308	0.03329954	0.03249663	0.033801623	0.03249776	0.032853704	0.03296859	0.03394339	0.032729298	0.033207465	0.032725174	0.033202317	0.033586334	0.034035422	0.032961454	0.035064194	0.03248705	0.034348447	0.033311162	0.03213893	0.0331982	0.03307581	0.032375917
0.03340939	0.03297947	0.032607954	0.03378142	0.03582161	0.033190634	0.032805797	0.035095308	0.03329954	0.03249663	0.033801623	0.03249776	0.032853704	0.03296859	0.03394339	0.032729298	0.033207465	0.032725174	0.033202317	0.033586334	0.034035422	0.032961454	0.035064194	0.03248705	0.034348447	0.033311162	0.03213893	0.0331982	0.03307581	0.032375917
0.03340939	0.03297947	0.032607954	0.03378142	0.03582161	0.033190634	0.032805797	0.035095308	0.03329954	0.03249663	0.033801623	0.03249776	0.032853704	0.03296859	0.03394339	0.032729298	0.033207465	0.032725174	0.033202317	0.033586334	0.034035422	0.032961454	0.035064194	0.03248705	0.034348447	0.033311162	0.03213893	0.0331982	0.03307581	0.032375917
0.0053417576	0.0052730185	0.0052136173	0.0054012407	0.005727442	0.0053067813	0.00524525	0.0056113154	0.0053241937	0.0051958184	0.005404471	0.005195999	0.0052529103	0.84538335	0.0054271375	0.0052330187	0.0053094723	0.0052323593	0.005308649	0.005370049	0.0054418524	0.005270138	0.005606341	0.0051942864	0.005491901	0.005326052	0.0051386263	0.0053079906	0.005288422	0.0051765176
0.010771144	0.010632539	0.010512763	0.010891086	0.01154884	0.010700619	0.010576547	0.011314683	0.010735729	0.010476872	0.010897601	0.0104772365	0.010591992	0.6882303	0.010943306	0.010551884	0.010706045	0.010550554	0.010704385	0.010828192	0.010972977	0.0106267305	0.011304652	0.010473783	0.011073895	0.010739476	0.010361549	0.010703057	0.010663599	0.010437955
