topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.004007895	0.00406885	0.0039987187	0.004095934	0.004291791	0.0040115905	0.0039986805	0.004153659	0.0040381835	0.0039701643	0.0040542283	0.003971106	0.0039567165	0.0040398603	0.0040091868	0.0039289156	0.0040267184	0.0040267413	0.0040537035	0.004123807	0.0041373167	0.004040138	0.0041813096	0.0039563854	0.004012475	0.004066709	0.00394288	0.14435343	0.00397047	0.003942664	0.004080793	0.0040400946	0.1887294	0.003997326	0.0040479405	0.0040970515	0.5174543	0.004138495	0.00394294	0.004041361
0.0021800506	0.0022132066	0.0021750592	0.0022279385	0.0023344727	0.0021820606	0.0021750384	0.0022593373	0.0021965255	0.0021595273	0.0022052529	0.0021600395	0.0021522127	0.002197438	0.0021807533	0.0021370905	0.25753003	0.002190302	0.45968145	0.0022430997	0.002250448	0.0021975888	0.0022743775	0.0021520325	0.0021825416	0.0022120418	0.0021446864	0.0021672596	0.0021596935	0.0021445688	0.0022197026	0.002197565	0.20148261	0.0021743018	0.0022018328	0.0022285462	0.0022352636	0.0022510889	0.002144719	0.0021982542
0.002666475	0.0027070288	0.00266037	0.0027250478	0.8953691	0.0026689335	0.0026603446	0.0027634525	0.0026866258	0.0026413724	0.0026973006	0.002641999	0.0026324256	0.0026877418	0.0026673344	0.0026139296	0.0026789983	0.0026790136	0.0026969516	0.0027435918	0.00275258	0.0026879264	0.0027818487	0.0026322054	0.0026695218	0.002705604	0.00262322	0.00265083	0.0026415756	0.0026230763	0.002714974	0.0026878973	0.0026629353	0.0026594433	0.0026931174	0.0027257912	0.0027340073	0.0027533637	0.00262326	0.0026887404
0.0014972243	0.0015199953	0.0014937964	0.0015301128	0.001603279	0.0014986048	0.001493782	0.0015516771	0.001508539	0.0014831292	0.0015145328	0.001483481	0.0014781056	0.0015091656	0.0014977067	0.00146772	0.0015042562	0.70444417	0.0015143369	0.0015405254	0.0015455722	0.0015092692	0.0015620065	0.0014779819	0.0014989352	0.0015191953	0.0014729367	0.0014884396	0.0014832433	0.23817955	0.0015244565	0.0015092529	0.0014952368	0.001493276	0.001512184	0.0015305304	0.0015351436	0.0015460122	0.0014729591	0.0015097263
0.008065203	0.008187865	0.008046738	0.008242367	0.008636496	0.00807264	0.008046661	0.008358529	0.008126154	0.6828791	0.008158441	0.007991171	0.007962216	0.008129529	0.0080678025	0.007906271	0.008103083	0.0081031285	0.0081573855	0.008298457	0.008325643	0.008130087	0.008414171	0.007961549	0.00807442	0.008183556	0.007934372	0.008017883	0.007989891	0.007933937	0.008211898	0.008129999	0.008054497	0.008043935	0.008145788	0.008244616	0.008269466	0.008328013	0.007934492	0.008132549
0.024807602	0.025184894	0.024750803	0.025352534	0.026564827	0.024830475	0.024750566	0.025709834	0.024995076	0.024574058	0.025094388	0.024579888	0.024490822	0.025005458	0.024815597	0.024318743	0.024924112	0.024924254	0.025091141	0.02552506	0.025608681	0.025007173	0.025880983	0.024488773	0.024835948	0.02517164	0.024405178	0.024662048	0.02457595	0.02440384	0.025258815	0.025006905	0.024774669	0.024742182	0.02505547	0.025359452	0.02543589	0.025615972	0.024405548	0.025014747
0.024807602	0.025184894	0.024750803	0.025352534	0.026564827	0.024830475	0.024750566	0.025709834	0.024995076	0.024574058	0.025094388	0.024579888	0.024490822	0.025005458	0.024815597	0.024318743	0.024924112	0.024924254	0.025091141	0.02552506	0.025608681	0.025007173	0.025880983	0.024488773	0.024835948	0.02517164	0.024405178	0.024662048	0.02457595	0.02440384	0.025258815	0.025006905	0.024774669	0.024742182	0.02505547	0.025359452	0.02543589	0.025615972	0.024405548	0.025014747
0.024807602	0.025184894	0.024750803	0.025352534	0.026564827	0.024830475	0.024750566	0.025709834	0.024995076	0.024574058	0.025094388	0.024579888	0.024490822	0.025005458	0.024815597	0.024318743	0.024924112	0.024924254	0.025091141	0.02552506	0.025608681	0.025007173	0.025880983	0.024488773	0.024835948	0.02517164	0.024405178	0.024662048	0.02457595	0.02440384	0.025258815	0.025006905	0.024774669	0.024742182	0.02505547	0.025359452	0.02543589	0.025615972	0.024405548	0.025014747
0.004007892	0.0040688473	0.003998716	0.004095931	0.004291788	0.0040115877	0.0039986777	0.0041536563	0.00403818	0.0039701615	0.004054225	0.003971103	0.0039567137	0.0040398575	0.004009184	0.003928913	0.0040267156	0.0040267385	0.0040537007	0.004123804	0.004137314	0.004040135	0.004181307	0.0039563826	0.004012472	0.0040667057	0.22371659	0.003984377	0.003970467	0.6226099	0.0040807896	0.0040400918	0.004002572	0.003997323	0.0040479377	0.0040970487	0.004109398	0.0041384916	0.003942937	0.0040413584
0.008065208	0.00818787	0.0080467425	0.0082423715	0.008636501	0.0080726445	0.008046665	0.0083585335	0.008126157	0.007989281	0.008158445	0.007991176	0.007962219	0.008129533	0.3385015	0.007906275	0.008103088	0.008103133	0.00815739	0.008298461	0.008325648	0.008130091	0.008414175	0.0079615535	0.008074424	0.00818356	0.007934376	0.008017887	0.0079898955	0.007933941	0.008211902	0.008130004	0.008054501	0.008043939	0.008145792	0.008244621	0.008269471	0.008328018	0.35239044	0.008132553
