topic_0	topic_1	topic_2	topic_3
0.4030637	0.5322286	0.032333683	0.032374028
0.70823824	0.2571923	0.016954482	0.01761498
0.9379896	0.020230105	0.02063835	0.02114192
0.54744107	0.011283073	0.42940757	0.011868279
0.07957766	0.06482339	0.0659712	0.78962773
0.27993476	0.234587	0.23970959	0.24576868
0.27993476	0.234587	0.23970959	0.24576868
0.27993476	0.234587	0.23970959	0.24576868
0.037490193	0.030954342	0.8987131	0.032842357
0.07718244	0.064408705	0.06566635	0.79274255
0.944184	0.01816099	0.018626794	0.019028217
0.27993476	0.234587	0.23970959	0.24576868
0.037302405	0.8983394	0.031563453	0.032794807
0.73446745	0.23412053	0.0154814795	0.015930561
0.93770134	0.020322546	0.020710887	0.021265244
0.9490577	0.016562324	0.016921597	0.017458428
0.95364714	0.015055774	0.015480825	0.01581631
0.03812586	0.89745575	0.03178395	0.032634433
0.077568404	0.06415076	0.7905978	0.067683086
0.011681086	0.009498066	0.009709019	0.9691118
0.5770407	0.39140853	0.015591066	0.015959742
0.23196182	0.669879	0.04841343	0.049745705
0.020268872	0.40785086	0.55437154	0.017508732
0.03804116	0.8973443	0.031667765	0.032946788
0.27993476	0.234587	0.23970959	0.24576868
0.0048211375	0.7022325	0.004045988	0.28890043
0.027628543	0.023087094	0.023502864	0.92578155
0.27993476	0.234587	0.23970959	0.24576868
0.40033773	0.58004916	0.009657937	0.009955181
0.903979	0.0313801	0.031837095	0.032803766
0.037700888	0.030900856	0.031508632	0.8998896
0.018733624	0.9497997	0.015483309	0.015983392
0.9049022	0.031023154	0.031506073	0.032568514
0.032502573	0.9124099	0.026863897	0.028223632
0.43011698	0.01523846	0.5387442	0.015900336
0.27993476	0.234587	0.23970959	0.24576868
0.03249855	0.026642239	0.5598384	0.3810208
0.037945937	0.03098884	0.031583462	0.8994818
0.9047868	0.030838808	0.031790752	0.03258363
0.02477624	0.020326769	0.9333831	0.021513859
0.03125756	0.9140104	0.026752403	0.027979644
0.904437	0.030880928	0.032062322	0.032619797
0.0079427445	0.006482349	0.97879094	0.006783984
0.6879176	0.102998845	0.10332152	0.10576206
0.12597519	0.10206695	0.10379395	0.6681639
0.6852446	0.29118142	0.0116010085	0.011972908
0.015945332	0.013074205	0.013317231	0.95766324
0.9849178	0.004890805	0.00496181	0.0052295476
0.8009963	0.06511679	0.06587027	0.06801666
0.024949685	0.02030781	0.020922817	0.9338197
0.12602441	0.10315919	0.10474504	0.66607136
0.025004184	0.020309977	0.020862732	0.93382305
0.013791002	0.51975316	0.011619309	0.45483655
0.8021244	0.06438388	0.06558916	0.06790254
0.015355815	0.012983141	0.013136328	0.9585247
0.88444567	0.037188	0.03889266	0.03947367
0.27993476	0.234587	0.23970959	0.24576868
0.97483754	0.008191598	0.008382201	0.008588713
0.036908973	0.030673612	0.9001953	0.032222092
0.92920506	0.02307142	0.02355957	0.024163969
0.022018908	0.94009465	0.01859018	0.01929629
0.0011850771	0.99063706	0.0010029679	0.0071749305
0.0790814	0.78690654	0.066342205	0.067669824
0.26505327	0.037687764	0.038088232	0.65917075
0.014603612	0.012199856	0.9604727	0.012723775
0.9045754	0.030807916	0.03208548	0.032531187
0.27993476	0.234587	0.23970959	0.24576868
0.82423246	0.01663757	0.01699366	0.14213635
