topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49
0.003226393	0.0032699774	0.00323642	0.0032891075	0.0033588216	0.0032473414	0.003193123	0.0033156113	0.0032258662	0.0032040903	0.003347744	0.003215051	0.0032151327	0.0032263931	0.0032599403	0.0032153146	0.0032265356	0.00325959	0.0032708312	0.0033372722	0.003303937	0.00322545	0.003304771	0.0032260134	0.0033037146	0.0032477726	0.0031823528	0.0032374726	0.003226426	0.0031823528	0.0032592204	0.0032264667	0.0032151798	0.0032152703	0.003259511	0.0033246346	0.0032158403	0.0032930062	0.0032040316	0.0032703287	0.0032663217	0.0032368992	0.0033485792	0.0032264846	0.0032585296	0.0032698656	0.8406754	0.0032042677	0.0032379488	0.0032114002
0.0017559329	0.0017796534	0.0017613901	0.0017900647	0.001828006	0.001767334	0.0017378262	0.0018044892	0.0017556463	0.0017437949	0.0018219771	0.0017497601	0.0017498047	0.17655885	0.0017741907	0.0017499037	0.0017560107	0.001774	0.52189463	0.0018162779	0.0017981355	0.0017554198	0.0017985894	0.0017557264	0.0017980145	0.0017675686	0.0017319645	0.001761963	0.0017559509	0.0017319645	0.0017737991	0.0017559731	0.0017498303	0.0017498796	0.001773957	0.0018094	0.0017501897	0.0017921865	0.001743763	0.0017798445	0.0017776638	0.0017616509	0.0018224316	0.0017559828	0.0017734229	0.0017795926	0.21837166	0.0017438915	0.001762222	0.0017477734
0.0021474082	0.002176417	0.002154082	0.0021891496	0.89403147	0.0021613513	0.0021252648	0.00220679	0.0021470578	0.0021325643	0.0022281767	0.0021398594	0.0021399138	0.0021474084	0.0021697367	0.002140035	0.0021475034	0.0021695034	0.0021769854	0.002221207	0.0021990198	0.0021467807	0.0021995748	0.0021471558	0.0021988717	0.002161638	0.0021180962	0.0021547826	0.0021474303	0.0021180962	0.0021692575	0.0021474576	0.002139945	0.0021400054	0.002169451	0.0022127957	0.0021403846	0.0021917445	0.0021325252	0.002176651	0.002173984	0.002154401	0.0022287325	0.0021474694	0.0021687977	0.0021763428	0.0021614605	0.0021326824	0.0021550995	0.0021374295
0.0012061957	0.00122249	0.0012099444	0.0012296418	0.185917	0.0012140274	0.0011937578	0.0012395503	0.0012059988	0.0011978579	0.0012515632	0.0012019555	0.0012019861	0.0012061958	0.0012187375	0.0012020541	0.0012062491	0.0012186065	0.0012228092	0.0012476483	0.0012351858	0.0012058433	0.0012354975	0.0012060539	0.0012351027	0.0012141885	0.0011897312	0.001210338	0.001206208	0.0011897312	0.0012184684	0.0012062234	0.0012020037	0.0012020376	0.001218577	0.0012429237	0.0012022506	0.0012310994	0.0011978359	0.0012226213	0.0012211233	0.0012101235	0.7558126	0.00120623	0.0012182101	0.0012224482	0.0012140888	0.0011979243	0.0012105159	0.0012005907
0.006484645	0.0065722447	0.0065047983	0.006610694	0.0067508104	0.006526749	0.006417777	0.006663963	0.0064835865	0.00643982	0.0067285458	0.0064618494	0.0064620133	0.0064846454	0.006552071	0.006462379	0.0064849323	0.0065513668	0.0065739607	0.006707499	0.006640499	0.00648275	0.006642175	0.0064838827	0.006640052	0.0065276157	0.0063961297	0.0065069143	0.0064847115	0.0063961297	0.0065506245	0.0064847935	0.67971253	0.00646229	0.0065512084	0.006682099	0.0064634355	0.0066185296	0.0064397017	0.0065729506	0.0065648975	0.0065057618	0.006730224	0.0064848294	0.006549236	0.0065720202	0.006527079	0.0064401766	0.0065078707	0.006454512
0.019845918	0.020114012	0.019907597	0.020231683	0.020660503	0.019974776	0.019641273	0.02039471	0.019842679	0.019708732	0.020592364	0.019776152	0.019776655	0.01984592	0.020052271	0.019777775	0.019846797	0.020050116	0.020119265	0.02052795	0.0203229	0.01984012	0.02032803	0.019843584	0.020321533	0.019977426	0.019575022	0.019914072	0.01984612	0.019575022	0.020047845	0.019846372	0.019776946	0.019777501	0.020049632	0.020450216	0.019781008	0.020255664	0.01970837	0.020116173	0.020091526	0.019910544	0.0205975	0.019846482	0.020043595	0.020113325	0.019975785	0.019709824	0.019917	0.019753696
0.019845918	0.020114012	0.019907597	0.020231683	0.020660503	0.019974776	0.019641273	0.02039471	0.019842679	0.019708732	0.020592364	0.019776152	0.019776655	0.01984592	0.020052271	0.019777775	0.019846797	0.020050116	0.020119265	0.02052795	0.0203229	0.01984012	0.02032803	0.019843584	0.020321533	0.019977426	0.019575022	0.019914072	0.01984612	0.019575022	0.020047845	0.019846372	0.019776946	0.019777501	0.020049632	0.020450216	0.019781008	0.020255664	0.01970837	0.020116173	0.020091526	0.019910544	0.0205975	0.019846482	0.020043595	0.020113325	0.019975785	0.019709824	0.019917	0.019753696
0.019845918	0.020114012	0.019907597	0.020231683	0.020660503	0.019974776	0.019641273	0.02039471	0.019842679	0.019708732	0.020592364	0.019776152	0.019776655	0.01984592	0.020052271	0.019777775	0.019846797	0.020050116	0.020119265	0.02052795	0.0203229	0.01984012	0.02032803	0.019843584	0.020321533	0.019977426	0.019575022	0.019914072	0.01984612	0.019575022	0.020047845	0.019846372	0.019776946	0.019777501	0.020049632	0.020450216	0.019781008	0.020255664	0.01970837	0.020116173	0.020091526	0.019910544	0.0205975	0.019846482	0.020043595	0.020113325	0.019975785	0.019709824	0.019917	0.019753696
0.0032263899	0.0032699746	0.0032364172	0.0032891047	0.0033588186	0.0032473386	0.0031931202	0.0033156085	0.0032258634	0.0032040875	0.003347741	0.84064305	0.00321513	0.0032263903	0.0032599373	0.0032153118	0.0032265328	0.003259587	0.0032708284	0.0033372692	0.0033039341	0.0032254471	0.003304768	0.0032260106	0.0033037115	0.0032477698	0.00318235	0.0032374698	0.003226423	0.00318235	0.0032592176	0.003226464	0.003215177	0.0032152673	0.0032595082	0.0033246318	0.0032158373	0.0032930034	0.0032040288	0.0032703257	0.003266319	0.0032368964	0.0033485761	0.0032264816	0.0032585266	0.0032698628	0.0032475027	0.003204265	0.003237946	0.0032113974
0.0064846464	0.006572246	0.0065048	0.0066106953	0.006750812	0.0065267505	0.0064177783	0.0066639646	0.0064835884	0.0064398213	0.006728547	0.006461851	0.006462015	0.0064846473	0.0065520727	0.0064623808	0.0064849337	0.0065513686	0.0065739625	0.0067075	0.0066405004	0.0064827516	0.006642177	0.006483884	0.0066400534	0.006527617	0.0063961316	0.0065069157	0.006484713	0.0063961316	0.006550626	0.3146547	0.0064621097	0.006462292	0.00655121	0.0066821007	0.0064634373	0.006618531	0.0064397035	0.006572952	0.006564899	0.006505763	0.37181064	0.0064848308	0.0065492373	0.0065720216	0.00652708	0.006440178	0.0065078726	0.0064545134
0.001932039	0.0019581385	0.0019380436	0.001969594	0.90465933	0.0019445835	0.0019121163	0.0019854652	0.0019317237	0.0019186838	0.002004707	0.0019252473	0.0019252962	0.0019320392	0.001952128	0.0019254051	0.0019321246	0.0019519182	0.0019586498	0.0019984362	0.0019784742	0.0019314744	0.0019789736	0.0019318119	0.001978341	0.0019448417	0.0019056668	0.0019386739	0.0019320588	0.0019056668	0.001951697	0.0019320833	0.0019253244	0.0019253786	0.001951871	0.0019908685	0.0019257199	0.0019719286	0.0019186486	0.0019583488	0.0019559495	0.0019383305	0.0020052071	0.001932094	0.0019512832	0.0019580717	0.0019446817	0.00191879	0.001938959	0.0019230612
0.019845918	0.020114012	0.019907597	0.020231683	0.020660503	0.019974776	0.019641273	0.02039471	0.019842679	0.019708732	0.020592364	0.019776152	0.019776655	0.01984592	0.020052271	0.019777775	0.019846797	0.020050116	0.020119265	0.02052795	0.0203229	0.01984012	0.02032803	0.019843584	0.020321533	0.019977426	0.019575022	0.019914072	0.01984612	0.019575022	0.020047845	0.019846372	0.019776946	0.019777501	0.020049632	0.020450216	0.019781008	0.020255664	0.01970837	0.020116173	0.020091526	0.019910544	0.0205975	0.019846482	0.020043595	0.020113325	0.019975785	0.019709824	0.019917	0.019753696
0.0032263899	0.0032699746	0.0032364172	0.0032891047	0.0033588186	0.0032473386	0.0031931202	0.0033156085	0.0032258634	0.0032040875	0.003347741	0.003215048	0.00321513	0.0032263903	0.0032599373	0.0032153118	0.0032265328	0.003259587	0.0032708284	0.0033372692	0.0033039341	0.0032254471	0.003304768	0.0032260106	0.0033037115	0.42013943	0.00318235	0.0032374698	0.003226423	0.00318235	0.42379558	0.003226464	0.003215177	0.0032152673	0.0032595082	0.0033246318	0.0032158373	0.0032930034	0.0032040288	0.0032703257	0.003266319	0.0032368964	0.0033485761	0.0032264816	0.0032585266	0.0032698628	0.0032475027	0.003204265	0.003237946	0.0032113974
0.92052233	0.0016309825	0.001614245	0.0016405241	0.0016752958	0.0016196923	0.0015926495	0.0016537436	0.0016089809	0.0015981197	0.0016697706	0.0016035866	0.0016036273	0.0016092438	0.0016259763	0.001603718	0.0016093149	0.0016258016	0.0016314085	0.0016645475	0.0016479207	0.0016087734	0.0016483366	0.0016090544	0.0016478098	0.0016199073	0.0015872775	0.00161477	0.0016092601	0.0015872775	0.0016256173	0.0016092805	0.0016036509	0.001603696	0.0016257621	0.0016582442	0.0016039803	0.0016424687	0.0015980904	0.0016311578	0.0016291592	0.001614484	0.0016701871	0.0016092894	0.0016252726	0.0016309269	0.0016197741	0.0015982082	0.0016150074	0.0016017657
0.0021474084	0.0021764173	0.0021540823	0.0021891498	0.00223555	0.0021613515	0.002125265	0.0022067903	0.002147058	0.0021325646	0.002228177	0.0021398596	0.002139914	0.0021474087	0.002169737	0.0021400352	0.8939434	0.0021695036	0.0021769856	0.0022212071	0.00219902	0.002146781	0.002199575	0.002147156	0.002198872	0.0021616383	0.0021180965	0.0021547829	0.0021474306	0.0021180965	0.0021692577	0.0021474578	0.0021399453	0.0021400056	0.0021694512	0.002212796	0.0021403849	0.0021917447	0.0021325254	0.0021766513	0.0021739842	0.0021544013	0.0022287327	0.0021474697	0.002168798	0.002176343	0.0021614607	0.0021326826	0.0021550998	0.0021374298
0.0017559298	0.0017796503	0.0017613871	0.0017900617	0.0018280027	0.0017673309	0.0017378231	0.001804486	0.0017556432	0.0017437919	0.001821974	0.0017497571	0.0017498016	0.00175593	0.0017741877	0.47794527	0.0017560076	0.001773997	0.001780115	0.0018162747	0.0017981324	0.0017554167	0.0017985862	0.0017557234	0.0017980114	0.0017675655	0.0017319615	0.0017619599	0.0017559478	0.0017319615	0.0017737959	0.0017559701	0.0017498273	0.0017498765	0.001773954	0.0018093969	0.0017501867	0.0017921835	0.00174376	0.0017798415	0.0017776608	0.4370881	0.0018224284	0.0017559797	0.0017734199	0.0017795895	0.0017674202	0.0017438885	0.001762219	0.0017477704
0.9205225	0.0016309795	0.0016142419	0.0016405211	0.0016752926	0.0016196892	0.0015926465	0.0016537404	0.0016089779	0.0015981166	0.0016697673	0.0016035836	0.0016036243	0.0016092408	0.0016259731	0.001603715	0.0016093118	0.0016257984	0.0016314053	0.0016645443	0.0016479176	0.0016087703	0.0016483335	0.0016090514	0.0016478066	0.0016199042	0.0015872745	0.0016147669	0.0016092571	0.0015872745	0.0016256141	0.0016092774	0.0016036478	0.0016036929	0.0016257591	0.001658241	0.0016039772	0.0016424656	0.0015980874	0.0016311547	0.0016291561	0.0016144809	0.001670184	0.0016092863	0.0016252695	0.0016309237	0.001619771	0.0015982052	0.0016150044	0.0016017627
0.003226401	0.0032699858	0.0032364284	0.003289116	0.0033588302	0.0032473498	0.0031931312	0.00331562	0.0032258744	0.0032040984	0.0033477526	0.0032150592	0.003215141	0.0032264013	0.0032599485	0.0032153227	0.003226544	0.0032595983	0.0032708396	0.0033372806	0.0033039453	0.0032254583	0.0033047793	0.0032260218	0.003303723	0.003247781	0.003182361	0.003237481	0.003226434	0.003182361	0.0032592288	0.003226475	0.003215188	0.0032152785	0.0032595193	0.0033246432	0.0032158485	0.0032930146	0.0032040398	0.0032703371	0.00326633	0.0032369075	0.0033485878	0.0032264928	0.0032585377	0.003269874	0.003247514	0.003204276	0.8406654	0.0032114084
0.0064846454	0.006572245	0.0065047992	0.0066106943	0.006750811	0.0065267496	0.0064177774	0.0066639637	0.006483587	0.0064398204	0.006728546	0.00646185	0.006462014	0.0064846464	0.006552072	0.00646238	0.0064849327	0.006551367	0.006573961	0.0067074993	0.0066404995	0.0064827506	0.0066421754	0.006483883	0.0066400524	0.006527616	0.0063961307	0.0065069147	0.006484712	0.0063961307	0.006550625	0.006484794	0.67971253	0.0064622904	0.006551209	0.0066820993	0.006463436	0.00661853	0.006439702	0.006572951	0.006564898	0.006505762	0.0067302245	0.00648483	0.0065492364	0.0065720207	0.0065270793	0.006440177	0.006507871	0.0064545125
0.0010154474	0.0010291649	0.0010186033	0.0010351858	0.0010571269	0.0010220406	0.0010049765	0.0010435274	0.0010152817	0.0010084282	0.0010536405	0.0010118778	0.0010119035	0.23146188	0.0010260058	0.0010119608	0.0010154924	0.0010258956	0.0010294337	0.0010503447	0.001039853	0.0010151507	0.0010401155	0.0010153281	0.001039783	0.0010221764	0.0010015867	0.0010189347	0.0010154579	0.0010015867	0.0010257794	0.0010154707	0.0010119183	0.0010119468	0.0010258708	0.0010463672	0.0010121262	0.0010364128	0.0010084097	0.0010292755	0.0010280143	0.0010187542	0.71944094	0.0010154763	0.0010255618	0.0010291297	0.0010220923	0.001008484	0.0010190845	0.0010107289
