topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59
0.0027135839	0.0027135552	0.0026950203	0.0026951844	0.0028141704	0.0026951644	0.0027043612	0.0028047857	0.0026860053	0.0026770718	0.0027769834	0.0026951216	0.002686393	0.002712962	0.0027497897	0.0026950613	0.0027041105	0.0027134903	0.0027496237	0.3039695	0.0027229376	0.002713408	0.0027764218	0.0026952473	0.0027681077	0.0027043282	0.0026770718	0.0027134505	0.002704272	0.0026951092	0.002750194	0.0027222047	0.0026953355	0.002686082	0.0027587733	0.0027476212	0.0027133208	0.002741094	0.0026950561	0.0027681307	0.0026951535	0.0027133506	0.002814423	0.002722415	0.0027224324	0.0027131836	0.3030863	0.002686174	0.002695345	0.0027304436	0.0027315442	0.23771845	0.002813191	0.0026770718	0.0027405627	0.002704057	0.002722735	0.0027773755	0.0027042849	0.002731426
0.0014774577	0.001477442	0.0014673505	0.0014674397	0.0015322238	0.0014674289	0.0014724362	0.0015271142	0.0014624421	0.0014575782	0.0015119767	0.0014674056	0.0014626532	0.16048652	0.0014971705	0.0014673728	0.0014722998	0.0014774067	0.0014970803	0.0014875514	0.0014825505	0.0014773619	0.0015116709	0.001467474	0.62082964	0.0014724182	0.0014575782	0.001477385	0.0014723877	0.0014673988	0.0014973907	0.0014821514	0.001467522	0.0014624838	0.0015020618	0.00149599	0.0014773144	0.001492436	0.00146737	0.0015071568	0.0014674229	0.0014773307	0.0015323613	0.0014822659	0.0014822754	0.0014772398	0.001467618	0.0014625338	0.0014675274	0.0014866373	0.0014872365	0.13419755	0.0015316905	0.0014575782	0.0014921468	0.0014722706	0.0014824403	0.0015121902	0.0014723947	0.0014871721
0.0018066484	0.0018066294	0.0017942892	0.0017943984	0.001873617	0.0017943851	0.0018005081	0.0018673688	0.0017882872	0.0017823395	0.8931008	0.0017943567	0.0017885454	0.0018062345	0.0018307535	0.0017943165	0.0018003413	0.0018065862	0.0018306432	0.0018189911	0.0018128761	0.0018065313	0.0018484847	0.0017944403	0.0018429493	0.0018004861	0.0017823395	0.0018065596	0.0018004489	0.0017943485	0.0018310227	0.001812388	0.0017944991	0.0017883383	0.0018367346	0.0018293099	0.0018064732	0.0018249642	0.0017943131	0.0018429647	0.0017943779	0.0018064932	0.001873785	0.001812528	0.0018125396	0.001806382	0.0017946166	0.0017883995	0.0017945055	0.0018178733	0.001818606	0.0017883736	0.0018729648	0.0017823395	0.0018246104	0.0018003057	0.0018127412	0.0018491197	0.0018004574	0.0018185274
0.0010150606	0.0010150499	0.0010081166	0.001008178	0.0010526867	0.0010081705	0.0010116107	0.0010491762	0.0010047444	0.0010014027	0.0010387764	0.0010081546	0.0010048895	0.001014828	0.001028604	0.001008132	0.001011517	0.0010150257	0.0010285419	0.0010219953	0.0010185596	0.0010149949	0.0010385662	0.0010082015	0.0010354562	0.0010115984	0.0010014027	0.0010150108	0.0010115774	0.0010081499	0.0010287552	0.0010182854	0.9399084	0.0010047731	0.0010319644	0.0010277929	0.0010149622	0.0010253513	0.0010081301	0.0010354648	0.0010081665	0.0010149734	0.0010527811	0.0010183641	0.0010183706	0.001014911	0.0010083006	0.0010048075	0.0010082382	0.0010213673	0.001021779	0.001004793	0.0010523204	0.0010014027	0.0010251525	0.001011497	0.0010184838	0.001038923	0.0010115822	0.0010217348
0.005448923	0.0054488657	0.0054116473	0.0054119765	0.005650903	0.0054119364	0.005430404	0.0056320583	0.6774049	0.0053756065	0.005576231	0.0054118508	0.0053943237	0.0054476745	0.0055216253	0.0054117297	0.0054299007	0.0054487353	0.0055212923	0.0054861493	0.005467706	0.00544857	0.005575103	0.005412103	0.0055584083	0.0054303375	0.0053756065	0.005448655	0.005430225	0.005411826	0.005522437	0.005466234	0.00541228	0.005393699	0.005539664	0.005517271	0.005448395	0.0055041644	0.0054117194	0.0055584544	0.0054119145	0.005448455	0.0056514097	0.0054666563	0.005466691	0.0054481197	0.0054126345	0.0053938837	0.0054122997	0.005482778	0.005484988	0.0053938054	0.0056489357	0.0053756065	0.005503097	0.005429793	0.005467299	0.005577018	0.0054302504	0.0054847505
0.016613146	0.016612971	0.016499497	0.016500501	0.017228961	0.01650038	0.016556684	0.017171506	0.016444305	0.016389614	0.017001294	0.016500117	0.01644668	0.01660934	0.016834807	0.016499748	0.01655515	0.016612574	0.016833792	0.016726645	0.016670413	0.016612072	0.016997855	0.016500887	0.016946955	0.01655648	0.016389614	0.01661233	0.016556138	0.01650004	0.016837282	0.016665926	0.016501427	0.016444774	0.016889807	0.016821532	0.016611537	0.01678157	0.016499717	0.016947096	0.016500313	0.01661172	0.017230507	0.016667213	0.01666732	0.016610697	0.016502507	0.016445339	0.016501486	0.016716367	0.016723104	0.0164451	0.017222963	0.016389614	0.016778316	0.016554821	0.016669173	0.017003695	0.016556216	0.016722381
0.016613146	0.016612971	0.016499497	0.016500501	0.017228961	0.01650038	0.016556684	0.017171506	0.016444305	0.016389614	0.017001294	0.016500117	0.01644668	0.01660934	0.016834807	0.016499748	0.01655515	0.016612574	0.016833792	0.016726645	0.016670413	0.016612072	0.016997855	0.016500887	0.016946955	0.01655648	0.016389614	0.01661233	0.016556138	0.01650004	0.016837282	0.016665926	0.016501427	0.016444774	0.016889807	0.016821532	0.016611537	0.01678157	0.016499717	0.016947096	0.016500313	0.01661172	0.017230507	0.016667213	0.01666732	0.016610697	0.016502507	0.016445339	0.016501486	0.016716367	0.016723104	0.0164451	0.017222963	0.016389614	0.016778316	0.016554821	0.016669173	0.017003695	0.016556216	0.016722381
0.016613146	0.016612971	0.016499497	0.016500501	0.017228961	0.01650038	0.016556684	0.017171506	0.016444305	0.016389614	0.017001294	0.016500117	0.01644668	0.01660934	0.016834807	0.016499748	0.01655515	0.016612574	0.016833792	0.016726645	0.016670413	0.016612072	0.016997855	0.016500887	0.016946955	0.01655648	0.016389614	0.01661233	0.016556138	0.01650004	0.016837282	0.016665926	0.016501427	0.016444774	0.016889807	0.016821532	0.016611537	0.01678157	0.016499717	0.016947096	0.016500313	0.01661172	0.017230507	0.016667213	0.01666732	0.016610697	0.016502507	0.016445339	0.016501486	0.016716367	0.016723104	0.0164451	0.017222963	0.016389614	0.016778316	0.016554821	0.016669173	0.017003695	0.016556216	0.016722381
0.0027135855	0.0027135569	0.33735842	0.002695186	0.0028141723	0.002695166	0.0027043629	0.0028047876	0.002686007	0.0026770737	0.0027769853	0.0026951234	0.0026863948	0.0027129638	0.0027497914	0.002695063	0.0027041123	0.0027134921	0.0027496256	0.0027321244	0.0027229395	0.0027134097	0.0027764237	0.002695249	0.0027681096	0.0027043298	0.0026770737	0.002713452	0.0027042737	0.0026951109	0.0027501956	0.0027222063	0.5046923	0.0026860838	0.002758775	0.002747623	0.0027133224	0.0027410958	0.002695058	0.0027681326	0.002695155	0.0027133524	0.0028144247	0.0027224168	0.0027224342	0.0027131853	0.0026955137	0.0026861758	0.002695347	0.0027304452	0.0027315458	0.0026861366	0.0028131928	0.0026770737	0.0027405643	0.0027040588	0.002722737	0.0027773774	0.0027042865	0.0027314278
0.0054489216	0.005448864	0.005411646	0.005411975	0.0056509012	0.005411935	0.0054304022	0.0056320564	0.0053935433	0.005375605	0.005576229	0.0054118494	0.005394322	0.0054476727	0.0055216234	0.34141764	0.005429899	0.0054487335	0.0055212905	0.0054861475	0.005467704	0.0054485686	0.0055751014	0.0054121013	0.0055584065	0.0054303356	0.005375605	0.0054486534	0.005430223	0.005411824	0.005522435	0.005466232	0.0054122787	0.0053936974	0.0055396627	0.005517269	0.005448393	0.0055041625	0.0054117176	0.0055584526	0.005411913	0.005448453	0.005651408	0.0054666544	0.34147227	0.005448118	0.0054126326	0.005393882	0.005412298	0.005482776	0.005484986	0.0053938036	0.0056489343	0.005375605	0.005503095	0.0054297913	0.0054672975	0.005577016	0.005430249	0.0054847486
