topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.0445114	0.04351506	0.5779332	0.044920463	0.046820458	0.052828323	0.048335142	0.04517963	0.047046173	0.048910152
0.029056435	0.028405825	0.7244853	0.029322652	0.030561313	0.034486532	0.031551495	0.029492445	0.03071238	0.03192562
0.017148105	0.016764028	0.017732214	0.017308146	0.018036136	0.020354599	0.018620878	0.83706903	0.018124714	0.018842164
0.017148005	0.016764065	0.36601788	0.017304877	0.018036343	0.020351807	0.018619288	0.01740481	0.01812487	0.4902281
0.044512503	0.04351532	0.046022363	0.04492172	0.046819065	0.052834358	0.048330188	0.5770864	0.047046088	0.048911985
0.021567577	0.021085389	0.022302331	0.02176554	0.022684872	0.7987851	0.023420012	0.02189146	0.022796886	0.023700846
0.029057413	0.028406542	0.03004338	0.029323664	0.030563155	0.0344933	0.7259709	0.029493539	0.030713372	0.03193475
0.021567559	0.02108441	0.022299254	0.021765666	0.022685202	0.34993112	0.023417275	0.47075576	0.022795118	0.023698647
0.012163411	0.011890702	0.012577039	0.012274832	0.012793814	0.014438182	0.013207796	0.012345981	0.012856251	0.885452
0.09509562	0.09296701	0.098321766	0.09596789	0.100022614	0.112856634	0.103251256	0.096522294	0.10050923	0.10448571
0.6330543	0.011890605	0.012575759	0.012274639	0.26399648	0.014436255	0.013206081	0.012345527	0.012855815	0.013364498
0.008470016	0.008280512	0.008757367	0.00854764	0.008908783	0.0100545725	0.27342892	0.655293	0.008952486	0.0093067
0.0044323527	0.00433325	0.004582741	0.004472988	0.004662128	0.0052616857	0.004812983	0.20600112	0.7565702	0.004870461
0.012162983	0.011890776	0.012575868	0.01227476	0.012793716	0.014443164	0.013207794	0.01234569	0.012856336	0.8854489
0.021567086	0.021084663	0.022299366	0.02176537	0.79587716	0.02559801	0.023420028	0.021891098	0.022799382	0.023697836
0.044512503	0.04351532	0.046022363	0.044922434	0.046819065	0.052833926	0.048330188	0.57708687	0.047046088	0.048911277
0.029056082	0.028406244	0.7244819	0.029323025	0.030561857	0.034486186	0.031552963	0.029494861	0.0307112	0.031925697
0.006496965	0.0063517927	0.0067178234	0.006556745	0.006835078	0.007712276	0.62468344	0.0065946	0.006867089	0.32118422
0.012163123	0.011891091	0.012576614	0.0122748315	0.0127933975	0.014438346	0.0132070575	0.88443244	0.012856134	0.013366928
0.008470032	0.008280018	0.008757162	0.008547538	0.008909809	0.9209827	0.009196128	0.008597265	0.008952325	0.009306973
0.021567356	0.2918015	0.52477956	0.021765117	0.022684816	0.025598392	0.023418391	0.02189088	0.022795966	0.023697972
0.0076917056	0.92663324	0.00795251	0.0077623245	0.008090214	0.009130687	0.008351281	0.0078068133	0.00812976	0.008451477
0.010619265	0.010381536	0.01097964	0.010716737	0.20119856	0.012603944	0.70982885	0.010778682	0.011224392	0.011668389
0.0290569	0.02840635	0.030041775	0.029323276	0.030563053	0.03448988	0.031550087	0.02949303	0.7251444	0.031931274
0.012162931	0.011890685	0.88466424	0.012275699	0.012793095	0.0144410515	0.01320614	0.012345595	0.012855817	0.013364747
0.0070441305	0.20737341	0.007283261	0.007108678	0.0074092885	0.36977673	0.37166923	0.007149803	0.007445319	0.007740132
0.004957674	0.0048466255	0.005125808	0.0050030896	0.005214364	0.005884601	0.005382898	0.0050317734	0.9531057	0.0054474953
0.017148383	0.016764263	0.8373913	0.01730653	0.018036388	0.02035667	0.018619178	0.017405523	0.01812654	0.018845247
0.0070438185	0.006886281	0.0072828163	0.0071084346	0.007409124	0.008360594	0.007648542	0.43117413	0.007444951	0.50964135
0.009423718	0.009212611	0.009743579	0.009510144	0.91081035	0.0111852875	0.010232584	0.009565223	0.009960301	0.010356256
0.044511434	0.04351511	0.046021376	0.04492022	0.046817586	0.052828826	0.5802524	0.04517969	0.04704571	0.048907608
0.0445125	0.043515317	0.046022363	0.044921596	0.046819057	0.052833885	0.048330184	0.5770877	0.047046088	0.04891126
0.40259987	0.021084815	0.022299305	0.41392133	0.022685613	0.02560133	0.02341908	0.021891812	0.022795917	0.023700941
0.0049574384	0.004846377	0.0051255976	0.0050031506	0.005214312	0.005884251	0.0053827926	0.0050318744	0.9531068	0.005447417
0.017147873	0.016763924	0.8374018	0.017305002	0.018036023	0.02035229	0.018621754	0.017405182	0.018125031	0.018841138
0.0094235595	0.009212516	0.910642	0.009510044	0.009911986	0.011186686	0.010232472	0.009564984	0.009960673	0.010355072
0.0076914374	0.0075191837	0.007952379	0.0077618794	0.0080900695	0.48129648	0.4553002	0.007806963	0.008129734	0.008451611
0.01061926	0.8987076	0.010980273	0.010717288	0.011170127	0.012604001	0.011530632	0.010778734	0.011223812	0.011668291
0.0052696797	0.005151682	0.0054484876	0.2673506	0.44166827	0.0062559983	0.0057216967	0.0053488663	0.0055696294	0.25221506
0.4790134	0.021084962	0.33804584	0.021765737	0.022686083	0.025598193	0.023420293	0.021891076	0.022795381	0.023699008
0.010619341	0.5662862	0.010979851	0.010716834	0.01117026	0.18562193	0.011530972	0.0107787745	0.0112241795	0.17107166
0.010619873	0.010382116	0.010981008	0.01071711	0.011170156	0.012606807	0.011531143	0.010779256	0.011225504	0.89998704
0.0064973114	0.14666039	0.0067173075	0.00655662	0.0068337545	0.007713036	0.0070546744	0.0065948926	0.0068674553	0.79850453
0.04451274	0.043515522	0.57793117	0.04492029	0.046818204	0.05283224	0.04833115	0.045180004	0.04704929	0.048909385
0.006028831	0.005893974	0.0062336694	0.006084136	0.006341213	0.007155524	0.0065462287	0.006119252	0.0063722786	0.94322485
0.014231292	0.01391319	0.01471415	0.0143618835	0.014968842	0.8672351	0.015452121	0.014444937	0.015041404	0.015637012
0.01714751	0.016764274	0.017730363	0.017305298	0.8377044	0.020352257	0.018621795	0.017408304	0.0181242	0.018841559
0.0056239315	0.005497792	0.0058148988	0.0056754597	0.94677126	0.006676831	0.0061067496	0.005708312	0.005944459	0.0061802706
0.017147796	0.01676392	0.017729996	0.0173052	0.018036658	0.020367749	0.018619392	0.017405195	0.018124258	0.8384999
0.0064972085	0.006351559	0.0067176525	0.9382297	0.0068343612	0.0077128327	0.007055377	0.006594732	0.0068675503	0.007138996
0.029056853	0.028406775	0.030042138	0.029323349	0.7249947	0.03449086	0.031549722	0.02949306	0.030711632	0.03193087
0.44785613	0.016763914	0.017731667	0.017305333	0.01803678	0.020354444	0.018620478	0.017405204	0.018125793	0.40780023
0.007691445	0.007519231	0.007952707	0.0077621355	0.008090003	0.36381042	0.5727862	0.007807055	0.008129388	0.008451405
