topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109
0.0044985367	0.004513166	0.0044985367	0.004527792	0.004527872	0.004629771	0.004542605	0.004513152	0.0045423103	0.004571673	0.0045131664	0.0045130695	0.0045276117	0.0045129242	0.0045131356	0.0045286138	0.0045130956	0.0045130434	0.0044985367	0.0045277253	0.0044985367	0.0045276457	0.004513212	0.0045130905	0.004542457	0.00454228	0.0045422027	0.004542023	0.0045131906	0.0044985367	0.0045275055	0.0045131356	0.0044985367	0.0045426195	0.0045567895	0.004527826	0.0044985367	0.0045423745	0.0045129852	0.0045130956	0.0045131175	0.0045130784	0.0045423214	0.0045133256	0.0045277346	0.004556853	0.0045277122	0.0045859055	0.004556669	0.004542523	0.004527574	0.0045278445	0.0045423587	0.0044985367	0.0044985367	0.0045421375	0.0045863055	0.004527618	0.0045862477	0.00452767	0.004571558	0.004513179	0.0044985367	0.0045130956	0.0045714355	0.0044985367	0.0045423843	0.0045277304	0.0045277113	0.0045132656	0.0045423037	0.0045276796	0.0045275907	0.0045133037	0.0045131906	0.0045132213	0.0045422567	0.0045131664	0.0045276503	0.0045130956	0.0045276848	0.004513152	0.0044985367	0.0045130695	0.0044985367	0.004556877	0.0045276848	0.0045130956	0.004513212	0.0044985367	0.0045131664	0.0044985367	0.0044985367	0.5066903	0.0044985367	0.0044985367	0.0045278682	0.004542314	0.004527631	0.0044985367	0.0045420458	0.004600551	0.0045276685	0.0045130695	0.004505127	0.0045130374	0.004527717	0.0044985367	0.004527676	0.0045423303
0.0029946782	0.0030044168	0.0029946782	0.0030141533	0.0030142067	0.003082041	0.0030240144	0.0030044075	0.0030238184	0.0030433647	0.003004417	0.0030043528	0.0030140332	0.003004256	0.0030043966	0.0030147005	0.0030043698	0.0030043353	0.0029946782	0.0030141089	0.0029946782	0.003014056	0.0030044473	0.0030043663	0.0030239157	0.003023798	0.0030237467	0.0030236267	0.0030044334	0.0029946782	0.0030139624	0.0030043966	0.0029946782	0.0030240242	0.003033457	0.0030141757	0.0029946782	0.003023861	0.0030042964	0.0030043698	0.0030043845	0.0030043586	0.0030238258	0.003004523	0.0030141152	0.003033499	0.0030141	0.0030528395	0.0030333768	0.00302396	0.0030140083	0.0030141883	0.0030238503	0.0029946782	0.0029946782	0.0030237031	0.0030531057	0.0030140376	0.0030530675	0.003014072	0.0030432886	0.0030044257	0.0029946782	0.0030043698	0.0030432069	0.0029946782	0.0030238675	0.0030141124	0.0030140996	0.0030044832	0.003023814	0.0030140786	0.0030140195	0.0030045088	0.0030044334	0.0030044536	0.0030237825	0.003004417	0.003014059	0.0030043698	0.003014082	0.0030044075	0.0029946782	0.0030043528	0.0029946782	0.0030335153	0.003014082	0.0030043698	0.0030044473	0.0029946782	0.003004417	0.0029946782	0.0029946782	0.003006738	0.0029946782	0.0029946782	0.003014204	0.0030238207	0.0030140462	0.0029946782	0.003023642	0.003062589	0.0030140711	0.0030043528	0.0029990654	0.0030043311	0.0030141033	0.0029946782	0.67161083	0.0030238314
0.0017947296	0.0018005661	0.0017947296	0.0018064012	0.0018064331	0.0018470867	0.001812311	0.0018005604	0.0018121934	0.0018239078	0.0018005662	0.0018005276	0.0018063292	0.0018004696	0.0018005539	0.001806729	0.0018005379	0.0018005172	0.0017947296	0.0018063745	0.0017947296	0.0018063429	0.0018005844	0.0018005358	0.0018122519	0.0018121813	0.0018121506	0.0018120788	0.001800576	0.0017947296	0.0018062869	0.0018005539	0.0017947296	0.0018123168	0.0018179701	0.0018064147	0.0017947296	0.001812219	0.0018004938	0.0018005379	0.0018005467	0.0018005312	0.001812198	0.0018006297	0.0018063782	0.0018179952	0.40250048	0.0018295861	0.0018179219	0.0018122784	0.0018063142	0.0018064221	0.0018122126	0.0017947296	0.0017947296	0.0018121244	0.0018297456	0.0018063318	0.0018297227	0.0018063525	0.0018238621	0.0018005712	0.0017947296	0.0018005379	0.0018238132	0.0017947296	0.001812223	0.0018063766	0.0018063689	0.0018006058	0.0018121909	0.0018063565	0.001806321	0.001800621	0.001800576	0.0018005881	0.001812172	0.0018005662	0.0018063447	0.0018005379	0.0018063585	0.0018005604	0.0017947296	0.40249437	0.0017947296	0.0018180049	0.0018063585	0.0018005379	0.0018005844	0.0017947296	0.0018005662	0.0017947296	0.0017947296	0.001801957	0.0017947296	0.0017947296	0.0018064316	0.0018121949	0.001806337	0.0017947296	0.0018120878	0.0018354291	0.0018063519	0.0018005276	0.001797359	0.0018005148	0.0018063711	0.0017947296	0.001806355	0.0018122013
0.0017947301	0.0018005666	0.0017947301	0.0018064018	0.0018064337	0.0018470873	0.0018123115	0.001800561	0.001812194	0.0018239083	0.0018005668	0.0018005281	0.0018063297	0.00180047	0.0018005545	0.0018067296	0.0018005384	0.0018005177	0.0017947301	0.001806375	0.0017947301	0.0018063433	0.0018005848	0.0018005363	0.0018122523	0.0018121819	0.001812151	0.0018120792	0.0018005765	0.0017947301	0.0018062873	0.0018005545	0.0017947301	0.0018123173	0.0018179705	0.0018064152	0.0017947301	0.0018122195	0.0018004944	0.0018005384	0.0018005471	0.0018005316	0.0018121984	0.0018006302	0.0018063788	0.0018179958	0.0018063699	0.0018295866	0.0018179225	0.0018122789	0.0018063148	0.0018064226	0.0018122132	0.0017947301	0.0017947301	0.001812125	0.0018297462	0.0018063323	0.0018297231	0.001806353	0.0018238627	0.0018005718	0.0017947301	0.0018005384	0.0018238138	0.0017947301	0.0018122235	0.0018063771	0.0018063694	0.0018006063	0.0018121913	0.001806357	0.0018063214	0.0018006216	0.0018005765	0.0018005886	0.0018121725	0.0018005668	0.0018063452	0.53412664	0.001806359	0.001800561	0.0017947301	0.0018005281	0.0017947301	0.0018180055	0.001806359	0.0018005384	0.0018005848	0.0017947301	0.27086237	0.0017947301	0.0017947301	0.0018019576	0.0017947301	0.0017947301	0.0018064321	0.0018121955	0.0018063375	0.0017947301	0.0018120884	0.0018354296	0.0018063525	0.0018005281	0.0017973594	0.0018005152	0.0018063717	0.0017947301	0.0018063554	0.0018122018
0.00449853	0.0045131594	0.00449853	0.0045277853	0.0045278654	0.0046297647	0.0045425985	0.0045131454	0.0045423037	0.004571666	0.00451316	0.004513063	0.004527605	0.0045129177	0.004513129	0.0045286072	0.004513089	0.004513037	0.00449853	0.0045277188	0.00449853	0.004527639	0.0045132055	0.004513084	0.0045424504	0.0045422735	0.004542196	0.0045420164	0.0045131845	0.00449853	0.004527499	0.004513129	0.00449853	0.004542613	0.004556783	0.0045278193	0.00449853	0.004542368	0.0045129787	0.004513089	0.004513111	0.004513072	0.004542315	0.004513319	0.004527728	0.0045568463	0.0045277057	0.004585899	0.0045566624	0.0045425165	0.0045275674	0.004527838	0.004542352	0.00449853	0.00449853	0.004542131	0.004586299	0.0045276117	0.004586241	0.0045276633	0.0045715515	0.0045131724	0.00449853	0.004513089	0.004571429	0.00449853	0.004542378	0.004527724	0.004527705	0.004513259	0.004542297	0.004527673	0.004527584	0.0045132977	0.0045131845	0.004513215	0.00454225	0.00451316	0.004527644	0.004513089	0.0045276782	0.5066875	0.00449853	0.004513063	0.00449853	0.0045568706	0.0045276782	0.004513089	0.0045132055	0.00449853	0.00451316	0.00449853	0.00449853	0.0045166463	0.00449853	0.00449853	0.0045278617	0.0045423075	0.0045276247	0.00449853	0.0045420392	0.0046005445	0.004527662	0.004513063	0.004505121	0.004513031	0.0045277104	0.00449853	0.0045276694	0.0045423238
0.0022443868	0.0022516856	0.0022443868	0.0022589827	0.0022590226	0.54158336	0.0022663733	0.0022516786	0.002266226	0.0022808756	0.0022516858	0.0022516376	0.0022588926	0.002251565	0.0022516705	0.0022593928	0.0022516504	0.0022516246	0.0022443868	0.0022589494	0.0022443868	0.0022589096	0.0022517084	0.0022516479	0.0022662992	0.002266211	0.0022661726	0.0022660827	0.002251698	0.0022443868	0.0022588398	0.0022516705	0.0022443868	0.0022663805	0.0022734501	0.0022589995	0.0022443868	0.0022662582	0.0022515953	0.0022516504	0.0022516614	0.002251642	0.002266232	0.0022517652	0.002258954	0.0022734816	0.002258943	0.0022879764	0.0022733898	0.0022663323	0.002258874	0.0022590088	0.0022662503	0.0022443868	0.0022443868	0.00226614	0.002288176	0.002258896	0.0022881473	0.002258922	0.0022808183	0.002251692	0.0022443868	0.0022516504	0.0022807573	0.0022443868	0.0022662631	0.002258952	0.0022589425	0.0022517354	0.0022662228	0.0022589269	0.0022588824	0.0022517545	0.002251698	0.002251713	0.0022661993	0.0022516858	0.002258912	0.0022516504	0.0022589294	0.0022516786	0.0022443868	0.0022516376	0.0022443868	0.0022734937	0.0022589294	0.0022516504	0.0022517084	0.0022443868	0.0022516858	0.0022443868	0.0022443868	0.002253425	0.0022443868	0.0022443868	0.0022590207	0.0022662282	0.0022589024	0.0022443868	0.002266094	0.0022952834	0.0022589213	0.0022516376	0.002247675	0.0022516216	0.0022589453	0.0022443868	0.21461242	0.002266236
0.0029946803	0.003004419	0.0029946803	0.0030141554	0.0030142087	0.0030820433	0.0030240165	0.0030044096	0.0030238205	0.003043367	0.0030044194	0.003004355	0.0030140353	0.003004258	0.0030043987	0.0030147026	0.003004372	0.0030043374	0.0029946803	0.003014111	0.0029946803	0.003014058	0.0030044494	0.0030043686	0.003023918	0.0030238002	0.0030237488	0.003023629	0.0030044354	0.0029946803	0.0030139647	0.0030043987	0.0029946803	0.0030240263	0.0030334592	0.003014178	0.0029946803	0.003023863	0.0030042985	0.2573672	0.0030043866	0.0030043607	0.003023828	0.003004525	0.0030141172	0.0030335013	0.0030141023	0.0030528416	0.0030333789	0.003023962	0.0030140104	0.0030141904	0.0030238526	0.0029946803	0.0029946803	0.0030237052	0.003053108	0.0030140397	0.0030530696	0.0030140742	0.0030432907	0.0030044278	0.0029946803	0.003004372	0.0030432092	0.0029946803	0.0030238696	0.0030141145	0.0030141016	0.0030044853	0.003023816	0.003014081	0.0030140216	0.003004511	0.0030044354	0.0030044557	0.0030237846	0.0030044194	0.0030140611	0.003004372	0.0030140842	0.0030044096	0.0029946803	0.003004355	0.0029946803	0.0030335174	0.0030140842	0.003004372	0.0030044494	0.0029946803	0.0030044194	0.0029946803	0.0029946803	0.00300674	0.0029946803	0.0029946803	0.0030142062	0.003023823	0.0030140483	0.0029946803	0.0030236442	0.0030625914	0.0030140732	0.003004355	0.0029990678	0.0030043335	0.0030141054	0.0029946803	0.41724774	0.0030238335
0.002244385	0.0022516837	0.002244385	0.0022589806	0.0022590207	0.0023098597	0.0022663712	0.0022516765	0.0022662242	0.0022808735	0.002251684	0.0022516355	0.0022588908	0.002251563	0.0022516684	0.0022593907	0.0022516483	0.0022516225	0.002244385	0.0022589474	0.002244385	0.0022589078	0.0022517066	0.0022516458	0.0022662971	0.002266209	0.0022661705	0.0022660806	0.002251696	0.002244385	0.0022588377	0.0022516684	0.002244385	0.0022663784	0.002273448	0.0022589976	0.002244385	0.0022662561	0.0022515934	0.0022516483	0.0022516593	0.00225164	0.0022662298	0.0022517631	0.002258952	0.0022734795	0.0022589408	0.0022879743	0.0022733877	0.0022663304	0.002258872	0.002259007	0.0022662482	0.002244385	0.002244385	0.0022661379	0.002288174	0.002258894	0.0022881452	0.0022589199	0.0022808164	0.0022516903	0.002244385	0.0022516483	0.0022807552	0.002244385	0.002266261	0.00225895	0.0022589404	0.0022517333	0.002266221	0.0022589248	0.0022588803	0.0022517524	0.002251696	0.0022517112	0.0022661975	0.002251684	0.00225891	0.0022516483	0.0022589273	0.0022516765	0.002244385	0.0022516355	0.002244385	0.0022734916	0.0022589273	0.0022516483	0.0022517066	0.002244385	0.002251684	0.002244385	0.002244385	0.0022534232	0.002244385	0.002244385	0.0022590188	0.002266226	0.0022589006	0.002244385	0.0022660922	0.0022952813	0.0022589192	0.0022516355	0.002247673	0.0022516195	0.75388616	0.002244385	0.002258923	0.002266234
0.0012813144	0.0012854813	0.0012813144	0.0012896472	0.0012896699	0.0013186939	0.0012938663	0.0012854772	0.0012937824	0.0013021457	0.0012854814	0.0012854538	0.0012895957	0.0012854123	0.0012854725	0.0012898812	0.0012854611	0.0012854463	0.0012813144	0.0012896281	0.0012813144	0.0012896055	0.0012854943	0.0012854596	0.0012938242	0.0012937738	0.0012937518	0.0012937005	0.0012854883	0.0012813144	0.0012895655	0.0012854725	0.0012813144	0.0012938705	0.0012979065	0.0012896567	0.0012813144	0.0012938007	0.0012854297	0.0012854611	0.0012854674	0.0012854564	0.0012937856	0.0012855267	0.0012896308	0.0012979244	0.0012896244	0.0013061996	0.0012978722	0.001293843	0.001289585	0.0012896621	0.0012937961	0.0012813144	0.0012813144	0.0012937331	0.0013063134	0.0012895976	0.001306297	0.0012896124	0.001302113	0.001285485	0.0012813144	0.0012854611	0.0013020781	0.0012813144	0.0012938034	0.0012896296	0.0012896241	0.0012855097	0.0012937805	0.0012896152	0.0012895899	0.0012855205	0.0012854883	0.001285497	0.0012937671	0.0012854814	0.0012896068	0.85949004	0.0012896167	0.0012854772	0.0012813144	0.0012854538	0.0012813144	0.0012979314	0.0012896167	0.0012854611	0.0012854943	0.0012813144	0.0012854814	0.0012813144	0.0012813144	0.0012864743	0.0012813144	0.0012813144	0.0012896688	0.0012937835	0.0012896013	0.0012813144	0.001293707	0.0013103711	0.001289612	0.0012854538	0.0012831916	0.0012854446	0.0012896257	0.0012813144	0.0012896141	0.001293788
0.0090363575	0.009065744	0.0090363575	0.009095123	0.009095284	0.009299972	0.009124879	0.009065716	0.009124287	0.009183268	0.0090657445	0.00906555	0.009094761	0.009065258	0.009065683	0.009096774	0.009065602	0.009065498	0.0090363575	0.009094989	0.0090363575	0.00909483	0.009065836	0.009065592	0.009124581	0.009124226	0.009124071	0.009123709	0.009065794	0.0090363575	0.0090945475	0.009065683	0.0090363575	0.009124908	0.009153372	0.009095191	0.0090363575	0.009124416	0.00906538	0.009065602	0.009065646	0.009065568	0.00912431	0.009066064	0.009095008	0.009153498	0.009094963	0.009211858	0.0091531295	0.009124715	0.009094685	0.009095228	0.009124384	0.0090363575	0.0090363575	0.009123939	0.009212662	0.009094774	0.009212545	0.009094878	0.009183038	0.00906577	0.0090363575	0.009065602	0.009182792	0.0090363575	0.0091244355	0.009094999	0.009094961	0.009065944	0.009124274	0.009094898	0.00909472	0.009066021	0.009065794	0.009065854	0.009124179	0.0090657445	0.009094839	0.009065602	0.009094908	0.009065716	0.0090363575	0.00906555	0.0090363575	0.009153548	0.009094908	0.009065602	0.009065836	0.0090363575	0.0090657445	0.0090363575	0.0090363575	0.009072747	0.0090363575	0.0090363575	0.009095277	0.009124295	0.0090948	0.0090363575	0.009123756	0.009241277	0.009094875	0.00906555	0.009049596	0.009065486	0.009094972	0.0090363575	0.00909489	0.0091243265
