topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119
0.00413013	0.0041434956	0.00413013	0.0041700425	0.50609857	0.004237437	0.0041702404	0.004143507	0.00413013	0.0041968036	0.00413013	0.0041434476	0.0041435184	0.004143409	0.004170084	0.00413013	0.0041835303	0.004143561	0.00413013	0.0041434956	0.00413013	0.0041702692	0.0041434956	0.004143426	0.0041700522	0.004143426	0.0041434662	0.0041967966	0.0041434956	0.004170199	0.004143507	0.00413013	0.004183469	0.0041434956	0.0041435077	0.00413013	0.004143574	0.004170286	0.0041435184	0.0041568587	0.00413013	0.00413013	0.00415668	0.0041434662	0.0041567446	0.004156817	0.00413013	0.00413013	0.0041434476	0.004156959	0.0041701254	0.0041567446	0.00413013	0.0041568596	0.00413013	0.0041701635	0.0042102467	0.00413013	0.0041834177	0.004143438	0.0041434257	0.0041434476	0.0041435077	0.0041436343	0.0041568154	0.0041301306	0.0041701826	0.004143426	0.0041435375	0.00413013	0.004156825	0.00413013	0.004183594	0.00413013	0.0041700336	0.0041568237	0.00413013	0.004143482	0.004156928	0.00413013	0.0041425894	0.00413013	0.0041434662	0.00413013	0.0041702935	0.0041701486	0.004156883	0.00413013	0.0041703484	0.0041434476	0.004143528	0.004143447	0.0041434476	0.00413013	0.004156872	0.0041566747	0.004170109	0.0041568307	0.004183511	0.00413013	0.0041433964	0.0041702883	0.004143387	0.0041435184	0.004170016	0.0041701715	0.004156836	0.00413013	0.00413013	0.0041569443	0.0041435077	0.00413013	0.0041702148	0.00418374	0.0041435533	0.0041436506	0.00413013	0.004143528	0.0041434523	0.004143426
0.0027498342	0.0027587328	0.0027498342	0.0027764076	0.0027587235	0.002821279	0.0027765394	0.0027587407	0.0027498342	0.0027942252	0.0027498342	0.002758701	0.0027587481	0.0027586753	0.0027764353	0.0027498342	0.002785388	0.0027587763	0.0027498342	0.0027587328	0.0027498342	0.0027765587	0.0027587328	0.0027586867	0.0027764142	0.0027586867	0.0027587134	0.0027942206	0.0027587328	0.002776512	0.6711612	0.0027498342	0.0027853472	0.0027587328	0.002758741	0.0027498342	0.0027587852	0.00277657	0.0027587481	0.00276763	0.0027498342	0.0027498342	0.002767511	0.0027587134	0.0027675538	0.0027676024	0.0027498342	0.0027498342	0.002758701	0.0027676967	0.0027764628	0.0027675538	0.0027498342	0.0027676304	0.0027498342	0.0027764884	0.0028031757	0.0027498342	0.002785313	0.0027586946	0.0027586864	0.002758701	0.002758741	0.0027588252	0.0027676013	0.0027498344	0.002776501	0.0027586867	0.0027587607	0.0027498342	0.0027676078	0.0027498342	0.0027854305	0.0027498342	0.0027764018	0.0027676069	0.0027498342	0.0027587237	0.0027676763	0.0027498342	0.0027581295	0.0027498342	0.0027587134	0.0027498342	0.0027765748	0.0027764784	0.002767646	0.0027498342	0.0027766116	0.002758701	0.0027587547	0.0027587006	0.002758701	0.0027498342	0.0027676388	0.0027675075	0.002776452	0.0027676115	0.0027853749	0.0027498342	0.0027586669	0.0027765713	0.0027586606	0.0027587481	0.00277639	0.0027764936	0.002767615	0.0027498342	0.0027498342	0.0027676872	0.002758741	0.0027498342	0.0027765227	0.0027855276	0.0027587714	0.0027588361	0.0027498342	0.0027587547	0.0027587041	0.0027586867
0.0016481846	0.0016535182	0.0016481846	0.0016641121	0.0016535126	0.0016910068	0.001664191	0.0016535228	0.0016481846	0.0016747914	0.0016481846	0.0016534991	0.0016535273	0.0016534836	0.0016641287	0.0016481846	0.0016694946	0.0016535443	0.0016481846	0.0016535182	0.0016481846	0.0016642025	0.0016535182	0.0016534906	0.001664116	0.0016534906	0.0016535067	0.0016747887	0.0016535182	0.0016641746	0.0016535228	0.0016481846	0.0016694701	0.0016535182	0.0016535231	0.0016481846	0.2930292	0.0016642093	0.0016535273	0.0016588508	0.0016481846	0.0016481846	0.0016587796	0.0016535067	0.0016588053	0.0016588344	0.0016481846	0.0016481846	0.0016534991	0.001658891	0.0016641452	0.0016588053	0.0016481846	0.0016588513	0.0016481846	0.0016641604	0.0016801562	0.0016481846	0.0016694496	0.0016534952	0.0016534904	0.0016534991	0.0016535231	0.0016535736	0.0016588337	0.0016481847	0.0016641681	0.0016534906	0.001653535	0.0016481846	0.0016588377	0.0016481846	0.0016695202	0.0016481846	0.0016641086	0.5115316	0.0016481846	0.0016535127	0.0016588786	0.0016481846	0.0016531566	0.0016481846	0.0016535067	0.0016481846	0.0016642123	0.0016641545	0.0016588606	0.0016481846	0.0016642343	0.0016534991	0.0016535312	0.001653499	0.0016534991	0.0016481846	0.0016588563	0.0016587776	0.0016641387	0.0016588399	0.0016694868	0.0016481846	0.0016534786	0.0016642102	0.0016534749	0.0016535273	0.0016641015	0.0016641635	0.0016588419	0.0016481846	0.0016481846	0.0016588852	0.0016535231	0.0016481846	0.0016641809	0.0016695784	0.0016535413	0.0016535801	0.0016481846	0.0016535312	0.0016535011	0.0016534906
0.0016481848	0.0016535185	0.0016481848	0.0016641124	0.0016535129	0.0016910072	0.0016641914	0.0016535232	0.0016481848	0.0016747918	0.0016481848	0.0016534994	0.0016535276	0.001653484	0.001664129	0.0016481848	0.0016694949	0.0016535446	0.0016481848	0.0016535185	0.0016481848	0.0016642029	0.0016535185	0.0016534908	0.0016641163	0.0016534908	0.0016535069	0.001674789	0.0016535185	0.001664175	0.0016535232	0.0016481848	0.0016694705	0.0016535185	0.0016535233	0.0016481848	0.0016535498	0.0016642096	0.0016535276	0.0016588512	0.0016481848	0.0016481848	0.0016587799	0.0016535069	0.0016588056	0.0016588347	0.0016481848	0.0016481848	0.0016534994	0.0016588913	0.0016641454	0.0016588056	0.0016481848	0.0016588515	0.0016481848	0.0016641608	0.0016801566	0.0016481848	0.00166945	0.0016534956	0.0016534907	0.0016534994	0.0016535233	0.0016535739	0.001658834	0.0016481851	0.0016641684	0.0016534908	0.0016535353	0.0016481848	0.36902574	0.0016481848	0.0016695205	0.0016481848	0.0016641088	0.0016588373	0.0016481848	0.001653513	0.001658879	0.0016481848	0.0016531569	0.0016481848	0.0016535069	0.0016481848	0.0016642126	0.0016641548	0.0016588608	0.0016481848	0.0016642346	0.0016534994	0.0016535316	0.0016534993	0.0016534994	0.0016481848	0.0016588566	0.0016587778	0.0016641391	0.0016588402	0.0016694871	0.0016481848	0.001653479	0.0016642106	0.0016534752	0.0016535276	0.0016641017	0.0016641639	0.0016588422	0.0016481848	0.0016481848	0.4355403	0.0016535233	0.0016481848	0.0016641812	0.0016695787	0.0016535416	0.0016535805	0.0016481848	0.0016535316	0.0016535013	0.0016534908
0.0041301292	0.0041434946	0.0041301292	0.0041700415	0.00414348	0.004237436	0.004170239	0.0041435063	0.0041301292	0.0041968026	0.0041301292	0.0041434467	0.0041435175	0.004143408	0.004170083	0.0041301292	0.0041835294	0.00414356	0.0041301292	0.0041434946	0.0041301292	0.0041702683	0.0041434946	0.0041434253	0.0041700513	0.0041434253	0.0041434653	0.0041967956	0.0041434946	0.004170198	0.0041435063	0.0041301292	0.004183468	0.0041434946	0.0041435068	0.0041301292	0.004143573	0.004170285	0.0041435175	0.0041568573	0.0041301292	0.0041301292	0.004156679	0.0041434653	0.004156743	0.0041568163	0.0041301292	0.0041301292	0.0041434467	0.004156958	0.004170124	0.004156743	0.0041301292	0.004156858	0.0041301292	0.0041701626	0.004210246	0.0041301292	0.0041834167	0.004143437	0.004143425	0.0041434467	0.0041435068	0.0041436334	0.0041568144	0.0041301297	0.0041701817	0.5060986	0.0041435366	0.0041301292	0.004156824	0.0041301292	0.004183593	0.0041301292	0.0041700327	0.004156823	0.0041301292	0.0041434807	0.004156927	0.0041301292	0.0041425885	0.0041301292	0.0041434653	0.0041301292	0.0041702925	0.0041701477	0.004156882	0.0041301292	0.0041703475	0.0041434467	0.0041435272	0.004143446	0.0041434467	0.0041301292	0.0041568712	0.004156674	0.004170108	0.00415683	0.0041835094	0.0041301292	0.0041433955	0.0041702874	0.004143386	0.0041435175	0.0041700145	0.0041701705	0.004156835	0.0041301292	0.0041301292	0.0041569434	0.0041435068	0.0041301292	0.004170214	0.004183739	0.0041435524	0.0041436497	0.0041301292	0.0041435272	0.0041434513	0.0041434253
0.0020610366	0.0020677063	0.0020610366	0.002080954	0.0020676993	0.0021145854	0.0020810526	0.0020677121	0.0020610366	0.30952665	0.0020610366	0.0020676826	0.0020677177	0.0020676632	0.0020809746	0.0020610366	0.0020876846	0.002067739	0.0020610366	0.0020677063	0.0020610366	0.002081067	0.0020677063	0.0020676719	0.2525689	0.0020676719	0.0020676919	0.002094305	0.0020677063	0.0020810321	0.19561079	0.0020610366	0.002087654	0.0020677063	0.0020677124	0.0020610366	0.0020677454	0.0020810755	0.0020677177	0.0020743748	0.0020610366	0.0020610366	0.0020742856	0.0020676919	0.0020743178	0.0020743543	0.0020610366	0.0020610366	0.0020676826	0.0020744249	0.0020809951	0.0020743178	0.0020610366	0.0020743753	0.0020610366	0.0020810142	0.002101017	0.0020610366	0.0020876285	0.0020676777	0.0020676716	0.0020676826	0.0020677124	0.0020677757	0.0020743534	0.0020610369	0.0020810238	0.0020676719	0.0020677273	0.0020610366	0.0020743583	0.0020610366	0.0020877167	0.0020610366	0.0020809495	0.0020743576	0.0020610366	0.0020676996	0.0020744095	0.0020610366	0.0020672542	0.0020610366	0.0020676919	0.0020610366	0.0020810792	0.0020810068	0.002074387	0.0020610366	0.0020811066	0.0020676826	0.0020677226	0.0020676823	0.0020676826	0.0020610366	0.0020743816	0.002074283	0.0020809872	0.002074361	0.0020876748	0.0020610366	0.002067657	0.0020810766	0.002067652	0.0020677177	0.0020809406	0.0020810182	0.0020743636	0.0020610366	0.0020610366	0.0020744177	0.0020677124	0.0020610366	0.00208104	0.0020877894	0.0020677352	0.0020677838	0.0020610366	0.0020677226	0.002067685	0.0020676719
0.0027498365	0.002758735	0.0027498365	0.0027764102	0.0027587258	0.0028212813	0.0027765417	0.002758743	0.0027498365	0.0027942276	0.0027498365	0.0027587034	0.0027587505	0.0027586776	0.002776438	0.0027498365	0.0027853902	0.0027587789	0.0027498365	0.002758735	0.0027498365	0.002776561	0.002758735	0.0027586892	0.0027764167	0.0027586892	0.002758716	0.002794223	0.002758735	0.0027765145	0.3369598	0.0027498365	0.0027853495	0.002758735	0.0027587432	0.0027498365	0.0027587875	0.0027765722	0.0027587505	0.0027676322	0.0027498365	0.0027498365	0.0027675133	0.002758716	0.0027675563	0.0027676048	0.0027498365	0.0027498365	0.0027587034	0.0027676993	0.0027764651	0.0027675563	0.0027498365	0.002767633	0.0027498365	0.0027764908	0.0028031783	0.0027498365	0.0027853153	0.002758697	0.0027586888	0.33695978	0.0027587432	0.0027588275	0.0027676036	0.0027498368	0.0027765036	0.0027586892	0.0027587633	0.0027498365	0.0027676101	0.0027498365	0.0027854329	0.0027498365	0.0027764041	0.0027676092	0.0027498365	0.0027587262	0.0027676786	0.0027498365	0.002758132	0.0027498365	0.002758716	0.0027498365	0.0027765774	0.0027764807	0.0027676485	0.0027498365	0.002776614	0.0027587034	0.002758757	0.0027587032	0.0027587034	0.0027498365	0.0027676413	0.00276751	0.0027764547	0.0027676139	0.0027853772	0.0027498365	0.0027586692	0.0027765739	0.002758663	0.0027587505	0.0027763925	0.002776496	0.0027676173	0.0027498365	0.0027498365	0.0027676895	0.0027587432	0.0027498365	0.002776525	0.0027855302	0.0027587737	0.0027588385	0.0027498365	0.002758757	0.0027587065	0.0027586892
0.0020610343	0.002067704	0.0020610343	0.0020809516	0.002067697	0.002114583	0.0020810503	0.0020677098	0.0020610343	0.0020943058	0.0020610343	0.0020676802	0.0020677154	0.002067661	0.0020809723	0.0020610343	0.0020876823	0.0020677366	0.0020610343	0.002067704	0.0020610343	0.0020810647	0.002067704	0.0020676695	0.0020809565	0.0020676695	0.0020676896	0.0020943023	0.002067704	0.0020810296	0.0020677098	0.0020610343	0.0020876518	0.002067704	0.00206771	0.0020610343	0.002067743	0.0020810731	0.0020677154	0.0020743725	0.0020610343	0.0020610343	0.0020742833	0.0020676896	0.0020743154	0.002074352	0.0020610343	0.0020610343	0.0020676802	0.0020744225	0.0020809928	0.0020743154	0.0020610343	0.002074373	0.0020610343	0.002081012	0.0021010146	0.0020610343	0.0020876261	0.0020676753	0.0020676693	0.0020676802	0.00206771	0.0020677731	0.0020743508	0.0020610346	0.0020810214	0.7535313	0.002067725	0.0020610343	0.002074356	0.0020610343	0.0020877142	0.0020610343	0.0020809472	0.0020743553	0.0020610343	0.0020676972	0.0020744072	0.0020610343	0.0020672518	0.0020610343	0.0020676896	0.0020610343	0.0020810768	0.0020810044	0.0020743846	0.0020610343	0.0020811043	0.0020676802	0.0020677203	0.00206768	0.0020676802	0.0020610343	0.0020743792	0.0020742808	0.0020809849	0.0020743588	0.0020876725	0.0020610343	0.0020676544	0.0020810743	0.0020676497	0.0020677154	0.0020809383	0.0020810158	0.0020743613	0.0020610343	0.0020610343	0.0020744153	0.00206771	0.0020610343	0.0020810375	0.002087787	0.0020677329	0.0020677815	0.0020610343	0.0020677203	0.0020676826	0.0020676695
0.0011767515	0.0011805595	0.0011767515	0.0011881232	0.0011805556	0.0012073253	0.0011881796	0.0011805629	0.0011767515	0.001195748	0.0011767515	0.0011805459	0.001180566	0.0011805348	0.0011881351	0.0011767515	0.0011919662	0.0011805781	0.0011767515	0.0011805595	0.0011767515	0.0011881879	0.0011805595	0.18384376	0.001188126	0.0011805398	0.0011805512	0.001195746	0.0011805595	0.0011881678	0.0011805629	0.0011767515	0.0011919488	0.0011805595	0.001180563	0.0011767515	0.0011805819	0.0011881926	0.001180566	0.0011843669	0.0011767515	0.0011767515	0.001184316	0.0011805512	0.0011843344	0.0011843552	0.0011767515	0.0011767515	0.0011805459	0.0011843955	0.0011881469	0.0011843344	0.0011767515	0.0011843671	0.0011767515	0.0011881577	0.0011995783	0.0011767515	0.0011919341	0.0011805431	0.0011805397	0.0011805459	0.001180563	0.0011805991	0.0011843547	0.0011767517	0.0011881632	0.35104823	0.0011805715	0.0011767515	0.13034417	0.0011767515	0.0011919844	0.0011767515	0.0011881207	0.0011843571	0.0011767515	0.0011805557	0.0011843868	0.0011767515	0.0011803014	0.0011767515	0.0011805512	0.0011767515	0.0011881947	0.0011881535	0.0011843739	0.0011767515	0.0011882104	0.0011805459	0.0011805688	0.0011805458	0.0011805459	0.0011767515	0.0011843707	0.0011843146	0.0011881423	0.0011843591	0.0011919606	0.0011767515	0.0011805313	0.19759515	0.0011805287	0.001180566	0.0011881157	0.00118816	0.0011843605	0.0011767515	0.0011767515	0.0011843914	0.001180563	0.0011767515	0.0011881724	0.001192026	0.001180576	0.0011806038	0.0011767515	0.0011805688	0.0011805473	0.0011805398
0.008292686	0.008319521	0.008292686	0.008372824	0.008319493	0.008508142	0.008373221	0.008319545	0.008292686	0.008426556	0.008292686	0.008319425	0.008319568	0.008319348	0.0083729075	0.008292686	0.008399906	0.008319653	0.008292686	0.008319521	0.008292686	0.008373279	0.008319521	0.008319383	0.008372843	0.008319383	0.008319464	0.008426542	0.008319521	0.0083731385	0.008319545	0.008292686	0.008399783	0.008319521	0.008319546	0.008292686	0.00831968	0.008373313	0.008319568	0.008346353	0.008292686	0.008292686	0.008345994	0.008319464	0.008346124	0.00834627	0.008292686	0.008292686	0.008319425	0.008346554	0.00837299	0.008346124	0.008292686	0.008346355	0.008292686	0.008373067	0.008453549	0.008292686	0.008399679	0.008319406	0.008319382	0.008319425	0.008319546	0.008319801	0.008346266	0.008292687	0.008373106	0.008319383	0.008319606	0.008292686	0.008346286	0.008292686	0.008400034	0.008292686	0.008372806	0.008346283	0.008292686	0.008319494	0.008346492	0.008292686	0.008317702	0.008292686	0.008319464	0.008292686	0.008373328	0.008373037	0.008346401	0.008292686	0.008373438	0.008319425	0.008319587	0.008319424	0.008319425	0.008292686	0.00834638	0.008345984	0.008372958	0.008346297	0.008399866	0.008292686	0.008319323	0.008373317	0.008319303	0.008319568	0.008372771	0.008373083	0.008346307	0.008292686	0.008292686	0.008346525	0.008319546	0.008292686	0.00837317	0.008400327	0.008319638	0.008319833	0.008292686	0.008319587	0.008319436	0.008319383
