topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.03847823	0.038041476	0.037747312	0.038729735	0.040283512	0.045146838	0.039436422	0.039783332	0.038708888	0.04066528	0.039037067	0.5639419
0.025206147	0.024919888	0.024727121	0.025370609	0.026387976	0.029574476	0.7156855	0.026060823	0.025357196	0.02663841	0.025572045	0.024499815
0.014916459	0.014746941	0.014633113	0.015014206	0.015615632	0.017501932	0.015287894	0.8318834	0.015005571	0.015763924	0.015132724	0.014498194
0.014916175	0.014746763	0.014632872	0.015013594	0.015615614	0.017501304	0.015287616	0.015421895	0.015005627	0.83222747	0.015132762	0.014498273
0.038478307	0.03804129	0.03774735	0.0387296	0.040283017	0.04514794	0.03943646	0.5663253	0.038708717	0.040665112	0.039036915	0.037400004
0.018741839	0.018529002	0.018385753	0.018864093	0.019620478	0.7913806	0.019209	0.019377362	0.018854177	0.019807208	0.019013936	0.018216586
0.025206184	0.024920171	0.02472712	0.02537078	0.02638842	0.029576134	0.715681	0.026061274	0.02535726	0.02663937	0.025572445	0.024499835
0.018741615	0.018528774	0.018385509	0.018864028	0.0196206	0.30167904	0.019208299	0.5090814	0.018853862	0.01980673	0.019013695	0.018216426
0.010592174	0.010471866	0.5704242	0.010661342	0.011089119	0.012428732	0.010856028	0.010951477	0.010655604	0.3208281	0.01074597	0.010295327
0.081271246	0.08034845	0.07972671	0.08180175	0.08508219	0.09535517	0.08329494	0.084026925	0.08175808	0.08588952	0.08245102	0.078993976
0.010592247	0.010471883	0.010390813	0.010661322	0.88075763	0.012428113	0.010855882	0.010951301	0.010655587	0.011194043	0.010745866	0.01029534
0.007382154	0.007298329	0.007241821	0.0074303304	0.007728308	0.78826714	0.13712686	0.0076324875	0.007426385	0.0078016566	0.0074892673	0.007175282
0.0038666863	0.0038227888	0.0037931814	0.0038919193	0.004048019	0.22781797	0.003962973	0.41797623	0.3190526	0.0040864493	0.003922813	0.0037583355
0.010592091	0.010471875	0.010390805	0.010661275	0.011088876	0.20697089	0.010855955	0.010951354	0.010655583	0.011194215	0.6858717	0.01029537
0.018741561	0.01852877	0.018385403	0.018863909	0.019620797	0.021989718	0.01920831	0.019377118	0.018853862	0.01980668	0.019013667	0.78761023
0.038478307	0.03804129	0.037747197	0.0387296	0.040283	0.045147933	0.03943646	0.5663255	0.038708717	0.040665112	0.039036915	0.037400004
0.025206335	0.024920074	0.024727413	0.025370847	0.02638817	0.02957571	0.025833862	0.7159091	0.0253575	0.026638823	0.025572017	0.024500122
0.005665252	0.005600924	0.005557591	0.005702253	0.0059309537	0.0066472962	0.33000827	0.0058573615	0.005699181	0.005987335	0.6118371	0.0055065053
0.010592145	0.010471897	0.010390888	0.010661303	0.011088849	0.012428315	0.010855906	0.8806194	0.010655606	0.011194376	0.010745926	0.010295325
0.0073821438	0.0072982805	0.007241819	0.007430319	0.27361318	0.6519432	0.0075659286	0.0076325373	0.0074263406	0.007801648	0.007489265	0.0071752644
0.018741611	0.018529382	0.7877757	0.018864129	0.019620625	0.02199172	0.019208403	0.01937707	0.018853957	0.019807147	0.019013736	0.018216534
0.006704957	0.34439027	0.006577429	0.006748654	0.0070193657	0.5876052	0.0068718255	0.006932202	0.006745058	0.0070859487	0.0068022264	0.006516929
0.009251167	0.009146121	0.009075364	0.009311572	0.009685184	0.010854575	0.576711	0.009564881	0.009306616	0.009776933	0.009385481	0.32793108
0.025206227	0.024920408	0.024727114	0.025370901	0.026388776	0.02957738	0.025834203	0.026061615	0.71520066	0.026640086	0.025572767	0.024499843
0.010592119	0.010471835	0.5503696	0.34035054	0.011088818	0.012428998	0.01085586	0.010951304	0.010655638	0.011194095	0.010745888	0.0102953445
0.006141357	0.13647097	0.006024682	0.006181478	0.006429396	0.6023495	0.20518456	0.00634961	0.006178169	0.0064904206	0.006230517	0.0059692995
0.12614271	0.004275205	0.004242105	0.0043525263	0.0045270803	0.005073908	0.0044319816	0.004470928	0.8293233	0.0045700883	0.004387083	0.004203109
0.014916203	0.0147468	0.014632805	0.015013599	0.015615608	0.01750169	0.015287605	0.015421938	0.48448595	0.3627468	0.015132737	0.014498244
0.0061413273	0.0060716397	0.006024611	0.006181429	0.0064294008	0.0072058807	0.006294273	0.48330978	0.0061781267	0.45396385	0.0062304907	0.005969234
0.008211662	0.008118409	0.008055593	0.008265261	0.9075561	0.009634919	0.008416143	0.008490152	0.008260842	0.008678441	0.008330885	0.00798157
0.03847814	0.038041238	0.037746903	0.03872942	0.040282458	0.045146715	0.56598204	0.039782844	0.03870874	0.040664718	0.039036714	0.03740006
0.038478307	0.03804129	0.0377472	0.0387296	0.040283	0.045147933	0.03943646	0.5663255	0.038708717	0.040665112	0.039036915	0.037400004
0.29298404	0.018529069	0.018385502	0.51401025	0.019620854	0.021991584	0.019208664	0.019377774	0.018854026	0.019807514	0.019014157	0.018216522
0.0043242956	0.0042751757	0.0042420933	0.004352527	0.004527079	0.0050738757	0.004431973	0.0044709477	0.95114183	0.004570046	0.0043870816	0.004203114
0.014916164	0.014746769	0.014632692	0.015013491	0.01561554	0.017501183	0.83175206	0.015421933	0.015005545	0.015763735	0.015132691	0.014498183
0.008211646	0.008118399	0.43862504	0.008265298	0.008596757	0.009635298	0.008416145	0.008490103	0.47665045	0.0086783655	0.008330883	0.00798156
0.006704824	0.006628699	0.0065773833	0.0067485934	0.007019303	0.5718538	0.36038518	0.0069322293	0.0067450106	0.0070859133	0.0068021324	0.0065169684
0.009251185	0.8953147	0.009075392	0.009311632	0.009685017	0.010854629	0.009481553	0.009564865	0.009306582	0.009776916	0.009385574	0.008991939
0.0045962706	0.004544087	0.0045089214	0.0046263337	0.9482565	0.0053932364	0.0047107143	0.0047521666	0.0046238056	0.004857522	0.0046629943	0.004467476
0.4982137	0.018528955	0.018385625	0.018864142	0.3095404	0.021990003	0.019208433	0.01937735	0.018853972	0.019806908	0.019013856	0.018216658
0.009251187	0.2972157	0.009075379	0.009311602	0.009685072	0.17485042	0.009481567	0.009564903	0.00930662	0.44387993	0.009385656	0.008991953
0.009251241	0.009146229	0.009075448	0.009311671	0.0096851075	0.010855127	0.009481619	0.00956496	0.009306712	0.8959444	0.009385526	0.00899199
0.0056652697	0.0056009456	0.005557558	0.0057022185	0.0059309304	0.3182468	0.005806332	0.0058573782	0.0056991875	0.6246794	0.005747496	0.0055064815
0.038478516	0.0380414	0.037747182	0.038729608	0.040282633	0.04514811	0.0394364	0.03978317	0.038709223	0.04066523	0.039036807	0.5639417
0.0052576205	0.0051979246	0.0051577156	0.0052919467	0.0055041662	0.006168858	0.0053885556	0.005435895	0.00528913	0.9408639	0.005333975	0.0051102964
0.012387584	0.012246984	0.012152178	0.012468478	0.01296849	0.86211133	0.01269605	0.012807631	0.012461796	0.013091573	0.012567415	0.012040482
0.014916116	0.0147469165	0.014632702	0.0150135625	0.83207935	0.017501255	0.015287683	0.015422339	0.015005493	0.015763797	0.015132661	0.014498178
0.004904781	0.004849057	0.004811556	0.0049368013	0.6094244	0.005755278	0.00502692	0.005071102	0.34029323	0.005183554	0.004975996	0.004767323
0.014916118	0.01474676	0.014632684	0.015013541	0.015615612	0.21654952	0.015287628	0.015421923	0.015005548	0.6331797	0.015132807	0.014498151
0.005665276	0.005600924	0.0055576074	0.46345913	0.0059310202	0.00664747	0.005806454	0.47839156	0.0056992215	0.0059872265	0.0057475404	0.0055065784
0.025206052	0.024919987	0.024727	0.02537064	0.026388234	0.029575072	0.025833772	0.026060944	0.02535707	0.026638817	0.7154227	0.024499742
0.014916347	0.014746834	0.0146328015	0.24626291	0.015615927	0.01750222	0.0152877	0.015422079	0.0150056295	0.0157641	0.60034513	0.01449833
0.006704814	0.006628724	0.41338718	0.0067486227	0.0070192837	0.007867343	0.51756185	0.0069322046	0.0067449915	0.0070858807	0.0068021556	0.006516935
0.014916225	0.014746905	0.014632787	0.8314753	0.015615863	0.017502034	0.015287671	0.015422164	0.015005639	0.015764222	0.015132849	0.014498305
0.18122074	0.0066287	0.0065774266	0.0067486293	0.0070193294	0.4873444	0.0068718125	0.006932273	0.006745024	0.27059245	0.006802189	0.006516962
0.0056652366	0.00560091	0.005557568	0.005702242	0.005931131	0.006647324	0.0058063623	0.93614864	0.0056992094	0.0059873383	0.0057475683	0.005506479
0.010592117	0.01047194	0.0103908405	0.010661301	0.88075715	0.01242814	0.010856029	0.010951521	0.010655566	0.011194038	0.010745921	0.010295389
0.038478255	0.038041376	0.037746917	0.03872933	0.04028255	0.04514648	0.03943648	0.03978291	0.5652541	0.040664718	0.03903687	0.037399974
0.0030577285	0.0030229993	0.0029996182	0.003077707	0.0032011343	0.083307095	0.18703336	0.7019186	0.003076039	0.0032315124	0.0031021198	0.0029720436
0.012387727	0.012247011	0.0121522155	0.012468559	0.012968686	0.014534857	0.012696266	0.012807759	0.722561	0.013091752	0.012567585	0.14951655
0.010592218	0.010471862	0.010390853	0.010661294	0.011088897	0.012428523	0.88052374	0.010951566	0.01065565	0.0111941	0.010745906	0.010295361
0.081271246	0.08034845	0.07972671	0.08180175	0.08508219	0.09535517	0.08329494	0.084026925	0.08175808	0.08588952	0.08245102	0.078993976
0.4724506	0.006071647	0.006024671	0.006181473	0.0064294385	0.1998595	0.0062942905	0.006349635	0.006178178	0.006490482	0.00623065	0.27143943
0.009251321	0.009146201	0.009075394	0.00931161	0.009685125	0.010854838	0.009481754	0.009564985	0.009306635	0.009777246	0.25025615	0.6542887
0.012387737	0.01224708	0.012152252	0.012468581	0.012969271	0.86210924	0.012696188	0.012807806	0.012461916	0.013091772	0.012567575	0.012040635
0.0067048986	0.006628716	0.92407775	0.006748606	0.007019251	0.007866924	0.006871778	0.0069321427	0.0067449966	0.0070858453	0.0068021347	0.00651693
0.0045962906	0.0045440774	0.0045089144	0.25015017	0.004811835	0.0053930823	0.0047107534	0.004752174	0.7025447	0.004857484	0.004663002	0.004467479
0.8313789	0.014746773	0.014632736	0.015013635	0.015615831	0.017501833	0.015287634	0.015422181	0.015005631	0.015763968	0.015132738	0.014498166
0.0149162775	0.014746781	0.25749716	0.015013697	0.5892139	0.017501954	0.015287647	0.01542202	0.0150056565	0.015763901	0.015132729	0.014498299
0.009251163	0.009146179	0.009075362	0.009311579	0.009685303	0.897023	0.009481535	0.009564877	0.009306594	0.009776965	0.009385464	0.008991966
0.006141346	0.0060715997	0.0060246494	0.7112009	0.22584338	0.00720597	0.006294273	0.0063496097	0.006178155	0.0064903703	0.0062304796	0.0059692515
0.008211773	0.008118399	0.00805567	0.008265376	0.008596741	0.9085939	0.008416188	0.008490172	0.008260916	0.00867838	0.008330919	0.007981596
0.025206303	0.024919948	0.024727123	0.025370792	0.026388772	0.029577145	0.025834154	0.71590793	0.025357256	0.02663857	0.025572155	0.024499845
0.0067048296	0.006628693	0.006577376	0.006748573	0.0070192176	0.5608168	0.00687175	0.0069322167	0.0067449897	0.0070858626	0.3713527	0.006516916
0.018741602	0.018528981	0.7877777	0.01886406	0.019620627	0.021989832	0.019208416	0.019377694	0.0188539	0.01980691	0.019013738	0.01821649
0.038478233	0.03804148	0.03774733	0.03872974	0.04028374	0.04514684	0.039436426	0.039783336	0.03870889	0.040665284	0.03903707	0.5639416
0.012387712	0.0122470055	0.012152237	0.012468546	0.012968644	0.014536664	0.012696118	0.86038125	0.012461868	0.013091971	0.012567486	0.012040526
0.018741772	0.018528884	0.018385552	0.55262023	0.019620955	0.021990744	0.01920848	0.019377409	0.018854016	0.019806724	0.019013902	0.25385132
0.56590885	0.012247021	0.012152204	0.012468521	0.012968584	0.014534868	0.012696185	0.012807719	0.012462094	0.013091671	0.30662173	0.012040506
0.01874169	0.018528873	0.018385412	0.01886405	0.7890128	0.02199045	0.019208344	0.01937728	0.01885389	0.019806936	0.019013796	0.018216494
