topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129
0.0038163143	0.0038529525	0.0038163143	0.0038652986	0.003828652	0.0038904366	0.0038655133	0.0038286438	0.0038163143	0.0038901884	0.0038285651	0.0038163143	0.0038163147	0.0038409638	0.0038286345	0.0038163143	0.0038163143	0.0038407794	0.0038285994	0.0038287425	0.0038285994	0.003902388	0.0038163143	0.0038286524	0.003865475	0.0038163143	0.003828584	0.0038163143	0.0038163143	0.0038163143	0.0038163143	0.003840933	0.0038285858	0.0038163143	0.0038163143	0.003828584	0.0038285886	0.0038286438	0.0038163143	0.0038409035	0.0038409266	0.0038163143	0.0038532568	0.0038286126	0.0038408712	0.003840913	0.0038163143	0.0038286345	0.0038531672	0.0038163143	0.00385323	0.0038163143	0.0038286354	0.0038409494	0.0038409638	0.0038408532	0.0038163143	0.0038531015	0.0038531802	0.0038286126	0.0038655056	0.0038285651	0.0038163143	0.0038287228	0.0038285838	0.0038530084	0.0038657647	0.0038163143	0.0038285994	0.0038163143	0.0038409503	0.0038532342	0.0038532196	0.0038163143	0.0038531572	0.0038163143	0.0038163143	0.0038163143	0.0038285994	0.0038163143	0.003828652	0.0038286434	0.0038163143	0.0038163143	0.0038286243	0.0038163143	0.003841013	0.0038163143	0.0038532033	0.0038163143	0.003828584	0.0038409932	0.0038407065	0.0038163143	0.0038654867	0.0038163143	0.0038286243	0.0038286345	0.0038163143	0.0038163143	0.0038285994	0.0038532305	0.0038163143	0.0038163143	0.0038409869	0.0038530498	0.0038286126	0.0038285651	0.0038285125	0.0038408937	0.0038408532	0.0038408537	0.0038286736	0.003840792	0.00387792	0.0038285994	0.0038163143	0.0038655903	0.0038297442	0.0038286243	0.0038163143	0.0038287295	0.0038163143	0.0038163143	0.5055298	0.0038286736	0.0038163143	0.003853293	0.0038408218	0.0038655691
0.0025413434	0.0025657413	0.0025413434	0.0025739628	0.0025495593	0.0025907026	0.0025741057	0.0025495538	0.0025413434	0.0025905373	0.0025495014	0.0025413434	0.0025413437	0.002557758	0.0025495477	0.0025413434	0.0025413434	0.0025576353	0.0025495242	0.0025496196	0.0025495242	0.0025986612	0.0025413434	0.0025495596	0.0025740804	0.0025413434	0.002549514	0.0025413434	0.0025413434	0.0025413434	0.0025413434	0.0025577375	0.0025495153	0.0025413434	0.0025413434	0.002549514	0.0025495172	0.0025495538	0.0025413434	0.0025577177	0.0025577333	0.0025413434	0.002565944	0.002549533	0.002557696	0.0025577242	0.0025413434	0.0025495477	0.0025658843	0.0025413434	0.0025659262	0.0025413434	0.0025495482	0.0025577482	0.002557758	0.0025576844	0.0025413434	0.0025658405	0.002565893	0.002549533	0.0025741006	0.0025495014	0.0025413434	0.0025496064	0.002549514	0.0025657786	0.0025742732	0.0025413434	0.0025495242	0.0025413434	0.002557749	0.002565929	0.0025659192	0.0025413434	0.0025658775	0.0025413434	0.0025413434	0.0025413434	0.0025495242	0.0025413434	0.0025495593	0.0025495535	0.0025413434	0.0025413434	0.002549541	0.0025413434	0.0025577906	0.0025413434	0.0025659085	0.0025413434	0.002549514	0.0025577776	0.0025575866	0.0025413434	0.002574088	0.0025413434	0.002549541	0.0025495477	0.0025413434	0.0025413434	0.0025495242	0.0025659264	0.0025413434	0.0025413434	0.0025577734	0.0025658063	0.002549533	0.0025495014	0.0025494664	0.0025577112	0.0025576844	0.67072445	0.0025495738	0.0025576435	0.0025823677	0.0025495242	0.0025413434	0.0025741572	0.0025502865	0.002549541	0.0025413434	0.0025496108	0.0025413434	0.0025413434	0.0025577347	0.0025495738	0.0025413434	0.002565968	0.0025576635	0.002574143
0.0015234358	0.0015380613	0.0015234358	0.0015429899	0.0015283608	0.0015530246	0.0015430755	0.0015283575	0.0015234358	0.0015529256	0.0015283261	0.0015234358	0.0015234359	0.0015332756	0.0015283538	0.0015234358	0.0015234358	0.001533202	0.0015283398	0.001528397	0.3420772	0.0015577956	0.0015234358	0.001528361	0.0015430602	0.0015234358	0.0015283336	0.0015234358	0.0015234358	0.0015234358	0.0015234358	0.20180294	0.0015283345	0.0015234358	0.0015234358	0.0015283336	0.0015283355	0.0015283575	0.0015234358	0.0015332515	0.0015332608	0.0015234358	0.0015381828	0.0015283452	0.0015332386	0.0015332553	0.0015234358	0.0015283538	0.001538147	0.0015234358	0.0015381721	0.0015234358	0.0015283542	0.0015332698	0.0015332756	0.0015332315	0.0015234358	0.0015381208	0.0015381522	0.0015283452	0.0015430724	0.0015283261	0.0015234358	0.001528389	0.0015283335	0.0015380837	0.0015431759	0.0015234358	0.0015283398	0.0015234358	0.0015332702	0.0015381738	0.001538168	0.0015234358	0.001538143	0.0015234358	0.0015234358	0.0015234358	0.0015283398	0.0015234358	0.0015283608	0.0015283574	0.0015234358	0.0015234358	0.0015283498	0.0015234358	0.0015332951	0.0015234358	0.0015381615	0.0015234358	0.0015283336	0.0015332873	0.0015331729	0.0015234358	0.001543065	0.0015234358	0.0015283498	0.0015283538	0.0015234358	0.0015234358	0.0015283398	0.0015381722	0.0015234358	0.0015234358	0.0015332848	0.0015381002	0.0015283452	0.0015283261	0.0015283051	0.0015332476	0.0015332315	0.0015332317	0.0015283695	0.001533207	0.0015480282	0.0015283398	0.0015234358	0.0015431063	0.0015287967	0.0015283498	0.0015234358	0.0015283917	0.0015234358	0.0015234358	0.0015332617	0.26178882	0.0015234358	0.0015381973	0.0015332189	0.0015430978
0.0015234349	0.0015380605	0.0015234349	0.0015429889	0.00152836	0.0015530238	0.0015430746	0.0015283567	0.0015234349	0.0015529246	0.0015283253	0.0015234349	0.0015234351	0.0015332748	0.001528353	0.0015234349	0.0015234349	0.0015332012	0.001528339	0.0015283962	0.001528339	0.0015577946	0.0015234349	0.0015283601	0.0015430594	0.0015234349	0.0015283328	0.0015234349	0.0015234349	0.0015234349	0.0015234349	0.0015332624	0.0015283335	0.0015234349	0.0015234349	0.0015283328	0.0015283347	0.0015283567	0.0015234349	0.0015332507	0.0015332599	0.0015234349	0.0015381819	0.0015283442	0.0015332378	0.80261236	0.0015234349	0.001528353	0.0015381462	0.0015234349	0.0015381712	0.0015234349	0.0015283533	0.001533269	0.0015332748	0.0015332307	0.0015234349	0.00153812	0.0015381514	0.0015283442	0.0015430716	0.0015283253	0.0015234349	0.0015283882	0.0015283327	0.0015380828	0.001543175	0.0015234349	0.001528339	0.0015234349	0.0015332693	0.001538173	0.0015381671	0.0015234349	0.0015381421	0.0015234349	0.0015234349	0.0015234349	0.001528339	0.0015234349	0.00152836	0.0015283565	0.0015234349	0.0015234349	0.0015283489	0.0015234349	0.0015332943	0.0015234349	0.0015381606	0.0015234349	0.0015283328	0.0015332865	0.0015331721	0.0015234349	0.001543064	0.0015234349	0.0015283489	0.001528353	0.0015234349	0.0015234349	0.001528339	0.0015381714	0.0015234349	0.0015234349	0.001533284	0.0015380994	0.0015283442	0.0015283253	0.0015283043	0.0015332467	0.0015332307	0.0015332308	0.0015283686	0.0015332061	0.0015480273	0.001528339	0.0015234349	0.0015431055	0.0015287959	0.0015283489	0.0015234349	0.0015283909	0.0015234349	0.0015234349	0.0015332608	0.0015283686	0.0015234349	0.0015381965	0.0015332181	0.001543097
0.0038163105	0.0038529485	0.0038163105	0.0038652946	0.003828648	0.0038904327	0.0038655093	0.0038286399	0.0038163105	0.0038901845	0.0038285612	0.0038163105	0.003816311	0.0038409599	0.0038286305	0.0038163105	0.0038163105	0.0038407757	0.0038285954	0.0038287386	0.0038285954	0.003902384	0.0038163105	0.0038286485	0.003865471	0.0038163105	0.00382858	0.0038163105	0.0038163105	0.0038163105	0.0038163105	0.0038409291	0.003828582	0.0038163105	0.0038163105	0.00382858	0.0038285847	0.0038286399	0.0038163105	0.0038408996	0.0038409228	0.0038163105	0.0038532529	0.003828609	0.0038408672	0.0038409093	0.0038163105	0.0038286305	0.0038531632	0.0038163105	0.003853226	0.0038163105	0.0038286315	0.0038409454	0.0038409599	0.0038408495	0.0038163105	0.0038530976	0.0038531763	0.003828609	0.0038655016	0.0038285612	0.0038163105	0.0038287188	0.0038285798	0.0038530047	0.0038657608	0.0038163105	0.0038285954	0.0038163105	0.0038409464	0.0038532303	0.0038532158	0.0038163105	0.0038531532	0.0038163105	0.0038163105	0.0038163105	0.0038285954	0.0038163105	0.003828648	0.0038286394	0.0038163105	0.0038163105	0.0038286205	0.0038163105	0.003841009	0.0038163105	0.5055426	0.0038163105	0.00382858	0.0038409894	0.0038407028	0.0038163105	0.0038654828	0.0038163105	0.0038286205	0.0038286305	0.0038163105	0.0038163105	0.0038285954	0.0038532265	0.0038163105	0.0038163105	0.0038409831	0.0038530459	0.003828609	0.0038285612	0.0038285085	0.0038408898	0.0038408495	0.00384085	0.0038286697	0.003840788	0.0038779161	0.0038285954	0.0038163105	0.0038655866	0.0038297402	0.0038286205	0.0038163105	0.0038287255	0.0038163105	0.0038163105	0.0038409252	0.0038286697	0.0038163105	0.0038532892	0.0038408178	0.0038655652
0.001904937	0.0019232251	0.001904937	0.0019293878	0.0019110955	0.0019419356	0.001929495	0.0019110913	0.001904937	0.0019418116	0.001911052	0.001904937	0.0019049372	0.001917241	0.0019110866	0.001904937	0.001904937	0.0019171489	0.0019110692	0.0019111406	0.0019110692	0.0019479012	0.001904937	0.0019110957	0.0019294759	0.001904937	0.0019110615	0.001904937	0.001904937	0.001904937	0.001904937	0.0019172255	0.0019110624	0.001904937	0.001904937	0.0019110615	0.0019110638	0.0019110913	0.001904937	0.0019172109	0.0019172224	0.001904937	0.001923377	0.0019110758	0.0019171947	0.0019172156	0.001904937	0.0019110866	0.0019233323	0.001904937	0.0019233637	0.001904937	0.0019110871	0.0019172337	0.001917241	0.0019171858	0.001904937	0.0019232995	0.0019233389	0.0019110758	0.0019294912	0.001911052	0.001904937	0.0019111307	0.0019110614	0.0019232532	0.0019296205	0.001904937	0.0019110692	0.001904937	0.0019172342	0.0019233658	0.0019233585	0.001904937	0.0019233273	0.001904937	0.001904937	0.001904937	0.0019110692	0.001904937	0.0019110955	0.001911091	0.001904937	0.001904937	0.0019110816	0.001904937	0.0019172655	0.001904937	0.0019233504	0.001904937	0.0019110615	0.0019172557	0.0019171126	0.001904937	0.0019294817	0.001904937	0.0019110816	0.0019110866	0.001904937	0.001904937	0.0019110692	0.0019233639	0.001904937	0.001904937	0.0019172525	0.3943379	0.0019110758	0.3607613	0.0019110258	0.001917206	0.0019171858	0.0019171861	0.0019111063	0.0019171551	0.001935688	0.0019110692	0.001904937	0.0019295334	0.0019116405	0.0019110816	0.001904937	0.0019111341	0.001904937	0.001904937	0.0019172236	0.0019111063	0.001904937	0.0019233952	0.00191717	0.0019295228
0.0025413453	0.0025657432	0.0025413453	0.0025739647	0.0025495612	0.0025907045	0.0025741076	0.0025495556	0.0025413453	0.0025905392	0.0025495032	0.0025413453	0.0025413455	0.0025577599	0.0025495493	0.0025413453	0.0025413453	0.002557637	0.002549526	0.0025496215	0.002549526	0.002598663	0.0025413453	0.0025495614	0.0025740822	0.0025413453	0.0025495158	0.0025413453	0.0025413453	0.0025413453	0.0025413453	0.0025577391	0.002549517	0.0025413453	0.0025413453	0.0025495158	0.0025495188	0.0025495556	0.0025413453	0.0025577196	0.002557735	0.0025413453	0.002565946	0.002549535	0.002557698	0.002557726	0.0025413453	0.0025495493	0.0025658861	0.0025413453	0.002565928	0.0025413453	0.00254955	0.00255775	0.0025577599	0.0025576863	0.0025413453	0.0025658424	0.0025658947	0.002549535	0.0025741025	0.0025495032	0.0025413453	0.0025496082	0.0025495156	0.0025657804	0.002574275	0.0025413453	0.002549526	0.0025413453	0.0025577508	0.0025659308	0.002565921	0.0025413453	0.0025658794	0.0025413453	0.0025413453	0.0025413453	0.002549526	0.0025413453	0.0025495612	0.0025495554	0.0025413453	0.0025413453	0.0025495428	0.0025413453	0.0025577925	0.0025413453	0.0025659103	0.0025413453	0.6707161	0.0025577794	0.0025575885	0.0025413453	0.00257409	0.0025413453	0.0025495428	0.0025495493	0.0025413453	0.0025413453	0.002549526	0.0025659283	0.0025413453	0.0025413453	0.0025577752	0.0025658081	0.002549535	0.0025495032	0.0025494683	0.002557713	0.0025576863	0.0025576865	0.0025495756	0.0025576453	0.0025823696	0.002549526	0.0025413453	0.002574159	0.0025502883	0.0025495428	0.0025413453	0.0025496127	0.0025413453	0.0025413453	0.0025577366	0.0025495756	0.0025413453	0.00256597	0.002557665	0.0025741449
0.001904936	0.0019232241	0.001904936	0.0019293868	0.0019110944	0.0019419346	0.001929494	0.0019110903	0.001904936	0.0019418106	0.001911051	0.001904936	0.0019049363	0.00191724	0.0019110857	0.001904936	0.001904936	0.0019171479	0.0019110681	0.0019111396	0.0019110681	0.0019479002	0.001904936	0.0019110946	0.0019294749	0.001904936	0.0019110604	0.001904936	0.001904936	0.001904936	0.001904936	0.0019172245	0.0019110614	0.001904936	0.001904936	0.0019110604	0.0019110627	0.0019110903	0.001904936	0.0019172098	0.0019172214	0.001904936	0.001923376	0.0019110747	0.0019171936	0.0019172146	0.001904936	0.0019110857	0.0019233313	0.001904936	0.0019233626	0.001904936	0.0019110861	0.0019172328	0.00191724	0.0019171848	0.001904936	0.0019232985	0.0019233378	0.0019110747	0.0019294901	0.001911051	0.001904936	0.0019111297	0.0019110603	0.0019232521	0.0019296195	0.001904936	0.0019110681	0.001904936	0.0019172332	0.0019233647	0.0019233575	0.001904936	0.7531884	0.001904936	0.001904936	0.001904936	0.0019110681	0.001904936	0.0019110944	0.0019110901	0.001904936	0.001904936	0.0019110807	0.001904936	0.0019172644	0.001904936	0.0019233493	0.001904936	0.0019110604	0.0019172546	0.0019171116	0.001904936	0.0019294807	0.001904936	0.0019110807	0.0019110857	0.001904936	0.001904936	0.0019110681	0.0019233628	0.001904936	0.001904936	0.0019172515	0.0019232727	0.0019110747	0.001911051	0.0019110248	0.0019172049	0.0019171848	0.001917185	0.0019111052	0.0019171541	0.0019356869	0.0019110681	0.001904936	0.0019295325	0.0019116396	0.0019110807	0.001904936	0.0019111331	0.001904936	0.001904936	0.0019172225	0.0019111052	0.001904936	0.0019233942	0.0019171691	0.0019295218
0.0010877497	0.0010981925	0.0010877497	0.0011017115	0.0010912662	0.0011088764	0.0011017727	0.0010912638	0.0010877497	0.0011088056	0.0010912415	0.0010877497	0.0010877498	0.0010947754	0.0010912613	0.0010877497	0.0010877497	0.0010947229	0.0010912513	0.001091292	0.0010912513	0.001112283	0.0010877497	0.0010912664	0.0011017617	0.0010877497	0.0010912468	0.0010877497	0.0010877497	0.0010877497	0.0010877497	0.0010947667	0.0010912474	0.0010877497	0.0010877497	0.0010912468	0.0010912481	0.0010912638	0.0010877497	0.0010947583	0.0010947648	0.0010877497	0.0010982793	0.001091255	0.001094749	0.859063	0.0010877497	0.0010912613	0.0010982536	0.0010877497	0.0010982716	0.0010877497	0.0010912615	0.0010947713	0.0010947754	0.001094744	0.0010877497	0.001098235	0.0010982574	0.001091255	0.0011017704	0.0010912415	0.0010877497	0.0010912864	0.0010912467	0.0010982085	0.0011018444	0.0010877497	0.0010912513	0.0010877497	0.0010947715	0.0010982727	0.0010982687	0.0010877497	0.0010982509	0.0010877497	0.0010877497	0.0010877497	0.0010912513	0.0010877497	0.0010912662	0.0010912637	0.0010877497	0.0010877497	0.0010912584	0.0010877497	0.0010947894	0.0010877497	0.001098264	0.0010877497	0.0010912468	0.0010947838	0.0010947022	0.0010877497	0.0011017651	0.0010877497	0.0010912584	0.0010912613	0.0010877497	0.0010877497	0.0010912513	0.0010982717	0.0010877497	0.0010877497	0.001094782	0.0010982202	0.001091255	0.0010912415	0.0010912265	0.0010947555	0.001094744	0.0010947441	0.0010912725	0.0010947264	0.0011053089	0.0010912513	0.0010877497	0.0011017947	0.0010915775	0.0010912584	0.0010877497	0.0010912883	0.0010877497	0.0010877497	0.0010947655	0.0010912725	0.0010877497	0.0010982896	0.001094735	0.0011017886
0.0076584965	0.007732021	0.0076584965	0.007756797	0.0076832552	0.0078072436	0.007757228	0.007683239	0.0076584965	0.0078067454	0.007683081	0.0076584965	0.0076584974	0.0077079628	0.0076832203	0.0076584965	0.0076584965	0.0077075926	0.00768315	0.0076834373	0.00768315	0.007831227	0.0076584965	0.007683256	0.007757151	0.0076584965	0.007683119	0.0076584965	0.0076584965	0.0076584965	0.0076584965	0.007707901	0.0076831225	0.0076584965	0.0076584965	0.007683119	0.007683128	0.007683239	0.0076584965	0.0077078417	0.0077078883	0.0076584965	0.007732632	0.0076831765	0.0077077765	0.007707861	0.0076584965	0.0076832203	0.007732452	0.0076584965	0.007732578	0.0076584965	0.007683222	0.0077079334	0.0077079628	0.007707741	0.0076584965	0.00773232	0.007732478	0.0076831765	0.0077572125	0.007683081	0.0076584965	0.0076833973	0.0076831183	0.0077321334	0.0077577326	0.0076584965	0.00768315	0.0076584965	0.0077079353	0.0077325865	0.0077325576	0.0076584965	0.007732432	0.0076584965	0.0076584965	0.0076584965	0.00768315	0.0076584965	0.0076832552	0.007683238	0.0076584965	0.0076584965	0.0076832003	0.0076584965	0.007708061	0.0076584965	0.0077325245	0.0076584965	0.007683119	0.007708022	0.0077074463	0.0076584965	0.007757175	0.0076584965	0.0076832003	0.0076832203	0.0076584965	0.0076584965	0.00768315	0.007732579	0.0076584965	0.0076584965	0.007708009	0.0077322167	0.0076831765	0.007683081	0.0076829754	0.007707822	0.007707741	0.007707742	0.007683299	0.0077076177	0.007782126	0.00768315	0.0076584965	0.007757383	0.007685447	0.0076832003	0.0076584965	0.0076834112	0.0076584965	0.0076584965	0.007707893	0.007683299	0.0076584965	0.0077327047	0.007707678	0.00775734
