topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13
0.03305122	0.033133846	0.5557896	0.033183906	0.034582928	0.037596993	0.033994593	0.034843907	0.03473347	0.03530058	0.034065917	0.031827923	0.03416558	0.033729516
0.021709394	0.021763666	0.021906694	0.021796552	0.022715427	0.024695275	0.022329135	0.022886952	0.022814378	0.023186844	0.022375902	0.020905884	0.708759	0.022154927
0.012873866	0.012906042	0.012990921	0.012925584	0.013470445	0.014644548	0.0132413395	0.82755566	0.013529136	0.013750002	0.013269097	0.012397366	0.013307928	0.013138075
0.012873863	0.01290604	0.012990844	0.012925535	0.013470456	0.014644511	0.013241313	0.013572135	0.013529121	0.013750171	0.013269093	0.8263809	0.013307916	0.013138077
0.033051252	0.033133913	0.033351567	0.03318391	0.034582898	0.03759714	0.0339946	0.55728173	0.03473347	0.035300586	0.034065913	0.031827915	0.03416557	0.033729527
0.016162975	0.016203402	0.016309883	0.016227877	0.016911982	0.78484446	0.016624372	0.017039716	0.01698567	0.017263025	0.016659217	0.015564747	0.016708005	0.016494695
0.021709409	0.021763694	0.021906715	0.021796571	0.022715459	0.024695337	0.022329098	0.022886975	0.022814404	0.023186887	0.7086932	0.020905897	0.022441424	0.02215494
0.016162949	0.016203355	0.01630982	0.01622783	0.01691196	0.018386327	0.016624274	0.7834985	0.016985608	0.017262932	0.016659146	0.015564712	0.016707893	0.01649465
0.00914993	0.00917281	0.009233071	0.009186658	0.009573962	0.010408451	0.009411096	0.009646256	0.009615644	0.3703553	0.009430834	0.008811263	0.009458421	0.5165463
0.069208264	0.069381274	0.0698372	0.0694861	0.072415434	0.07872693	0.07118366	0.07296209	0.07273084	0.07391824	0.071332954	0.06664672	0.07154169	0.07062859
0.60675734	0.009172783	0.009233066	0.009186646	0.2797581	0.010408388	0.009411075	0.009646205	0.009615631	0.009772617	0.009430814	0.00881126	0.009458414	0.009337693
0.0063811694	0.006397121	0.006439154	0.006406788	0.0066768797	0.007258861	0.0065633445	0.006727289	0.0067059672	0.00681544	0.006577076	0.006144983	0.9143938	0.0065121218
0.0033447833	0.0033531494	0.0033751829	0.003358211	0.0034997899	0.0038048443	0.0034402567	0.003526209	0.9551857	0.0035724202	0.0034474721	0.0032209835	0.0034575744	0.0034134276
0.009149909	0.009172789	0.009233064	0.009186644	0.009573936	0.18026765	0.009411083	0.00964621	0.009615638	0.009772635	0.70736307	0.008811252	0.0094584115	0.00933769
0.016162945	0.016203353	0.016309835	0.01622783	0.7833711	0.018385973	0.016624298	0.01703963	0.016985644	0.01726294	0.01665916	0.015564739	0.016707906	0.01649465
0.033051252	0.033133883	0.033351563	0.033183906	0.034582894	0.037597135	0.033994596	0.55728185	0.034733467	0.035300586	0.034065913	0.031827915	0.03416557	0.033729523
0.021709392	0.021763675	0.70822436	0.021796554	0.022715425	0.024695287	0.022329057	0.022886977	0.022814395	0.023186844	0.022375872	0.020905888	0.022441374	0.02215492
0.0048987893	0.0049110404	0.004943312	0.004918459	0.005125812	0.0055725845	0.39404187	0.005164504	0.0051481356	0.20708609	0.34340864	0.004717474	0.005063959	0.0049993363
0.00914993	0.876964	0.009233101	0.009186667	0.009573947	0.010408468	0.009411093	0.00964625	0.00961568	0.009772659	0.009430836	0.008811275	0.009458454	0.009337705
0.006381166	0.0063971104	0.006439148	0.006406777	0.007962458	0.007258886	0.006563293	0.91323924	0.0067059584	0.00681544	0.0065770615	0.0061449814	0.006596315	0.006512116
0.016162936	0.016203362	0.016309824	0.016227834	0.016911944	0.01838599	0.016624287	0.01703961	0.016985621	0.017262919	0.016659139	0.517453	0.28127885	0.016494673
0.0057965023	0.005810991	0.005849171	0.00581977	0.006065117	0.0065937773	0.005961948	0.006110897	0.0060915416	0.006190992	0.0059744483	0.0055819512	0.0059919422	0.9221609
0.007993763	0.008013743	0.008066407	0.00802585	0.008364238	0.009093211	0.5479757	0.008427346	0.008400645	0.008537793	0.008239172	0.35244104	0.008263292	0.008157812
0.021709407	0.021763692	0.02190669	0.021796554	0.022715453	0.024695301	0.02232906	0.022886926	0.022814449	0.023186874	0.7086934	0.02090589	0.022441354	0.02215494
0.009149916	0.009172791	0.009233077	0.8769779	0.009573933	0.010408547	0.009411082	0.009646213	0.009615653	0.009772627	0.00943082	0.008811265	0.009458424	0.009337713
0.005309977	0.005323254	0.005358232	0.0053312955	0.0055560656	0.32642165	0.2026792	0.005597997	0.005580253	0.00567136	0.0054729907	0.0051134443	0.4111653	0.0054189605
0.0037402846	0.0037496297	0.0037742688	0.003755297	0.003913608	0.0042547244	0.0038470419	0.0039431513	0.94988674	0.0039948355	0.003855111	0.003601842	0.0038663868	0.0038170402
0.012873864	0.012906053	0.012990868	0.012925559	0.013470452	0.0146445725	0.013241327	0.01357214	0.013529163	0.5826053	0.013269094	0.25752565	0.013307934	0.013138087
0.005309966	0.005323247	0.005358219	0.0053312806	0.005556042	0.0060403184	0.0054615326	0.75812143	0.005580237	0.17642331	0.0054729846	0.0051134294	0.0054890257	0.00541894
0.007097009	0.00711475	0.007161506	0.007125497	0.9048802	0.008073123	0.0072995736	0.007481954	0.007458238	0.0075800163	0.0073148916	0.00683433	0.0073362896	0.007242655
0.033051193	0.033133823	0.033351548	0.033183884	0.034582816	0.037596993	0.556433	0.034843884	0.034733456	0.0353005	0.034065872	0.031827904	0.034165565	0.033729486
0.033051252	0.033133883	0.033351567	0.03318391	0.034582898	0.03759714	0.0339946	0.5572818	0.03473347	0.035300586	0.034065913	0.031827915	0.03416557	0.033729527
0.016162967	0.01620337	0.016309835	0.01622787	0.016911976	0.018386023	0.0166243	0.017039644	0.016985623	0.017262941	0.7831181	0.015564725	0.016707912	0.016494667
0.003740279	0.003749628	0.0037742662	0.0037552973	0.0039136065	0.0042547192	0.0038470367	0.003943154	0.5586427	0.003994829	0.39509922	0.0036018405	0.0038663864	0.0038170367
0.012873839	0.012906022	0.012990839	0.012925523	0.013470424	0.014644486	0.013241318	0.013572137	0.013529103	0.013749977	0.013269081	0.012397351	0.82729185	0.013138043
0.007097008	0.0071147475	0.90461564	0.007125503	0.007425891	0.008073254	0.0072995853	0.0074819466	0.007458252	0.007580029	0.0073149	0.006834334	0.007336293	0.0072426656
0.005796494	0.005810983	0.0058491696	0.0058197635	0.006065122	0.006593782	0.30970818	0.0061109085	0.36756614	0.00619099	0.0059744446	0.0055819503	0.25701663	0.0059154527
0.00799375	0.008013741	0.008066412	0.008025853	0.008364192	0.009093211	0.008221923	0.008427332	0.008400619	0.00853777	0.008239166	0.0076978845	0.62723476	0.2736834
0.003975315	0.003985256	0.0040114387	0.003991278	0.9467194	0.0045222407	0.00408878	0.004190944	0.0041776504	0.004245863	0.004097359	0.0038281775	0.004109358	0.0040568984
0.5119785	0.016203362	0.28695327	0.016227845	0.016911991	0.018385995	0.01662431	0.017039634	0.016985623	0.017262956	0.016659178	0.015564726	0.016707912	0.016494669
0.007993762	0.008013759	0.008066407	0.008025855	0.008364209	0.009093401	0.00822193	0.008427351	0.008400638	0.39881858	0.008239185	0.0076978947	0.5024792	0.008157848
0.007993788	0.8925102	0.008066444	0.008025872	0.008364239	0.009093281	0.008221947	0.008427367	0.008400667	0.008537927	0.008239196	0.007697923	0.008263315	0.008157849
0.004898788	0.0049110316	0.0049433014	0.0049184505	0.005125803	0.005572575	0.0050386144	0.005164502	0.005148131	0.2680491	0.0050491844	0.004717468	0.6714637	0.00499932
0.03305125	0.033133864	0.555789	0.033183947	0.034582857	0.03759719	0.033994615	0.034843948	0.03473361	0.0353006	0.034065913	0.03182797	0.03416569	0.03372953
0.0045467066	0.0045580766	0.0045880266	0.004564961	0.0047574057	0.00517206	0.004676485	0.004793319	0.004778131	0.93916005	0.004686294	0.0043784245	0.0047000037	0.004640022
0.010697031	0.010723781	0.010794241	0.010739976	0.011192743	0.85760534	0.011002356	0.01127724	0.011241492	0.011425021	0.01102543	0.010301111	0.011057725	0.010916566
0.012873854	0.012906054	0.012990872	0.012925539	0.7147255	0.014644496	0.013241333	0.12630087	0.01352912	0.013750001	0.013269084	0.012397365	0.013307922	0.013138055
0.7098705	0.00425246	0.004280408	0.0042588855	0.0044384417	0.004825324	0.004362933	0.0044719405	0.0044577694	0.23761061	0.0043720854	0.0040848567	0.0043848823	0.0043289107
0.012873843	0.01290603	0.012990837	0.012925528	0.013470428	0.19884206	0.013241308	0.013572126	0.01352911	0.6435363	0.013269085	0.012397352	0.013307901	0.013138052
0.004898801	0.004911048	0.0049433154	0.3890938	0.5501669	0.0055726124	0.005038648	0.005164521	0.0051481477	0.005232195	0.0050491984	0.004717484	0.0050639682	0.004999335
0.021709388	0.021763692	0.02190668	0.021796549	0.022715455	0.024695314	0.022329034	0.022886913	0.022814373	0.023186853	0.7086935	0.020905878	0.022441356	0.022155
0.012873855	0.01290604	0.012990847	0.012925541	0.013470448	0.014644542	0.013241316	0.01357213	0.0135291265	0.013750029	0.455365	0.38428515	0.013307907	0.013138064
0.005796495	0.0058109905	0.0058491686	0.0058197672	0.006065116	0.33619326	0.592608	0.006110909	0.0060915295	0.0061909836	0.005974451	0.0055819526	0.005991935	0.0059154592
0.012873854	0.012906052	0.8269744	0.012925544	0.013470463	0.0146445595	0.013241309	0.01357214	0.013529128	0.01375003	0.013269183	0.012397365	0.013307914	0.013138056
0.51796645	0.0058109914	0.1413673	0.005819768	0.006065127	0.2751512	0.005961947	0.0061109075	0.00609154	0.006191005	0.0059744627	0.005581954	0.005991935	0.0059154597
0.0048987875	0.0049110344	0.0049433047	0.004918453	0.005125806	0.005572576	0.0050386162	0.9343811	0.00514813	0.005232196	0.00504919	0.004717471	0.0050639533	0.0049993196
0.009149922	0.009172804	0.009233082	0.009186658	0.7117115	0.010408425	0.00941111	0.17529997	0.009615647	0.009772627	0.009430833	0.008811263	0.0094584245	0.009337711
0.033051237	0.033133864	0.033351578	0.033183906	0.03458286	0.03759701	0.03399463	0.034843925	0.5571713	0.035300545	0.034066115	0.031827927	0.034165576	0.033729535
0.0026454488	0.0026520637	0.0026694906	0.0026560717	0.002768044	0.0030093724	0.10644426	0.86084104	0.0027801003	0.002825494	0.0027266662	0.0025475337	0.0027346425	0.0026997414
0.0106970575	0.010723794	0.0107942615	0.01074	0.011192777	0.012168336	0.011002391	0.011277263	0.8566781	0.01142508	0.011025468	0.010301128	0.011057718	0.010916583
0.009149929	0.009172798	0.009233078	0.009186657	0.009573958	0.010408417	0.48149168	0.4053569	0.009615666	0.00977264	0.009430838	0.008811272	0.009458447	0.009337703
0.069208264	0.069381274	0.0698372	0.0694861	0.072415434	0.07872693	0.07118366	0.07296209	0.07273084	0.07391824	0.071332954	0.06664672	0.07154169	0.07062859
0.0053099715	0.0053232415	0.005358226	0.005331284	0.0055560516	0.0060403408	0.0054615294	0.005597984	0.0055802404	0.005671354	0.0054729846	0.0051134354	0.005489002	0.92869437
0.007993772	0.008013758	0.008066425	0.0080258595	0.008364229	0.009093237	0.3104098	0.008427357	0.008400648	0.008537816	0.5905481	0.0076979026	0.008263294	0.008157835
0.010697068	0.01072381	0.010794293	0.010740017	0.8566291	0.0121684875	0.011002393	0.011277279	0.011241557	0.01142507	0.011025478	0.010301146	0.01105773	0.010916621
0.005796499	0.005810981	0.12334341	0.0058197654	0.0060651116	0.0065937378	0.0059619434	0.006110888	0.006091529	0.006190978	0.0059744436	0.0055819512	0.0059919236	0.8046668
0.0039753118	0.0039852476	0.0040114364	0.697102	0.004159531	0.004522089	0.0040887827	0.2536403	0.004177658	0.0042458586	0.004097359	0.003828174	0.00410935	0.0040568938
0.82685745	0.012906045	0.012990845	0.012925553	0.013470476	0.014644542	0.013241317	0.013572155	0.013529142	0.01375002	0.013269092	0.012397363	0.013307915	0.013138063
0.012873854	0.012906028	0.012990845	0.012925529	0.013470498	0.014644493	0.013241301	0.013572126	0.013529116	0.01374999	0.013269072	0.8263812	0.013307914	0.013138055
0.007993754	0.008013738	0.008066397	0.008025844	0.008364213	0.5783153	0.008221918	0.008427338	0.008400626	0.008537778	0.008239159	0.0076978873	0.32353824	0.008157806
0.005309969	0.005323239	0.9286337	0.005331283	0.005556063	0.0060403123	0.0054615256	0.0055979905	0.005580239	0.0056713573	0.005472981	0.0051134326	0.0054890034	0.0054189404
0.007097027	0.007114765	0.0071615158	0.00712553	0.0074259047	0.9055272	0.007299597	0.0074819713	0.007458262	0.007580016	0.0073149092	0.0068343487	0.0073363096	0.0072426875
0.021709457	0.021763718	0.021906719	0.021796597	0.022715524	0.02469548	0.022329127	0.7092037	0.022814466	0.023186876	0.022375941	0.020905921	0.022441419	0.022155002
0.0057964846	0.0058109737	0.0058491556	0.0058197523	0.0060650953	0.006593751	0.005961928	0.006110891	0.27569947	0.006190966	0.0059744343	0.005581938	0.0059919204	0.65255326
0.016162938	0.016203376	0.78276896	0.016227834	0.01691195	0.01838601	0.016624289	0.017039644	0.016985614	0.01726299	0.016659142	0.015564712	0.01670789	0.016494662
0.033051215	0.033133846	0.55578965	0.033183906	0.0345829	0.03759699	0.033994593	0.034843903	0.03473347	0.035300575	0.034065913	0.03182792	0.034165576	0.033729516
0.0106970575	0.010723793	0.010794253	0.01073999	0.011192772	0.012168419	0.011002371	0.8567139	0.011241519	0.011425085	0.011025454	0.010301125	0.011057716	0.010916584
0.016162978	0.016203405	0.016309874	0.78268623	0.016912041	0.018386077	0.01662435	0.017039686	0.016985685	0.017262975	0.016659351	0.015564757	0.01670794	0.01649469
0.5053674	0.01072381	0.010794271	0.010740008	0.011192786	0.012168367	0.011002408	0.011277277	0.011241576	0.01142508	0.011025494	0.010301138	0.011057734	0.36168265
0.016162977	0.016203372	0.016309842	0.016227853	0.78337085	0.01838605	0.016624289	0.017039651	0.016985632	0.017262958	0.016659193	0.015564757	0.01670791	0.016494658
0.010697026	0.01072377	0.85623133	0.010739978	0.011192737	0.012168268	0.011002357	0.011277242	0.011241486	0.011425016	0.011025427	0.010301107	0.011057689	0.01091656
0.016162964	0.78266215	0.01630986	0.01622786	0.016911997	0.018386059	0.016624307	0.017039686	0.016985632	0.017262962	0.016659206	0.015564732	0.016707914	0.016494665
0.8217845	0.006397116	0.006439151	0.0064067836	0.006676878	0.0072589377	0.09895739	0.0067272903	0.0067059617	0.0068154447	0.0065770666	0.006144982	0.0065963147	0.006512122
0.003531491	0.00354032	0.0035635838	0.0035456687	0.0036951513	0.0040172758	0.0036322905	0.0037230423	0.0037112436	0.9527447	0.0036399108	0.003400783	0.0036505605	0.0036039685
0.005309964	0.00532324	0.005358215	0.005331278	0.005556042	0.0060403054	0.005461521	0.0055979826	0.68817437	0.0056713372	0.24615437	0.005113426	0.005488999	0.0054189498
0.4188055	0.0053232634	0.0053582387	0.005331322	0.005556072	0.0060403473	0.19917358	0.005598012	0.0055802674	0.0056713764	0.0054730168	0.0051134527	0.32155657	0.005418966
0.021709435	0.021763697	0.021906704	0.021796595	0.022715485	0.024695404	0.022329098	0.022886945	0.02281447	0.70950395	0.022375926	0.020905906	0.022441393	0.022154963
0.02170945	0.021763725	0.021906702	0.021796577	0.022715494	0.024695378	0.022329096	0.37632635	0.35569212	0.023186905	0.022375952	0.020905904	0.022441372	0.022154968
0.009149927	0.009172797	0.25679883	0.009186668	0.009573958	0.010408494	0.009411099	0.009646216	0.009615671	0.6299981	0.00943084	0.008811271	0.009458428	0.009337721
0.5554889	0.03313387	0.033351604	0.033183955	0.034582943	0.03759701	0.033994615	0.034843974	0.034733582	0.035300557	0.03406592	0.031827945	0.034165617	0.03372955
0.021709405	0.021763671	0.021906698	0.02179655	0.709033	0.024695268	0.022329057	0.02288692	0.022814412	0.023186876	0.022375891	0.02090591	0.022441376	0.022154935
0.9285854	0.005323241	0.0053582173	0.0053312825	0.0055560386	0.0060403007	0.0054615275	0.005597983	0.005580244	0.0056713377	0.0054729893	0.005113432	0.0054889945	0.005418939
0.016162978	0.7826621	0.016309831	0.016227849	0.016911967	0.0183861	0.01662429	0.017039696	0.016985768	0.017262967	0.016659178	0.01556472	0.016707933	0.01649466
0.016163038	0.016203389	0.016309869	0.016227862	0.7833704	0.018386124	0.016624369	0.017039692	0.016985651	0.017262975	0.016659232	0.015564752	0.016707977	0.01649472
0.033051193	0.033133857	0.033351548	0.033183876	0.034582824	0.037597038	0.033994585	0.034843884	0.034733444	0.035300504	0.034065865	0.0318279	0.55660397	0.0337295
0.02170942	0.021763656	0.021906663	0.021796541	0.022715414	0.024695313	0.022329032	0.02288697	0.70913213	0.02318682	0.022375865	0.020905867	0.022441369	0.022154914
0.021709435	0.4556258	0.021906743	0.02179662	0.022715513	0.02469544	0.022329096	0.022886971	0.022814471	0.02318697	0.022375997	0.27336052	0.02244139	0.02215502
0.016162932	0.016203338	0.016309831	0.016227826	0.016911933	0.018385978	0.01662427	0.017039606	0.01698563	0.017262917	0.016659135	0.782024	0.016707905	0.016494643
0.0128738675	0.012906039	0.33680686	0.012925536	0.013470456	0.014644525	0.013241313	0.013572144	0.5036968	0.013749996	0.013269091	0.012397366	0.01330792	0.01313806
0.0028868897	0.0028941059	0.0029131235	0.0028984775	0.27595538	0.0032839738	0.0029692894	0.0030434774	0.0030338285	0.5634584	0.002975518	0.0027800368	0.12796134	0.002946134
0.069208264	0.069381274	0.0698372	0.0694861	0.072415434	0.07872693	0.07118366	0.07296209	0.07273084	0.07391824	0.071332954	0.06664672	0.07154169	0.07062859
0.16772537	0.0058109844	0.005849169	0.005819765	0.00606512	0.006593822	0.0059619457	0.006110908	0.0060915365	0.0061909775	0.005974449	0.0055819545	0.76030856	0.005915452
0.01616293	0.016203355	0.016309824	0.01622783	0.016911935	0.018385978	0.016624276	0.017039603	0.016985618	0.01726295	0.016659133	0.015564742	0.01670788	0.7829539
0.0070970342	0.0071147643	0.53625643	0.0071255197	0.0074259206	0.008073147	0.0072995983	0.007481976	0.0074582715	0.37593913	0.0073149116	0.006834342	0.0073363152	0.007242673
0.021709431	0.021763695	0.021906704	0.02179659	0.022715481	0.7110123	0.02232909	0.022886949	0.022814542	0.023186982	0.022375923	0.020905904	0.02244139	0.022154963
0.5554887	0.033133868	0.033351596	0.033183917	0.03458288	0.037597157	0.033994727	0.034843963	0.03473348	0.035300553	0.03406602	0.031827938	0.03416564	0.03372957
0.004898788	0.0049110376	0.00494331	0.004918455	0.005125815	0.0055725724	0.0050386167	0.005164499	0.0051481402	0.0052321893	0.0050491868	0.0047174795	0.0050639594	0.93421596
0.010697065	0.010723815	0.48203212	0.010740017	0.011192804	0.012168361	0.011002399	0.011277298	0.011241542	0.01142508	0.38522404	0.010301149	0.011057732	0.010916595
0.03305119	0.03313384	0.033351544	0.033183876	0.034582835	0.03759699	0.03399456	0.03484388	0.03473344	0.035300493	0.0340659	0.031827893	0.034165557	0.55616796
0.021709396	0.021763667	0.021906674	0.02179654	0.022715427	0.024695244	0.022329053	0.022886906	0.70913225	0.023186833	0.022375908	0.020905878	0.022441342	0.02215493
0.009149926	0.009172803	0.009233084	0.009186674	0.009573948	0.87819964	0.009411102	0.0096462155	0.009615685	0.009772654	0.009430834	0.008811279	0.009458428	0.009337737
0.033051316	0.033133917	0.033351634	0.033184014	0.034582973	0.037597325	0.033994716	0.034844004	0.034733683	0.5577372	0.034066014	0.031827983	0.034165673	0.0337296
0.033051252	0.033133887	0.033351563	0.033183906	0.034582894	0.037597135	0.033994596	0.55728185	0.034733467	0.035300586	0.034065913	0.031827915	0.03416557	0.033729523
0.4488363	0.00917281	0.009233092	0.0091866655	0.009573955	0.010408474	0.2084014	0.00964624	0.009615671	0.009772657	0.23854528	0.008811273	0.009458451	0.009337709
0.0045467257	0.0045580883	0.0045880363	0.0045649735	0.0047574304	0.005172086	0.0046764975	0.0047933436	0.004778145	0.18468262	0.75916356	0.004378434	0.004700016	0.004640032
0.021709478	0.021763762	0.021906706	0.021796595	0.022715546	0.024695516	0.022329088	0.022887154	0.02281441	0.023186957	0.022375949	0.020905908	0.022441383	0.7084716
0.42683777	0.01290611	0.0129909115	0.0129256155	0.013470551	0.014644706	0.013241377	0.013572229	0.41354793	0.013750079	0.01326919	0.012397428	0.013307989	0.013138119
0.005796487	0.0058109765	0.0058491617	0.0058197556	0.0060651037	0.0065937466	0.37157792	0.55674064	0.0060915314	0.006190981	0.0059744464	0.005581943	0.005991923	0.005915443
0.03305125	0.033133864	0.033351675	0.033183947	0.034582857	0.037597194	0.033994615	0.034843948	0.03473361	0.0353006	0.034065913	0.55426526	0.034165695	0.03372953
0.009149958	0.009172807	0.009233083	0.009186673	0.009573977	0.010408409	0.009411101	0.009646238	0.009615688	0.009772658	0.877222	0.008811269	0.00945844	0.009337724
0.009149906	0.009172781	0.5544383	0.009186643	0.009573923	0.010408388	0.33199742	0.009646205	0.009615634	0.009772632	0.009430822	0.0088112485	0.009458412	0.009337685
0.01616294	0.01620335	0.01630983	0.01622783	0.016911957	0.018385991	0.78308344	0.017039634	0.01698563	0.017262956	0.01665918	0.0155647155	0.01670791	0.016494645
0.0019823012	0.0019872582	0.002000315	0.001990259	0.0020741634	0.0022549587	0.002038882	0.0020898215	0.002083199	0.0021172073	0.0020431597	0.0019089316	0.00204914	0.9733804
0.0017138025	0.001718086	0.0017293761	0.0017206812	0.0017932209	0.001949518	0.9769997	0.0018067589	0.0018010336	0.0018304358	0.001766416	0.0016503695	0.001771584	0.0017489737
0.0037402872	0.0037496353	0.0037742709	0.003755298	0.9498697	0.004254724	0.0038470433	0.0039431606	0.0039306674	0.0039948397	0.0038551162	0.0036018451	0.0038663899	0.0038170468
0.069208264	0.069381274	0.0698372	0.0694861	0.072415434	0.07872693	0.07118366	0.07296209	0.07273084	0.07391824	0.071332954	0.06664672	0.07154169	0.07062859
0.021709397	0.021763705	0.021906698	0.021796566	0.022715427	0.024695333	0.022329055	0.022886908	0.022814393	0.023186933	0.022375874	0.020905897	0.02244135	0.7084725
0.016162984	0.016203374	0.016309883	0.016227849	0.016912	0.39391947	0.016624311	0.017039659	0.40791094	0.017262943	0.01665918	0.015564752	0.01670794	0.016494688
0.0063811596	0.006397117	0.006439159	0.0064067845	0.006676872	0.91505647	0.006563299	0.0067272843	0.006705947	0.0068154423	0.006577064	0.006144975	0.006596314	0.006512121
0.069208264	0.069381274	0.0698372	0.0694861	0.072415434	0.07872693	0.07118366	0.07296209	0.07273084	0.07391824	0.071332954	0.06664672	0.07154169	0.07062859
0.0063811657	0.006397115	0.006439157	0.006406781	0.0066768923	0.91505635	0.006563304	0.0067272848	0.006705977	0.006815449	0.0065770717	0.006144993	0.0065963184	0.0065121227
0.03305125	0.033133868	0.033351604	0.03318393	0.55702055	0.03759709	0.033994615	0.03484394	0.03473351	0.035300605	0.03406591	0.03182794	0.03416559	0.033729553
0.007993753	0.008013743	0.008066401	0.008025847	0.0083642	0.009093219	0.008221949	0.008427338	0.008400635	0.89303476	0.008239179	0.007697888	0.008263273	0.008157808
0.0063811606	0.006397122	0.0064391578	0.91420436	0.0066768825	0.0072588385	0.006563304	0.006727291	0.00670596	0.006815449	0.0065770806	0.0061449786	0.0065963073	0.0065121176
0.31693426	0.01290604	0.01299086	0.012925541	0.52339375	0.014644529	0.013241317	0.013572143	0.013529124	0.01375001	0.013269082	0.012397368	0.013307918	0.013138066
0.012873869	0.012906039	0.012990866	0.82690924	0.013470461	0.0146445185	0.01324132	0.013572141	0.0135291405	0.01375001	0.01326909	0.012397365	0.013307918	0.013138066
0.0042418507	0.0042524575	0.8033038	0.004258883	0.0044384226	0.14451072	0.0043629305	0.0044719344	0.0044577597	0.0045305453	0.004372081	0.0040848516	0.004384871	0.004328909
0.6878869	0.007114764	0.007161513	0.007125516	0.22409	0.008073179	0.007299597	0.0074819755	0.007458262	0.00758002	0.0073149074	0.006834341	0.0073363073	0.007242675
0.9769508	0.0017180872	0.0017293767	0.0017206826	0.0017932248	0.0019495237	0.00176272	0.0018067614	0.0018010363	0.0018304389	0.0017664186	0.0016503708	0.0017715861	0.0017489744
0.021709388	0.021763658	0.7082245	0.021796545	0.022715433	0.024695277	0.022329034	0.022886902	0.022814387	0.023186851	0.02237587	0.020905884	0.022441367	0.022154918
0.0063811564	0.006397111	0.00643915	0.0064067747	0.0066768765	0.007258822	0.0065633026	0.006727277	0.0067059584	0.0068154414	0.3909166	0.0061449804	0.006596316	0.5299702
0.069208264	0.069381274	0.0698372	0.0694861	0.072415434	0.07872693	0.07118366	0.07296209	0.07273084	0.07391824	0.071332954	0.06664672	0.07154169	0.07062859
0.03305123	0.033133898	0.033351596	0.033183925	0.034582917	0.03759717	0.0339946	0.034843948	0.03473351	0.03530064	0.55650353	0.03182793	0.03416558	0.03372952
0.007993773	0.008013752	0.38421434	0.008025862	0.5167131	0.009093239	0.008221943	0.008427358	0.008400651	0.008537786	0.008239181	0.007697902	0.008263291	0.008157826
0.0063811773	0.0063971314	0.006439169	0.00640681	0.006676907	0.007258953	0.0065633203	0.006727312	0.9145032	0.0068154614	0.00657709	0.006144995	0.0065963366	0.006512138
0.53259355	0.010723794	0.01079427	0.3342802	0.011192771	0.012168336	0.011002385	0.0112772705	0.011241523	0.011425063	0.011025457	0.010301124	0.011057711	0.010916585
0.005796493	0.0058109867	0.00584918	0.0058197705	0.006065113	0.92283934	0.005961945	0.006110902	0.0060915328	0.0061909975	0.0059744525	0.005581949	0.0059919385	0.005915453
0.28348762	0.005810977	0.6444037	0.0058197626	0.0060651074	0.0065937927	0.005961936	0.006110893	0.0060915234	0.006190971	0.0059744404	0.0055819484	0.005991925	0.0059154476
0.02170939	0.021763662	0.021906696	0.021796558	0.022715436	0.71101296	0.02232904	0.022886898	0.022814402	0.023186833	0.02237587	0.020905882	0.022441344	0.02215496
0.003975314	0.0039852555	0.00401144	0.003991274	0.0041595413	0.0045220926	0.0040887827	0.6001495	0.0041776495	0.35084736	0.004097359	0.0038281756	0.0041093617	0.0040568975
0.033051237	0.033133864	0.033351578	0.033183906	0.03458286	0.03759701	0.03399463	0.034843925	0.5571714	0.035300545	0.034066025	0.031827927	0.034165576	0.033729535
0.004241853	0.00425246	0.16109627	0.004258883	0.004438433	0.0048252787	0.004362933	0.78636485	0.0044577615	0.00453054	0.004372081	0.0040848535	0.004384875	0.004328907
0.00638116	0.0063971155	0.0064391578	0.006406779	0.006676884	0.007258826	0.006563308	0.175896	0.0067059626	0.74544436	0.006577071	0.0061449828	0.0065963105	0.006512118
0.9045512	0.0071147475	0.0071614976	0.0071254955	0.00742589	0.008073133	0.007299585	0.007481951	0.0074582496	0.0075800363	0.007314901	0.006834328	0.0073362915	0.0072426577
0.0070970026	0.0071147475	0.007161506	0.29284894	0.0074258856	0.619804	0.0072995764	0.0074819434	0.007458237	0.0075800144	0.0073148888	0.0068343263	0.0073362854	0.0072426596
0.021709392	0.021763675	0.70822436	0.021796554	0.022715425	0.024695287	0.022329057	0.022886973	0.022814395	0.023186844	0.022375872	0.020905888	0.022441374	0.02215492
0.009149907	0.009172791	0.00923306	0.009186642	0.009573933	0.87819993	0.009411075	0.009646205	0.009615627	0.0097726295	0.009430819	0.0088112485	0.009458406	0.009337693
