topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139	topic_140	topic_141	topic_142	topic_143	topic_144	topic_145	topic_146	topic_147	topic_148	topic_149
0.003325967	0.0033153668	0.0033260132	0.0033221624	0.0033153703	0.0033580873	0.003326005	0.0033153668	0.0033259972	0.0033683667	0.0033259883	0.0033153668	0.0033366627	0.0033260118	0.0033365902	0.0033153668	0.0033153668	0.0033365788	0.0033259317	0.0033259618	0.0033153668	0.0033260118	0.0033153668	0.0033366645	0.0033259967	0.0033153668	0.0033153668	0.0033261108	0.0033267161	0.0033153675	0.0033259746	0.0033323835	0.0033153668	0.0033365525	0.0033473067	0.0033153668	0.0033259785	0.0033578873	0.003326005	0.0033259972	0.0033472853	0.0033153668	0.0033153668	0.0033153668	0.0033153668	0.0033153668	0.003347289	0.0033366545	0.0033366396	0.003326005	0.0033260258	0.0033259883	0.0033153668	0.0033366336	0.0033366822	0.0033260118	0.0033365688	0.0033153668	0.0033259785	0.0033259785	0.0033260903	0.0033472255	0.0033259648	0.003325952	0.0033153668	0.5045601	0.0033366163	0.0033260342	0.003336688	0.003326005	0.0033153668	0.0033153668	0.0033153668	0.003336675	0.0033366275	0.003325967	0.0033153668	0.0033153668	0.0033153668	0.0033472443	0.0033260859	0.003336752	0.0033153668	0.0033153668	0.003326097	0.0033366687	0.0033366594	0.0033259785	0.0033153668	0.0033259708	0.0033153668	0.0033153668	0.0033259785	0.0033259883	0.003326006	0.0033158406	0.0033153668	0.003326039	0.0033259883	0.0033259953	0.0033153668	0.0033580957	0.0033153668	0.0033153668	0.003336732	0.0033153668	0.0033153668	0.0033153668	0.0033153668	0.0033153668	0.0033153668	0.0033153668	0.0033153668	0.0033153668	0.0033153668	0.0033259976	0.0033259785	0.0033153668	0.0033153668	0.0033153668	0.0033366096	0.0033259587	0.0033153668	0.0033366343	0.0033259785	0.0033153668	0.0033153668	0.0033366187	0.0033259937	0.0033365483	0.0033153668	0.0033153673	0.0033153668	0.0033366068	0.0033153668	0.003326005	0.0033366187	0.0033153668	0.0033153673	0.0033153668	0.0033153784	0.0033260554	0.0033259883	0.0033472376	0.0033260295	0.0033153668	0.0033260183	0.003336626	0.0033153668	0.0033259883
0.0022154865	0.0022084254	0.0022155172	0.0022129521	0.0022084278	0.0022368825	0.66997856	0.0022084254	0.0022155067	0.0022437298	0.0022155007	0.0022084254	0.002222611	0.0022155163	0.0022225627	0.0022084254	0.0022084254	0.0022225552	0.002215463	0.002215483	0.0022084254	0.0022155163	0.0022084254	0.0022226123	0.0022155063	0.0022084254	0.0022084254	0.0022155822	0.0022159854	0.002208426	0.0022154916	0.0022197606	0.0022084254	0.0022225378	0.0022297013	0.0022084254	0.0022154942	0.002236749	0.0022155119	0.0022155067	0.002229687	0.0022084254	0.0022084254	0.0022084254	0.0022084254	0.0022084254	0.0022296894	0.0022226057	0.0022225957	0.0022155119	0.0022155256	0.0022155007	0.0022084254	0.0022225918	0.002222624	0.0022155163	0.0022225487	0.0022084254	0.0022154942	0.0022154942	0.0022155687	0.0022296472	0.002215485	0.0022154765	0.0022084254	0.0022155163	0.0022225801	0.0022155312	0.0022226279	0.0022155119	0.0022084254	0.0022084254	0.0022084254	0.0022226193	0.0022225876	0.0022154865	0.0022084254	0.0022084254	0.0022084254	0.0022296598	0.0022155656	0.0022226707	0.0022084254	0.0022084254	0.002215573	0.002222615	0.002222609	0.0022154942	0.0022084254	0.002215489	0.0022084254	0.0022084254	0.0022154942	0.0022155007	0.0022155123	0.0022087411	0.0022084254	0.0022155344	0.0022155007	0.0022155053	0.0022084254	0.002236888	0.0022084254	0.0022084254	0.0022226572	0.0022084254	0.0022084254	0.0022084254	0.0022084254	0.0022084254	0.0022084254	0.0022084254	0.0022084254	0.0022084254	0.0022084254	0.002215507	0.0022154942	0.0022084254	0.0022084254	0.0022084254	0.0022225757	0.002215481	0.0022084254	0.0022225922	0.0022154942	0.0022084254	0.0022084254	0.0022225818	0.0022155044	0.002222535	0.0022084254	0.002208426	0.0022084254	0.0022225739	0.0022084254	0.0022155119	0.0022225818	0.0022084254	0.002208426	0.0022084254	0.0022084333	0.0022155454	0.0022155007	0.0022296552	0.0022155282	0.0022084254	0.0022155207	0.0022225867	0.0022084254	0.0022155007
0.0013284191	0.0013241853	0.20152521	0.0013268995	0.0013241867	0.0013412482	0.0013284342	0.0013241853	0.0013284312	0.0013453539	0.0013284277	0.0013241853	0.001332691	0.001328437	0.0013326621	0.0013241853	0.0013241853	0.0013326576	0.20152561	0.001328417	0.0013241853	0.001328437	0.0013241853	0.0013326918	0.001328431	0.0013241853	0.0013241853	0.0013284765	0.0013287183	0.0013241855	0.0013284221	0.0013309818	0.0013241853	0.001332647	0.0013369423	0.0013241853	0.0013284237	0.0013411683	0.0013284342	0.0013284312	0.0013369338	0.0013241853	0.0013241853	0.0013241853	0.0013241853	0.0013241853	0.0013369353	0.0013326878	0.0013326819	0.0013284342	0.0013284426	0.0013284277	0.0013241853	0.0013326794	0.0013326989	0.001328437	0.0013326536	0.0013241853	0.0013284237	0.0013284237	0.0013284683	0.00133691	0.0013284183	0.0013284131	0.0013241853	0.001328437	0.0013326725	0.0013284459	0.0013327012	0.0013284342	0.0013241853	0.0013241853	0.0013241853	0.001332696	0.001332677	0.0013284191	0.0013241853	0.0013241853	0.0013241853	0.0013369175	0.0013284666	0.0013327268	0.0013241853	0.0013241853	0.0013284711	0.0013326935	0.0013326898	0.0013284237	0.0013241853	0.0013284206	0.0013241853	0.0013241853	0.0013284237	0.0013284277	0.0013284347	0.0013243746	0.0013241853	0.0013284478	0.0013284277	0.0013284305	0.0013241853	0.0013412515	0.0013241853	0.0013241853	0.0013327188	0.0013241853	0.0013241853	0.0013241853	0.0013241853	0.0013241853	0.0013241853	0.0013241853	0.0013241853	0.0013241853	0.0013241853	0.0013284314	0.0013284237	0.0013241853	0.0013241853	0.0013241853	0.0013326698	0.0013284158	0.0013241853	0.0013326796	0.0013284237	0.0013241853	0.0013241853	0.0013326735	0.4017232	0.0013326454	0.0013241853	0.0013241855	0.0013241853	0.0013326687	0.0013241853	0.0013284342	0.0013326735	0.0013241853	0.0013241855	0.0013241853	0.00132419	0.0013284544	0.0013284277	0.0013369147	0.001328444	0.0013241853	0.0013284396	0.0013326764	0.0013241853	0.0013284277
0.0013284184	0.0013241847	0.0013284369	0.0013268989	0.0013241861	0.0013412476	0.0013284336	0.0013241847	0.0013284305	0.0013453532	0.001328427	0.0013241847	0.0013326905	0.0013284363	0.0013326615	0.0013241847	0.0013241847	0.001332657	0.0013284043	0.0013284164	0.0013241847	0.8021173	0.0013241847	0.0013326912	0.0013284304	0.0013241847	0.0013241847	0.0013284759	0.0013287177	0.0013241849	0.0013284215	0.0013309813	0.0013241847	0.0013326465	0.0013369417	0.0013241847	0.001328423	0.0013411677	0.0013284336	0.0013284305	0.0013369331	0.0013241847	0.0013241847	0.0013241847	0.0013241847	0.0013241847	0.0013369346	0.0013326872	0.0013326812	0.0013284336	0.0013284419	0.001328427	0.0013241847	0.0013326787	0.0013326982	0.0013284363	0.001332653	0.0013241847	0.001328423	0.001328423	0.0013284677	0.0013369092	0.0013284176	0.0013284124	0.0013241847	0.0013284363	0.0013326718	0.0013284453	0.0013327005	0.0013284336	0.0013241847	0.0013241847	0.0013241847	0.0013326954	0.0013326764	0.0013284184	0.0013241847	0.0013241847	0.0013241847	0.0013369168	0.001328466	0.0013327261	0.0013241847	0.0013241847	0.0013284704	0.0013326928	0.0013326891	0.001328423	0.0013241847	0.00132842	0.0013241847	0.0013241847	0.001328423	0.001328427	0.001328434	0.0013243739	0.0013241847	0.0013284473	0.001328427	0.0013284298	0.0013241847	0.001341251	0.0013241847	0.0013241847	0.0013327181	0.0013241847	0.0013241847	0.0013241847	0.0013241847	0.0013241847	0.0013241847	0.0013241847	0.0013241847	0.0013241847	0.0013241847	0.0013284307	0.001328423	0.0013241847	0.0013241847	0.0013241847	0.0013326692	0.0013284151	0.0013241847	0.0013326791	0.001328423	0.0013241847	0.0013241847	0.0013326728	0.0013284291	0.0013326447	0.0013241847	0.0013241848	0.0013241847	0.001332668	0.0013241847	0.0013284336	0.0013326728	0.0013241847	0.0013241848	0.0013241847	0.0013241894	0.0013284538	0.001328427	0.0013369141	0.0013284434	0.0013241847	0.001328439	0.0013326758	0.0013241847	0.001328427
0.003325965	0.0033153647	0.0033260111	0.0033221603	0.0033153682	0.0033580852	0.003326003	0.0033153647	0.0033259953	0.0033683646	0.0033259864	0.0033153647	0.0033366608	0.0033260097	0.0033365882	0.0033153647	0.0033153647	0.003336577	0.0033259296	0.00332596	0.0033153647	0.0033260097	0.0033153647	0.0033366627	0.0033259948	0.0033153647	0.0033153647	0.0033261087	0.003326714	0.0033153654	0.0033259727	0.0033323814	0.0033153647	0.0033365507	0.0033473046	0.0033153647	0.0033259767	0.0033578852	0.003326003	0.0033259953	0.0033472832	0.0033153647	0.0033153647	0.0033153647	0.0033153647	0.0033153647	0.003347287	0.0033366526	0.0033366375	0.003326003	0.0033260237	0.0033259864	0.0033153647	0.0033366315	0.0033366801	0.0033260097	0.003336567	0.0033153647	0.0033259767	0.0033259767	0.0033260884	0.0033472236	0.003325963	0.50456035	0.0033153647	0.0033260097	0.0033366142	0.003326032	0.003336686	0.003326003	0.0033153647	0.0033153647	0.0033153647	0.0033366731	0.0033366254	0.003325965	0.0033153647	0.0033153647	0.0033153647	0.0033472425	0.003326084	0.0033367502	0.0033153647	0.0033153647	0.0033260952	0.0033366669	0.0033366575	0.0033259767	0.0033153647	0.003325969	0.0033153647	0.0033153647	0.0033259767	0.0033259864	0.003326004	0.0033158385	0.0033153647	0.003326037	0.0033259864	0.0033259934	0.0033153647	0.0033580938	0.0033153647	0.0033153647	0.00333673	0.0033153647	0.0033153647	0.0033153647	0.0033153647	0.0033153647	0.0033153647	0.0033153647	0.0033153647	0.0033153647	0.0033153647	0.0033259958	0.0033259767	0.0033153647	0.0033153647	0.0033153647	0.0033366075	0.0033259566	0.0033153647	0.0033366322	0.0033259767	0.0033153647	0.0033153647	0.0033366166	0.0033259918	0.0033365465	0.0033153647	0.0033153652	0.0033153647	0.0033366047	0.0033153647	0.003326003	0.0033366166	0.0033153647	0.0033153652	0.0033153647	0.0033153766	0.0033260533	0.0033259864	0.0033472357	0.0033260274	0.0033153647	0.0033260162	0.003336624	0.0033153647	0.0033259864
0.0016609337	0.0016556402	0.0016609569	0.0016590338	0.001655642	0.0016769741	0.21679848	0.0016556402	0.001660949	0.0016821076	0.0016609445	0.0016556402	0.0016662751	0.0016609562	0.0016662389	0.0016556402	0.0016556402	0.0016662333	0.0016609161	0.0016609312	0.0016556402	0.0016609562	0.0016556402	0.001666276	0.0016609487	0.0016556402	0.0016556402	0.0016610055	0.0016613079	0.0016556405	0.0016609376	0.001664138	0.0016556402	0.00166622	0.0016715905	0.0016556402	0.0016609395	0.0016768742	0.0016609528	0.001660949	0.0016715798	0.0016556402	0.0016556402	0.0016556402	0.0016556402	0.0016556402	0.0016715816	0.001666271	0.0016662636	0.0016609528	0.0016609632	0.0016609445	0.0016556402	0.0016662605	0.0016662847	0.0016609562	0.0016662283	0.0016556402	0.0016609395	0.0016609395	0.0016609954	0.00167155	0.0016609327	0.0016609263	0.0016556402	0.0016609562	0.0016662519	0.0016609674	0.0016662877	0.0016609528	0.0016556402	0.0016556402	0.0016556402	0.0016662813	0.28714496	0.0016609337	0.0016556402	0.0016556402	0.0016556402	0.0016715594	0.0016609932	0.0016663197	0.0016556402	0.0016556402	0.0016609988	0.0016662781	0.0016662735	0.0016609395	0.0016556402	0.0016609357	0.0016556402	0.0016556402	0.0016609395	0.0016609445	0.0016609533	0.0016558769	0.0016556402	0.0016609698	0.0016609445	0.001660948	0.0016556402	0.0016769783	0.0016556402	0.0016556402	0.0016663097	0.0016556402	0.0016556402	0.0016556402	0.0016556402	0.0016556402	0.0016556402	0.0016556402	0.0016556402	0.0016556402	0.0016556402	0.0016609492	0.25196913	0.0016556402	0.0016556402	0.0016556402	0.0016662485	0.0016609296	0.0016556402	0.0016662609	0.0016609395	0.0016556402	0.0016556402	0.0016662531	0.0016609472	0.0016662179	0.0016556402	0.0016556404	0.0016556402	0.0016662471	0.0016556402	0.0016609528	0.0016662531	0.0016556402	0.0016556404	0.0016556402	0.001655646	0.001660978	0.0016609445	0.001671556	0.001660965	0.0016556402	0.0016609594	0.0016662568	0.0016556402	0.0016609445
0.0022154883	0.0022084275	0.002215519	0.002212954	0.0022084299	0.0022368843	0.33609694	0.0022084275	0.0022155086	0.0022437316	0.0022155026	0.0022084275	0.002222613	0.0022155182	0.0022225648	0.0022084275	0.0022084275	0.0022225573	0.0022154648	0.0022154849	0.0022084275	0.0022155182	0.0022084275	0.0022226144	0.0022155084	0.0022084275	0.0022084275	0.002215584	0.0022159875	0.002208428	0.0022154935	0.33610108	0.0022084275	0.0022225396	0.0022297031	0.0022084275	0.002215496	0.0022367511	0.0022155137	0.0022155086	0.002229689	0.0022084275	0.0022084275	0.0022084275	0.0022084275	0.0022084275	0.0022296915	0.0022226076	0.0022225976	0.0022155137	0.0022155275	0.0022155026	0.0022084275	0.0022225936	0.002222626	0.0022155182	0.0022225506	0.0022084275	0.002215496	0.002215496	0.0022155705	0.002229649	0.002215487	0.0022154783	0.0022084275	0.0022155182	0.002222582	0.002215533	0.0022226297	0.0022155137	0.0022084275	0.0022084275	0.0022084275	0.0022226213	0.0022225897	0.0022154883	0.0022084275	0.0022084275	0.0022084275	0.0022296617	0.0022155677	0.0022226726	0.0022084275	0.0022084275	0.0022155752	0.0022226172	0.0022226109	0.002215496	0.0022084275	0.002215491	0.0022084275	0.0022084275	0.002215496	0.0022155026	0.0022155144	0.002208743	0.0022084275	0.0022155363	0.0022155026	0.0022155074	0.0022084275	0.00223689	0.0022084275	0.0022084275	0.0022226593	0.0022084275	0.0022084275	0.0022084275	0.0022084275	0.0022084275	0.0022084275	0.0022084275	0.0022084275	0.0022084275	0.0022084275	0.0022155088	0.002215496	0.0022084275	0.0022084275	0.0022084275	0.0022225776	0.002215483	0.0022084275	0.002222594	0.002215496	0.0022084275	0.0022084275	0.0022225836	0.0022155063	0.0022225368	0.0022084275	0.0022084278	0.0022084275	0.0022225757	0.0022084275	0.0022155137	0.0022225836	0.0022084275	0.0022084278	0.0022084275	0.0022084352	0.0022155473	0.0022155026	0.0022296573	0.00221553	0.0022084275	0.0022155226	0.0022225888	0.0022084275	0.0022155026
0.0016609321	0.0016556386	0.0016609551	0.0016590322	0.0016556403	0.0016769725	0.0016609511	0.0016556386	0.0016609472	0.0016821058	0.0016609428	0.0016556386	0.0016662735	0.0016609544	0.0016662371	0.0016556386	0.0016556386	0.0016662315	0.0016609145	0.0016609295	0.0016556386	0.0016609544	0.0016556386	0.75259095	0.001660947	0.0016556386	0.0016556386	0.0016610039	0.0016613062	0.0016556389	0.0016609359	0.0016641364	0.0016556386	0.0016662184	0.0016715889	0.0016556386	0.0016609379	0.0016768726	0.0016609511	0.0016609472	0.0016715782	0.0016556386	0.0016556386	0.0016556386	0.0016556386	0.0016556386	0.00167158	0.0016662693	0.0016662618	0.0016609511	0.0016609614	0.0016609428	0.0016556386	0.0016662588	0.0016662831	0.0016609544	0.0016662265	0.0016556386	0.0016609379	0.0016609379	0.0016609938	0.0016715482	0.001660931	0.0016609246	0.0016556386	0.0016609544	0.0016662502	0.0016609656	0.001666286	0.0016609511	0.0016556386	0.0016556386	0.0016556386	0.0016662796	0.0016662558	0.0016609321	0.0016556386	0.0016556386	0.0016556386	0.0016715577	0.0016609916	0.001666318	0.0016556386	0.0016556386	0.0016609972	0.0016662765	0.0016662717	0.0016609379	0.0016556386	0.0016609341	0.0016556386	0.0016556386	0.0016609379	0.0016609428	0.0016609515	0.0016558751	0.0016556386	0.0016609681	0.0016609428	0.0016609463	0.0016556386	0.0016769767	0.0016556386	0.0016556386	0.001666308	0.0016556386	0.0016556386	0.0016556386	0.0016556386	0.0016556386	0.0016556386	0.0016556386	0.0016556386	0.0016556386	0.0016556386	0.0016609475	0.0016609379	0.0016556386	0.0016556386	0.0016556386	0.0016662468	0.001660928	0.0016556386	0.0016662591	0.0016609379	0.0016556386	0.0016556386	0.0016662513	0.0016609455	0.0016662163	0.0016556386	0.0016556388	0.0016556386	0.0016662454	0.0016556386	0.0016609511	0.0016662513	0.0016556386	0.0016556388	0.0016556386	0.0016556444	0.0016609762	0.0016609428	0.0016715543	0.0016609633	0.0016556386	0.0016609577	0.0016662551	0.0016556386	0.0016609428
0.00094860414	0.0009455809	0.00094861735	0.00094751903	0.0009455819	0.00095776527	0.000948615	0.0009455809	0.0009486128	0.00096069707	0.00094861025	0.0009455809	0.00095165474	0.00094861694	0.000951634	0.0009455809	0.0009455809	0.0009516308	0.00094859407	0.0009486027	0.0009455809	0.00094861694	0.0009455809	0.36085388	0.0009486127	0.0009455809	0.0009455809	0.0009486452	0.0009488178	0.00094558107	0.00094860635	0.00095043425	0.0009455809	0.0009516233	0.0009546905	0.0009455809	0.00094860746	0.0009577082	0.000948615	0.0009486128	0.0009546844	0.0009455809	0.0009455809	0.0009455809	0.0009455809	0.0009455809	0.00095468544	0.0009516524	0.0009516481	0.000948615	0.0009486209	0.00094861025	0.0009455809	0.0009516464	0.0009516603	0.00094861694	0.00095162797	0.0009455809	0.00094860746	0.00094860746	0.00094863935	0.00095466734	0.00094860356	0.0009485999	0.0009455809	0.00094861694	0.0009516415	0.00094862335	0.0009516619	0.14390627	0.0009455809	0.0009455809	0.0009455809	0.00095165824	0.0009516447	0.00094860414	0.0009455809	0.0009455809	0.0009455809	0.00095467275	0.0009486381	0.00095168024	0.0009455809	0.0009455809	0.0009486413	0.00095165643	0.0009516538	0.00094860746	0.0009455809	0.0009486053	0.0009455809	0.0009455809	0.00094860746	0.00094861025	0.00094861526	0.000945716	0.0009455809	0.00094862474	0.00094861025	0.0009486123	0.0009455809	0.00095776765	0.0009455809	0.0009455809	0.0009516745	0.0009455809	0.0009455809	0.0009455809	0.0009455809	0.0009455809	0.0009455809	0.0009455809	0.0009455809	0.0009455809	0.0009455809	0.0009486129	0.35583496	0.0009455809	0.0009455809	0.0009455809	0.00095163955	0.0009486018	0.0009455809	0.0009516466	0.00094860746	0.0009455809	0.0009455809	0.0009516421	0.0009486118	0.0009516221	0.0009455809	0.000945581	0.0009455809	0.00095163874	0.0009455809	0.000948615	0.0009516421	0.0009455809	0.000945581	0.0009455809	0.0009455842	0.0009486294	0.00094861025	0.00095467083	0.000948622	0.0009455809	0.0009486188	0.00095164427	0.0009455809	0.00094861025
0.006668393	0.0066471403	0.0066684857	0.006660765	0.0066471472	0.0067327926	0.0066684694	0.0066471403	0.0066684536	0.0067534023	0.006668436	0.0066471403	0.0066898377	0.006668483	0.006689692	0.0066471403	0.0066471403	0.0066896696	0.0066683223	0.006668383	0.0066471403	0.006668483	0.0066471403	0.0066898414	0.0066684526	0.0066471403	0.0066471403	0.0066686813	0.0066698953	0.0066471417	0.0066684084	0.006681258	0.0066471403	0.0066896165	0.006711178	0.0066471403	0.0066684163	0.0067323917	0.0066684694	0.0066684536	0.006711135	0.0066471403	0.0066471403	0.0066471403	0.0066471403	0.0066471403	0.0067111426	0.0066898214	0.006689791	0.0066684694	0.006668511	0.006668436	0.0066471403	0.006689779	0.0066898763	0.006668483	0.0066896495	0.0066471403	0.0066684163	0.0066684163	0.0066686403	0.0067110155	0.006668389	0.006668363	0.0066471403	0.006668483	0.0066897445	0.0066685276	0.006689888	0.0066684694	0.0066471403	0.0066471403	0.0066471403	0.0066898623	0.006689767	0.006668393	0.0066471403	0.0066471403	0.0066471403	0.006711053	0.0066686315	0.006690017	0.0066471403	0.0066471403	0.0066686543	0.00668985	0.006689831	0.0066684163	0.0066471403	0.006668401	0.0066471403	0.0066471403	0.0066684163	0.006668436	0.0066684713	0.00664809	0.0066471403	0.0066685374	0.006668436	0.00666845	0.0066471403	0.0067328094	0.0066471403	0.0066471403	0.0066899764	0.0066471403	0.0066471403	0.0066471403	0.0066471403	0.0066471403	0.0066471403	0.0066471403	0.0066471403	0.0066471403	0.0066471403	0.0066684545	0.0066684163	0.0066471403	0.0066471403	0.0066471403	0.006689731	0.0066683767	0.0066471403	0.0066897804	0.0066684163	0.0066471403	0.0066471403	0.006689749	0.0066684466	0.006689608	0.0066471403	0.006647141	0.0066471403	0.0066897254	0.0066471403	0.0066684694	0.006689749	0.0066471403	0.006647141	0.0066471403	0.0066471635	0.0066685705	0.006668436	0.0067110397	0.0066685183	0.0066471403	0.006668496	0.006689764	0.0066471403	0.006668436
