topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.029178806	0.0297789	0.030197185	0.029871006	0.029758023	0.03307697	0.029686606	0.03088567	0.030771874	0.030755762	0.029961815	0.54840684	0.029629372	0.029432682	0.029289447	0.029319093
0.01920182	0.019596726	0.019871987	0.01965734	0.019582981	0.021767119	0.01953599	0.020325072	0.020250177	0.020239575	0.019717103	0.01896708	0.019498333	0.019368889	0.70312566	0.019294139
0.011403512	0.011638036	0.36804327	0.011674034	0.011629873	0.012926979	0.011601966	0.012070592	0.46803093	0.0120198075	0.011709522	0.011264102	0.011579601	0.011502728	0.011446749	0.011458335
0.011403502	0.011638028	0.011801495	0.011674023	0.011629865	0.012926964	0.011601957	0.012070568	0.012026096	0.5079193	0.011709514	0.011264093	0.011579591	0.3278499	0.011446743	0.011458329
0.5487635	0.029778939	0.030197166	0.029870996	0.029758008	0.033076998	0.029686593	0.030885695	0.030771857	0.03075576	0.02996181	0.028822083	0.02962936	0.029432667	0.029289436	0.02931908
0.014309155	0.014603441	0.014808564	0.014648608	0.014593196	0.78062725	0.014558178	0.0151462	0.015090389	0.015082495	0.014693141	0.014134227	0.014530115	0.014433655	0.014363416	0.014377951
0.019201841	0.019596748	0.01987201	0.01965736	0.019583004	0.02176715	0.019536009	0.020325094	0.0202502	0.020239599	0.7035678	0.0189671	0.019498352	0.019368907	0.019274654	0.019294158
0.01430915	0.014603432	0.014808551	0.014648599	0.0145931905	0.78062737	0.014558168	0.015146196	0.015090378	0.015082482	0.0146931335	0.014134217	0.014530103	0.014433646	0.014363404	0.014377942
0.008109932	0.008276721	0.0083929775	0.008302321	0.008270917	0.0091934	0.008251072	0.008584342	0.008552708	0.875022	0.0083275605	0.008010786	0.008235161	0.0081804935	0.008140686	0.008148922
0.060736634	0.061985742	0.0628564	0.062177468	0.061942272	0.06885079	0.06179363	0.064289525	0.06405265	0.064019114	0.062366493	0.059994128	0.061674505	0.061265085	0.060966935	0.061028644
0.53158456	0.008276691	0.008392947	0.008302292	0.00827089	0.00919336	0.008251039	0.0085843075	0.008552677	0.0085482	0.008327532	0.00801076	0.008235132	0.008180465	0.008140655	0.35114843
0.005658449	0.0057748207	0.005855935	0.005792683	0.0057707704	0.0064143995	0.005756924	0.00598945	0.0059673865	0.005964257	0.005810293	0.0055892738	0.9125821	0.0057076802	0.005679905	0.0056856526
0.0029674533	0.0030284817	0.0030710204	0.0030378492	0.003026358	0.003363896	0.0030190959	0.00314104	0.95427173	0.0031278285	0.0030470844	0.002931176	0.0030132767	0.002993272	0.002978705	0.00298172
0.008109894	0.008276682	0.0083929375	0.008302283	0.008270878	0.24088709	0.008251031	0.008584298	0.0085526705	0.008548193	0.5119591	0.13915984	0.008235124	0.008180456	0.008140645	0.008148885
0.014309169	0.014603452	0.014808573	0.014648618	0.014593236	0.01622082	0.014558191	0.015146211	0.015090404	0.015082502	0.014693156	0.7785405	0.014530129	0.014433668	0.014363427	0.014377965
0.02917881	0.5493636	0.030197171	0.029871002	0.029758016	0.03307701	0.0296866	0.030885693	0.030771863	0.030755766	0.029961817	0.028822089	0.029629366	0.029432673	0.029289441	0.029319085
0.01920182	0.019596728	0.703723	0.019657338	0.019582983	0.02176711	0.019535989	0.020325083	0.020250179	0.020239575	0.0197171	0.018967077	0.019498331	0.019368887	0.019274632	0.019294139
0.004345034	0.0044343947	0.0044966815	0.0044481107	0.0044312845	0.0049255164	0.6059391	0.004599205	0.00458226	0.23223472	0.0044616335	0.0042919163	0.0044121286	0.103670605	0.00436151	0.0043659243
0.008109893	0.8747511	0.008392937	0.008302281	0.0082708765	0.009193346	0.008251028	0.008584299	0.008552666	0.00854819	0.00832752	0.008010748	0.008235122	0.0081804525	0.008140643	0.008148883
0.30264264	0.005774814	0.0058559277	0.005792676	0.27579722	0.3462401	0.005756916	0.0059894454	0.0059673763	0.0059642512	0.005810286	0.0055892677	0.0057458184	0.0057076747	0.0056798984	0.005685648
