topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139	topic_140	topic_141	topic_142	topic_143	topic_144	topic_145	topic_146	topic_147	topic_148	topic_149	topic_150	topic_151	topic_152	topic_153	topic_154	topic_155	topic_156	topic_157	topic_158	topic_159	topic_160	topic_161	topic_162	topic_163	topic_164	topic_165	topic_166	topic_167	topic_168	topic_169
0.0029383986	0.0029383912	0.0029384072	0.0029384063	0.0029477784	0.0029478548	0.0029290507	0.0029384117	0.0029290507	0.0029290507	0.0029290507	0.0029290507	0.0029384175	0.0029290507	0.002947783	0.0029290507	0.0029290507	0.0029384447	0.0029384058	0.0029383912	0.0029290507	0.0029571122	0.0029290507	0.0029477666	0.0029290507	0.0029290507	0.0029290507	0.0029383728	0.0029477666	0.0029290507	0.0029357907	0.0029384117	0.0029290507	0.0029290507	0.0029383986	0.0029478504	0.002938422	0.002966563	0.0029290507	0.0029290507	0.0029290507	0.0029383912	0.0029571701	0.0029290507	0.0029290507	0.0029290507	0.0029384056	0.0029477866	0.002938361	0.0029384117	0.0029290507	0.0029383944	0.0029290507	0.0029290507	0.0029384042	0.0029384117	0.002938417	0.0029290507	0.0029290507	0.0029290507	0.0029383805	0.0029290507	0.0029290507	0.0029384117	0.0029290675	0.0029290507	0.002975879	0.0029384084	0.0029290507	0.0029290507	0.002938399	0.0029290507	0.0029383777	0.0029290507	0.0029290507	0.0029290507	0.503895	0.0029383986	0.0029290507	0.0029329883	0.0029290507	0.0029290507	0.002938426	0.0029290507	0.0029384263	0.0029384173	0.0029477703	0.0029477687	0.0029290507	0.0029290507	0.0029384058	0.0029384058	0.002938422	0.002938483	0.0029384308	0.0029290507	0.0029383816	0.0029290507	0.0029478185	0.0029290507	0.0029384117	0.0029478264	0.0029383404	0.0029290507	0.0029290507	0.0029384117	0.0029290507	0.0029290507	0.0029290507	0.0029290507	0.0029290507	0.0029290507	0.0029290507	0.0029290507	0.0029383616	0.0029759044	0.0029290507	0.0029477994	0.0029290507	0.0029290507	0.0029383986	0.0029290507	0.0029290556	0.002955716	0.0029383912	0.002938422	0.0029290507	0.0029290677	0.0029384145	0.0029290507	0.0029383986	0.0029290507	0.0029290507	0.0029384692	0.0029290507	0.0029384058	0.0029290507	0.0029383725	0.0029384447	0.0029384173	0.0029290507	0.0029384173	0.0029290507	0.0029384117	0.0029290507	0.0029384173	0.0029290507	0.0029290507	0.002938351	0.002929059	0.002938344	0.0029384415	0.0029477666	0.0029384308	0.00294783	0.0029383986	0.0029384533	0.0029384575	0.002938397	0.0029290507	0.0029290577	0.0029383912	0.0029290507	0.0029290507	0.0029290507	0.0029384056	0.0029384117	0.0029384692	0.0029290507	0.0029290507
0.0019576843	0.0019576794	0.0019576899	0.0019576894	0.0019639337	0.0019639845	0.0019514563	0.001957693	0.0019514563	0.0019514563	0.0019514563	0.0019514563	0.0019576969	0.0019514563	0.0019639365	0.0019514563	0.0019514563	0.001957715	0.001957689	0.0019576794	0.0019514563	0.0019706776	0.0019514563	0.0019639255	0.0019514563	0.0019514563	0.0019514563	0.001957667	0.0019639255	0.0019514563	0.0019559467	0.001957693	0.0019514563	0.0019514563	0.0019576843	0.0019639814	0.0019576997	0.0019764486	0.0019514563	0.0019514563	0.0019514563	0.0019576794	0.0019701906	0.0019514563	0.0019514563	0.0019514563	0.001957689	0.0019639388	0.0019576591	0.001957693	0.0019514563	0.0019576815	0.0019514563	0.0019514563	0.001957688	0.001957693	0.0019576964	0.0019514563	0.0019514563	0.0019514563	0.0019576722	0.0019514563	0.0019514563	0.001957693	0.0019514675	0.0019514563	0.0019826554	0.0019576908	0.0019514563	0.0019514563	0.0019576845	0.0019514563	0.0019576703	0.0019514563	0.0019514563	0.0019514563	0.0019576845	0.0019576843	0.0019514563	0.0019540798	0.0019514563	0.0019514563	0.0019577025	0.0019514563	0.0019577027	0.0019576966	0.001963928	0.001963927	0.0019514563	0.0019514563	0.001957689	0.001957689	0.0019576997	0.0019577404	0.6694736	0.0019514563	0.001957673	0.0019514563	0.0019639602	0.0019514563	0.001957693	0.0019639654	0.0019576454	0.0019514563	0.0019514563	0.001957693	0.0019514563	0.0019514563	0.0019514563	0.0019514563	0.0019514563	0.0019514563	0.0019514563	0.0019514563	0.0019576596	0.0019826721	0.0019514563	0.0019639474	0.0019514563	0.0019514563	0.0019576843	0.0019514563	0.0019514596	0.0019692217	0.0019576794	0.0019576997	0.0019514563	0.0019514676	0.0019576948	0.0019514563	0.0019576843	0.0019514563	0.0019514563	0.0019577313	0.0019514563	0.001957689	0.0019514563	0.001957667	0.001957715	0.0019576966	0.0019514563	0.0019576966	0.0019514563	0.001957693	0.0019514563	0.0019576966	0.0019514563	0.0019514563	0.0019576524	0.0019514619	0.0019576477	0.0019577127	0.0019639255	0.0019577057	0.0019639677	0.0019576843	0.0019577206	0.0019577236	0.0019576834	0.0019514563	0.001951461	0.0019576794	0.0019514563	0.0019514563	0.0019514563	0.001957689	0.001957693	0.0019577313	0.0019514563	0.0019514563
0.0011740117	0.0011740088	0.20132655	0.0011740148	0.0011777594	0.0011777899	0.0011702769	0.001174017	0.0011702769	0.0011702769	0.0011702769	0.0011702769	0.0011740193	0.0011702769	0.0011777612	0.0011702769	0.0011702769	0.0011740301	0.0011740146	0.0011740088	0.0011702769	0.0011814886	0.0011702769	0.0011777547	0.0011702769	0.0011702769	0.0011702769	0.0011740015	0.0011777547	0.0011702769	0.0011729698	0.001174017	0.0011702769	0.0011702769	0.0011740117	0.0011777881	0.001174021	0.0011852646	0.0011702769	0.0011702769	0.0011702769	0.0011740088	0.0011815117	0.0011702769	0.0011702769	0.0011702769	0.0011740145	0.0011777626	0.0011739967	0.001174017	0.0011702769	0.0011740101	0.0011702769	0.0011702769	0.001174014	0.001174017	0.40148014	0.0011702769	0.0011702769	0.0011702769	0.0011740045	0.0011702769	0.0011702769	0.001174017	0.0011702835	0.0011702769	0.0011889867	0.0011740156	0.0011702769	0.0011702769	0.0011740118	0.0011702769	0.0011740035	0.0011702769	0.0011702769	0.0011702769	0.0011740118	0.2013269	0.0011702769	0.0011718501	0.0011702769	0.0011702769	0.0011740227	0.0011702769	0.0011740228	0.0011740192	0.0011777561	0.0011777555	0.0011702769	0.0011702769	0.0011740146	0.0011740146	0.001174021	0.0011740455	0.0011740245	0.0011702769	0.001174005	0.0011702769	0.0011777753	0.0011702769	0.001174017	0.0011777786	0.0011739885	0.0011702769	0.0011702769	0.001174017	0.0011702769	0.0011702769	0.0011702769	0.0011702769	0.0011702769	0.0011702769	0.0011702769	0.0011702769	0.001173997	0.001188997	0.0011702769	0.0011777678	0.0011702769	0.0011702769	0.0011740117	0.0011702769	0.0011702788	0.0011809308	0.0011740088	0.001174021	0.0011702769	0.0011702836	0.001174018	0.0011702769	0.0011740117	0.0011702769	0.0011702769	0.0011740399	0.0011702769	0.0011740146	0.0011702769	0.0011740014	0.0011740301	0.0011740192	0.0011702769	0.0011740192	0.0011702769	0.001174017	0.0011702769	0.0011740192	0.0011702769	0.0011702769	0.0011739926	0.0011702802	0.0011739898	0.0011740288	0.0011777547	0.0011740245	0.00117778	0.0011740117	0.0011740336	0.0011740352	0.0011740112	0.0011702769	0.0011702797	0.0011740088	0.0011702769	0.0011702769	0.0011702769	0.0011740145	0.001174017	0.0011740399	0.0011702769	0.0011702769
0.0011740112	0.0011740082	0.0011740146	0.0011740142	0.0011777589	0.0011777893	0.0011702763	0.0011740164	0.0011702763	0.0011702763	0.0011702763	0.0011702763	0.0011740187	0.0011702763	0.0011777607	0.0011702763	0.0011702763	0.0011740297	0.0011740141	0.0011740082	0.0011702763	0.001181488	0.0011702763	0.0011777541	0.0011702763	0.0011702763	0.0011702763	0.0011740009	0.0011777541	0.0011702763	0.0011729692	0.0011740164	0.0011702763	0.0011702763	0.0011740112	0.0011777875	0.0011740205	0.001185264	0.0011702763	0.0011702763	0.0011702763	0.0011740082	0.0011815111	0.0011702763	0.0011702763	0.0011702763	0.001174014	0.001177762	0.0011739961	0.0011740164	0.0011702763	0.0011740095	0.0011702763	0.0011702763	0.0011740134	0.0011740164	0.0011740185	0.0011702763	0.0011702763	0.0011702763	0.0011740039	0.0011702763	0.0011702763	0.0011740164	0.001170283	0.0011702763	0.0011889861	0.0011740151	0.0011702763	0.0011702763	0.0011740114	0.0011702763	0.0011740029	0.0011702763	0.0011702763	0.0011702763	0.0011740114	0.0011740112	0.0011702763	0.0011718496	0.0011702763	0.0011702763	0.0011740221	0.0011702763	0.0011740222	0.0011740186	0.0011777557	0.001177755	0.0011702763	0.0011702763	0.0011740141	0.0011740141	0.0011740205	0.0011740449	0.001174024	0.0011702763	0.0011740044	0.0011702763	0.0011777749	0.0011702763	0.0011740164	0.001177778	0.001173988	0.0011702763	0.0011702763	0.3687331	0.0011702763	0.0011702763	0.0011702763	0.0011702763	0.0011702763	0.0011702763	0.0011702763	0.0011702763	0.0011739964	0.0011889964	0.0011702763	0.0011777672	0.0011702763	0.0011702763	0.0011740112	0.0011702763	0.0011702783	0.0011809302	0.0011740082	0.0011740205	0.0011702763	0.0011702831	0.0011740174	0.0011702763	0.0011740112	0.0011702763	0.0011702763	0.0011740394	0.0011702763	0.0011740141	0.0011702763	0.0011740008	0.0011740297	0.0011740186	0.0011702763	0.0011740186	0.0011702763	0.0011740164	0.0011702763	0.0011740186	0.0011702763	0.0011702763	0.0011739922	0.0011702797	0.0011739894	0.43422654	0.0011777541	0.001174024	0.0011777794	0.0011740112	0.001174033	0.0011740348	0.0011740106	0.0011702763	0.0011702791	0.0011740082	0.0011702763	0.0011702763	0.0011702763	0.001174014	0.0011740164	0.0011740394	0.0011702763	0.0011702763
0.0029383977	0.0029383905	0.0029384065	0.0029384056	0.0029477777	0.002947854	0.00292905	0.002938411	0.00292905	0.00292905	0.00292905	0.00292905	0.0029384168	0.00292905	0.0029477824	0.00292905	0.00292905	0.002938444	0.0029384051	0.0029383905	0.00292905	0.0029571115	0.00292905	0.0029477659	0.00292905	0.00292905	0.00292905	0.002938372	0.0029477659	0.00292905	0.00293579	0.002938411	0.00292905	0.00292905	0.0029383977	0.0029478497	0.0029384212	0.0029665623	0.00292905	0.00292905	0.00292905	0.0029383905	0.0029571694	0.00292905	0.00292905	0.00292905	0.002938405	0.002947786	0.0029383602	0.002938411	0.00292905	0.0029383937	0.00292905	0.00292905	0.0029384035	0.002938411	0.0029384163	0.00292905	0.00292905	0.00292905	0.0029383798	0.00292905	0.00292905	0.002938411	0.0029290668	0.00292905	0.0029758783	0.0029384077	0.00292905	0.00292905	0.0029383982	0.00292905	0.002938377	0.00292905	0.00292905	0.00292905	0.0029383982	0.0029383977	0.00292905	0.0029329876	0.00292905	0.00292905	0.0029384254	0.00292905	0.0029384256	0.0029384166	0.0029477696	0.002947768	0.00292905	0.00292905	0.0029384051	0.5038951	0.0029384212	0.0029384822	0.00293843	0.00292905	0.002938381	0.00292905	0.0029478178	0.00292905	0.002938411	0.0029478257	0.0029383397	0.00292905	0.00292905	0.002938411	0.00292905	0.00292905	0.00292905	0.00292905	0.00292905	0.00292905	0.00292905	0.00292905	0.002938361	0.0029759037	0.00292905	0.0029477987	0.00292905	0.00292905	0.0029383977	0.00292905	0.002929055	0.0029557154	0.0029383905	0.0029384212	0.00292905	0.002929067	0.0029384138	0.00292905	0.0029383977	0.00292905	0.00292905	0.0029384685	0.00292905	0.0029384051	0.00292905	0.0029383719	0.002938444	0.0029384166	0.00292905	0.0029384166	0.00292905	0.002938411	0.00292905	0.0029384166	0.00292905	0.00292905	0.0029383502	0.0029290584	0.0029383432	0.0029384408	0.0029477659	0.00293843	0.0029478292	0.0029383977	0.0029384526	0.0029384568	0.0029383963	0.00292905	0.002929057	0.0029383905	0.00292905	0.00292905	0.00292905	0.002938405	0.002938411	0.0029384685	0.00292905	0.00292905
0.0014677972	0.0014677936	0.0014678015	0.001467801	0.0014724828	0.0014725209	0.0014631278	0.0014678037	0.0014631278	0.0014631278	0.0014631278	0.0014631278	0.0014678066	0.0014631278	0.001472485	0.0014631278	0.0014631278	0.0014678203	0.25170684	0.0014677936	0.0014631278	0.0014771451	0.0014631278	0.0014724769	0.0014631278	0.0014631278	0.0014631278	0.0014677844	0.0014724769	0.0014631278	0.0014664945	0.0014678037	0.0014631278	0.0014631278	0.0014677972	0.0014725187	0.0014678088	0.001481866	0.0014631278	0.0014631278	0.0014631278	0.0014677936	0.001477174	0.0014631278	0.0014631278	0.0014631278	0.25170717	0.0014724868	0.0014677785	0.0014678037	0.0014631278	0.0014677952	0.0014631278	0.0014631278	0.0014678	0.0014678037	0.0014678064	0.0014631278	0.0014631278	0.0014631278	0.0014677882	0.0014631278	0.0014631278	0.0014678037	0.0014631362	0.0014631278	0.0014865196	0.0014678021	0.0014631278	0.0014631278	0.0014677974	0.0014631278	0.0014677868	0.0014631278	0.0014631278	0.0014631278	0.0014677974	0.0014677972	0.0014631278	0.0014650947	0.0014631278	0.0014631278	0.001467811	0.0014631278	0.0014678111	0.0014678065	0.0014724787	0.0014724779	0.0014631278	0.0014631278	0.0014678008	0.0014678008	0.0014678088	0.0014678393	0.2517058	0.0014631278	0.0014677888	0.0014631278	0.0014725027	0.0014631278	0.0014678037	0.0014725067	0.0014677682	0.0014631278	0.0014631278	0.0014678037	0.0014631278	0.0014631278	0.0014631278	0.0014631278	0.0014631278	0.0014631278	0.0014631278	0.0014631278	0.0014677788	0.0014865323	0.0014631278	0.0014724932	0.0014631278	0.0014631278	0.0014677972	0.0014631278	0.0014631302	0.0014764477	0.0014677936	0.0014678088	0.0014631278	0.0014631363	0.0014678051	0.0014631278	0.0014677972	0.0014631278	0.0014631278	0.0014678325	0.0014631278	0.0014678008	0.0014631278	0.0014677843	0.0014678203	0.0014678065	0.0014631278	0.0014678065	0.0014631278	0.0014678037	0.0014631278	0.0014678065	0.0014631278	0.0014631278	0.0014677735	0.001463132	0.00146777	0.0014678186	0.0014724769	0.0014678133	0.0014725084	0.0014677972	0.0014678246	0.0014678267	0.0014677965	0.0014631278	0.0014631313	0.0014677936	0.0014631278	0.0014631278	0.0014631278	0.0014678007	0.0014678037	0.0014678325	0.0014631278	0.0014631278
0.0019576875	0.001957683	0.0019576934	0.0019576927	0.001963937	0.001963988	0.0019514597	0.0019576964	0.0019514597	0.0019514597	0.0019514597	0.0019514597	0.0019577001	0.0019514597	0.00196394	0.0019514597	0.0019514597	0.0019577185	0.0019576924	0.001957683	0.0019514597	0.35688838	0.0019514597	0.001963929	0.0019514597	0.0019514597	0.0019514597	0.0019576706	0.001963929	0.0019514597	0.0019559502	0.0019576964	0.0019514597	0.0019514597	0.0019576875	0.001963985	0.0019577031	0.001976452	0.0019514597	0.0019514597	0.0019514597	0.001957683	0.001970194	0.0019514597	0.0019514597	0.0019514597	0.0019576922	0.0019639423	0.0019576626	0.0019576964	0.0019514597	0.001957685	0.0019514597	0.0019514597	0.0019576913	0.0019576964	0.0019577	0.0019514597	0.0019514597	0.0019514597	0.0019576757	0.0019514597	0.0019514597	0.0019576964	0.0019514709	0.0019514597	0.0019826589	0.001957694	0.0019514597	0.0019514597	0.001957688	0.0019514597	0.0019576738	0.0019514597	0.0019514597	0.0019514597	0.001957688	0.0019576875	0.0019514597	0.001954083	0.0019514597	0.0019514597	0.001957706	0.0019514597	0.0019577062	0.0019577001	0.0019639316	0.0019639304	0.0019514597	0.0019514597	0.0019576924	0.0019576924	0.0019577031	0.001957744	0.001957709	0.0019514597	0.0019576764	0.0019514597	0.0019639635	0.0019514597	0.0019576964	0.0019639689	0.001957649	0.0019514597	0.0019514597	0.0019576964	0.0019514597	0.0019514597	0.0019514597	0.0019514597	0.0019514597	0.0019514597	0.0019514597	0.0019514597	0.001957663	0.0019826756	0.0019514597	0.001963951	0.0019514597	0.0019514597	0.0019576875	0.0019514597	0.0019514629	0.0019692252	0.001957683	0.0019577031	0.0019514597	0.0019514711	0.0019576983	0.0019514597	0.0019576875	0.0019514597	0.0019514597	0.0019577348	0.0019514597	0.0019576924	0.0019514597	0.0019576703	0.0019577185	0.0019577001	0.0019514597	0.0019577001	0.0019514597	0.0019576964	0.0019514597	0.0019577001	0.0019514597	0.0019514597	0.001957656	0.0019514653	0.0019576512	0.3145553	0.001963929	0.001957709	0.0019639712	0.0019576875	0.001957724	0.001957727	0.0019576866	0.0019514597	0.0019514643	0.001957683	0.0019514597	0.0019514597	0.0019514597	0.0019576922	0.0019576964	0.0019577348	0.0019514597	0.0019514597
0.0014677944	0.0014677908	0.0014677987	0.0014677983	0.0014724799	0.0014725181	0.001463125	0.0014678009	0.001463125	0.001463125	0.001463125	0.001463125	0.0014678038	0.001463125	0.0014724821	0.001463125	0.001463125	0.0014678175	0.001467798	0.0014677908	0.001463125	0.0014771423	0.001463125	0.001472474	0.001463125	0.001463125	0.001463125	0.0014677816	0.001472474	0.001463125	0.0014664917	0.0014678009	0.001463125	0.001463125	0.0014677944	0.0014725159	0.001467806	0.0014818631	0.001463125	0.001463125	0.001463125	0.0014677908	0.0014771712	0.001463125	0.001463125	0.001463125	0.0014677979	0.0014724839	0.0014677757	0.0014678009	0.001463125	0.0014677924	0.001463125	0.001463125	0.0014677972	0.0014678009	0.0014678036	0.001463125	0.001463125	0.001463125	0.0014677854	0.001463125	0.001463125	0.0014678009	0.0014631334	0.001463125	0.0014865168	0.0014677993	0.001463125	0.001463125	0.0014677946	0.001463125	0.001467784	0.001463125	0.001463125	0.001463125	0.0014677946	0.0014677944	0.001463125	0.001465092	0.001463125	0.001463125	0.0014678081	0.001463125	0.0014678083	0.0014678037	0.0014724758	0.001472475	0.001463125	0.001463125	0.001467798	0.001467798	0.001467806	0.0014678366	0.0014678105	0.001463125	0.001467786	0.001463125	0.0014724999	0.001463125	0.0014678009	0.0014725039	0.0014677654	0.001463125	0.001463125	0.0014678009	0.001463125	0.001463125	0.001463125	0.001463125	0.001463125	0.001463125	0.001463125	0.001463125	0.001467776	0.0014865295	0.001463125	0.0014724904	0.001463125	0.001463125	0.0014677944	0.001463125	0.0014631274	0.0014764449	0.0014677908	0.001467806	0.001463125	0.0014631335	0.0014678023	0.001463125	0.0014677944	0.001463125	0.001463125	0.0014678297	0.001463125	0.001467798	0.001463125	0.0014677815	0.0014678175	0.0014678037	0.001463125	0.0014678037	0.001463125	0.0014678009	0.001463125	0.0014678037	0.001463125	0.001463125	0.0014677707	0.0014631292	0.0014677672	0.0014678158	0.0014724742	0.0014678105	0.0014725056	0.0014677944	0.0014678218	0.0014678239	0.0014677937	0.001463125	0.0014631285	0.0014677908	0.001463125	0.001463125	0.001463125	0.7521847	0.0014678009	0.0014678297	0.001463125	0.001463125
0.0008383974	0.0008383954	0.50358266	0.00083839963	0.0008410738	0.0008410956	0.0008357303	0.00083840115	0.0008357303	0.0008357303	0.0008357303	0.0008357303	0.00083840283	0.0008357303	0.0008410751	0.0008357303	0.0008357303	0.00083841063	0.0008383995	0.0008383954	0.0008357303	0.0008437369	0.0008357303	0.00084107043	0.0008357303	0.0008357303	0.0008357303	0.00083839014	0.00084107043	0.0008357303	0.00083765335	0.00083840115	0.0008357303	0.0008357303	0.0008383974	0.0008410943	0.0008384041	0.00084643345	0.0008357303	0.0008357303	0.0008357303	0.0008383954	0.0008437534	0.0008357303	0.0008357303	0.0008357303	0.00083839946	0.0008410761	0.0008383867	0.00083840115	0.0008357303	0.0008383963	0.0008357303	0.0008357303	0.00083839905	0.00083840115	0.0008384027	0.0008357303	0.0008357303	0.0008357303	0.0008383923	0.0008357303	0.0008357303	0.00083840115	0.00083573506	0.0008357303	0.00084909156	0.0008384002	0.0008357303	0.0008357303	0.0008383976	0.0008357303	0.00083839154	0.0008357303	0.0008357303	0.0008357303	0.0008383976	0.0008383974	0.0008357303	0.0008368538	0.0008357303	0.0008357303	0.0008384053	0.0008357303	0.0008384054	0.0008384028	0.0008410715	0.000841071	0.0008357303	0.0008357303	0.21276973	0.0008383995	0.0008384041	0.0008384215	0.0008384066	0.0008357303	0.00083839265	0.0008357303	0.00084108516	0.0008357303	0.00083840115	0.0008410874	0.0008383809	0.0008357303	0.0008357303	0.14377348	0.0008357303	0.0008357303	0.0008357303	0.0008357303	0.0008357303	0.0008357303	0.0008357303	0.0008357303	0.00083838694	0.00084909884	0.0008357303	0.00084107975	0.0008357303	0.0008357303	0.0008383974	0.0008357303	0.0008357317	0.00084333855	0.0008383954	0.0008384041	0.0008357303	0.0008357351	0.00083840196	0.0008357303	0.0008383974	0.0008357303	0.0008357303	0.0008384176	0.0008357303	0.0008383995	0.0008357303	0.0008383901	0.00083841063	0.0008384028	0.0008357303	0.0008384028	0.0008357303	0.00083840115	0.0008357303	0.0008384028	0.0008357303	0.0008357303	0.00083838386	0.0008357327	0.0008383819	0.0008384097	0.00084107043	0.0008384066	0.0008410885	0.0008383974	0.0008384131	0.0008384143	0.00083839707	0.0008357303	0.00083573227	0.0008383954	0.0008357303	0.0008357303	0.0008357303	0.00083839946	0.00083840115	0.0008384176	0.0008357303	0.0008357303
0.005888062	0.0058880476	0.0058880793	0.0058880774	0.005906858	0.005907011	0.0058693304	0.005888088	0.0058693304	0.0058693304	0.0058693304	0.0058693304	0.0058881	0.0058693304	0.005906867	0.0058693304	0.0058693304	0.0058881547	0.0058880765	0.0058880476	0.0058693304	0.0059255613	0.0058693304	0.0059068343	0.0058693304	0.0058693304	0.0058693304	0.005888011	0.0059068343	0.0058693304	0.0058828364	0.005888088	0.0058693304	0.0058693304	0.005888062	0.0059070024	0.005888109	0.005944499	0.0058693304	0.0058693304	0.0058693304	0.0058880476	0.0059256773	0.0058693304	0.0058693304	0.0058693304	0.005888076	0.005906874	0.005887987	0.005888088	0.0058693304	0.005888054	0.0058693304	0.0058693304	0.0058880732	0.005888088	0.005888099	0.0058693304	0.0058693304	0.0058693304	0.005888026	0.0058693304	0.0058693304	0.005888088	0.0058693644	0.0058693304	0.0059631667	0.0058880816	0.0058693304	0.0058693304	0.005888063	0.0058693304	0.0058880206	0.0058693304	0.0058693304	0.0058693304	0.005888063	0.005888062	0.0058693304	0.005877221	0.0058693304	0.0058693304	0.0058881175	0.0058693304	0.005888118	0.0058880993	0.0059068417	0.0059068385	0.0058693304	0.0058693304	0.0058880765	0.0058880765	0.005888109	0.0058882316	0.005888127	0.0058693304	0.0058880285	0.0058693304	0.005906938	0.0058693304	0.005888088	0.005906954	0.0058879456	0.0058693304	0.0058693304	0.005888088	0.0058693304	0.0058693304	0.0058693304	0.0058693304	0.0058693304	0.0058693304	0.0058693304	0.0058693304	0.0058879885	0.005963218	0.0058693304	0.0059069	0.0058693304	0.0058693304	0.005888062	0.0058693304	0.0058693406	0.0059227636	0.0058880476	0.005888109	0.0058693304	0.005869365	0.0058880937	0.0058693304	0.005888062	0.0058693304	0.0058693304	0.0058882036	0.0058693304	0.0058880765	0.0058693304	0.0058880104	0.0058881547	0.0058880993	0.0058693304	0.0058880993	0.0058693304	0.005888088	0.0058693304	0.0058880993	0.0058693304	0.0058693304	0.0058879666	0.0058693476	0.0058879526	0.005888148	0.0059068343	0.005888127	0.005906961	0.005888062	0.005888172	0.0058881803	0.0058880593	0.0058693304	0.005869345	0.0058880476	0.0058693304	0.0058693304	0.0058693304	0.005888076	0.005888088	0.0058882036	0.0058693304	0.0058693304
