topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19
0.024007453	0.023478853	0.023904825	0.02356865	0.5395516	0.02692855	0.024244187	0.024068464	0.025110694	0.025349315	0.024257356	0.023381205	0.023704097	0.024085661	0.023996225	0.02339114	0.02391747	0.024697067	0.023812683	0.024544468
0.015840702	0.015491919	0.015772985	0.01555117	0.015835479	0.017768113	0.015996905	0.01588096	0.016568646	0.016726095	0.016005594	0.015427489	0.01564054	0.015892304	0.6961828	0.015434044	0.01578133	0.016295725	0.015712189	0.016195038
0.009427029	0.009219463	0.009386729	0.009254725	0.009423921	0.010574059	0.009519989	0.8192224	0.00986024	0.009953939	0.009525158	0.00918112	0.009307911	0.009457739	0.00942262	0.009185022	0.009391696	0.009697822	0.0093505485	0.0096379
0.009427027	0.009219461	0.009386728	0.009254723	0.009423919	0.010574057	0.009519987	0.009450984	0.009860238	0.0099539375	0.009525157	0.009181119	0.009307909	0.009457737	0.009422618	0.00918502	0.009391694	0.009697819	0.8191219	0.009637898
0.02400742	0.023478819	0.02390479	0.023568617	0.023999503	0.02692851	0.024244154	0.53962123	0.025110658	0.02534928	0.02425732	0.023381172	0.023704063	0.024085626	0.023996191	0.023391107	0.023917437	0.024697032	0.02381265	0.024544435
0.01181989	0.011559637	0.011769361	0.011603849	0.011815993	0.77474374	0.011936445	0.011849928	0.012363062	0.012480546	0.011942928	0.011511561	0.0116705345	0.011858395	0.011814361	0.011516453	0.011775588	0.012159416	0.011723996	0.012084286
0.015840715	0.015491932	0.015772998	0.015551183	0.015835494	0.01776813	0.01599692	0.015880972	0.01656866	0.01672611	0.6963548	0.015427503	0.015640555	0.01589232	0.015833307	0.015434057	0.015781343	0.01629574	0.015712202	0.016195053
0.011819878	0.011559625	0.011769349	0.011603837	0.011815981	0.013258066	0.011936433	0.7733359	0.012363049	0.012480533	0.011942916	0.01151155	0.011670523	0.011858383	0.011814349	0.011516442	0.011775576	0.012159403	0.011723985	0.012084273
0.006710184	0.006562438	0.0066814986	0.006587537	0.006707972	0.007526643	0.0067763524	0.25263432	0.0070185442	0.4649973	0.006780033	0.0065351455	0.006625395	0.1675077	0.0067070457	0.006537922	0.006685034	0.006902934	0.006655745	0.0068602823
0.049556315	0.048465177	0.04934447	0.04865054	0.04953998	0.05558606	0.050044987	0.049682256	0.05183363	0.052326195	0.050072167	0.048263613	0.048930127	0.049717754	0.04953314	0.04828412	0.049370576	0.050979823	0.04915427	0.050664827
0.0067101778	0.0065624323	0.006681493	0.0065875314	0.006707966	0.007526636	0.0067763464	0.0067272307	0.007018538	0.007085234	0.006780027	0.0065351394	0.0066253887	0.0067320373	0.0067070397	0.87113285	0.006685028	0.006902928	0.006655739	0.006860276
0.00468494	0.004581786	0.004664913	0.00459931	0.0046833954	0.005254979	0.3261325	0.004696846	0.0049002324	0.004946798	0.0047337078	0.004562731	0.25603893	0.004700202	0.004682749	0.00456467	0.004667381	0.33746722	0.004646932	0.004789736
0.002458672	0.0024045366	0.0024481616	0.0024137332	0.0024578616	0.00275783	0.002482917	0.0024649203	0.0025716587	0.002596096	0.0024842652	0.0023945363	0.0024276045	0.0024666816	0.002457522	0.0023955537	0.0024494568	0.9529156	0.0024387252	0.0025136694
