topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.019684577	0.018905941	0.019670255	0.018990869	0.019754726	0.020881964	0.019601092	0.019325277	0.01974633	0.019818481	0.019549953	0.018923035	0.01961486	0.01941417	0.01940183	0.01900331	0.019413466	0.019465145	0.5315376	0.019412374	0.019050777	0.020178892	0.019408466	0.020031456	0.019215135
0.013015928	0.012501075	0.013006458	0.012557231	0.013062313	0.01380767	0.012960725	0.01277835	0.013056761	0.0131044695	0.012926912	0.012512378	0.01296983	0.012837129	0.6903795	0.012565457	0.012836663	0.012870834	0.012690588	0.012835941	0.012596844	0.013342781	0.012833357	0.013245293	0.012705522
0.0077588875	0.00745198	0.007753242	0.0074854544	0.0077865375	0.00823085	0.0077259806	0.0076172655	0.0077832276	0.0078116674	0.007705824	0.0074587176	0.007731408	0.0076523037	0.0076474394	0.0074903583	0.007652026	0.0076723956	0.00756495	0.007651596	0.007509068	0.81573933	0.007650055	0.007895613	0.007573852
0.0077588838	0.007451976	0.007753238	0.007485451	0.007786534	0.008230846	0.007725977	0.0076172617	0.007783224	0.007811663	0.0077058203	0.007458714	0.007731404	0.0076523	0.0076474356	0.0074903546	0.0076520224	0.007672392	0.8153506	0.007651592	0.0075090644	0.007953723	0.0076500513	0.007895609	0.007573848
0.019684566	0.018905932	0.019670244	0.018990858	0.019754717	0.020881953	0.01960108	0.019325268	0.019746318	0.01981847	0.019549942	0.018923026	0.01961485	0.01941416	0.019401819	0.019003298	0.019413456	0.019465134	0.01919254	0.019412363	0.019050766	0.02017888	0.019408455	0.5323768	0.019215126
0.0097222645	0.009337694	0.7688611	0.00937964	0.009756912	0.010313659	0.009681031	0.009544806	0.009752764	0.0097884005	0.009655774	0.009346137	0.009687832	0.00958871	0.0095826145	0.009385784	0.009588363	0.0096138865	0.009479252	0.009587823	0.009409229	0.009966408	0.009585893	0.009893589	0.009490406
0.013015931	0.012501078	0.01300646	0.012557233	0.013062315	0.013807672	0.012960727	0.012778353	0.0130567625	0.013104471	0.012926914	0.01251238	0.012969832	0.012837131	0.69037944	0.012565459	0.012836665	0.012870836	0.012690591	0.012835943	0.012596846	0.013342784	0.012833359	0.013245295	0.0127055235
0.009722254	0.009337684	0.00971518	0.00937963	0.009756901	0.010313646	0.00968102	0.768691	0.009752753	0.009788389	0.009655762	0.009346127	0.00968782	0.0095887	0.009582604	0.009385774	0.0095883515	0.009613876	0.009479241	0.009587812	0.009409219	0.009966397	0.009585882	0.009893578	0.009490396
0.0055267047	0.0053080926	0.0055226837	0.005331937	0.0055464003	0.005862887	0.005503265	0.0054258266	0.0055440427	0.388073	0.0054889075	0.005312892	0.005507131	0.0054507847	0.0054473197	0.0053354297	0.005450587	0.0054650963	0.005388562	0.0054502804	0.005348757	0.0056654904	0.005449183	0.48619983	0.005394903
0.040365793	0.0387691	0.040336423	0.038943253	0.040509645	0.04282119	0.040194593	0.039629	0.040492423	0.04064038	0.040089726	0.03880415	0.040222827	0.039811287	0.03978598	0.038968764	0.039809845	0.03991582	0.039356828	0.039807606	0.039066102	0.041379448	0.03979959	0.04107711	0.03940314
0.005526694	0.0053080823	0.0055226726	0.0053319265	0.0055463896	0.0058628754	0.005503254	0.005425816	0.0055440315	0.005564289	0.0054888963	0.0053128814	0.00550712	0.005450774	0.005447309	0.8684201	0.005450576	0.0054650856	0.0053885514	0.0054502697	0.0053487467	0.005665479	0.005449172	0.0056240843	0.0053948923
0.0038606618	0.003707951	0.0038578527	0.0037246072	0.00387442	0.004095501	0.003844288	0.0037901937	0.003872773	0.003886924	0.0038342583	0.0037113035	0.90820503	0.0038076278	0.0038052073	0.0037270472	0.0038074898	0.003817625	0.0037641623	0.0038072756	0.003736357	0.0039576096	0.003806509	0.0039286935	0.003768592
0.0020272771	0.001947087	0.0020258022	0.0019558335	0.0020345019	0.0021505938	0.0020186792	0.0019902736	0.002033637	0.0020410677	0.0020134125	0.0019488476	0.002020097	0.0019994285	0.0019981575	0.0019571148	0.001999356	0.95178205	0.0019766043	0.0019992436	0.0019620033	0.0020781858	0.001998841	0.0020630015	0.0019789303
