topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.016190827	0.015904838	0.26473513	0.016479373	0.2781541	0.01729784	0.016630108	0.016131675	0.016530178	0.016710022	0.016518708	0.015959354	0.01629405	0.01636185	0.01616575	0.015846502	0.01613419	0.016298866	0.015906287	0.016305815	0.016075734	0.016755207	0.016525026	0.016626138	0.016076293	0.016465487	0.016133854	0.01642065	0.016406538	0.0159596
0.010721517	0.010532135	0.010678731	0.010912591	0.011022079	0.011454577	0.011012406	0.010682346	0.010946234	0.011065326	0.010938639	0.010568236	0.010789869	0.010834767	0.01070491	0.010493505	0.010684011	0.010793059	0.010533095	0.010797662	0.010645302	0.011095247	0.010942822	0.011009777	0.010645672	0.010903396	0.010683789	0.010873704	0.010864359	0.6861702
0.006398609	0.0062855855	0.006373074	0.006512642	0.0065779844	0.0068360996	0.006572212	0.006375232	0.0065327203	0.0066037946	0.006528187	0.0063071307	0.006439402	0.006466197	0.0063886982	0.0062625315	0.0063762255	0.006441306	0.0062861587	0.0064440523	0.006353124	0.8130206	0.0065306844	0.0065706433	0.006353345	0.006507154	0.0063760933	0.0064894347	0.0064838575	0.006307228
0.0063986094	0.0062855864	0.006373075	0.0065126424	0.006577985	0.0068361005	0.0065722126	0.0063752322	0.006532721	0.006603795	0.006528188	0.0063071316	0.0064394022	0.0064661973	0.0063886987	0.006262532	0.006376226	0.0064413063	0.8126851	0.006444053	0.0063531245	0.0066216523	0.006530685	0.0065706437	0.0063533452	0.006507155	0.0063760937	0.006489435	0.0064838585	0.0063072285
0.016190788	0.0159048	0.016126176	0.016479334	0.016644673	0.017297799	0.016630067	0.016131636	0.01653014	0.016709981	0.52663815	0.015959317	0.01629401	0.01636181	0.016165711	0.015846463	0.01613415	0.016298827	0.015906248	0.016305776	0.016075695	0.016755167	0.016524987	0.016626097	0.016076254	0.016465448	0.016133815	0.01642061	0.016406499	0.01595956
0.008014296	0.007872734	0.20030706	0.008157123	0.008238965	0.57375103	0.008231735	0.007985016	0.008182271	0.008271293	0.008176594	0.007899719	0.0080653895	0.008098951	0.0080018835	0.007843859	0.007986261	0.008067775	0.007873451	0.008071214	0.007957326	0.0082936585	0.008179721	0.00822977	0.007957603	0.00815025	0.007986095	0.008128056	0.00812107	0.00789984
0.010721543	0.010532161	0.010678757	0.010912618	0.011022106	0.0114546055	0.011012434	0.010682372	0.010946262	0.011065354	0.68653965	0.010568262	0.010789896	0.010834794	0.010704937	0.010493531	0.010684038	0.010793086	0.010533121	0.010797689	0.010645329	0.011095275	0.01094285	0.011009805	0.010645699	0.010903423	0.010683816	0.010873731	0.010864386	0.010568425
0.008014285	0.007872724	0.007982303	0.008157113	0.0082389545	0.0085622445	0.008231725	0.007985006	0.008182261	0.008271282	0.008176583	0.007899709	0.008065379	0.008098939	0.008001872	0.007843847	0.00798625	0.008067763	0.007873441	0.008071204	0.007957316	0.008293647	0.008179711	0.7657436	0.007957593	0.0081502395	0.007986085	0.008128045	0.00812106	0.00789983
0.0045600208	0.004479474	0.004541823	0.004641287	0.004687854	0.004871802	0.0046837404	0.004543361	0.0046555963	0.0047062477	0.0046523656	0.004494828	0.004589092	0.004608188	0.0045529576	0.004463044	0.004544069	0.004590449	0.0044798823	0.004592406	0.0045276056	0.0047189738	0.8666828	0.0046826224	0.004527763	0.0046373764	0.0045439745	0.0046247486	0.0046207737	0.004494897
0.033050485	0.03246669	0.03291859	0.033639494	0.033977006	0.03531024	0.03394719	0.032929737	0.033743206	0.034110323	0.03371979	0.032577977	0.03326119	0.033399593	0.032999296	0.03234761	0.032934867	0.033271026	0.03246965	0.03328521	0.032815542	0.034202557	0.03373269	0.033939086	0.032816686	0.03361115	0.032934185	0.033519622	0.033490818	0.032578476
0.0045600245	0.004479477	0.004541827	0.004641291	0.6371504	0.004871806	0.004683744	0.0045433645	0.0046556	0.004706252	0.00465237	0.004494832	0.0045890957	0.0046081915	0.0045529613	0.23402901	0.004544073	0.0045904526	0.0044798856	0.00459241	0.0045276093	0.0047189775	0.004654149	0.004682626	0.0045277667	0.00463738	0.0045439783	0.0046247523	0.0046207774	0.004494901
0.0031865633	0.003130277	0.003173847	0.003243353	0.003275894	0.0034044378	0.0032730193	0.0031749215	0.0032533521	0.0032887477	0.0032510946	0.0031410067	0.90679187	0.0032202227	0.003181628	0.0031187956	0.0031754163	0.0032078268	0.0031305624	0.0032091946	0.0031639116	0.0032976407	0.0032523382	0.003272238	0.0031640215	0.00324062	0.0031753504	0.0032317955	0.003229018	0.003141055
0.0016739811	0.0016444123	0.0016673007	0.001703814	0.0017209087	0.0017884359	0.0017193985	0.0016678652	0.0017090668	0.001727661	0.0017078809	0.0016500489	0.0016846532	0.0016916632	0.0016713883	0.0016383809	0.0016681252	0.9510359	0.0016445622	0.0016858698	0.0016620815	0.0017323327	0.0017085342	0.0017189881	0.0016621392	0.0017023783	0.0016680906	0.0016977426	0.0016962836	0.0016500743
0.0045600194	0.0044794725	0.004541822	0.004641286	0.0046878527	0.0048718005	0.004683739	0.0045433594	0.004655595	0.004706247	0.44607618	0.004494827	0.0045890906	0.0046081864	0.0045529567	0.0044630426	0.0045440677	0.0045904475	0.004479881	0.0045924047	0.004527604	0.0047189724	0.004654144	0.004682621	0.0045277616	0.004637375	0.0045439736	0.004624747	0.42522562	0.0044948957
0.008014284	0.007872722	0.0079823015	0.008157111	0.008238953	0.008562244	0.008231723	0.007985004	0.008182259	0.00827128	0.008176582	0.7654136	0.008065377	0.0080989385	0.008001871	0.007843846	0.0079862485	0.0080677625	0.00787344	0.008071202	0.007957314	0.008293646	0.008179709	0.008229758	0.007957591	0.008150238	0.007986083	0.008128044	0.008121058	0.007899829
0.016190778	0.01590479	0.016126167	0.016479325	0.016644664	0.017297788	0.016630057	0.5262514	0.01653013	0.016709972	0.01651866	0.015959308	0.016294	0.016361801	0.016165702	0.015846454	0.016134141	0.016298817	0.01590624	0.016305767	0.016075686	0.016755158	0.016524978	0.016626088	0.016076244	0.016465439	0.016133806	0.016420601	0.01640649	0.015959552
0.010721518	0.010532136	0.010678732	0.0109125925	0.01102208	0.0114545785	0.011012408	0.010682347	0.010946236	0.011065328	0.01093864	0.010568238	0.010789871	0.010834768	0.010704912	0.010493507	0.010684012	0.010793061	0.010533096	0.010797664	0.010645304	0.011095249	0.010942824	0.011009779	0.010645674	0.010903398	0.010683791	0.010873706	0.010864361	0.68617016
0.0024489518	0.0024056945	0.002439179	0.002492596	0.0025176047	0.0026163936	0.0025153954	0.0024400048	0.0025002807	0.27074137	0.0024985457	0.0024139404	0.0024645647	0.00247482	0.0024451588	0.0023968706	0.002440385	0.0024652933	0.0024059135	0.3631695	0.0024315435	0.0025343176	0.0024995015	0.002514795	0.0024316278	0.0024904958	0.0024403345	0.002483714	0.29946724	0.0024139774
0.0045600147	0.0044794683	0.0045418176	0.0046412814	0.004687848	0.004871796	0.0046837344	0.004543355	0.0046555907	0.004706242	0.00465236	0.0044948226	0.0045890864	0.004608182	0.004552952	0.0044630384	0.0045440635	0.0045904433	0.0044798767	0.0045924005	0.0045276	0.004718968	0.86668295	0.0046826163	0.0045277574	0.004637371	0.004543969	0.0046247425	0.004620768	0.0044948915
0.0031865616	0.003130275	0.0031738451	0.0032433511	0.3122352	0.59803015	0.0032730175	0.0031749196	0.0032533503	0.0032887459	0.0032510927	0.0031410048	0.0032068768	0.0032202208	0.003181626	0.0031187937	0.0031754144	0.003207825	0.0031305605	0.0032091928	0.0031639098	0.0032976388	0.0032523363	0.003272236	0.0031640197	0.0032406182	0.0031753485	0.0032317936	0.0032290162	0.003141053
