topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.012259186	0.012299075	0.012171325	0.012549154	0.012381555	0.012756781	0.012510109	0.012255225	0.012378128	0.012614216	0.012091463	0.012130476	0.01233765	0.012174608	0.012341261	0.012174163	0.012260485	0.012504109	0.0120905135	0.012214003	0.012130918	0.012495569	0.012460833	0.012211613	0.012214806	0.012299633	0.012173463	0.012047487	0.012174183	0.012213918	0.012421218	0.012337389	0.012212872	0.5199384	0.012382917	0.012257478	0.012297836	0.01268425	0.012172097	0.012379615
0.008130889	0.0081573455	0.008072616	0.008323211	0.00821205	0.008460918	0.008297314	0.008128262	0.008209778	0.008366362	0.008019648	0.0080455225	0.008182931	0.008074793	0.008185325	0.008074498	0.008131751	0.008293334	0.008019017	0.008100922	0.008045816	0.00828767	0.008264632	0.008099337	0.008101455	0.008157715	0.008074033	0.00799048	0.008074511	0.008100865	0.6817392	0.0081827575	0.008100172	0.008098968	0.008212954	0.008129757	0.008156524	0.008412813	0.008073128	0.008210763
0.004858622	0.0048744306	0.0048238	0.004973544	0.0049071196	0.0050558313	0.004958069	0.67183954	0.0049057617	0.004999329	0.004792149	0.0048076105	0.004889719	0.0048251017	0.00489115	0.004824925	0.004859137	0.0049556913	0.0047917725	0.004840715	0.004807786	0.0049523064	0.0049385396	0.0048397677	0.004841033	0.004874652	0.0048246477	0.0047747204	0.004824933	0.0048406813	0.0049228393	0.14280716	0.0048402664	0.0048395474	0.0049076597	0.004857945	0.00487394	0.0050270855	0.0048241066	0.0049063507
0.004858615	0.0048744236	0.0048237937	0.004973537	0.0049071126	0.005055824	0.004958062	0.004857045	0.0049057547	0.004999322	0.0047921427	0.004807604	0.004889712	0.0048250947	0.004891143	0.004824918	0.00485913	0.004955684	0.004791766	0.004840708	0.004807779	0.004952299	0.80983883	0.0048397607	0.0048410264	0.004874645	0.0048246407	0.004774714	0.004824926	0.0048406743	0.0049228324	0.004889609	0.0048402594	0.0048395405	0.0049076527	0.004857938	0.004873933	0.005027078	0.0048240996	0.0049063438
0.012259178	0.012299066	0.012171317	0.012549146	0.012381546	0.012756772	0.0125101	0.012255217	0.01237812	0.012614207	0.012091456	0.012130467	0.012337642	0.012174601	0.0123412525	0.012174155	0.012260477	0.012504101	0.5198182	0.012213995	0.01213091	0.012495561	0.012460825	0.012211605	0.0122147985	0.012299624	0.012173454	0.01204748	0.012174175	0.01221391	0.012421209	0.012337381	0.012212863	0.012211049	0.012382909	0.01225747	0.012297828	0.012684242	0.01217209	0.012379606
0.0060825846	0.006102376	0.7617903	0.006226457	0.0061433	0.006329474	0.0062070843	0.0060806195	0.0061415997	0.006258738	0.0059993668	0.006018723	0.006121516	0.00604062	0.0061233076	0.0060403994	0.0060832296	0.0062041073	0.005998895	0.0060601668	0.0060189427	0.00619987	0.006182635	0.006058981	0.006060565	0.0061026528	0.0060400516	0.0059775473	0.006040409	0.0060601244	0.0061629796	0.006121387	0.006059605	0.006058705	0.006143976	0.0060817376	0.0061017615	0.006293487	0.0060393745	0.0061423373
0.008130897	0.008157353	0.008072623	0.008323219	0.008212057	0.008460926	0.008297321	0.00812827	0.0082097845	0.00836637	0.008019655	0.008045529	0.008182938	0.0080748005	0.008185333	0.008074505	0.008131758	0.008293342	0.0080190245	0.008100929	0.008045823	0.008287678	0.0082646385	0.008099345	0.008101461	0.008157723	0.0080740405	0.007990488	0.008074518	0.008100873	0.008238364	0.008182765	0.008100178	0.008098976	0.008212961	0.008129763	0.008156531	0.00841282	0.6815737	0.008210771
0.006082583	0.0061023748	0.00603899	0.006226456	0.0061432985	0.3941903	0.0062070824	0.006080618	0.0061415983	0.006258737	0.0059993654	0.37390926	0.006121515	0.0060406188	0.006123306	0.006040398	0.006083228	0.006204106	0.0059988936	0.0060601654	0.0060189413	0.0061998684	0.006182634	0.0060589793	0.0060605635	0.0061026514	0.00604005	0.005977546	0.006040408	0.006060123	0.006162978	0.0061213854	0.0060596038	0.0060587036	0.0061439746	0.0060817357	0.00610176	0.0062934854	0.006039373	0.006142336
0.0034643793	0.0034756518	0.0034395503	0.0035463232	0.00349896	0.0036049972	0.0035352889	0.0034632601	0.003497992	0.0035647089	0.003416982	0.0034280065	0.003486553	0.0034404784	0.0034875735	0.0034403524	0.0034647468	0.0035335934	0.0034167133	0.0034516111	0.0034281316	0.0035311799	0.003521364	0.0034509357	0.003451838	0.0034758095	0.0034401545	0.0034045547	0.003440358	0.003451587	0.0035101688	0.0034864794	0.0034512912	0.0034507785	0.0034993452	0.0034638967	0.0034753017	0.8644709	0.0034397687	0.003498412
0.024903245	0.024984274	0.024724765	0.025492286	0.025151823	0.025914056	0.025412967	0.024895199	0.025144864	0.02562445	0.024562534	0.024641782	0.025062637	0.024731435	0.025069973	0.02473053	0.024905885	0.02540078	0.024560604	0.024811462	0.024642682	0.025383431	0.025312869	0.024806606	0.024813091	0.024985408	0.024729107	0.024473201	0.02473057	0.024811288	0.025232395	0.025062107	0.024809161	0.024805477	0.025154592	0.024899775	0.024981758	0.025766717	0.024726333	0.025147883
