topic_0	topic_1	topic_2	topic_3
0.111445755	0.11584737	0.6714339	0.10127301
0.07330627	0.074642226	0.78680015	0.06525136
0.24004582	0.045014203	0.04835962	0.6665804
0.04296318	0.46011707	0.45878243	0.038137343
0.6479739	0.1195223	0.12967993	0.10282387
0.05342053	0.055922914	0.8425931	0.04806345
0.07525829	0.76902544	0.08999205	0.06572421
0.054508954	0.056159828	0.84071964	0.04861156
0.030336412	0.5423748	0.4001842	0.027104573
0.24679017	0.25470132	0.27458882	0.22391967
0.9078024	0.03091025	0.034191795	0.027095543
0.3223232	0.022079734	0.023275577	0.6323215
0.96616495	0.011509306	0.012457683	0.00986813
0.03008805	0.90767395	0.035162687	0.0270753
0.053495813	0.056689605	0.84130996	0.048504613
0.6480704	0.11944388	0.12966517	0.1028206
0.07391199	0.77361506	0.086598575	0.06587439
0.015942933	0.95095575	0.018574888	0.014526408
0.030250093	0.9083334	0.034292493	0.027123976
0.65572315	0.021645028	0.30381152	0.01882037
0.053552896	0.15945579	0.73849535	0.048495956
0.019144176	0.9419298	0.02168856	0.017237447
0.026151234	0.027230076	0.029661417	0.91695726
0.7753021	0.0775546	0.08147732	0.06566596
0.029915532	0.031090751	0.9108988	0.02809493
0.017494945	0.343879	0.27706933	0.36155674
0.7763197	0.012800513	0.014119601	0.19676019
0.042630184	0.044336595	0.87433386	0.03869937
0.017456127	0.9476508	0.01929053	0.015602516
0.02360815	0.6914396	0.2639614	0.020990815
0.11197004	0.11466192	0.1237898	0.6495782
0.64790726	0.119549975	0.12971662	0.102826186
0.44905144	0.056778066	0.060201317	0.43396914
0.51824605	0.012710363	0.013628067	0.4554155
0.04276281	0.04360364	0.87550056	0.038133033
0.023234162	0.023988433	0.93183976	0.020937635
0.019247932	0.019935718	0.021439549	0.93937683
0.025918482	0.9200602	0.030130042	0.023891224
0.013162556	0.4648932	0.04051406	0.48143017
0.6174567	0.055479378	0.2785926	0.04847133
0.026114227	0.9201664	0.030179543	0.023539832
0.026599716	0.7730054	0.17675075	0.023644077
0.016372794	0.9513269	0.017876375	0.014423906
0.11446409	0.116698764	0.66708946	0.1017477
0.014749584	0.95496523	0.016960323	0.013324857
0.035135433	0.03775954	0.8954322	0.031672858
0.04230126	0.044809848	0.87456834	0.0383206
0.56312597	0.014459116	0.40990216	0.012512738
0.042474546	0.6640008	0.2551853	0.038339335
0.016200427	0.016778681	0.018107474	0.9489134
0.072161235	0.7811693	0.08106896	0.06560049
0.86509895	0.04523797	0.051002476	0.038660645
0.018924247	0.019711342	0.021694206	0.9396702
0.042803008	0.045288615	0.87341094	0.03849742
0.7542847	0.019865334	0.20870106	0.017148921
0.016458748	0.951087	0.017928747	0.014525532
0.03008382	0.031461716	0.9113691	0.027085386
0.65544474	0.115944505	0.12679265	0.101818115
0.008723421	0.010125562	0.40397465	0.57717633
0.035593785	0.036717	0.039630104	0.88805914
0.9070764	0.031215353	0.03428568	0.027422514
0.24679017	0.25470132	0.27458882	0.22391967
0.3354222	0.018194253	0.63078654	0.015596965
0.026783133	0.59876335	0.030651618	0.3438019
0.035730157	0.037273962	0.89520144	0.031794462
0.019764803	0.019646011	0.94336313	0.017226098
0.22049332	0.013399017	0.014658507	0.75144917
0.8699466	0.043871433	0.04751055	0.038671453
0.39940572	0.043691024	0.51845	0.038453225
0.026111335	0.21646422	0.73387676	0.023547677
0.017414289	0.017834807	0.9490851	0.015665822
0.3427475	0.024012137	0.61176634	0.021474052
0.7762159	0.07537905	0.0828232	0.065581866
0.019132365	0.942339	0.021387396	0.017141264
0.053186253	0.8341745	0.06428363	0.048355613
0.11144605	0.11585042	0.6714278	0.10127573
0.8910324	0.0367963	0.04047347	0.031697806
0.05331413	0.055811834	0.060350597	0.83052343
0.6444765	0.03709282	0.040186953	0.27824372
0.832102	0.05717544	0.06210919	0.048613355
0.03478703	0.03641322	0.89680344	0.031996302
0.05397585	0.8368988	0.060245644	0.048879705
0.9359504	0.021482933	0.023536079	0.019030562
0.011604095	0.7564046	0.22155392	0.010437451
0.54289263	0.42201975	0.019414479	0.015673172
0.81413484	0.018337283	0.019412816	0.1481151
0.07253835	0.07441856	0.0808393	0.7722038
0.7765323	0.07548936	0.08217562	0.06580276
0.03008743	0.48617306	0.034721076	0.44901842
0.6581657	0.11576211	0.12458961	0.10148259
0.07278978	0.076837115	0.7846889	0.065684184
0.9473234	0.017777113	0.019256203	0.015643336
0.05483551	0.8370455	0.059760533	0.048358522
0.05467619	0.055491798	0.8415606	0.04827144
0.111669	0.66256815	0.12441703	0.10134583
0.77995586	0.07473868	0.07993777	0.06536768
0.07332369	0.34015894	0.5208911	0.06562623
