topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69
0.007047794	0.007163527	0.0070475917	0.0070240814	0.0070944414	0.007257841	0.0070715044	0.007070954	0.007047056	0.0070940377	0.007047494	0.0070470553	0.0070476993	0.00704794	0.007047701	0.5111519	0.0070244726	0.0070244325	0.007047313	0.0070710685	0.0070709446	0.007187397	0.007001108	0.00718719	0.007071238	0.007047611	0.007071005	0.0070702746	0.007140586	0.0070939786	0.007047595	0.0071403296	0.007001108	0.0071162116	0.007070334	0.007071204	0.007001108	0.007256837	0.007117585	0.0071187234	0.007047038	0.007001108	0.0072796154	0.007071043	0.0071636196	0.007116951	0.0070482204	0.007093552	0.007140871	0.007093936	0.007140532	0.0070942165	0.007024508	0.007070813	0.007117328	0.0070942086	0.0070766467	0.007070673	0.0070241885	0.007024268	0.007092702	0.0070935586	0.007024569	0.0071640746	0.0070244726	0.0070244726	0.007212102	0.007094269	0.0070705265	0.007047611
0.004685695	0.0047626398	0.0046855607	0.00466993	0.0047167083	0.004825344	0.004701459	0.004701093	0.0046852045	0.00471644	0.0046854955	0.004685204	0.004685632	0.004685792	0.0046856334	0.004685442	0.0046701897	0.004670163	0.004685375	0.004701169	0.004701087	0.0047785095	0.004654656	0.0047783717	0.004701282	0.0046855733	0.004701127	0.004700641	0.0047473875	0.0047164005	0.004685563	0.004747217	0.004654656	0.004731182	0.0047006807	0.004701259	0.004654656	0.004824676	0.004732095	0.0047328523	0.0046851924	0.004654656	0.0048398203	0.004701152	0.004762701	0.0047316737	0.004685979	0.004716117	0.6750536	0.0047163726	0.0047473516	0.004716559	0.0046702134	0.004700999	0.0047319243	0.0047165537	0.0047048777	0.004700906	0.004670001	0.004670054	0.004715552	0.004716121	0.004670254	0.0047630034	0.0046701897	0.0046701897	0.0047949343	0.004716594	0.0047008083	0.0046855733
0.0028052912	0.0028513575	0.0028052109	0.002795853	0.0028238588	0.0028888981	0.002814729	0.00281451	0.0028049976	0.002823698	0.0028051718	0.0028049974	0.0028052537	0.0028053494	0.0028052544	0.0028051396	0.0027960085	0.40410364	0.0028050998	0.0028145555	0.0028145062	0.0028608588	0.0027867085	0.0028607764	0.002814623	0.0028052183	0.0028145304	0.0028142396	0.002842226	0.0028236746	0.0028052123	0.002842124	0.0027867085	0.0028325242	0.0028142633	0.0028146093	0.0027867085	0.0028884984	0.0028330707	0.002833524	0.40411195	0.0027867085	0.0028975653	0.0028145453	0.0028513942	0.0028328185	0.0028054612	0.0028235046	0.0028423395	0.0028236578	0.0028422046	0.0028237693	0.0027960225	0.0028144538	0.0028329685	0.002823766	0.0028167758	0.0028143981	0.0027958956	0.0027959272	0.0028231665	0.0028235074	0.002796047	0.0028515754	0.0027960085	0.0027960085	0.0028706922	0.0028237903	0.0028143397	0.0028052183
0.0028052924	0.0028513586	0.002805212	0.002795854	0.00282386	0.0028888993	0.00281473	0.002814511	0.0028049988	0.0028236993	0.002805173	0.0028049983	0.002805255	0.0028053506	0.0028052556	0.0028051408	0.0027960096	0.0027959938	0.0028051008	0.0028145567	0.0028145073	0.0028608597	0.0027867097	0.0028607773	0.002814624	0.0028052195	0.0028145313	0.0028142405	0.0028422272	0.0028236757	0.0028052132	0.0028421253	0.0027867097	0.0028325252	0.0028142643	0.0028146105	0.0027867097	0.0028884995	0.0028330719	0.002833525	0.0028049916	0.0027867097	0.0028975662	0.0028145462	0.0028513954	0.0028328195	0.002805462	0.0028235058	0.0028423406	0.0028236588	0.0028422056	0.0028237705	0.0027960236	0.0028144547	0.0028329694	0.0028237673	0.0028167767	0.0028143993	0.0027958965	0.0027959284	0.0028231675	0.0028235083	0.0027960478	0.0028515765	0.0027960096	0.0027960096	0.0028706933	0.80543834	0.0028143409	0.0028052195
0.007047779	0.007163512	0.0070475773	0.0070240665	0.0070944265	0.0072578257	0.0070714895	0.51117647	0.0070470413	0.007094023	0.007047479	0.0070470404	0.0070476844	0.007047925	0.0070476867	0.007047398	0.0070244577	0.0070244176	0.007047298	0.0070710536	0.0070709297	0.007187382	0.007001093	0.007187175	0.007071223	0.007047596	0.0070709903	0.0070702597	0.007140571	0.0070939637	0.0070475806	0.0071403147	0.007001093	0.0071161967	0.0070703193	0.007071189	0.007001093	0.0072568217	0.00711757	0.0071187085	0.007047023	0.007001093	0.0072796	0.007071028	0.0071636043	0.007116936	0.007048206	0.007093537	0.007140856	0.0070939213	0.007140517	0.0070942016	0.007024493	0.007070798	0.0071173124	0.0070941937	0.0070766318	0.0070706583	0.0070241736	0.0070242537	0.0070926873	0.0070935437	0.007024554	0.007164059	0.0070244577	0.0070244577	0.0072120866	0.0070942543	0.0070705116	0.007047596
0.003509483	0.003567113	0.0035093827	0.0034976755	0.0035327116	0.318939	0.00352129	0.0035210159	0.003509116	0.0035325105	0.0035093338	0.0035091154	0.0035094363	0.003509556	0.0035094372	0.0035092935	0.0034978702	0.0034978504	0.0035092435	0.003521073	0.0035210112	0.0035789993	0.0034862359	0.0035788962	0.0035211574	0.003509392	0.0035210415	0.0035206776	0.0035556895	0.0035324811	0.0035093843	0.0035555619	0.0034862359	0.0035435522	0.0035207074	0.0035211402	0.0034862359	0.0036135772	0.003544236	0.0035448028	0.0035091068	0.0034862359	0.0036249198	0.00352106	0.0035671592	0.0035439203	0.0035096956	0.0035322686	0.44129735	0.00353246	0.0035556625	0.0035325997	0.0034978879	0.0035209456	0.0035441078	0.0035325957	0.0035238506	0.0035208762	0.0034977288	0.0034977684	0.0035318455	0.0035322718	0.0034979181	0.0035673857	0.0034978702	0.0034978702	0.0035913012	0.0035326257	0.003520803	0.003509392
0.004685699	0.004762644	0.004685565	0.004669934	0.0047167125	0.004825348	0.004701463	0.004701097	0.0046852087	0.0047164443	0.0046854997	0.004685208	0.004685636	0.0046857963	0.0046856375	0.0046854457	0.004670194	0.0046701673	0.004685379	0.0047011734	0.004701091	0.0047785137	0.0046546604	0.004778376	0.004701286	0.0046855775	0.004701131	0.0047006453	0.0047473917	0.0047164047	0.004685567	0.0047472212	0.0046546604	0.004731186	0.004700685	0.0047012633	0.0046546604	0.0048246807	0.0047320994	0.004732856	0.0046851966	0.0046546604	0.004839825	0.004701156	0.0047627054	0.004731678	0.0046859826	0.004716121	0.004747581	0.004716377	0.004747356	0.004716563	0.004670217	0.004701003	0.0047319285	0.004716558	0.0047048815	0.0047009103	0.0046700053	0.0046700584	0.0047155563	0.0047161253	0.67497605	0.0047630076	0.004670194	0.004670194	0.0047949385	0.004716598	0.0047008125	0.0046855775
0.0035094803	0.00356711	0.0035093797	0.0034976725	0.0035327086	0.0036140743	0.0035212869	0.003521013	0.0035091129	0.0035325077	0.0035093308	0.0035091124	0.0035094332	0.003509553	0.0035094342	0.0035092905	0.0034978674	0.0034978474	0.0035092407	0.0035210701	0.0035210082	0.0035789963	0.0034862328	0.0035788931	0.0035211544	0.003509389	0.0035210385	0.0035206748	0.0035556864	0.0035324781	0.0035093813	0.0035555589	0.0034862328	0.0035435492	0.0035207043	0.0035211374	0.0034862328	0.0036135742	0.003544233	0.0035448	0.0035091038	0.0034862328	0.0036249168	0.003521057	0.0035671561	0.0035439173	0.0035096928	0.0035322655	0.0035558285	0.0035324572	0.0035556597	0.0035325966	0.0034978848	0.0035209425	0.003544105	0.0035325927	0.0035238476	0.0035208731	0.0034977258	0.0034977656	0.0035318425	0.0035322688	0.003497915	0.0035673827	0.0034978674	0.7565645	0.0035912981	0.003532623	0.0035208	0.003509389
0.0020019128	0.0020347866	0.0020018555	0.0019951772	0.002015163	0.0020615763	0.0020086477	0.27909982	0.0020017033	0.26253626	0.0020018276	0.002001703	0.002001886	0.0020019542	0.0020018865	0.0020018045	0.0019952883	0.0019952771	0.0020017761	0.002008524	0.0020084886	0.002041567	0.0019886517	0.002041508	0.002008572	0.0020018609	0.0020085059	0.0020082984	0.0020282702	0.0020150314	0.0020018565	0.0020281973	0.0019886517	0.0020213467	0.0020083154	0.0020085624	0.0019886517	0.3235906	0.0020217367	0.00202206	0.0020016981	0.0019886517	0.0020677613	0.0020085166	0.002034813	0.0020215567	0.002002034	0.0020149103	0.0020283512	0.0020150195	0.0020282548	0.0020150992	0.0019952983	0.0020084511	0.0020216638	0.0020150968	0.0020101084	0.0020084116	0.0019952077	0.0019952303	0.002014669	0.0020149122	0.0019953158	0.0020349422	0.0019952883	0.0019952883	0.0020485842	0.002015114	0.00200837	0.0020018609
0.014212257	0.014445639	0.014211849	0.014164439	0.0143063245	0.014635828	0.01426007	0.014258961	0.01421077	0.014305511	0.014211652	0.014210768	0.014212066	0.0142125515	0.01421207	0.014211489	0.014165228	0.014165148	0.014211287	0.014259192	0.014258942	0.014493775	0.014118113	0.014493356	0.014259534	0.0142118875	0.014259064	0.014257591	0.014399378	0.014305391	0.014211857	0.014398861	0.014118113	0.014350225	0.014257711	0.014259464	0.014118113	0.014633804	0.014352994	0.01435529	0.014210733	0.014118113	0.014679737	0.01425914	0.0144458255	0.014351716	0.014213118	0.014304531	0.014399952	0.014305306	0.014399269	0.014305871	0.014165299	0.014258676	0.014352475	0.014305855	0.01427044	0.014258395	0.0141646555	0.014164817	0.014302817	0.014304544	0.014165422	0.014446743	0.014165228	0.014165228	0.014543593	0.014305977	0.014258098	0.0142118875
